Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,5.0 Open Premier/Bronze+,Group A,1,Single game,KAB Crumb,"Ball lovers ",KAB Crumb,17,7,,,,,Paq Clifford,Peyton Stack,Parker Mckinney,Joseph Gibson
Pool Play,5.0 Open Premier/Bronze+,Group A,1,Single game,Tempo,Kingdom come,Tempo,17,13,,,,,Sean Caufield,Eli Canon,Josh Puffenberger,Isaac Haynes
Pool Play,5.0 Open Premier/Bronze+,Group A,1,Single game,Chicken Pot Pie,Gibby’s Delight,Chicken Pot Pie,17,15,,,,,Ben Savage,Connar Kloehn,Bradley Clark,Zeke Beckford
Pool Play,5.0 Open Premier/Bronze+,Group B,1,Single game,Risky Business,My Skin Itches,Risky Business,18,16,,,,,Kyle Fowler,Justin Kehoe,Eric Baldwin,Hampton Chappell
Pool Play,5.0 Open Premier/Bronze+,Group B,1,Single game,Slow Jamz,F-5 Tiger,Slow Jamz,17,10,,,,,Isaac Mixon,Andrew Yancey,Blake Van Den Top,Justin Goldman
Pool Play,5.0 Open Premier/Bronze+,Group B,1,Single game,Breaking and Entering,Barely Try Harding,Barely Try Harding,10,17,,,,,Sam Aven,Spencer Sexton,Grant Marshall,Brendan Ferreira
Pool Play,5.0 Open Premier/Bronze+,Group A,2,Single game,KAB Crumb,Kingdom come,KAB Crumb,17,10,,,,,Paq Clifford,Peyton Stack,Josh Puffenberger,Isaac Haynes
Pool Play,5.0 Open Premier/Bronze+,Group A,2,Single game,Tempo,Chicken Pot Pie,Chicken Pot Pie,12,17,,,,,Sean Caufield,Eli Canon,Ben Savage,Connar Kloehn
Pool Play,5.0 Open Premier/Bronze+,Group A,2,Single game,Gibby’s Delight,"Ball lovers ",Gibby’s Delight,17,10,,,,,Bradley Clark,Zeke Beckford,Parker Mckinney,Joseph Gibson
Pool Play,5.0 Open Premier/Bronze+,Group B,2,Single game,Risky Business,F-5 Tiger,Risky Business,17,7,,,,,Kyle Fowler,Justin Kehoe,Blake Van Den Top,Justin Goldman
Pool Play,5.0 Open Premier/Bronze+,Group B,2,Single game,Slow Jamz,Breaking and Entering,Slow Jamz,17,10,,,,,Isaac Mixon,Andrew Yancey,Sam Aven,Spencer Sexton
Pool Play,5.0 Open Premier/Bronze+,Group B,2,Single game,Barely Try Harding,My Skin Itches,Barely Try Harding,17,10,,,,,Grant Marshall,Brendan Ferreira,Eric Baldwin,Hampton Chappell
Pool Play,5.0 Open Premier/Bronze+,Group A,3,Single game,KAB Crumb,Gibby’s Delight,KAB Crumb,17,7,,,,,Paq Clifford,Peyton Stack,Bradley Clark,Zeke Beckford
Pool Play,5.0 Open Premier/Bronze+,Group A,3,Single game,Tempo,"Ball lovers ",Tempo,19,17,,,,,Sean Caufield,Eli Canon,Parker Mckinney,Joseph Gibson
Pool Play,5.0 Open Premier/Bronze+,Group A,3,Single game,Chicken Pot Pie,Kingdom come,Chicken Pot Pie,17,14,,,,,Ben Savage,Connar Kloehn,Josh Puffenberger,Isaac Haynes
Pool Play,5.0 Open Premier/Bronze+,Group B,3,Single game,Risky Business,Barely Try Harding,Risky Business,19,17,,,,,Kyle Fowler,Justin Kehoe,Grant Marshall,Brendan Ferreira
Pool Play,5.0 Open Premier/Bronze+,Group B,3,Single game,Slow Jamz,My Skin Itches,Slow Jamz,17,12,,,,,Isaac Mixon,Andrew Yancey,Eric Baldwin,Hampton Chappell
Pool Play,5.0 Open Premier/Bronze+,Group B,3,Single game,Breaking and Entering,F-5 Tiger,Breaking and Entering,17,10,,,,,Sam Aven,Spencer Sexton,Blake Van Den Top,Justin Goldman
Pool Play,5.0 Open Premier/Bronze+,Group A,4,Single game,KAB Crumb,Chicken Pot Pie,KAB Crumb,17,11,,,,,Paq Clifford,Peyton Stack,Ben Savage,Connar Kloehn
Pool Play,5.0 Open Premier/Bronze+,Group A,4,Single game,Tempo,Gibby’s Delight,Tempo,19,17,,,,,Sean Caufield,Eli Canon,Bradley Clark,Zeke Beckford
Pool Play,5.0 Open Premier/Bronze+,Group A,4,Single game,Kingdom come,"Ball lovers ",Kingdom come,17,14,,,,,Josh Puffenberger,Isaac Haynes,Parker Mckinney,Joseph Gibson
Pool Play,5.0 Open Premier/Bronze+,Group B,4,Single game,Risky Business,Breaking and Entering,Risky Business,17,7,,,,,Kyle Fowler,Justin Kehoe,Sam Aven,Spencer Sexton
Pool Play,5.0 Open Premier/Bronze+,Group B,4,Single game,Slow Jamz,Barely Try Harding,Barely Try Harding,10,17,,,,,Isaac Mixon,Andrew Yancey,Grant Marshall,Brendan Ferreira
Pool Play,5.0 Open Premier/Bronze+,Group B,4,Single game,F-5 Tiger,My Skin Itches,My Skin Itches,6,17,,,,,Blake Van Den Top,Justin Goldman,Eric Baldwin,Hampton Chappell
Pool Play,5.0 Open Premier/Bronze+,Group A,5,Single game,KAB Crumb,Tempo,KAB Crumb,17,13,,,,,Paq Clifford,Peyton Stack,Sean Caufield,Eli Canon
Pool Play,5.0 Open Premier/Bronze+,Group A,5,Single game,Chicken Pot Pie,"Ball lovers ",Chicken Pot Pie,17,12,,,,,Ben Savage,Connar Kloehn,Parker Mckinney,Joseph Gibson
Pool Play,5.0 Open Premier/Bronze+,Group A,5,Single game,Gibby’s Delight,Kingdom come,Kingdom come,16,18,,,,,Bradley Clark,Zeke Beckford,Josh Puffenberger,Isaac Haynes
Pool Play,5.0 Open Premier/Bronze+,Group B,5,Single game,Risky Business,Slow Jamz,Risky Business,17,14,,,,,Kyle Fowler,Justin Kehoe,Isaac Mixon,Andrew Yancey
Pool Play,5.0 Open Premier/Bronze+,Group B,5,Single game,Breaking and Entering,My Skin Itches,My Skin Itches,15,17,,,,,Sam Aven,Spencer Sexton,Eric Baldwin,Hampton Chappell
Pool Play,5.0 Open Premier/Bronze+,Group B,5,Single game,Barely Try Harding,F-5 Tiger,Barely Try Harding,17,13,,,,,Grant Marshall,Brendan Ferreira,Blake Van Den Top,Justin Goldman
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,Round of 16,Best of 3,Slow Jamz,F-5 Tiger,Slow Jamz,17,10,17,15,,,Isaac Mixon,Andrew Yancey,Blake Van Den Top,Justin Goldman
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,Round of 16,Best of 3,Tempo,"Ball lovers ",Tempo,17,13,10,17,17,10,Sean Caufield,Eli Canon,Parker Mckinney,Joseph Gibson
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,Round of 16,Best of 3,My Skin Itches,Breaking and Entering,Breaking and Entering,14,17,9,17,,,Eric Baldwin,Hampton Chappell,Sam Aven,Spencer Sexton
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,Round of 16,Best of 3,Kingdom come,Gibby’s Delight,Kingdom come,22,20,17,21,23,21,Josh Puffenberger,Isaac Haynes,Bradley Clark,Zeke Beckford
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,KAB Crumb,Kingdom come,KAB Crumb,21,11,21,13,,,Paq Clifford,Peyton Stack,Josh Puffenberger,Isaac Haynes
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Risky Business,Breaking and Entering,Risky Business,21,18,21,10,,,Kyle Fowler,Justin Kehoe,Sam Aven,Spencer Sexton
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Barely Try Harding,Tempo,Barely Try Harding,0,-2,0,-2,,,Grant Marshall,Brendan Ferreira,Sean Caufield,Eli Canon
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Chicken Pot Pie,Slow Jamz,Slow Jamz,19,21,18,21,,,Ben Savage,Connar Kloehn,Isaac Mixon,Andrew Yancey
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,Semi-final,Best of 3,KAB Crumb,Slow Jamz,KAB Crumb,23,21,21,14,,,Paq Clifford,Peyton Stack,Isaac Mixon,Andrew Yancey
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,Semi-final,Best of 3,Risky Business,Barely Try Harding,Risky Business,21,10,21,19,,,Kyle Fowler,Justin Kehoe,Grant Marshall,Brendan Ferreira
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,P5: Semi-final,Single game,Chicken Pot Pie,Kingdom come,Chicken Pot Pie,21,14,,,,,Ben Savage,Connar Kloehn,Josh Puffenberger,Isaac Haynes
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,P5: Semi-final,Single game,Tempo,Breaking and Entering,Breaking and Entering,-1,0,,,,,Sean Caufield,Eli Canon,Sam Aven,Spencer Sexton
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,P9: Semi-final,Single game,Gibby’s Delight,F-5 Tiger,F-5 Tiger,12,21,,,,,Bradley Clark,Zeke Beckford,Blake Van Den Top,Justin Goldman
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,P9: Semi-final,Single game,My Skin Itches,"Ball lovers ",My Skin Itches,21,18,,,,,Eric Baldwin,Hampton Chappell,Parker Mckinney,Joseph Gibson
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,Final,Best of 3,KAB Crumb,Risky Business,,21,17,-1,-1,,,Paq Clifford,Peyton Stack,Kyle Fowler,Justin Kehoe
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,P3: Final,Single game,Barely Try Harding,Slow Jamz,Barely Try Harding,0,-2,,,,,Grant Marshall,Brendan Ferreira,Isaac Mixon,Andrew Yancey
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,P5: Final,Single game,Chicken Pot Pie,Breaking and Entering,Breaking and Entering,19,21,,,,,Ben Savage,Connar Kloehn,Sam Aven,Spencer Sexton
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,P7: Final,Single game,Tempo,Kingdom come,Tempo,0,-1,,,,,Sean Caufield,Eli Canon,Josh Puffenberger,Isaac Haynes
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,P9: Final,Single game,F-5 Tiger,My Skin Itches,My Skin Itches,15,21,,,,,Blake Van Den Top,Justin Goldman,Eric Baldwin,Hampton Chappell
Bracket Play,5.0 Open Premier/Bronze+,Bracket A,P11: Final,Single game,"Ball lovers ",Gibby’s Delight,"Ball lovers ",0,-1,,,,,Parker Mckinney,Joseph Gibson,Bradley Clark,Zeke Beckford
Pool Play,4.0 Open Contender,Group A,1,Single game,quinoa,Current Roommates,quinoa,17,4,,,,,Daniel Titherington,Will Blass,Vanessa Convers,Malia Kasell
Pool Play,4.0 Open Contender,Group A,1,Single game,Berrey/Powers,singh ya later,Berrey/Powers,17,6,,,,,Paul Berrey,Hudson Powers,Xavier Singh,Alexander Singh
Pool Play,4.0 Open Contender,Group B,1,Single game,Garret/Cole,The Yoder Duo,Garret/Cole,17,10,,,,,Cole Solomon,Garret Chaffins,Russell Yoder,Wesley Yoder
Pool Play,4.0 Open Contender,Group B,1,Single game,Registered on time,The Settlement,The Settlement,14,17,,,,,Austin Smith,Jack Larson,Ben Celestino,Evan Grabarczyk
Pool Play,4.0 Open Contender,Group C,1,Single game,Set Apart,Friday’s Belly Blunder,Set Apart,17,4,,,,,Ethan Davis,Tim Graustein,Matthew McConnell,David Alvarez
Pool Play,4.0 Open Contender,Group C,1,Single game,Morris / Campbell,cHiPpErS oP,Morris / Campbell,17,13,,,,,Lane Morris,Levi Campbell,Lindsay Parkes,Savannah Obert
Pool Play,4.0 Open Contender,Group C,1,Single game,Fountain Lovers,Chix with Dix,Fountain Lovers,17,2,,,,,Jonah Walker,Alex DuBois,Tyler Van Note,Kyle tomaselli
Pool Play,4.0 Open Contender,Group D,1,Single game,Fence Shakers,All Lane,Fence Shakers,17,8,,,,,Drew Davis,Yanai Hamel-Sasson,Logan DuBois,Elijah Young
Pool Play,4.0 Open Contender,Group D,1,Single game,Drake Maye Lovers,Weird Cream,Drake Maye Lovers,17,7,,,,,Mason Dancausse,Michael Creedon,David Gonzales,Ali Jenki
Pool Play,4.0 Open Contender,Group D,1,Single game,Serve City,CATS & DAWGZ,Serve City,17,9,,,,,Andrew Murray,Collin Ireland,Nicko Tomala,Jack Whittemore
Pool Play,4.0 Open Contender,Group A,2,Single game,quinoa,singh ya later,quinoa,17,4,,,,,Daniel Titherington,Will Blass,Xavier Singh,Alexander Singh
Pool Play,4.0 Open Contender,Group A,2,Single game,running aarons,Current Roommates,running aarons,17,4,,,,,Tiff Ding,Aaron Simpson,Vanessa Convers,Malia Kasell
Pool Play,4.0 Open Contender,Group B,2,Single game,Garret/Cole,The Settlement,Garret/Cole,17,8,,,,,Cole Solomon,Garret Chaffins,Ben Celestino,Evan Grabarczyk
Pool Play,4.0 Open Contender,Group B,2,Single game,Chronic Tension,The Yoder Duo,Chronic Tension,17,10,,,,,Omar Medina,Jake Kelley,Russell Yoder,Wesley Yoder
Pool Play,4.0 Open Contender,Group C,2,Single game,Set Apart,cHiPpErS oP,Set Apart,17,7,,,,,Ethan Davis,Tim Graustein,Lindsay Parkes,Savannah Obert
Pool Play,4.0 Open Contender,Group C,2,Single game,Morris / Campbell,Fountain Lovers,Fountain Lovers,6,17,,,,,Lane Morris,Levi Campbell,Jonah Walker,Alex DuBois
Pool Play,4.0 Open Contender,Group C,2,Single game,Chix with Dix,Friday’s Belly Blunder,Chix with Dix,17,6,,,,,Tyler Van Note,Kyle tomaselli,Matthew McConnell,David Alvarez
Pool Play,4.0 Open Contender,Group D,2,Single game,Fence Shakers,Weird Cream,Fence Shakers,17,12,,,,,Drew Davis,Yanai Hamel-Sasson,David Gonzales,Ali Jenki
Pool Play,4.0 Open Contender,Group D,2,Single game,Drake Maye Lovers,Serve City,Drake Maye Lovers,17,9,,,,,Mason Dancausse,Michael Creedon,Andrew Murray,Collin Ireland
Pool Play,4.0 Open Contender,Group D,2,Single game,CATS & DAWGZ,All Lane,All Lane,13,17,,,,,Nicko Tomala,Jack Whittemore,Logan DuBois,Elijah Young
Pool Play,4.0 Open Contender,Group A,3,Single game,quinoa,running aarons,quinoa,17,10,,,,,Daniel Titherington,Will Blass,Tiff Ding,Aaron Simpson
Pool Play,4.0 Open Contender,Group A,3,Single game,Berrey/Powers,Current Roommates,Berrey/Powers,17,5,,,,,Paul Berrey,Hudson Powers,Vanessa Convers,Malia Kasell
Pool Play,4.0 Open Contender,Group B,3,Single game,Garret/Cole,Chronic Tension,Garret/Cole,17,12,,,,,Cole Solomon,Garret Chaffins,Omar Medina,Jake Kelley
Pool Play,4.0 Open Contender,Group B,3,Single game,Registered on time,The Yoder Duo,Registered on time,17,10,,,,,Austin Smith,Jack Larson,Russell Yoder,Wesley Yoder
Pool Play,4.0 Open Contender,Group C,3,Single game,Set Apart,Chix with Dix,Set Apart,17,10,,,,,Ethan Davis,Tim Graustein,Tyler Van Note,Kyle tomaselli
Pool Play,4.0 Open Contender,Group C,3,Single game,Morris / Campbell,Friday’s Belly Blunder,Morris / Campbell,17,3,,,,,Lane Morris,Levi Campbell,Matthew McConnell,David Alvarez
Pool Play,4.0 Open Contender,Group C,3,Single game,Fountain Lovers,cHiPpErS oP,Fountain Lovers,17,7,,,,,Jonah Walker,Alex DuBois,Lindsay Parkes,Savannah Obert
Pool Play,4.0 Open Contender,Group D,3,Single game,Fence Shakers,CATS & DAWGZ,Fence Shakers,17,8,,,,,Drew Davis,Yanai Hamel-Sasson,Nicko Tomala,Jack Whittemore
Pool Play,4.0 Open Contender,Group D,3,Single game,Drake Maye Lovers,All Lane,Drake Maye Lovers,18,16,,,,,Mason Dancausse,Michael Creedon,Logan DuBois,Elijah Young
Pool Play,4.0 Open Contender,Group D,3,Single game,Serve City,Weird Cream,Weird Cream,14,17,,,,,Andrew Murray,Collin Ireland,David Gonzales,Ali Jenki
Pool Play,4.0 Open Contender,Group A,4,Single game,Berrey/Powers,running aarons,running aarons,14,17,,,,,Paul Berrey,Hudson Powers,Tiff Ding,Aaron Simpson
Pool Play,4.0 Open Contender,Group A,4,Single game,singh ya later,Current Roommates,singh ya later,17,6,,,,,Xavier Singh,Alexander Singh,Vanessa Convers,Malia Kasell
Pool Play,4.0 Open Contender,Group B,4,Single game,Registered on time,Chronic Tension,Chronic Tension,13,17,,,,,Austin Smith,Jack Larson,Omar Medina,Jake Kelley
Pool Play,4.0 Open Contender,Group B,4,Single game,The Settlement,The Yoder Duo,The Settlement,17,10,,,,,Ben Celestino,Evan Grabarczyk,Russell Yoder,Wesley Yoder
Pool Play,4.0 Open Contender,Group C,4,Single game,Set Apart,Fountain Lovers,Fountain Lovers,16,18,,,,,Ethan Davis,Tim Graustein,Jonah Walker,Alex DuBois
Pool Play,4.0 Open Contender,Group C,4,Single game,Morris / Campbell,Chix with Dix,Morris / Campbell,17,15,,,,,Lane Morris,Levi Campbell,Tyler Van Note,Kyle tomaselli
