Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 - Premier,Group A,1,Single game,TLMG,TERREBONNE OGs,TLMG,15,12,,,,,Anthony St-Martin,Thomas Dery,Matou Pitchou,Théophane Frémond-Guilbault
Group Stage,5.0 - Premier,Group A,1,Single game,G-Force,can’t beat em’? join em’,G-Force,15,10,,,,,Jé Gagnon,Guillaume Bilodeau,Sabir Qureshi,Maxime Prince
Group Stage,5.0 - Premier,Group B,1,Single game,Les trous,Swagger Wong Szn,Swagger Wong Szn,15,21,,,,,Élie Pilon,Manouk Momo,Nathan Wong,Adam Hassan
Group Stage,5.0 - Premier,Group B,1,Single game,Pigeons,Spike the punch,Pigeons,21,12,,,,,Nicolas Leroux,Xavier Lambert,Olivier Raymond,Etienne Rayes
Group Stage,5.0 - Premier,Group C,1,Single game,Les Vermeilleuses,Super Nannies,Super Nannies,15,21,,,,,Léo Guérin-Morneau,Jacob Tremblay,Simon Arseneau,Clement Lavice
Group Stage,5.0 - Premier,Group C,1,Single game,"Maison douce maison ",VVW,VVW,22,23,,,,,Alexandre Vaillancourt,William Garant,Vincent Lavoie,Luc Vincent Guay
Group Stage,5.0 - Premier,Group A,2,Single game,TLMG,can’t beat em’? join em’,TLMG,15,11,,,,,Anthony St-Martin,Thomas Dery,Sabir Qureshi,Maxime Prince
Group Stage,5.0 - Premier,Group A,2,Single game,G-Force,TERREBONNE OGs,G-Force,15,8,,,,,Jé Gagnon,Guillaume Bilodeau,Matou Pitchou,Théophane Frémond-Guilbault
Group Stage,5.0 - Premier,Group B,2,Single game,Les trous,Spike the punch,Les trous,21,7,,,,,Élie Pilon,Manouk Momo,Olivier Raymond,Etienne Rayes
Group Stage,5.0 - Premier,Group B,2,Single game,PaPete,Swagger Wong Szn,Swagger Wong Szn,7,21,,,,,Pierre-Luc Robitaille,Pierre-André Gaumond,Nathan Wong,Adam Hassan
Group Stage,5.0 - Premier,Group C,2,Single game,Les Vermeilleuses,VVW,Les Vermeilleuses,21,15,,,,,Léo Guérin-Morneau,Jacob Tremblay,Vincent Lavoie,Luc Vincent Guay
Group Stage,5.0 - Premier,Group C,2,Single game,Groovy Goofies,Super Nannies,Super Nannies,12,21,,,,,Samuel Poirier,Guillaume Boilard,Simon Arseneau,Clement Lavice
Group Stage,5.0 - Premier,Group A,3,Single game,TLMG,G-Force,TLMG,15,13,,,,,Anthony St-Martin,Thomas Dery,Jé Gagnon,Guillaume Bilodeau
Group Stage,5.0 - Premier,Group A,3,Single game,can’t beat em’? join em’,TERREBONNE OGs,can’t beat em’? join em’,15,9,,,,,Sabir Qureshi,Maxime Prince,Matou Pitchou,Théophane Frémond-Guilbault
Group Stage,5.0 - Premier,Group B,3,Single game,Les trous,PaPete,Les trous,21,19,,,,,Élie Pilon,Manouk Momo,Pierre-Luc Robitaille,Pierre-André Gaumond
Group Stage,5.0 - Premier,Group B,3,Single game,Pigeons,Swagger Wong Szn,Swagger Wong Szn,10,21,,,,,Nicolas Leroux,Xavier Lambert,Nathan Wong,Adam Hassan
Group Stage,5.0 - Premier,Group C,3,Single game,Les Vermeilleuses,Groovy Goofies,Groovy Goofies,15,21,,,,,Léo Guérin-Morneau,Jacob Tremblay,Samuel Poirier,Guillaume Boilard
Group Stage,5.0 - Premier,Group C,3,Single game,"Maison douce maison ",Super Nannies,"Maison douce maison ",21,10,,,,,Alexandre Vaillancourt,William Garant,Simon Arseneau,Clement Lavice
Group Stage,5.0 - Premier,Group B,4,Single game,Pigeons,PaPete,Pigeons,21,19,,,,,Nicolas Leroux,Xavier Lambert,Pierre-Luc Robitaille,Pierre-André Gaumond
Group Stage,5.0 - Premier,Group B,4,Single game,Spike the punch,Swagger Wong Szn,Swagger Wong Szn,5,21,,,,,Olivier Raymond,Etienne Rayes,Nathan Wong,Adam Hassan
Group Stage,5.0 - Premier,Group C,4,Single game,"Maison douce maison ",Groovy Goofies,"Maison douce maison ",21,6,,,,,Alexandre Vaillancourt,William Garant,Samuel Poirier,Guillaume Boilard
Group Stage,5.0 - Premier,Group C,4,Single game,VVW,Super Nannies,VVW,21,16,,,,,Vincent Lavoie,Luc Vincent Guay,Simon Arseneau,Clement Lavice
Group Stage,5.0 - Premier,Group B,5,Single game,Les trous,Pigeons,Les trous,21,16,,,,,Élie Pilon,Manouk Momo,Nicolas Leroux,Xavier Lambert
Group Stage,5.0 - Premier,Group B,5,Single game,PaPete,Spike the punch,PaPete,21,14,,,,,Pierre-Luc Robitaille,Pierre-André Gaumond,Olivier Raymond,Etienne Rayes
Group Stage,5.0 - Premier,Group C,5,Single game,Les Vermeilleuses,"Maison douce maison ","Maison douce maison ",13,21,,,,,Léo Guérin-Morneau,Jacob Tremblay,Alexandre Vaillancourt,William Garant
Group Stage,5.0 - Premier,Group C,5,Single game,Groovy Goofies,VVW,Groovy Goofies,21,11,,,,,Samuel Poirier,Guillaume Boilard,Vincent Lavoie,Luc Vincent Guay
Group Stage,5.0 - Premier,Group A,4,Single game,TLMG,TERREBONNE OGs,TLMG,15,8,,,,,Anthony St-Martin,Thomas Dery,Matou Pitchou,Théophane Frémond-Guilbault
