Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 - Élite (avec NHZ),Group A,1,Single game,Cold Sweep,Quick Hands,Cold Sweep,21,11,,,,,Maxime Prince,Vincent Mathieu,Joël Laliberté,Jordan Meredith
Group Stage,5.0 - Élite (avec NHZ),Group A,1,Single game,TLMG,Pantalons de pyj,TLMG,22,20,,,,,Anthony St-Martin,Thomas Déry,Lou Paradis,Élie Pilon
Group Stage,5.0 - Élite (avec NHZ),Group B,1,Single game,C'est oli et titi! .. C'est oli et titi!,Stinky Hinder 💩💨😵,C'est oli et titi! .. C'est oli et titi!,21,13,,,,,Olivier Laurin,Etienne Cote,Chris Loubert,Pierre-André Gaumond
Group Stage,5.0 - Élite (avec NHZ),Group B,1,Single game,G-Force,Fancy Flick,G-Force,21,7,,,,,Jé Gagnon,Guillaume Bilodeau,Simon Guillemette,Manouk Momo
Group Stage,5.0 - Élite (avec NHZ),Group C,1,Single game,Spicy,Coffee plz ,Spicy,21,8,,,,,William Garant,Karl Pominville,Derek Coulombe,Jessie Desrosiers
Group Stage,5.0 - Élite (avec NHZ),Group C,1,Single game,Kunzelmann/Vallée,Hawk Tuah,Hawk Tuah,18,21,,,,,Laurence Vallée,Pierre-Luc Robitaille,Yannick Serres,Marc-olivier Fontaine
Group Stage,5.0 - Élite (avec NHZ),Group D,1,Single game,Groovy Goofies,Tic-Tac-Toe,Groovy Goofies,21,19,,,,,Samuel Poirier,Guillaume Boilard,Léo Guérin-Morneau,Jacob Tremblay
Group Stage,5.0 - Élite (avec NHZ),Group D,1,Single game,Pigeons,Dans’ mitaine,Dans’ mitaine,18,21,,,,,Nicolas Leroux,Xavier Lambert,Charles Desgens,Julien Paquette
Group Stage,5.0 - Élite (avec NHZ),Group E,1,Single game,Beauty and the Beast,Back Like We Never Left,Beauty and the Beast,21,15,,,,,William Chenier,Thomas Langlois,simon swain,Hugo Brunelle
Group Stage,5.0 - Élite (avec NHZ),Group E,1,Single game,COWABOUNGA,Goal Digger,COWABOUNGA,21,12,,,,,Thomas Lahaie,Matou Pitchou,Jean-sébastien Boutin,Marc-Antoine Boutin
Group Stage,5.0 - Élite (avec NHZ),Group F,1,Single game,Fortier/Dufresne,Clueless,Clueless,14,21,,,,,Alexandre Fortier,Thomas Dufresne,Jasmin-Long Najim,Alexandre Vaillancourt
Group Stage,5.0 - Élite (avec NHZ),Group F,1,Single game,La Mort par Cellophane,Tape dans l'dos,Tape dans l'dos,22,23,,,,,Théophane Frémond-Guilbault,Alexandre Lamarre,Patrick Lefort,Francis Clément
Group Stage,5.0 - Élite (avec NHZ),Group A,2,Single game,Cold Sweep,Pantalons de pyj,Cold Sweep,21,12,,,,,Maxime Prince,Vincent Mathieu,Lou Paradis,Élie Pilon
Group Stage,5.0 - Élite (avec NHZ),Group A,2,Single game,TLMG,Quick Hands,TLMG,21,9,,,,,Anthony St-Martin,Thomas Déry,Joël Laliberté,Jordan Meredith
