Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group A,1,Single game,Au Rossy,Goal Digger,Au Rossy,21,12,,,,,Tyler Babin,Etienne Cote,Jean-sébastien Boutin,Marc-Antoine Boutin
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group A,1,Single game,TLMG,BRO LES BRAMPTONS,BRO LES BRAMPTONS,17,21,,,,,Anthony St-Martin,Thomas Déry,Joshua Hachey,Adam Hassan
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group B,1,Single game,Les Guenilles,Beauty and the Beast,Les Guenilles,21,11,,,,,Chris Brown,Vincent Mathieu,Thomas Langlois,William Chenier
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group B,1,Single game,Sippin Syrup,Quick Hands,Sippin Syrup,21,19,,,,,Keaton Kirchner,Élie Pilon,Jordan Meredith,Joël Laliberté
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group C,1,Single game,Les goulaches,Groovy Goofies,Les goulaches,21,10,,,,,Maxime Prince,Olivier Laurin,Guillaume Boilard,Samuel Poirier
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group C,1,Single game,G-Force,Lou-garou,G-Force,21,17,,,,,Guillaume Bilodeau,Jé Gagnon,Chris Loubert,Nathan Goh
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group D,1,Single game,Shaytar/Abrams,VVW,Shaytar/Abrams,22,20,,,,,Justin Shaytar,Dan Abrams,Vincent Lavoie,Luc Vincent Guay
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group D,1,Single game,No Pressure,Crotte de moineau,Crotte de moineau,22,23,,,,,Alex Newton,Josh Hutko,William Garant,Xavier Lambert
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group A,2,Single game,Au Rossy,BRO LES BRAMPTONS,Au Rossy,21,19,,,,,Tyler Babin,Etienne Cote,Joshua Hachey,Adam Hassan
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group A,2,Single game,TLMG,Goal Digger,TLMG,21,6,,,,,Anthony St-Martin,Thomas Déry,Jean-sébastien Boutin,Marc-Antoine Boutin
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group B,2,Single game,Les Guenilles,Quick Hands,Les Guenilles,21,10,,,,,Chris Brown,Vincent Mathieu,Jordan Meredith,Joël Laliberté
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group B,2,Single game,Sippin Syrup,Beauty and the Beast,Sippin Syrup,21,12,,,,,Keaton Kirchner,Élie Pilon,Thomas Langlois,William Chenier
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group C,2,Single game,Les goulaches,Lou-garou,Les goulaches,21,15,,,,,Maxime Prince,Olivier Laurin,Chris Loubert,Nathan Goh
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group C,2,Single game,G-Force,Groovy Goofies,G-Force,21,9,,,,,Guillaume Bilodeau,Jé Gagnon,Guillaume Boilard,Samuel Poirier
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group D,2,Single game,Shaytar/Abrams,Crotte de moineau,Crotte de moineau,19,21,,,,,Justin Shaytar,Dan Abrams,William Garant,Xavier Lambert
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group D,2,Single game,No Pressure,VVW,No Pressure,21,14,,,,,Alex Newton,Josh Hutko,Vincent Lavoie,Luc Vincent Guay
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group A,3,Single game,Au Rossy,TLMG,Au Rossy,21,12,,,,,Tyler Babin,Etienne Cote,Anthony St-Martin,Thomas Déry
Group Stage,5.0 - Premier + Élite Québec (avec NHZ),Group A,3,Single game,BRO LES BRAMPTONS,Goal Digger,BRO LES BRAMPTONS,21,12,,,,,Joshua Hachey,Adam Hassan,Jean-sébastien Boutin,Marc-Antoine Boutin
