Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Competitive (student),Group A,1,Single game,MAC - Noah’s Exes,UW - Fruit Salad,MAC - Noah’s Exes,17,5,,,,,Alex Kim,Eli Jobin,Chris Fraser,Alex Hopkins
Group Stage,Open Competitive (student),Group A,1,Single game,UO-Chithalen/baccin,UWIN - Crodies,UO-Chithalen/baccin,17,5,,,,,Noah Baccin,Preston Chithalen,Drew Van Kesteren,Nathan Toews
Group Stage,Open Competitive (student),Group B,1,Single game,SyncedUp,Mac - Premarital Sets,SyncedUp,17,3,,,,,Mathis Mensour,Sabir Qureshi,Kaden Klinck,Andrew Vance
Group Stage,Open Competitive (student),Group B,1,Single game,U of T - Lays STAX Bar-B-Qer's,UW - Bedsy Fan Club,U of T - Lays STAX Bar-B-Qer's,17,13,,,,,Calvin Lam,Wesley Zhao,Niklas Norenius,Heath Couture
Group Stage,Open Competitive (student),Group C,1,Single game,Mac - Homegrown,UW- TIM'S TIP,Mac - Homegrown,17,3,,,,,Noah Smith,Ezra Campanelli,Parry Chan,Ben Jabal
Group Stage,Open Competitive (student),Group C,1,Single game,SSS - I’m Just A Baebee,U of T - Shukla/Singhal,SSS - I’m Just A Baebee,17,12,,,,,Cam Darlison,Gavin De Moura,Dhir Shukla,Raghav Singhal
Group Stage,Open Competitive (student),Group C,1,Single game,UW - Empire Spikes Back,Mac - Spike-o-therapy,UW - Empire Spikes Back,17,11,,,,,Luka Cepuran,Jack Woolley,Ildemaro Ponnambalam,Nigel Barnim
Group Stage,Open Competitive (student),Group A,2,Single game,MAC - Noah’s Exes,UWIN - Crodies,MAC - Noah’s Exes,17,3,,,,,Alex Kim,Eli Jobin,Drew Van Kesteren,Nathan Toews
Group Stage,Open Competitive (student),Group A,2,Single game,Mac - Strawberry JAM,UW - Fruit Salad,Mac - Strawberry JAM,17,5,,,,,Haider Mortadha,Roark Baker,Chris Fraser,Alex Hopkins
Group Stage,Open Competitive (student),Group B,2,Single game,SyncedUp,UW - Bedsy Fan Club,SyncedUp,17,10,,,,,Mathis Mensour,Sabir Qureshi,Niklas Norenius,Heath Couture
Group Stage,Open Competitive (student),Group B,2,Single game,Brock - Muggeridge/Sim,Mac - Premarital Sets,Brock - Muggeridge/Sim,17,12,,,,,Jacob Sim,Brendan Muggeridge,Kaden Klinck,Andrew Vance
Group Stage,Open Competitive (student),Group C,2,Single game,Mac - Homegrown,U of T - Shukla/Singhal,Mac - Homegrown,17,10,,,,,Noah Smith,Ezra Campanelli,Dhir Shukla,Raghav Singhal
Group Stage,Open Competitive (student),Group C,2,Single game,SSS - I’m Just A Baebee,UW - Empire Spikes Back,SSS - I’m Just A Baebee,17,7,,,,,Cam Darlison,Gavin De Moura,Luka Cepuran,Jack Woolley
Group Stage,Open Competitive (student),Group C,2,Single game,Mac - Spike-o-therapy,UW- TIM'S TIP,Mac - Spike-o-therapy,17,5,,,,,Ildemaro Ponnambalam,Nigel Barnim,Parry Chan,Ben Jabal
Group Stage,Open Competitive (student),Group A,3,Single game,MAC - Noah’s Exes,Mac - Strawberry JAM,MAC - Noah’s Exes,17,13,,,,,Alex Kim,Eli Jobin,Haider Mortadha,Roark Baker
Group Stage,Open Competitive (student),Group A,3,Single game,UO-Chithalen/baccin,UW - Fruit Salad,UO-Chithalen/baccin,17,5,,,,,Noah Baccin,Preston Chithalen,Chris Fraser,Alex Hopkins
Group Stage,Open Competitive (student),Group B,3,Single game,SyncedUp,Brock - Muggeridge/Sim,SyncedUp,17,3,,,,,Mathis Mensour,Sabir Qureshi,Jacob Sim,Brendan Muggeridge
Group Stage,Open Competitive (student),Group B,3,Single game,U of T - Lays STAX Bar-B-Qer's,Mac - Premarital Sets,U of T - Lays STAX Bar-B-Qer's,17,12,,,,,Calvin Lam,Wesley Zhao,Kaden Klinck,Andrew Vance
