Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play 🏊,Advanced 4.0,Advanced A,1,Single game,No Mames Wey,Today lol,No Mames Wey,21,16,,,,,Marc M,Alessio Midrigan,Daniel Chudin,Dean Gazit
Pool Play 🏊,Advanced 4.0,Advanced A,1,Single game,Risky spikers,DOUBLE TROUBLE,Risky spikers,21,15,,,,,Suryansh Soni,Rishabh Panwar,Vivian Yount,Aubrey McCraw
Pool Play 🏊,Advanced 4.0,Advanced A,1,Single game,Zero Prep,2 Broke Boiz,2 Broke Boiz,9,21,,,,,Paul Chepel,Sam Kondratyev,Drew Longjohn,Samuel Verrett
Pool Play 🏊,Advanced 4.0,Advanced B,1,Single game,Chakos Tucis,Well Done,Chakos Tucis,21,11,,,,,Dylan Jackson,Sam Wallach Hanson,Tayler Jackman,Keith VanGelder
Pool Play 🏊,Advanced 4.0,Advanced B,1,Single game,Roundnet AI,Dr. Squid (ni),Dr. Squid (ni),18,21,,,,,Jordan Todhunter,Austin Ulfers,Mackinly Yorgensen,Keith Dixon
Pool Play 🏊,Advanced 4.0,Advanced B,1,Single game,Out of system,Surf N Turf,Out of system,21,15,,,,,Caleb Triplett,Daniel Davis,Delaney Hayes,Sawyer Eckhardt
Pool Play 🏊,Advanced 4.0,Advanced A,2,Single game,No Mames Wey,DOUBLE TROUBLE,No Mames Wey,21,15,,,,,Marc M,Alessio Midrigan,Vivian Yount,Aubrey McCraw
Pool Play 🏊,Advanced 4.0,Advanced A,2,Single game,Risky spikers,Zero Prep,Zero Prep,9,21,,,,,Suryansh Soni,Rishabh Panwar,Paul Chepel,Sam Kondratyev
Pool Play 🏊,Advanced 4.0,Advanced A,2,Single game,2 Broke Boiz,Today lol,2 Broke Boiz,21,16,,,,,Drew Longjohn,Samuel Verrett,Daniel Chudin,Dean Gazit
Pool Play 🏊,Advanced 4.0,Advanced B,2,Single game,Chakos Tucis,Dr. Squid (ni),Chakos Tucis,21,19,,,,,Dylan Jackson,Sam Wallach Hanson,Mackinly Yorgensen,Keith Dixon
