Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Premier 5.0,Group A,1,Single game,GFD The Biggest Beasts,Freak Sauce,GFD The Biggest Beasts,21,12,,,,,Justin Barr,Thomas Hamilton,Prady Vijayakumar,Ethan Ferland
Pool Play,Premier 5.0,Group A,1,Single game,Road Rage,Sunny side up,Road Rage,21,19,,,,,Justin Shaytar,Matt Spolarich,Joël Laliberté,Alexandre Fortier
Pool Play,Premier 5.0,Group B,1,Single game,Cold Sweep,🌲 BHAD Boys,Cold Sweep,21,10,,,,,Vincent Mathieu,Maxime Prince,Joey Renaud,Nethaniel Gabriel
Pool Play,Premier 5.0,Group B,1,Single game,Shorter & Taller,lao gan ma,Shorter & Taller,21,14,,,,,Caleb Shorter,Andrew Sullivan,Kyle Jeung,Leonardo Tullo
Pool Play,Premier 5.0,Group C,1,Single game,Franglo,NEM Reckless (Ang/Leibold),Franglo,21,8,,,,,Etienne Cote,Grant Klapwijk,Jared Ang,Brock Leibold
Pool Play,Premier 5.0,Group C,1,Single game,CRO rimmer season,Crotte de moineau,CRO rimmer season,25,24,,,,,Nicholas Puopolo,Tyler Babin,Xavier Lambert,William Garant
Pool Play,Premier 5.0,Group D,1,Single game,Dean/Lippman ,Grant/Paul,Dean/Lippman ,21,8,,,,,Emerson Dean,Owen Lippman,Dustin Grant,Jesse Paul
Pool Play,Premier 5.0,Group D,1,Single game,No Pressure,Swagged out Summer,No Pressure,21,17,,,,,Alex Newton,Josh Hutko,sumer dass,Adam Hassan
Pool Play,Premier 5.0,Group E,1,Single game,Bambi,Pickles,Bambi,21,12,,,,,Jé Gagnon,Chris Brown,Joshua Ang,Eric Reinke
Pool Play,Premier 5.0,Group E,1,Single game,En Vacance 2.0,Farronato/Kim,En Vacance 2.0,21,11,,,,,Guillaume Bilodeau,Olivier Laurin,brandon farronato,Alex Kim
Pool Play,Premier 5.0,Group E,1,Single game,Vent Rush,Jonald,Vent Rush,23,21,,,,,Nic Albornoz,Mike Hamilton,Donald Fung,John Putney
Pool Play,Premier 5.0,Group A,2,Single game,GFD The Biggest Beasts,Sunny side up,GFD The Biggest Beasts,21,12,,,,,Justin Barr,Thomas Hamilton,Joël Laliberté,Alexandre Fortier
Pool Play,Premier 5.0,Group A,2,Single game,Pooin and Gooin,Freak Sauce,Freak Sauce,17,21,,,,,Tim Lacagnina,Nick Evanko,Prady Vijayakumar,Ethan Ferland
Pool Play,Premier 5.0,Group B,2,Single game,Cold Sweep,lao gan ma,Cold Sweep,21,10,,,,,Vincent Mathieu,Maxime Prince,Kyle Jeung,Leonardo Tullo
Pool Play,Premier 5.0,Group B,2,Single game,Someone’s Jellyous,🌲 BHAD Boys,Someone’s Jellyous,21,11,,,,,David Navalta,Keaton Kirchner,Joey Renaud,Nethaniel Gabriel
Pool Play,Premier 5.0,Group C,2,Single game,Franglo,Crotte de moineau,Franglo,21,12,,,,,Etienne Cote,Grant Klapwijk,Xavier Lambert,William Garant
Pool Play,Premier 5.0,Group C,2,Single game,Deep Beeag,NEM Reckless (Ang/Leibold),NEM Reckless (Ang/Leibold),19,21,,,,,Grayson M  Wills,Reilly Paquette,Jared Ang,Brock Leibold
Pool Play,Premier 5.0,Group D,2,Single game,Dean/Lippman ,Swagged out Summer,Dean/Lippman ,21,12,,,,,Emerson Dean,Owen Lippman,sumer dass,Adam Hassan
Pool Play,Premier 5.0,Group D,2,Single game,Tipsy,Grant/Paul,Tipsy,21,14,,,,,Nathan Goh,Ben Pernfuss,Dustin Grant,Jesse Paul
Pool Play,Premier 5.0,Group E,2,Single game,Bambi,Farronato/Kim,Bambi,21,7,,,,,Jé Gagnon,Chris Brown,brandon farronato,Alex Kim
Pool Play,Premier 5.0,Group E,2,Single game,En Vacance 2.0,Vent Rush,En Vacance 2.0,21,4,,,,,Guillaume Bilodeau,Olivier Laurin,Nic Albornoz,Mike Hamilton
Pool Play,Premier 5.0,Group E,2,Single game,Jonald,Pickles,Pickles,19,21,,,,,Donald Fung,John Putney,Joshua Ang,Eric Reinke
Pool Play,Premier 5.0,Group A,3,Single game,GFD The Biggest Beasts,Pooin and Gooin,GFD The Biggest Beasts,21,13,,,,,Justin Barr,Thomas Hamilton,Tim Lacagnina,Nick Evanko
Pool Play,Premier 5.0,Group A,3,Single game,Road Rage,Freak Sauce,Road Rage,21,12,,,,,Justin Shaytar,Matt Spolarich,Prady Vijayakumar,Ethan Ferland
Pool Play,Premier 5.0,Group B,3,Single game,Cold Sweep,Someone’s Jellyous,Cold Sweep,21,9,,,,,Vincent Mathieu,Maxime Prince,David Navalta,Keaton Kirchner
Pool Play,Premier 5.0,Group B,3,Single game,Shorter & Taller,🌲 BHAD Boys,Shorter & Taller,21,18,,,,,Caleb Shorter,Andrew Sullivan,Joey Renaud,Nethaniel Gabriel
Pool Play,Premier 5.0,Group C,3,Single game,Franglo,Deep Beeag,Franglo,21,8,,,,,Etienne Cote,Grant Klapwijk,Grayson M  Wills,Reilly Paquette
Pool Play,Premier 5.0,Group C,3,Single game,CRO rimmer season,NEM Reckless (Ang/Leibold),CRO rimmer season,21,17,,,,,Nicholas Puopolo,Tyler Babin,Jared Ang,Brock Leibold
Pool Play,Premier 5.0,Group D,3,Single game,Dean/Lippman ,Tipsy,Dean/Lippman ,21,11,,,,,Emerson Dean,Owen Lippman,Nathan Goh,Ben Pernfuss
Pool Play,Premier 5.0,Group D,3,Single game,No Pressure,Grant/Paul,Grant/Paul,16,21,,,,,Alex Newton,Josh Hutko,Dustin Grant,Jesse Paul
Pool Play,Premier 5.0,Group E,3,Single game,Bambi,Jonald,Bambi,21,13,,,,,Jé Gagnon,Chris Brown,Donald Fung,John Putney
