Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,BRACKET 1130 Open 4.5+,Group A,1,Single game,Sah ECCITEDD,Lab Rats,Sah ECCITEDD,21,7,,,,,Thomas Hoffman,Sunny Gu,Tj Brawdy,Eddie Rakowski
Pool Play,BRACKET 1130 Open 4.5+,Group A,1,Single game,Fresh Cuts,Shanghai Sharks,Fresh Cuts,22,20,,,,,Jon LeFrois,Ethan Westfall,Louis Battista,Andrew Nee
Pool Play,BRACKET 1130 Open 4.5+,Group A,1,Single game,G's Gulabs,Unnecessarily Cheeky,Unnecessarily Cheeky,17,21,,,,,Aidan Schaffer,Maxwell Riseman,Brandon Spector,blake rock
Pool Play,BRACKET 1130 Open 4.5+,Group B,1,Single game,Happy Heffalumps,Celtics Riders,Happy Heffalumps,21,9,,,,,Michael Catuccio,Matt Catuccio,Brendan Kasuba,Joshua Aguilar
Pool Play,BRACKET 1130 Open 4.5+,Group B,1,Single game,Girth Control,Biggie Bag Ballers,Girth Control,21,19,,,,,Dustin Grant,Riley Nassour,Kolton Knight,Eoin O'Gara
Pool Play,BRACKET 1130 Open 4.5+,Group B,1,Single game,NYC Reps,Meeps Sheadow,NYC Reps,21,14,,,,,Alex Luc,Ricky Santiago,Ryan Jung,Riley Savastano
Pool Play,BRACKET 1130 Open 4.5+,Group C,1,Single game,"White Lotus Roundnet ",NAMOOR,"White Lotus Roundnet ",21,11,,,,,Ely Marciano,Mitchell Carter,Noah Hickey,Michael Bagdasarian
Pool Play,BRACKET 1130 Open 4.5+,Group C,1,Single game,"5' 11"" vs 6'",Plassmann 511,"5' 11"" vs 6'",21,9,,,,,Nic Albornoz,Charlie Freeman,Spencer James,Michael Vilardo
Pool Play,BRACKET 1130 Open 4.5+,Group C,1,Single game,Gabe & GAO,Knowbility,Knowbility,16,21,,,,,Gabe Packevicz,Alan Gao,Matthew Rodriguez,Noah Lerner-Morelle
Pool Play,BRACKET 1130 Open 4.5+,Group A,2,Single game,Sah ECCITEDD,Shanghai Sharks,Sah ECCITEDD,21,6,,,,,Thomas Hoffman,Sunny Gu,Louis Battista,Andrew Nee
Pool Play,BRACKET 1130 Open 4.5+,Group A,2,Single game,Fresh Cuts,G's Gulabs,Fresh Cuts,21,17,,,,,Jon LeFrois,Ethan Westfall,Aidan Schaffer,Maxwell Riseman
Pool Play,BRACKET 1130 Open 4.5+,Group A,2,Single game,Unnecessarily Cheeky,Lab Rats,Unnecessarily Cheeky,21,10,,,,,Brandon Spector,blake rock,Tj Brawdy,Eddie Rakowski
Pool Play,BRACKET 1130 Open 4.5+,Group B,2,Single game,Happy Heffalumps,Biggie Bag Ballers,Happy Heffalumps,21,14,,,,,Michael Catuccio,Matt Catuccio,Kolton Knight,Eoin O'Gara
Pool Play,BRACKET 1130 Open 4.5+,Group B,2,Single game,Girth Control,NYC Reps,Girth Control,21,18,,,,,Dustin Grant,Riley Nassour,Alex Luc,Ricky Santiago
Pool Play,BRACKET 1130 Open 4.5+,Group B,2,Single game,Meeps Sheadow,Celtics Riders,Meeps Sheadow,21,16,,,,,Ryan Jung,Riley Savastano,Brendan Kasuba,Joshua Aguilar
Pool Play,BRACKET 1130 Open 4.5+,Group C,2,Single game,"White Lotus Roundnet ",Plassmann 511,"White Lotus Roundnet ",21,14,,,,,Ely Marciano,Mitchell Carter,Spencer James,Michael Vilardo
Pool Play,BRACKET 1130 Open 4.5+,Group C,2,Single game,"5' 11"" vs 6'",Gabe & GAO,"5' 11"" vs 6'",21,11,,,,,Nic Albornoz,Charlie Freeman,Gabe Packevicz,Alan Gao
Pool Play,BRACKET 1130 Open 4.5+,Group C,2,Single game,Knowbility,NAMOOR,Knowbility,21,6,,,,,Matthew Rodriguez,Noah Lerner-Morelle,Noah Hickey,Michael Bagdasarian
Pool Play,BRACKET 1130 Open 4.5+,Group A,3,Single game,Sah ECCITEDD,Unnecessarily Cheeky,Sah ECCITEDD,21,11,,,,,Thomas Hoffman,Sunny Gu,Brandon Spector,blake rock
Pool Play,BRACKET 1130 Open 4.5+,Group A,3,Single game,Fresh Cuts,Lab Rats,Fresh Cuts,21,9,,,,,Jon LeFrois,Ethan Westfall,Tj Brawdy,Eddie Rakowski
Pool Play,BRACKET 1130 Open 4.5+,Group A,3,Single game,G's Gulabs,Shanghai Sharks,G's Gulabs,21,19,,,,,Aidan Schaffer,Maxwell Riseman,Louis Battista,Andrew Nee
Pool Play,BRACKET 1130 Open 4.5+,Group B,3,Single game,Happy Heffalumps,Meeps Sheadow,Happy Heffalumps,21,12,,,,,Michael Catuccio,Matt Catuccio,Ryan Jung,Riley Savastano
Pool Play,BRACKET 1130 Open 4.5+,Group B,3,Single game,Girth Control,Celtics Riders,Girth Control,21,10,,,,,Dustin Grant,Riley Nassour,Brendan Kasuba,Joshua Aguilar
Pool Play,BRACKET 1130 Open 4.5+,Group B,3,Single game,NYC Reps,Biggie Bag Ballers,NYC Reps,21,12,,,,,Alex Luc,Ricky Santiago,Kolton Knight,Eoin O'Gara
Pool Play,BRACKET 1130 Open 4.5+,Group C,3,Single game,"White Lotus Roundnet ",Knowbility,"White Lotus Roundnet ",21,16,,,,,Ely Marciano,Mitchell Carter,Matthew Rodriguez,Noah Lerner-Morelle
Pool Play,BRACKET 1130 Open 4.5+,Group C,3,Single game,"5' 11"" vs 6'",NAMOOR,"5' 11"" vs 6'",21,11,,,,,Nic Albornoz,Charlie Freeman,Noah Hickey,Michael Bagdasarian
Pool Play,BRACKET 1130 Open 4.5+,Group C,3,Single game,Gabe & GAO,Plassmann 511,Gabe & GAO,21,17,,,,,Gabe Packevicz,Alan Gao,Spencer James,Michael Vilardo
Pool Play,BRACKET 1130 Open 4.5+,Group A,4,Single game,Sah ECCITEDD,G's Gulabs,Sah ECCITEDD,21,14,,,,,Thomas Hoffman,Sunny Gu,Aidan Schaffer,Maxwell Riseman
Pool Play,BRACKET 1130 Open 4.5+,Group A,4,Single game,Fresh Cuts,Unnecessarily Cheeky,Unnecessarily Cheeky,19,21,,,,,Jon LeFrois,Ethan Westfall,Brandon Spector,blake rock
Pool Play,BRACKET 1130 Open 4.5+,Group A,4,Single game,Shanghai Sharks,Lab Rats,Shanghai Sharks,21,13,,,,,Louis Battista,Andrew Nee,Tj Brawdy,Eddie Rakowski
Pool Play,BRACKET 1130 Open 4.5+,Group B,4,Single game,Happy Heffalumps,NYC Reps,Happy Heffalumps,21,19,,,,,Michael Catuccio,Matt Catuccio,Alex Luc,Ricky Santiago
Pool Play,BRACKET 1130 Open 4.5+,Group B,4,Single game,Girth Control,Meeps Sheadow,Girth Control,21,19,,,,,Dustin Grant,Riley Nassour,Ryan Jung,Riley Savastano
Pool Play,BRACKET 1130 Open 4.5+,Group B,4,Single game,Biggie Bag Ballers,Celtics Riders,Biggie Bag Ballers,21,15,,,,,Kolton Knight,Eoin O'Gara,Brendan Kasuba,Joshua Aguilar
Pool Play,BRACKET 1130 Open 4.5+,Group C,4,Single game,"White Lotus Roundnet ",Gabe & GAO,"White Lotus Roundnet ",21,8,,,,,Ely Marciano,Mitchell Carter,Gabe Packevicz,Alan Gao
Pool Play,BRACKET 1130 Open 4.5+,Group C,4,Single game,"5' 11"" vs 6'",Knowbility,"5' 11"" vs 6'",21,19,,,,,Nic Albornoz,Charlie Freeman,Matthew Rodriguez,Noah Lerner-Morelle
Pool Play,BRACKET 1130 Open 4.5+,Group C,4,Single game,Plassmann 511,NAMOOR,NAMOOR,21,23,,,,,Spencer James,Michael Vilardo,Noah Hickey,Michael Bagdasarian
Pool Play,BRACKET 1130 Open 4.5+,Group A,5,Single game,Sah ECCITEDD,Fresh Cuts,Sah ECCITEDD,21,10,,,,,Thomas Hoffman,Sunny Gu,Jon LeFrois,Ethan Westfall
Pool Play,BRACKET 1130 Open 4.5+,Group A,5,Single game,G's Gulabs,Lab Rats,G's Gulabs,21,14,,,,,Aidan Schaffer,Maxwell Riseman,Tj Brawdy,Eddie Rakowski
Pool Play,BRACKET 1130 Open 4.5+,Group A,5,Single game,Unnecessarily Cheeky,Shanghai Sharks,Unnecessarily Cheeky,21,12,,,,,Brandon Spector,blake rock,Louis Battista,Andrew Nee
Pool Play,BRACKET 1130 Open 4.5+,Group B,5,Single game,Happy Heffalumps,Girth Control,Girth Control,24,25,,,,,Michael Catuccio,Matt Catuccio,Dustin Grant,Riley Nassour
Pool Play,BRACKET 1130 Open 4.5+,Group B,5,Single game,NYC Reps,Celtics Riders,NYC Reps,21,13,,,,,Alex Luc,Ricky Santiago,Brendan Kasuba,Joshua Aguilar
