Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Open Premier/Bronze+,Pool A,1,Single game,Donkey Boys,Dream Girls Morning Shift,Donkey Boys,21,12,,,,,Anthony St-Martin,Dan Abrams,Drew Ryder,Nic Albornoz
Pool Play,Open Premier/Bronze+,Pool A,1,Single game,Do We Rotate?,W.D.F.A.,Do We Rotate?,21,12,,,,,Noah Lerner-Morelle,Matthew Rodriguez,Eoin O'Gara,blake rock
Pool Play,Open Premier/Bronze+,Pool B,1,Single game,Profit Boost,Mountain Lion,Profit Boost,21,5,,,,,Justin Shaytar,Kieran Rose,Sreesai Katiki,Jacob Lamontagne
Pool Play,Open Premier/Bronze+,Pool B,1,Single game,Happy Heffalumps,Almond of the walnut,Happy Heffalumps,21,17,,,,,Michael Catuccio,Matt Catuccio,Matthew Tiongko,Samuel Panek
Pool Play,Open Premier/Bronze+,Pool C,1,Single game,Big Blind,DoubleThreat,Big Blind,21,14,,,,,Tyler Fernandez,Henry Pilliod,Siddhant Desai,Dylan Rehman
Pool Play,Open Premier/Bronze+,Pool C,1,Single game,Coast to Coast2,Serving Cut,Coast to Coast2,25,23,,,,,Jai Parera,Jerry Hao,John Putney,Prady Vijayakumar
Pool Play,Open Premier/Bronze+,Pool D,1,Single game,tich,Mario & Luigi,tich,21,12,,,,,Sunny Gu,Sam Diani,Evan Cox,Leo Cox
Pool Play,Open Premier/Bronze+,Pool D,1,Single game,NeeBiggs,Observational Hazard,NeeBiggs,21,15,,,,,Andrew Nee,Jackson Biggs,Manish Nagireddy,Mike Hamilton
Pool Play,Open Premier/Bronze+,Pool A,2,Single game,Donkey Boys,W.D.F.A.,Donkey Boys,21,15,,,,,Anthony St-Martin,Dan Abrams,Eoin O'Gara,blake rock
Pool Play,Open Premier/Bronze+,Pool A,2,Single game,Tuskies,Dream Girls Morning Shift,Tuskies,21,15,,,,,Matt Wallach,Michael Yung,Drew Ryder,Nic Albornoz
Pool Play,Open Premier/Bronze+,Pool B,2,Single game,Profit Boost,Almond of the walnut,Profit Boost,21,9,,,,,Justin Shaytar,Kieran Rose,Matthew Tiongko,Samuel Panek
Pool Play,Open Premier/Bronze+,Pool B,2,Single game,Let Me Play My Game,Mountain Lion,Let Me Play My Game,21,13,,,,,Javier Vidal,Malia Wanderer,Sreesai Katiki,Jacob Lamontagne
Pool Play,Open Premier/Bronze+,Pool C,2,Single game,Big Blind,Serving Cut,Big Blind,21,19,,,,,Tyler Fernandez,Henry Pilliod,John Putney,Prady Vijayakumar
Pool Play,Open Premier/Bronze+,Pool C,2,Single game,Huge Hitbox,DoubleThreat,Huge Hitbox,21,14,,,,,Matt Spolarich,Josh Hutko,Siddhant Desai,Dylan Rehman
Pool Play,Open Premier/Bronze+,Pool D,2,Single game,tich,Observational Hazard,tich,21,13,,,,,Sunny Gu,Sam Diani,Manish Nagireddy,Mike Hamilton
Pool Play,Open Premier/Bronze+,Pool D,2,Single game,Moisty Mire,Mario & Luigi,Mario & Luigi,15,21,,,,,Dustin Grant,Jonathan Saysamone,Evan Cox,Leo Cox
Pool Play,Open Premier/Bronze+,Pool A,3,Single game,Donkey Boys,Tuskies,Donkey Boys,21,12,,,,,Anthony St-Martin,Dan Abrams,Matt Wallach,Michael Yung
Pool Play,Open Premier/Bronze+,Pool A,3,Single game,Do We Rotate?,Dream Girls Morning Shift,Do We Rotate?,21,11,,,,,Noah Lerner-Morelle,Matthew Rodriguez,Drew Ryder,Nic Albornoz
Pool Play,Open Premier/Bronze+,Pool B,3,Single game,Profit Boost,Let Me Play My Game,Profit Boost,21,9,,,,,Justin Shaytar,Kieran Rose,Javier Vidal,Malia Wanderer
Pool Play,Open Premier/Bronze+,Pool B,3,Single game,Happy Heffalumps,Mountain Lion,Happy Heffalumps,21,16,,,,,Michael Catuccio,Matt Catuccio,Sreesai Katiki,Jacob Lamontagne
