Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Sunday Mixed,Pool A,1,Single game,flick the been,Snowstorm,flick the been,22,20,,,,,Sabine Lucas,Manish Nagireddy,Jacob Lamontagne,Raina Caro
Pool Play,Sunday Mixed,Pool A,1,Single game,divas✨🤭,"my aching tentacles ",divas✨🤭,21,13,,,,,Matthew Tiongko,Samantha Wilkins,Erin Riley,Andres Marquez
Pool Play,Sunday Mixed,Pool B,1,Single game,Mind Over Matter,Dinoland,Mind Over Matter,21,5,,,,,Michael Yung,Emma Curran,Kate Gerrish,Noah Malewicki
Pool Play,Sunday Mixed,Pool B,1,Single game,Abombily,Bissy,Abombily,21,17,,,,,emily stewart,Cole Bombard,Scotty McCabe,Shea Hanna
Pool Play,Sunday Mixed,Pool A,2,Single game,flick the been,"my aching tentacles ",flick the been,21,11,,,,,Sabine Lucas,Manish Nagireddy,Erin Riley,Andres Marquez
Pool Play,Sunday Mixed,Pool A,2,Single game,Look at the Ball,Snowstorm,Look at the Ball,21,18,,,,,Mike Hamilton,Kelsey Higgins,Jacob Lamontagne,Raina Caro
Pool Play,Sunday Mixed,Pool B,2,Single game,Mind Over Matter,Bissy,Mind Over Matter,21,13,,,,,Michael Yung,Emma Curran,Scotty McCabe,Shea Hanna
Pool Play,Sunday Mixed,Pool B,2,Single game,Noah Mercy,Dinoland,Noah Mercy,21,6,,,,,Megan Dwire,Noah Lerner-Morelle,Kate Gerrish,Noah Malewicki
Pool Play,Sunday Mixed,Pool A,3,Single game,flick the been,Look at the Ball,flick the been,21,17,,,,,Sabine Lucas,Manish Nagireddy,Mike Hamilton,Kelsey Higgins
Pool Play,Sunday Mixed,Pool A,3,Single game,divas✨🤭,Snowstorm,divas✨🤭,21,13,,,,,Matthew Tiongko,Samantha Wilkins,Jacob Lamontagne,Raina Caro
Pool Play,Sunday Mixed,Pool B,3,Single game,Mind Over Matter,Noah Mercy,Mind Over Matter,21,19,,,,,Michael Yung,Emma Curran,Megan Dwire,Noah Lerner-Morelle
Pool Play,Sunday Mixed,Pool B,3,Single game,Abombily,Dinoland,Abombily,21,12,,,,,emily stewart,Cole Bombard,Kate Gerrish,Noah Malewicki
Pool Play,Sunday Mixed,Pool A,4,Single game,divas✨🤭,Look at the Ball,divas✨🤭,21,14,,,,,Matthew Tiongko,Samantha Wilkins,Mike Hamilton,Kelsey Higgins
Pool Play,Sunday Mixed,Pool A,4,Single game,"my aching tentacles ",Snowstorm,"my aching tentacles ",21,15,,,,,Erin Riley,Andres Marquez,Jacob Lamontagne,Raina Caro
Pool Play,Sunday Mixed,Pool B,4,Single game,Abombily,Noah Mercy,Noah Mercy,8,21,,,,,emily stewart,Cole Bombard,Megan Dwire,Noah Lerner-Morelle
Pool Play,Sunday Mixed,Pool B,4,Single game,Bissy,Dinoland,Bissy,21,10,,,,,Scotty McCabe,Shea Hanna,Kate Gerrish,Noah Malewicki
Pool Play,Sunday Mixed,Pool A,5,Single game,flick the been,divas✨🤭,flick the been,21,13,,,,,Sabine Lucas,Manish Nagireddy,Matthew Tiongko,Samantha Wilkins
Pool Play,Sunday Mixed,Pool A,5,Single game,Look at the Ball,"my aching tentacles ",Look at the Ball,21,9,,,,,Mike Hamilton,Kelsey Higgins,Erin Riley,Andres Marquez
Pool Play,Sunday Mixed,Pool B,5,Single game,Mind Over Matter,Abombily,Mind Over Matter,21,13,,,,,Michael Yung,Emma Curran,emily stewart,Cole Bombard
Pool Play,Sunday Mixed,Pool B,5,Single game,Noah Mercy,Bissy,Noah Mercy,21,14,,,,,Megan Dwire,Noah Lerner-Morelle,Scotty McCabe,Shea Hanna
Bracket Stage,Sunday Mixed,Bracket A,Round of 16,Single game,Bissy,Snowstorm,Bissy,21,17,,,,,Scotty McCabe,Shea Hanna,Jacob Lamontagne,Raina Caro
Bracket Stage,Sunday Mixed,Bracket A,Round of 16,Single game,"my aching tentacles ",Dinoland,"my aching tentacles ",21,11,,,,,Erin Riley,Andres Marquez,Kate Gerrish,Noah Malewicki
Bracket Stage,Sunday Mixed,Bracket A,Quarter-final,Best of 3,Mind Over Matter,"my aching tentacles ",Mind Over Matter,21,14,21,17,,,Michael Yung,Emma Curran,Erin Riley,Andres Marquez
