Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,4.0 Contender+,Group A,1,Single game,We're In Debt,Seven-Duece Offsuit,We're In Debt,21,13,,,,,Tyler Fernandez,Micah Allin,Iason Hayes,Nathan Garcia
Group Stage,4.0 Contender+,Group A,1,Single game,JP/Rohil,"One, Two, Brick","One, Two, Brick",18,21,,,,,Rohil Senapati,JP Chincuanco,jacob gansle,Felipe Martinez
Group Stage,4.0 Contender+,Group B,1,Single game,The WySpiker and the Wannabe,Net-flicks and Chill,The WySpiker and the Wannabe,21,15,,,,,Brandon Arledge,Luke Mowry,parker hall,Aidan Riley
Group Stage,4.0 Contender+,Group B,1,Single game,New Rules?,Balls in Play,New Rules?,21,13,,,,,Noah Beinart,Andrew Christmas,Evan Deragon,David Z
Group Stage,4.0 Contender+,Group C,1,Single game,Carnage,Team Explosion,Carnage,21,12,,,,,Rahul Murthy,Luke Marshall,Cormac Alonzo,Francesco Mauro
Group Stage,4.0 Contender+,Group C,1,Single game,Johnny Bravo,blank,Johnny Bravo,22,20,,,,,Luis Orozco,Garrett Ashton,Lucas Bustos,JJ Vela
Group Stage,4.0 Contender+,Group A,2,Single game,We're In Debt,"One, Two, Brick",We're In Debt,21,5,,,,,Tyler Fernandez,Micah Allin,jacob gansle,Felipe Martinez
Group Stage,4.0 Contender+,Group A,2,Single game,JP/Rohil,Seven-Duece Offsuit,JP/Rohil,21,15,,,,,Rohil Senapati,JP Chincuanco,Iason Hayes,Nathan Garcia
Group Stage,4.0 Contender+,Group B,2,Single game,The WySpiker and the Wannabe,Balls in Play,The WySpiker and the Wannabe,21,15,,,,,Brandon Arledge,Luke Mowry,Evan Deragon,David Z
Group Stage,4.0 Contender+,Group B,2,Single game,Banged Up,Net-flicks and Chill,Net-flicks and Chill,18,21,,,,,James Ledbetter IV,Kelom Siller,parker hall,Aidan Riley
Group Stage,4.0 Contender+,Group C,2,Single game,Carnage,blank,Carnage,21,4,,,,,Rahul Murthy,Luke Marshall,Lucas Bustos,JJ Vela
