Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,4.0 Contender+,Group A,1,Single game,Dominant Hand Frauds,Half-Way Crooks,Dominant Hand Frauds,21,13,,,,,Tyler Fernandez,Luke Mowry,Jared Almon,Aidan Riley
Group Stage,4.0 Contender+,Group A,1,Single game,Pocket Aces,doodlebots,Pocket Aces,21,18,,,,,jacob gansle,Nathan Garcia,Katherine Burnett,Garrett Ashton
Group Stage,4.0 Contender+,Group B,1,Single game,Whatever idrc,67,Whatever idrc,21,11,,,,,Ian Austin,Micah Allin,Lucas Bustos,Kelom Siller
Group Stage,4.0 Contender+,Group B,1,Single game,"¿Qué pasó, chico?",Jawhimmy,"¿Qué pasó, chico?",21,9,,,,,James Ledbetter IV,Felipe Martinez,Jake Rasmussen,parker hall
Group Stage,4.0 Contender+,Group B,1,Single game,JP/Rohil,Balls in Play,JP/Rohil,21,10,,,,,JP Chincuanco,Rohil Senapati,Evan Deragon,David Z
Group Stage,4.0 Contender+,Group A,2,Single game,Dominant Hand Frauds,doodlebots,Dominant Hand Frauds,21,18,,,,,Tyler Fernandez,Luke Mowry,Katherine Burnett,Garrett Ashton
Group Stage,4.0 Contender+,Group A,2,Single game,Uncs,Half-Way Crooks,Half-Way Crooks,19,21,,,,,JJ Vela,Cormac Alonzo,Jared Almon,Aidan Riley
Group Stage,4.0 Contender+,Group B,2,Single game,Whatever idrc,Jawhimmy,Whatever idrc,21,14,,,,,Ian Austin,Micah Allin,Jake Rasmussen,parker hall
Group Stage,4.0 Contender+,Group B,2,Single game,"¿Qué pasó, chico?",JP/Rohil,JP/Rohil,12,21,,,,,James Ledbetter IV,Felipe Martinez,JP Chincuanco,Rohil Senapati
Group Stage,4.0 Contender+,Group B,2,Single game,Balls in Play,67,Balls in Play,21,17,,,,,Evan Deragon,David Z,Lucas Bustos,Kelom Siller
Group Stage,4.0 Contender+,Group A,3,Single game,Dominant Hand Frauds,Uncs,Dominant Hand Frauds,21,13,,,,,Tyler Fernandez,Luke Mowry,JJ Vela,Cormac Alonzo
Group Stage,4.0 Contender+,Group A,3,Single game,Pocket Aces,Half-Way Crooks,Half-Way Crooks,15,21,,,,,jacob gansle,Nathan Garcia,Jared Almon,Aidan Riley
Group Stage,4.0 Contender+,Group B,3,Single game,Whatever idrc,Balls in Play,Whatever idrc,21,10,,,,,Ian Austin,Micah Allin,Evan Deragon,David Z
Group Stage,4.0 Contender+,Group B,3,Single game,"¿Qué pasó, chico?",67,"¿Qué pasó, chico?",21,17,,,,,James Ledbetter IV,Felipe Martinez,Lucas Bustos,Kelom Siller
Group Stage,4.0 Contender+,Group B,3,Single game,JP/Rohil,Jawhimmy,JP/Rohil,21,8,,,,,JP Chincuanco,Rohil Senapati,Jake Rasmussen,parker hall
Group Stage,4.0 Contender+,Group A,4,Single game,Pocket Aces,Uncs,Pocket Aces,26,24,,,,,jacob gansle,Nathan Garcia,JJ Vela,Cormac Alonzo
Group Stage,4.0 Contender+,Group A,4,Single game,doodlebots,Half-Way Crooks,Half-Way Crooks,9,21,,,,,Katherine Burnett,Garrett Ashton,Jared Almon,Aidan Riley
Group Stage,4.0 Contender+,Group B,4,Single game,Whatever idrc,JP/Rohil,JP/Rohil,17,21,,,,,Ian Austin,Micah Allin,JP Chincuanco,Rohil Senapati
Group Stage,4.0 Contender+,Group B,4,Single game,"¿Qué pasó, chico?",Balls in Play,"¿Qué pasó, chico?",21,16,,,,,James Ledbetter IV,Felipe Martinez,Evan Deragon,David Z
Group Stage,4.0 Contender+,Group B,4,Single game,Jawhimmy,67,67,11,21,,,,,Jake Rasmussen,parker hall,Lucas Bustos,Kelom Siller
Group Stage,4.0 Contender+,Group A,5,Single game,Dominant Hand Frauds,Pocket Aces,Dominant Hand Frauds,21,18,,,,,Tyler Fernandez,Luke Mowry,jacob gansle,Nathan Garcia
Group Stage,4.0 Contender+,Group A,5,Single game,Uncs,doodlebots,Uncs,21,19,,,,,JJ Vela,Cormac Alonzo,Katherine Burnett,Garrett Ashton
Group Stage,4.0 Contender+,Group B,5,Single game,Whatever idrc,"¿Qué pasó, chico?",Whatever idrc,23,21,,,,,Ian Austin,Micah Allin,James Ledbetter IV,Felipe Martinez
Group Stage,4.0 Contender+,Group B,5,Single game,JP/Rohil,67,JP/Rohil,21,14,,,,,JP Chincuanco,Rohil Senapati,Lucas Bustos,Kelom Siller
Group Stage,4.0 Contender+,Group B,5,Single game,Balls in Play,Jawhimmy,Balls in Play,21,18,,,,,Evan Deragon,David Z,Jake Rasmussen,parker hall
Bracket Stage,4.0 Contender+,Bracket A,Round of 16,Best of 3,Pocket Aces,Jawhimmy,Pocket Aces,21,15,22,20,,,jacob gansle,Nathan Garcia,Jake Rasmussen,parker hall
