Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Men's Elite / Élite (masculin),Group A,1,Single game,Let's Go!!!,Swinging Sloths,Let's Go!!!,21,14,,,,,Thomas Déry,Vincent Bastrash,,Logan Snair,Shane Soto,
Group Stage,Men's Elite / Élite (masculin),Group A,1,Single game,Wasabi,CRO rimmer season,Wasabi,21,13,,,,,Marc Etienne McLaughlin,Vincent Mathieu,,Tyler Babin,Nicholas Puopolo,
Group Stage,Men's Elite / Élite (masculin),Group A,1,Single game,Sub-Zero,Wesburn,Wesburn,18,21,,,,,Olivier Aglot,Gabriel Monfette,,Eddy Leung,Ivan Zeng,
Group Stage,Men's Elite / Élite (masculin),Group A,1,Single game,miniclip.com,Les Cowboys,miniclip.com,21,16,,,,,Julien Paquette,Élie Pilon,,Félix Arbour-Loyer,Guillaume Arbour-Loyer,
Group Stage,Men's Elite / Élite (masculin),Group B,1,Single game,The Prince,CRO K6,The Prince,21,14,,,,,Maxime Prince,Samuel Prince,,Adrian Garcea,Eric Reinke,Shakil Nobes
Group Stage,Men's Elite / Élite (masculin),Group B,1,Single game,Simply's Back,PB & J,Simply's Back,21,12,,,,,Guillaume Jomphe,Olivier Laurin,,Peter Lam,Bryan Fonseca,
Group Stage,Men's Elite / Élite (masculin),Group B,1,Single game,Swamp Donkeys,Average Joe’s,Swamp Donkeys,21,11,,,,,Etienne Cote,Emerson Dean,,Ben Pernfuss,Chris Brown,
Group Stage,Men's Elite / Élite (masculin),Group B,1,Single game,Mario & Luigi,Happy Endings,Happy Endings,18,21,,,,,Vincent Mailloux,Jean-Philippe Miller-Dussault,,Alexandre Lamarre,Karl Pominville,
Group Stage,Men's Elite / Élite (masculin),Group A,2,Single game,Let's Go!!!,CRO rimmer season,Let's Go!!!,21,15,,,,,Thomas Déry,Vincent Bastrash,,Tyler Babin,Nicholas Puopolo,
Group Stage,Men's Elite / Élite (masculin),Group A,2,Single game,Wasabi,Les Cowboys,Wasabi,21,15,,,,,Marc Etienne McLaughlin,Vincent Mathieu,,Félix Arbour-Loyer,Guillaume Arbour-Loyer,
Group Stage,Men's Elite / Élite (masculin),Group A,2,Single game,Sub-Zero,miniclip.com,Sub-Zero,21,16,,,,,Olivier Aglot,Gabriel Monfette,,Julien Paquette,Élie Pilon,
