Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Men's Elite,Group A,1,Single game,Hold my beer,Pigeons,Hold my beer,21,13,,,,,Vincent Mathieu,Guillaume Bilodeau,Nicolas Leroux,Xavier Lambert
Group Stage,Men's Elite,Group A,1,Single game,ARC Road Runner,🌲 BHAD Boys,ARC Road Runner,21,17,,,,,Keaton Kirchner,Spencer Longfellow,Nethaniel Gabriel,Joey Renaud
Group Stage,Men's Elite,Group A,1,Single game,Guillemette / Paradis,Chenier/Hassan,Guillemette / Paradis,21,19,,,,,Lou Paradis,Simon Guillemette,William Chenier,Adam Hassan
Group Stage,Men's Elite,Group B,1,Single game,The Prince,Short and Sweet,The Prince,21,11,,,,,Maxime Prince,Samuel Prince,Pierre-Luc Robitaille,Olivier Bernard
Group Stage,Men's Elite,Group B,1,Single game,CRO rimmer season,Stinky Goofies,CRO rimmer season,21,16,,,,,Tyler Babin,Nicholas Puopolo,Chris Loubert,Guillaume Boilard
Group Stage,Men's Elite,Group B,1,Single game,spot on,Falcon Punch,spot on,21,9,,,,,Nick Wideman,Will Ries,Luc Vincent Guay,William Garant
Group Stage,Men's Elite,Group C,1,Single game,Copy & Paste,Collard/Soetemans,Copy & Paste,21,5,,,,,Eddy Leung,Chris Brown,Andrew Collard,Derek Soetemans
Group Stage,Men's Elite,Group C,1,Single game,Gains,Quick Hands,Gains,21,14,,,,,Anthony St-Martin,Jé Gagnon,Jordan Meredith,Joël Laliberté
Group Stage,Men's Elite,Group C,1,Single game,NEM Meticulous,Wavy,NEM Meticulous,21,17,,,,,Brock Leibold,Ben Pernfuss,Jared Ang,brandon farronato
Group Stage,Men's Elite,Group D,1,Single game,Wild,Impeccable💎,Wild,21,13,,,,,Emerson Dean,Olivier Laurin,Charles Desgens,Pierre-André Gaumond
