Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Premier 5.0+,Group A,1,Single game,Kingdom Come,✨Supa Cute✨ Roundnet,Kingdom Come,21,11,,,,,Matthew Cole,Grant Klapwijk,Thomas Pence,Isaac Holbrook
Group Stage,Premier 5.0+,Group A,1,Single game,Bulbasaur,How do you spell Connor?,How do you spell Connor?,12,21,,,,,Samuel Corey,Liam Sherron,Jason Small,Conner Bradshaw
Group Stage,Premier 5.0+,Group B,1,Single game,Broken pieces,Elevate and Celebrate,Broken pieces,21,11,,,,,Thomas Hamilton,Vincent Mathieu,Isaiah Sanborn,Seth Holbrook
Group Stage,Premier 5.0+,Group B,1,Single game,Blitzkreig,surprise me,Blitzkreig,21,15,,,,,Chase Meyer,David Gonzales,Michael Capobianco,tucker judkins
Group Stage,Premier 5.0+,Group C,1,Single game,Insystem,Leftovers,Insystem,21,13,,,,,Etienne Cote,Blake Bosak,Joey Carmichael,Sam Clarke
Group Stage,Premier 5.0+,Group C,1,Single game,Overnight Ortlip,Zoners Only,Zoners Only,24,25,,,,,Brandon Brown,Matt Ortlip,Michael Du,Cory Chilton
Group Stage,Premier 5.0+,Group D,1,Single game,Numb,Quick Tilt,Numb,21,8,,,,,Kieran Rose,Paq Clifford,John Putney,Nic Albornoz
Group Stage,Premier 5.0+,Group D,1,Single game,Shiver MP,Double G,Shiver MP,24,22,,,,,Jacob Payer,Jason Rhoads,Garrett Ashton,Grayson M  Wills
Group Stage,Premier 5.0+,Group E,1,Single game,J.A.R.V.I.S.,TikTok Rizz Party,J.A.R.V.I.S.,21,12,,,,,Josh Fragiacomo,Connor Nelson,Nathan Robertt,Franz Castillo
Group Stage,Premier 5.0+,Group E,1,Single game,Mistakes Were Made,Riverside Rimmers,Mistakes Were Made,21,11,,,,,Josh Hutko,Kyle Fowler,Clifton Miller,Alec Galbo
Group Stage,Premier 5.0+,Group F,1,Single game,Shaytar/Dean,Chicken Wing,Shaytar/Dean,21,14,,,,,Justin Shaytar,Emerson Dean,Kevin Chen,Justin Wang
Group Stage,Premier 5.0+,Group F,1,Single game,FTR Frontier,No Clue,FTR Frontier,21,17,,,,,Jake Woolley,Kyan Kornfeld,Jake Martha,Nolan Wynkoop
Group Stage,Premier 5.0+,Group G,1,Single game,TRP Sex Appeal,FTR Gambit,TRP Sex Appeal,21,16,,,,,kevin um,Grant Laughlin,Drew Cummins,James Lamkin
Group Stage,Premier 5.0+,Group G,1,Single game,FTR Dialed,Amnesia,FTR Dialed,22,20,,,,,Luke Pennington,Josh Cain,Garrett Carver,Tyler Stokes
Group Stage,Premier 5.0+,Group H,1,Single game,Your Bad,max/rafi,Your Bad,21,12,,,,,Andrew Kosche,Trevor Barbosa,Rafi Moldovsky,Max Huang
Group Stage,Premier 5.0+,Group H,1,Single game,Wideman/Laurin,Yarp,Wideman/Laurin,21,14,,,,,Olivier Laurin,Nick Wideman,Benjamin A Banuelos,Archie Powell
Group Stage,Premier 5.0+,Group A,2,Single game,Kingdom Come,How do you spell Connor?,Kingdom Come,21,12,,,,,Matthew Cole,Grant Klapwijk,Jason Small,Conner Bradshaw
Group Stage,Premier 5.0+,Group A,2,Single game,Bulbasaur,✨Supa Cute✨ Roundnet,Bulbasaur,21,19,,,,,Samuel Corey,Liam Sherron,Thomas Pence,Isaac Holbrook
Group Stage,Premier 5.0+,Group B,2,Single game,Broken pieces,surprise me,Broken pieces,21,7,,,,,Thomas Hamilton,Vincent Mathieu,Michael Capobianco,tucker judkins
Group Stage,Premier 5.0+,Group B,2,Single game,Blitzkreig,Elevate and Celebrate,Blitzkreig,21,15,,,,,Chase Meyer,David Gonzales,Isaiah Sanborn,Seth Holbrook
Group Stage,Premier 5.0+,Group C,2,Single game,Insystem,Zoners Only,Insystem,21,11,,,,,Etienne Cote,Blake Bosak,Michael Du,Cory Chilton
Group Stage,Premier 5.0+,Group C,2,Single game,Overnight Ortlip,Leftovers,Overnight Ortlip,21,15,,,,,Brandon Brown,Matt Ortlip,Joey Carmichael,Sam Clarke
Group Stage,Premier 5.0+,Group D,2,Single game,Numb,Double G,Numb,21,10,,,,,Kieran Rose,Paq Clifford,Garrett Ashton,Grayson M  Wills
Group Stage,Premier 5.0+,Group D,2,Single game,Shiver MP,Quick Tilt,Shiver MP,21,18,,,,,Jacob Payer,Jason Rhoads,John Putney,Nic Albornoz
Group Stage,Premier 5.0+,Group E,2,Single game,J.A.R.V.I.S.,Riverside Rimmers,J.A.R.V.I.S.,21,8,,,,,Josh Fragiacomo,Connor Nelson,Clifton Miller,Alec Galbo
