Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Contender (Open 4.5),BLAZE (Pool A),1,Single game,JQ^2,[HRN] Shenanigans,JQ^2,21,9,,,,,Josef Quispe,Jhanaj Quispe,Kelvin Xiao,Cesar Escalante
Pool Play,Contender (Open 4.5),BLAZE (Pool A),1,Single game,Undeveloped Frontal Lobe,Delete Control Alt,Undeveloped Frontal Lobe,21,9,,,,,Jaxon Gonzalez,Ryan Montgomery,Hudson Sullivan,Audrey Summers
Pool Play,Contender (Open 4.5),FUEGO (Pool B),1,Single game,Control Alt Delete,Sporting Tampa Bay,Control Alt Delete,21,3,,,,,Ethan Sullivan,Gavin Sullivan,Peyton Underwood,Carlos Figueroa
Pool Play,Contender (Open 4.5),FUEGO (Pool B),1,Single game,Disrespected,2nd time’s the charm,Disrespected,21,14,,,,,Ryan Hart,Korbin Mossman,Emma Angeletti,Joanna Gould
Pool Play,Contender (Open 4.5),INFERNO (Pool C),1,Single game,DuckyPompus,Nashman,DuckyPompus,21,5,,,,,Joshua Brands,Liam Werner,Samuel Nash,Alex Freeman
Pool Play,Contender (Open 4.5),INFERNO (Pool C),1,Single game,Boat Day,[HRN] Alien Power,Boat Day,21,0,,,,,Zach Bender,Meagan Bown,Logan plummer,Karla Urbina
Pool Play,Contender (Open 4.5),INFERNO (Pool C),1,Single game,Swan Flop,Mello Yello,Mello Yello,18,21,,,,,Brady Myles,Bronsten Bratley,Brandon Depara,John Gomez
Pool Play,Contender (Open 4.5),SCORCH (Pool D),1,Single game,Seatbelts,Gregos,Seatbelts,21,12,,,,,Zachery Geist,Colin Harrington,Shawn Smith,Alex Falcone
Pool Play,Contender (Open 4.5),SCORCH (Pool D),1,Single game,7 + 7,2 Girls 1 Cut,7 + 7,21,8,,,,,Alejandro Sosa,Joshua Mollineda,Alexis Laguna,Nicole Arias
Pool Play,Contender (Open 4.5),SCORCH (Pool D),1,Single game,Idle Death Gamble,Generational,Generational,10,21,,,,,Blake Thomas,Joe Hoang,Brent Summers,Sam Weber
