Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Pool Play,Expert,Group A,1,Single game,Too Much Jamz,Luh Power,Too Much Jamz,21,6,,,,,Sean Caufield,Andrew Yancey,,Carson Kurdys,Hudson Powers,
Pool Play,Expert,Group A,1,Single game,boner alert,Memory Lanes,boner alert,21,17,,,,,Jackson Smith,Isaac Mixon,,Cole Solomon,Joseph Motto,
Pool Play,Expert,Group B,1,Single game,Hindsight,PB&J,Hindsight,21,8,,,,,Peyton Stack,Noah Luskus,,Joseph Gibson,Paul Berrey,
Pool Play,Expert,Group B,1,Single game,And-One Mixtape,Green Turkey and Ham(ilton),And-One Mixtape,21,16,,,,,Owen Bass,Braedan Thomas,,McKenna McKean,Savannah Obert,
Pool Play,Expert,Group B,1,Single game,Pull Day,lefty flip,lefty flip,18,21,,,,,Lane Morris,Justin Goldman,,Austin Smith,Will Blass,
Pool Play,Expert,Group C,1,Single game,Cocoa Butter Kisses,THE OLD GUYS,Cocoa Butter Kisses,21,5,,,,,Grant Marshall,Brendan Ferreira,,Jake Scharff,Ben Jones,
Pool Play,Expert,Group C,1,Single game,Kloehn/Savage,Barbershop,Kloehn/Savage,21,15,,,,,Connar Kloehn,Ben Savage,,Jacob Stewart,Wyatt Koth,
Pool Play,Expert,Group C,1,Single game,Zen,Set Fire 🔥,Zen,21,17,,,,,Ben Landes,Zeke Beckford,,Eli Canon,Garret Chaffins,
Pool Play,Expert,Group D,1,Single game,Golden Millers,Premier = Retirement,Golden Millers,21,8,,,,,Harrison Baisden,Nate von der Sitt,,Matthew Waisner,Adam Prudhomme,
Pool Play,Expert,Group D,1,Single game,Walmart Creamy,"Blind Date ",Walmart Creamy,21,20,,,,,Jeremy Lee,Colton Olvey,,Levi Campbell,Jake Kelley,
