Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,4.5+ Women's,Group A (Pro) Nets 17-18,1,Single game,Dolan/Phan,Too old for this,Too old for this,24,25,,,,,Katheleen Phan,Rachel Dolan,Karah Hui,Holly Yu
Pool Play,4.5+ Women's,Group A (Pro) Nets 17-18,1,Single game,Carry Set,just want to be loved,just want to be loved,14,21,,,,,Malia Wanderer,Abigale Lamontagne,Kalin Morgan,Joanna Gould
Pool Play,4.5+ Women's,Group B - Nets 19-20,1,Single game,Meowdy Purrtners,Chica Chica BOOM!,Meowdy Purrtners,21,6,,,,,Tess Dolan,Tiff Ding,Chau Nguyen,Erica Weiler
Pool Play,4.5+ Women's,Group B - Nets 19-20,1,Single game,Collab of the century,Big L,Collab of the century,21,16,,,,,Raylyn Tarquinio,Hannah Radell,Lia Maag,Liliko Uchida
Pool Play,4.5+ Women's,Group C - Nets 21-22,1,Single game,Stef/Belvedere,DIGGS,Stef/Belvedere,21,6,,,,,Stef Ding,Bel Belvedere,Megan Dwire,Kelsey Higgins
Pool Play,4.5+ Women's,Group C - Nets 21-22,1,Single game,C-list spikers,TBD,TBD,12,21,,,,,Cailley Biagini,Christine Chang,Hui Ying Stradiot,Erin Riley
Pool Play,4.5+ Women's,Group A (Pro) Nets 17-18,2,Single game,Dolan/Phan,just want to be loved,just want to be loved,10,21,,,,,Katheleen Phan,Rachel Dolan,Kalin Morgan,Joanna Gould
Pool Play,4.5+ Women's,Group A (Pro) Nets 17-18,2,Single game,Carry Set,Too old for this,Carry Set,21,13,,,,,Malia Wanderer,Abigale Lamontagne,Karah Hui,Holly Yu
Pool Play,4.5+ Women's,Group B - Nets 19-20,2,Single game,Meowdy Purrtners,Big L,Meowdy Purrtners,21,12,,,,,Tess Dolan,Tiff Ding,Lia Maag,Liliko Uchida
Pool Play,4.5+ Women's,Group B - Nets 19-20,2,Single game,Collab of the century,Chica Chica BOOM!,Collab of the century,21,7,,,,,Raylyn Tarquinio,Hannah Radell,Chau Nguyen,Erica Weiler
Pool Play,4.5+ Women's,Group C - Nets 21-22,2,Single game,Stef/Belvedere,TBD,Stef/Belvedere,21,12,,,,,Stef Ding,Bel Belvedere,Hui Ying Stradiot,Erin Riley
Pool Play,4.5+ Women's,Group C - Nets 21-22,2,Single game,C-list spikers,DIGGS,C-list spikers,21,16,,,,,Cailley Biagini,Christine Chang,Megan Dwire,Kelsey Higgins
Pool Play,4.5+ Women's,Group A (Pro) Nets 17-18,3,Single game,Dolan/Phan,Carry Set,Carry Set,18,21,,,,,Katheleen Phan,Rachel Dolan,Malia Wanderer,Abigale Lamontagne
Pool Play,4.5+ Women's,Group A (Pro) Nets 17-18,3,Single game,just want to be loved,Too old for this,just want to be loved,21,16,,,,,Kalin Morgan,Joanna Gould,Karah Hui,Holly Yu
Pool Play,4.5+ Women's,Group B - Nets 19-20,3,Single game,Meowdy Purrtners,Collab of the century,Meowdy Purrtners,21,13,,,,,Tess Dolan,Tiff Ding,Raylyn Tarquinio,Hannah Radell
Pool Play,4.5+ Women's,Group B - Nets 19-20,3,Single game,Big L,Chica Chica BOOM!,Big L,21,10,,,,,Lia Maag,Liliko Uchida,Chau Nguyen,Erica Weiler
Pool Play,4.5+ Women's,Group C - Nets 21-22,3,Single game,Stef/Belvedere,C-list spikers,Stef/Belvedere,21,14,,,,,Stef Ding,Bel Belvedere,Cailley Biagini,Christine Chang
Pool Play,4.5+ Women's,Group C - Nets 21-22,3,Single game,TBD,DIGGS,TBD,21,6,,,,,Hui Ying Stradiot,Erin Riley,Megan Dwire,Kelsey Higgins
Bracket Stage,4.5+ Women's,Bracket A,Round of 16,Best of 3,Meowdy Purrtners,DIGGS,Meowdy Purrtners,21,7,21,7,,,Tess Dolan,Tiff Ding,Megan Dwire,Kelsey Higgins
Bracket Stage,4.5+ Women's,Bracket A,Round of 16,Best of 3,Stef/Belvedere,Chica Chica BOOM!,Stef/Belvedere,21,9,21,14,,,Stef Ding,Bel Belvedere,Chau Nguyen,Erica Weiler
Bracket Stage,4.5+ Women's,Bracket A,Round of 16,Best of 3,Collab of the century,C-list spikers,Collab of the century,19,21,21,12,21,15,Raylyn Tarquinio,Hannah Radell,Cailley Biagini,Christine Chang
Bracket Stage,4.5+ Women's,Bracket A,Round of 16,Best of 3,TBD,Big L,TBD,21,16,11,21,22,20,Hui Ying Stradiot,Erin Riley,Lia Maag,Liliko Uchida
Bracket Stage,4.5+ Women's,Bracket A,Quarter-final,Best of 3,just want to be loved,TBD,just want to be loved,21,11,21,14,,,Kalin Morgan,Joanna Gould,Hui Ying Stradiot,Erin Riley
Bracket Stage,4.5+ Women's,Bracket A,Quarter-final,Best of 3,Carry Set,Collab of the century,Carry Set,21,9,21,14,,,Malia Wanderer,Abigale Lamontagne,Raylyn Tarquinio,Hannah Radell
Bracket Stage,4.5+ Women's,Bracket A,Quarter-final,Best of 3,Too old for this,Stef/Belvedere,Too old for this,21,14,21,17,,,Karah Hui,Holly Yu,Stef Ding,Bel Belvedere
Bracket Stage,4.5+ Women's,Bracket A,Quarter-final,Best of 3,Dolan/Phan,Meowdy Purrtners,Meowdy Purrtners,17,21,10,21,,,Katheleen Phan,Rachel Dolan,Tess Dolan,Tiff Ding
Bracket Stage,4.5+ Women's,Bracket A,Semi-final,Best of 3,just want to be loved,Meowdy Purrtners,just want to be loved,21,18,27,25,,,Kalin Morgan,Joanna Gould,Tess Dolan,Tiff Ding
Bracket Stage,4.5+ Women's,Bracket A,Semi-final,Best of 3,Carry Set,Too old for this,Carry Set,21,18,21,19,,,Malia Wanderer,Abigale Lamontagne,Karah Hui,Holly Yu
Bracket Stage,4.5+ Women's,Bracket A,P5: Semi-final,Single game,Dolan/Phan,TBD,TBD,-1,0,,,,,Katheleen Phan,Rachel Dolan,Hui Ying Stradiot,Erin Riley
Bracket Stage,4.5+ Women's,Bracket A,P5: Semi-final,Single game,Stef/Belvedere,Collab of the century,Collab of the century,-1,0,,,,,Stef Ding,Bel Belvedere,Raylyn Tarquinio,Hannah Radell
Bracket Stage,4.5+ Women's,Bracket A,P9: Semi-final,Single game,Big L,DIGGS,Big L,21,12,,,,,Lia Maag,Liliko Uchida,Megan Dwire,Kelsey Higgins
Bracket Stage,4.5+ Women's,Bracket A,P9: Semi-final,Single game,C-list spikers,Chica Chica BOOM!,Chica Chica BOOM!,19,21,,,,,Cailley Biagini,Christine Chang,Chau Nguyen,Erica Weiler
Bracket Stage,4.5+ Women's,Bracket A,Final,Best of 3,just want to be loved,Carry Set,just want to be loved,21,19,21,10,,,Kalin Morgan,Joanna Gould,Malia Wanderer,Abigale Lamontagne
Bracket Stage,4.5+ Women's,Bracket A,P3: Final,Best of 3,Too old for this,Meowdy Purrtners,Too old for this,21,13,25,23,,,Karah Hui,Holly Yu,Tess Dolan,Tiff Ding
Bracket Stage,4.5+ Women's,Bracket A,P5: Final,Single game,TBD,Collab of the century,Collab of the century,-1,0,,,,,Hui Ying Stradiot,Erin Riley,Raylyn Tarquinio,Hannah Radell
Bracket Stage,4.5+ Women's,Bracket A,P9: Final,Single game,Big L,Chica Chica BOOM!,Big L,21,18,,,,,Lia Maag,Liliko Uchida,Chau Nguyen,Erica Weiler
Bracket Stage,4.5+ Women's,Bracket A,P11: Final,Single game,C-list spikers,DIGGS,C-list spikers,21,14,,,,,Cailley Biagini,Christine Chang,Megan Dwire,Kelsey Higgins
Pool Play,5.0 Open Bronze+,Group A - Nets 13-14,1,Single game,The Jew and the Gentile,LL Come & Go,LL Come & Go,14,21,,,,,Gabe Finocchi,Dan Abrams,Jake Mottershead,Mike Garrett
Pool Play,5.0 Open Bronze+,Group A - Nets 13-14,1,Single game,Drawing Dead,Blind Bandits,Blind Bandits,18,21,,,,,Kieran Rose,Tyler Fernandez,Henry Pilliod,Sunny Gu
Pool Play,5.0 Open Bronze+,Group B - Nets 15-16,1,Single game,Les Chiens,NEM Seazonal,Les Chiens,21,19,,,,,Will Picone,Etienne Cote,Zach Snover,Jacob Summers
Pool Play,5.0 Open Bronze+,Group B - Nets 15-16,1,Single game,Switch Hit👑,Party Fowl,Switch Hit👑,21,16,,,,,Dawson Morgan,Thomas Hamilton,Cole Maddox,Kyle Fowler
Pool Play,5.0 Open Bronze+,Group C - Nets 1-2,1,Single game,Wyrm,Magenta Status,Wyrm,21,16,,,,,Riley Nassour,Alex Newton,Ethan Ferland,Alex Luc
Pool Play,5.0 Open Bronze+,Group C - Nets 1-2,1,Single game,Bang bang lighty boys,pal pals,pal pals,18,21,,,,,Sam Diani,Jackson Biggs,Drew Ryder,John Mankowich
