Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Open 2.0-3.0,Group A,1,Single game,Happy 2 be here,Thing 1 and thing 2,Thing 1 and thing 2,7,21,,,,,Samantha Crawford,Jacob Sim,Alejandro Serna,Daniel Ospina
Pool Play,Open 2.0-3.0,Group A,1,Single game,"Scotchies ",Pasta La vista,"Scotchies ",21,15,,,,,Mason Hansen,katie evans,Luca Benanti,Michael Giordano
Pool Play,Open 2.0-3.0,Group A,2,Single game,Happy 2 be here,Pasta La vista,Pasta La vista,15,21,,,,,Samantha Crawford,Jacob Sim,Luca Benanti,Michael Giordano
Pool Play,Open 2.0-3.0,Group A,2,Single game,"Scotchies ",Thing 1 and thing 2,Thing 1 and thing 2,13,21,,,,,Mason Hansen,katie evans,Alejandro Serna,Daniel Ospina
Pool Play,Open 2.0-3.0,Group A,3,Single game,Happy 2 be here,"Scotchies ","Scotchies ",6,21,,,,,Samantha Crawford,Jacob Sim,Mason Hansen,katie evans
Pool Play,Open 2.0-3.0,Group A,3,Single game,Pasta La vista,Thing 1 and thing 2,Thing 1 and thing 2,9,21,,,,,Luca Benanti,Michael Giordano,Alejandro Serna,Daniel Ospina
Bracket Stage,Open 2.0-3.0,Bracket A,Quarter-final,Best of 3,Pasta La vista,Happy 2 be here,Pasta La vista,21,18,1,0,,,Luca Benanti,Michael Giordano,Samantha Crawford,Jacob Sim
Bracket Stage,Open 2.0-3.0,Bracket A,Semi-final,Best of 3,Thing 1 and thing 2,Pasta La vista,Thing 1 and thing 2,21,13,21,10,,,Alejandro Serna,Daniel Ospina,Luca Benanti,Michael Giordano
Bracket Stage,Open 2.0-3.0,Bracket A,Semi-final,Best of 3,"Scotchies ","Here to Slay ","Here to Slay ",19,21,9,21,,,Mason Hansen,katie evans,Emma Wosik,Anjali Patel
Bracket Stage,Open 2.0-3.0,Bracket A,Final,Best of 3,Thing 1 and thing 2,"Here to Slay ",Thing 1 and thing 2,21,16,21,12,,,Alejandro Serna,Daniel Ospina,Emma Wosik,Anjali Patel
Bracket Stage,Open 2.0-3.0,Bracket A,P3: Final,Best of 3,"Scotchies ",Pasta La vista,Pasta La vista,16,21,21,16,17,21,Mason Hansen,katie evans,Luca Benanti,Michael Giordano
Pool Play,Open 4.0-4.5,Group A,1,Single game,Dooley Ding,Spikeballogists,Dooley Ding,13,5,,,,,Stef Ding,Jake Dooley,Jeremy Wing,Daniel Greco
Pool Play,Open 4.0-4.5,Group A,1,Single game,ｃｕｔｔｌｅｆｉｓｈ 🐙,Freight Trains,ｃｕｔｔｌｅｆｉｓｈ 🐙,13,1,,,,,Richard Lam,Tim Yip,Matthew Delasandro,Josh Sullivan
Pool Play,Open 4.0-4.5,Group B,1,Single game,Goblin Gang,Fearless,Fearless,8,13,,,,,Dante Maldonado,Brian Zatkos,Colin Carr,Murray McAuliffe
Pool Play,Open 4.0-4.5,Group C,1,Single game,evdeenio,"Here to Slay ",evdeenio,13,4,,,,,Evan Leatherbarrow,Alden Nash,Emma Wosik,Anjali Patel
Pool Play,Open 4.0-4.5,Group C,1,Single game,Out of Pocket,Cha Cha Time,Out of Pocket,13,8,,,,,Zachary Sanders,Sam Kautzman,Joshua Chan,Quentin Chiu
Pool Play,Open 4.0-4.5,Group D,1,Single game,Unc and Unccer,AK's Apprentices,Unc and Unccer,13,6,,,,,Nic Albornoz,Spencer Argenna,Noah Smith,Roark Baker
Pool Play,Open 4.0-4.5,Group D,1,Single game,Hungry?,Deanie Babies,Deanie Babies,12,14,,,,,Zach Regas,Logan Pallo,,
Pool Play,Open 4.0-4.5,Group A,2,Single game,Dooley Ding,Freight Trains,Dooley Ding,13,2,,,,,Stef Ding,Jake Dooley,Matthew Delasandro,Josh Sullivan
Pool Play,Open 4.0-4.5,Group B,2,Single game,Serving Cut,SpikeOps,Serving Cut,13,3,,,,,Ally Chou,Abby Norris,Jack Gradzewicz,Joseph Artikuski
