Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,4.0 Open/Contender,Group A,1,Single game,It takes four to foreplay,Circuit Pros,It takes four to foreplay,21,12,,,,,Josiah Murphy,Leonardo Hermosillo,Tate Koziol,Connor Mahony
Pool Play,4.0 Open/Contender,Group A,1,Single game,Weird serves only,Caucasian Connection,Weird serves only,21,17,,,,,Braden Reeve,Andrew Gasaway,Mac Key,Tate Hollaway
Pool Play,4.0 Open/Contender,Group A,1,Single game,Electric J's,Dumb n’ dumber,Dumb n’ dumber,18,21,,,,,Jessica Borgers,Jack Wallace,Sam Aven,Jose Knight
Pool Play,4.0 Open/Contender,Group B,1,Single game,Ace is Low,Wet Bretta,Ace is Low,21,11,,,,,Aimee Bray,Adam Prudhomme,Brett Wetta,James Shackelford
Pool Play,4.0 Open/Contender,Group B,1,Single game,KC KaPow💥💥💥💥,LEGO Movie Double Decker Couch,KC KaPow💥💥💥💥,21,6,,,,,Jamisen Wrinkle,David Aschenbrenner,Aimee Cummings,Camden Thonen
Pool Play,4.0 Open/Contender,Group B,1,Single game,Ship Dits,Tuberculosis Jones,Tuberculosis Jones,14,21,,,,,Jacob Robinson,Connor Lyons,Paul George,Grant Bauman
Pool Play,4.0 Open/Contender,Group A,2,Single game,It takes four to foreplay,Caucasian Connection,It takes four to foreplay,22,20,,,,,Josiah Murphy,Leonardo Hermosillo,Mac Key,Tate Hollaway
Pool Play,4.0 Open/Contender,Group A,2,Single game,Weird serves only,Electric J's,Weird serves only,21,15,,,,,Braden Reeve,Andrew Gasaway,Jessica Borgers,Jack Wallace
Pool Play,4.0 Open/Contender,Group A,2,Single game,Dumb n’ dumber,Circuit Pros,Dumb n’ dumber,21,8,,,,,Sam Aven,Jose Knight,Tate Koziol,Connor Mahony
Pool Play,4.0 Open/Contender,Group B,2,Single game,Ace is Low,LEGO Movie Double Decker Couch,Ace is Low,21,10,,,,,Aimee Bray,Adam Prudhomme,Aimee Cummings,Camden Thonen
Pool Play,4.0 Open/Contender,Group B,2,Single game,KC KaPow💥💥💥💥,Ship Dits,KC KaPow💥💥💥💥,21,16,,,,,Jamisen Wrinkle,David Aschenbrenner,Jacob Robinson,Connor Lyons
