Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,5.0 Open Bronze+,Group A,1,Single game,Abrams / Cote,Party Fowl,Abrams / Cote,15,9,,,,,Dan Abrams,Etienne Cote,Kyle Fowler,Cole Maddox
Group Stage,5.0 Open Bronze+,Group A,1,Single game,Rogue,J.A.R.V.I.S.,Rogue,15,7,,,,,Thomas Hamilton,Ryan Marino,Josh Fragiacomo,Connor Nelson
Group Stage,5.0 Open Bronze+,Group A,1,Single game,Somewhere between the mountain & the Ant,"East River Monsoon ","East River Monsoon ",17,19,,,,,Gabe Finocchi,Ryan Gross,Kieran Rose,Henry Pilliod
Group Stage,5.0 Open Bronze+,Group B,1,Single game,Snarl,Buford and Baljeet,Snarl,15,5,,,,,Ben Savage,Dawson Morgan,Gabe Packevicz,Manish Nagireddy
Group Stage,5.0 Open Bronze+,Group B,1,Single game,Man or Muppet,Presidential Industry,Man or Muppet,15,12,,,,,Aleks Essen,Jackson Wood,Hampton Chappell,Austin Niles
Group Stage,5.0 Open Bronze+,Group C,1,Single game,200 Pump,Duo Mobile,200 Pump,15,10,,,,,Andrew Greer,Zach Snover,Sean Caufield,Eli Canon
Group Stage,5.0 Open Bronze+,Group C,1,Single game,Reed-iculously Jacked,Scooby Snacks,Scooby Snacks,5,15,,,,,Reed Drouare,Jack Drouare,Nate von der Sitt,Colin Hobart
Group Stage,5.0 Open Bronze+,Group D,1,Single game,FreeELO,GOATGENE,FreeELO,15,1,,,,,Nick Evanko,Clifford Amadeo LeVeque,Wesley Tunelius,Brian Lin
Group Stage,5.0 Open Bronze+,Group D,1,Single game,bomboclat,Old n’ Broken,bomboclat,15,13,,,,,Ravi Kandula,Joey Reynolds,Bennett Anderson,Jon Moe
Group Stage,5.0 Open Bronze+,Group E,1,Single game,No Pressure,what.the.flick?,No Pressure,15,5,,,,,Alex Newton,Josh Hutko,Taaron Rudzitis,Joren Rudzitis
Group Stage,5.0 Open Bronze+,Group E,1,Single game,Titan Machine Marketing Scheme,I love hot teachers,Titan Machine Marketing Scheme,15,9,,,,,Neal Bergman,Chris Wilkins,Mike Hamilton,Kolton Knight
Group Stage,5.0 Open Bronze+,Group A,2,Single game,Abrams / Cote,J.A.R.V.I.S.,Abrams / Cote,20,18,,,,,Dan Abrams,Etienne Cote,Josh Fragiacomo,Connor Nelson
Group Stage,5.0 Open Bronze+,Group A,2,Single game,Rogue,Somewhere between the mountain & the Ant,Rogue,15,6,,,,,Thomas Hamilton,Ryan Marino,Gabe Finocchi,Ryan Gross
Group Stage,5.0 Open Bronze+,Group A,2,Single game,"East River Monsoon ",Party Fowl,Party Fowl,10,15,,,,,Kieran Rose,Henry Pilliod,Kyle Fowler,Cole Maddox
Group Stage,5.0 Open Bronze+,Group B,2,Single game,Snarl,Presidential Industry,Snarl,15,8,,,,,Ben Savage,Dawson Morgan,Hampton Chappell,Austin Niles
Group Stage,5.0 Open Bronze+,Group B,2,Single game,The Fragrance,Buford and Baljeet,The Fragrance,15,6,,,,,Jacob Narayan,Paq Clifford,Gabe Packevicz,Manish Nagireddy
Group Stage,5.0 Open Bronze+,Group C,2,Single game,200 Pump,Scooby Snacks,200 Pump,15,2,,,,,Andrew Greer,Zach Snover,Nate von der Sitt,Colin Hobart
Group Stage,5.0 Open Bronze+,Group C,2,Single game,LER,Duo Mobile,LER,15,9,,,,,Tyler Stokes,Kyler Cote,Sean Caufield,Eli Canon
Group Stage,5.0 Open Bronze+,Group D,2,Single game,FreeELO,Old n’ Broken,FreeELO,15,9,,,,,Nick Evanko,Clifford Amadeo LeVeque,Bennett Anderson,Jon Moe
Group Stage,5.0 Open Bronze+,Group D,2,Single game,Tranzit,GOATGENE,Tranzit,15,13,,,,,Bradley Clark,Peyton Stack,Wesley Tunelius,Brian Lin
Group Stage,5.0 Open Bronze+,Group E,2,Single game,No Pressure,I love hot teachers,No Pressure,15,13,,,,,Alex Newton,Josh Hutko,Mike Hamilton,Kolton Knight
Group Stage,5.0 Open Bronze+,Group E,2,Single game,Walkie-Talkie,what.the.flick?,Walkie-Talkie,15,13,,,,,Jai Parera,Jake Young,Taaron Rudzitis,Joren Rudzitis
Group Stage,5.0 Open Bronze+,Group A,3,Single game,Abrams / Cote,"East River Monsoon ","East River Monsoon ",13,15,,,,,Dan Abrams,Etienne Cote,Kieran Rose,Henry Pilliod
Group Stage,5.0 Open Bronze+,Group A,3,Single game,Rogue,Party Fowl,Rogue,15,5,,,,,Thomas Hamilton,Ryan Marino,Kyle Fowler,Cole Maddox
Group Stage,5.0 Open Bronze+,Group A,3,Single game,Somewhere between the mountain & the Ant,J.A.R.V.I.S.,J.A.R.V.I.S.,15,17,,,,,Gabe Finocchi,Ryan Gross,Josh Fragiacomo,Connor Nelson
Group Stage,5.0 Open Bronze+,Group B,3,Single game,Snarl,The Fragrance,Snarl,15,11,,,,,Ben Savage,Dawson Morgan,Jacob Narayan,Paq Clifford
Group Stage,5.0 Open Bronze+,Group B,3,Single game,Man or Muppet,Buford and Baljeet,Man or Muppet,15,7,,,,,Aleks Essen,Jackson Wood,Gabe Packevicz,Manish Nagireddy
Group Stage,5.0 Open Bronze+,Group C,3,Single game,200 Pump,LER,200 Pump,15,9,,,,,Andrew Greer,Zach Snover,Tyler Stokes,Kyler Cote
Group Stage,5.0 Open Bronze+,Group C,3,Single game,Reed-iculously Jacked,Duo Mobile,Duo Mobile,10,15,,,,,Reed Drouare,Jack Drouare,Sean Caufield,Eli Canon
Group Stage,5.0 Open Bronze+,Group D,3,Single game,FreeELO,Tranzit,FreeELO,15,8,,,,,Nick Evanko,Clifford Amadeo LeVeque,Bradley Clark,Peyton Stack
Group Stage,5.0 Open Bronze+,Group D,3,Single game,bomboclat,GOATGENE,bomboclat,15,7,,,,,Ravi Kandula,Joey Reynolds,Wesley Tunelius,Brian Lin
Group Stage,5.0 Open Bronze+,Group E,3,Single game,No Pressure,Walkie-Talkie,No Pressure,15,13,,,,,Alex Newton,Josh Hutko,Jai Parera,Jake Young
Group Stage,5.0 Open Bronze+,Group E,3,Single game,Titan Machine Marketing Scheme,what.the.flick?,Titan Machine Marketing Scheme,15,10,,,,,Neal Bergman,Chris Wilkins,Taaron Rudzitis,Joren Rudzitis
