Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,5.0+ Men's,Group A,1,Single game,Sparky Sparky Boom Men,1000X more humble,Sparky Sparky Boom Men,21,7,,,,,Connor Nelson,Sunny Gu,Samuel Schafbuch,Jonathan Schafbuch
Pool Play,5.0+ Men's,Group A,1,Single game,Ohio🤮,Clip Farmers,Ohio🤮,21,10,,,,,Joey Reynolds,Skyler Sebring,Louie Simbajon,Andrew Gasaway
Pool Play,5.0+ Men's,Group B,1,Single game,Kingdom Come,Ferda 🚚,Kingdom Come,21,10,,,,,Grant Klapwijk,Matthew Cole,Cece Carlson,Luke Nemec
Pool Play,5.0+ Men's,Group B,1,Single game,ClubSpike CNC Machine,Rizznet,ClubSpike CNC Machine,21,15,,,,,Chris Wilkins,Cole Maddox,Aidan Tack,Jaeden Hannus
Pool Play,5.0+ Men's,Group B,1,Single game,Flow,Cleveland Cowboys,Flow,21,9,,,,,Kyle Fowler,Jack Bush,Daniel Patten,Levi Rogers
Pool Play,5.0+ Men's,Group C,1,Single game,TRP Spotless,The President Swap,TRP Spotless,21,5,,,,,Joe Bondi,Ryan Gross,Matt Aschenbrenner,Alex Perkins
Pool Play,5.0+ Men's,Group C,1,Single game," Santa’s helpers",Kennumerable," Santa’s helpers",21,7,,,,,Jenson Miller,Justin Barr,Jason Inumerable,Kenny Velu
Pool Play,5.0+ Men's,Group C,1,Single game,Indifferent,Pocket Aces,Pocket Aces,16,21,,,,,Grayson M  Wills,Max Fiebelkorn,Rohil Senapati,Marty Merigold
Pool Play,5.0+ Men's,Group D,1,Single game,Finocchi/Model,subpar servers,Finocchi/Model,21,4,,,,,Max Model,Gabriel Finocchi,Joe McLaughlin,Nic Breiter
Pool Play,5.0+ Men's,Group D,1,Single game,Numb,Tab? Tash? Tab? Tash? Tab? Tash? Tab? Ta,Numb,21,6,,,,,Kieran Rose,Paq Clifford,Tahseen Robbani,Tab Dayani
Pool Play,5.0+ Men's,Group D,1,Single game,who do u think u r i am,Father Son Bonding,Father Son Bonding,17,21,,,,,Chase Bremner,Lindros Beard,Ruben Zapata,Korbin Thompson
Pool Play,5.0+ Men's,Group E,1,Single game,Ctrl+v,Irritable Bowel Spikeball (IBS),Ctrl+v,21,10,,,,,Clark Marshall,Rahul Murthy,Arkajyoti Sinha,Emmanuel Nodal
Pool Play,5.0+ Men's,Group E,1,Single game,TRP defend the belt,She Lisan Til I Gaib,TRP defend the belt,21,9,,,,,Christian Bennett,Thomas Hamilton,Alex Luc,Ethan Ferland
Pool Play,5.0+ Men's,Group E,1,Single game,Revised Bee Team,Get Gaped,Revised Bee Team,21,16,,,,,Mitch Kelley,Colin Hobart,Nick Evanko,Tim Lacagnina
Pool Play,5.0+ Men's,Group A,2,Single game,Sparky Sparky Boom Men,Clip Farmers,Sparky Sparky Boom Men,21,9,,,,,Connor Nelson,Sunny Gu,Louie Simbajon,Andrew Gasaway
Pool Play,5.0+ Men's,Group A,2,Single game,The Diamond Dogs,1000X more humble,The Diamond Dogs,21,9,,,,,Bennett Anderson,Reid Pfutzenreuter,Samuel Schafbuch,Jonathan Schafbuch
Pool Play,5.0+ Men's,Group B,2,Single game,Kingdom Come,Rizznet,Kingdom Come,21,12,,,,,Grant Klapwijk,Matthew Cole,Aidan Tack,Jaeden Hannus
Pool Play,5.0+ Men's,Group B,2,Single game,ClubSpike CNC Machine,Flow,ClubSpike CNC Machine,25,24,,,,,Chris Wilkins,Cole Maddox,Kyle Fowler,Jack Bush
Pool Play,5.0+ Men's,Group B,2,Single game,Cleveland Cowboys,Ferda 🚚,Ferda 🚚,19,21,,,,,Daniel Patten,Levi Rogers,Cece Carlson,Luke Nemec
Pool Play,5.0+ Men's,Group C,2,Single game,TRP Spotless,Kennumerable,TRP Spotless,21,5,,,,,Joe Bondi,Ryan Gross,Jason Inumerable,Kenny Velu
Pool Play,5.0+ Men's,Group C,2,Single game," Santa’s helpers",Indifferent," Santa’s helpers",21,15,,,,,Jenson Miller,Justin Barr,Grayson M  Wills,Max Fiebelkorn
Pool Play,5.0+ Men's,Group C,2,Single game,Pocket Aces,The President Swap,Pocket Aces,21,12,,,,,Rohil Senapati,Marty Merigold,Matt Aschenbrenner,Alex Perkins
