Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Open Contender/Premier (4.0-5.0),"Group A Premier ",1,Single game,The Diamond Dogs,what.the.flick?,The Diamond Dogs,21,10,,,,,Bennett Anderson,Reid Pfutzenreuter,Taaron Rudzitis,Joren Rudzitis
Pool Play,Open Contender/Premier (4.0-5.0),"Group A Premier ",1,Single game,Deep Dive,Short Kings 👑,Deep Dive,21,16,,,,,Hayden Carlson,Maciah Aldrich,Jon Moe,Brady Van Straten
Pool Play,Open Contender/Premier (4.0-5.0),Group B,1,Single game,Still Got It?,Some Cleats - all defeats,Still Got It?,21,9,,,,,ISAAC GAVIN,Trey Newman,Andy Waller,Ben Shooooots
Pool Play,Open Contender/Premier (4.0-5.0),Group B,1,Single game,Forklift Certified,Ally and Jacob,Forklift Certified,21,12,,,,,Connor Hintz,Evan Burkstrand,Soren Peterson,Jacob Bochler
Pool Play,Open Contender/Premier (4.0-5.0),Group B,1,Single game,Tanner/Max,Net Ninjas,Tanner/Max,21,17,,,,,Tanner Hornung,Max Illetschko,Joshua Colville,Jace Isaacs
Pool Play,Open Contender/Premier (4.0-5.0),Group C,1,Single game,Maximum Effort,Franklinstein and the Monster,Maximum Effort,21,9,,,,,Max Hammes,Joseph Coughlin,Anthony Sneddon,Franklin  Wohnoutka
Pool Play,Open Contender/Premier (4.0-5.0),Group C,1,Single game,Jam Session,The Bakery,Jam Session,21,14,,,,,Aaron Appicelli,Alex Cotter,Nolan Henze,Brenden Brass
Pool Play,Open Contender/Premier (4.0-5.0),Group C,1,Single game,Wabbits,🤨⛄️😮🦆🤣🥔,Wabbits,21,19,,,,,Jack Barney,Kyle Maher,Joel Nielsen,Wally Scherer
Pool Play,Open Contender/Premier (4.0-5.0),"Group A Premier ",2,Single game,The Diamond Dogs,Short Kings 👑,The Diamond Dogs,21,11,,,,,Bennett Anderson,Reid Pfutzenreuter,Jon Moe,Brady Van Straten
Pool Play,Open Contender/Premier (4.0-5.0),"Group A Premier ",2,Single game,Kula/Wood,what.the.flick?,Kula/Wood,21,17,,,,,Jackson Wood,Jared Kula,Taaron Rudzitis,Joren Rudzitis
Pool Play,Open Contender/Premier (4.0-5.0),Group B,2,Single game,Still Got It?,Ally and Jacob,Still Got It?,21,10,,,,,ISAAC GAVIN,Trey Newman,Soren Peterson,Jacob Bochler
Pool Play,Open Contender/Premier (4.0-5.0),Group B,2,Single game,Forklift Certified,Tanner/Max,Forklift Certified,21,18,,,,,Connor Hintz,Evan Burkstrand,Tanner Hornung,Max Illetschko
Pool Play,Open Contender/Premier (4.0-5.0),Group B,2,Single game,Net Ninjas,Some Cleats - all defeats,Net Ninjas,21,13,,,,,Joshua Colville,Jace Isaacs,Andy Waller,Ben Shooooots
Pool Play,Open Contender/Premier (4.0-5.0),Group C,2,Single game,Maximum Effort,The Bakery,Maximum Effort,21,17,,,,,Max Hammes,Joseph Coughlin,Nolan Henze,Brenden Brass
Pool Play,Open Contender/Premier (4.0-5.0),Group C,2,Single game,Jam Session,Wabbits,Jam Session,21,8,,,,,Aaron Appicelli,Alex Cotter,Jack Barney,Kyle Maher
Pool Play,Open Contender/Premier (4.0-5.0),Group C,2,Single game,🤨⛄️😮🦆🤣🥔,Franklinstein and the Monster,🤨⛄️😮🦆🤣🥔,23,21,,,,,Joel Nielsen,Wally Scherer,Anthony Sneddon,Franklin  Wohnoutka
Pool Play,Open Contender/Premier (4.0-5.0),"Group A Premier ",3,Single game,The Diamond Dogs,Kula/Wood,Kula/Wood,18,21,,,,,Bennett Anderson,Reid Pfutzenreuter,Jackson Wood,Jared Kula
Pool Play,Open Contender/Premier (4.0-5.0),"Group A Premier ",3,Single game,Deep Dive,what.the.flick?,Deep Dive,21,18,,,,,Hayden Carlson,Maciah Aldrich,Taaron Rudzitis,Joren Rudzitis
Pool Play,Open Contender/Premier (4.0-5.0),Group B,3,Single game,Still Got It?,Net Ninjas,Still Got It?,21,5,,,,,ISAAC GAVIN,Trey Newman,Joshua Colville,Jace Isaacs
Pool Play,Open Contender/Premier (4.0-5.0),Group B,3,Single game,Forklift Certified,Some Cleats - all defeats,Forklift Certified,21,5,,,,,Connor Hintz,Evan Burkstrand,Andy Waller,Ben Shooooots
Pool Play,Open Contender/Premier (4.0-5.0),Group B,3,Single game,Tanner/Max,Ally and Jacob,Ally and Jacob,19,20,,,,,Tanner Hornung,Max Illetschko,Soren Peterson,Jacob Bochler
Pool Play,Open Contender/Premier (4.0-5.0),Group C,3,Single game,Maximum Effort,🤨⛄️😮🦆🤣🥔,Maximum Effort,21,9,,,,,Max Hammes,Joseph Coughlin,Joel Nielsen,Wally Scherer
Pool Play,Open Contender/Premier (4.0-5.0),Group C,3,Single game,Jam Session,Franklinstein and the Monster,Jam Session,21,4,,,,,Aaron Appicelli,Alex Cotter,Anthony Sneddon,Franklin  Wohnoutka
Pool Play,Open Contender/Premier (4.0-5.0),Group C,3,Single game,Wabbits,The Bakery,Wabbits,21,16,,,,,Jack Barney,Kyle Maher,Nolan Henze,Brenden Brass
Pool Play,Open Contender/Premier (4.0-5.0),"Group A Premier ",4,Single game,Deep Dive,Kula/Wood,Kula/Wood,18,21,,,,,Hayden Carlson,Maciah Aldrich,Jackson Wood,Jared Kula
