Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,4.0 Open/Contender,Group A,1,Single game,Johnny Joe's,Spiked Punch,Spiked Punch,19,21,,,,,Jonathan Scheelke,Joseph Enders,Carter Stork,Nivek Thompson
Group Stage,4.0 Open/Contender,Group A,1,Single game,Bring Back Boomballs,Chino Bandido,Bring Back Boomballs,21,4,,,,,Nathan Paauw,David Yingling,Eduardo Melero,Joshua Szeto
Group Stage,4.0 Open/Contender,Group A,1,Single game,The Beach Boyz,Baja Blast,The Beach Boyz,21,16,,,,,Malachi Ryan,Kevin Reddell,Aidan Mackey,Ryan Brown
Group Stage,4.0 Open/Contender,Group B,1,Single game,PSR Yes-Hit-Zone,Hugh & Janus,PSR Yes-Hit-Zone,21,13,,,,,Bryce Jacobsen,Dallin James,Patrick Vottis,Jet Kmet
Group Stage,4.0 Open/Contender,Group B,1,Single game,pollos hermanos,The Last Ball Benders,The Last Ball Benders,13,21,,,,,Kian Wojtowich,Thomas Chou,Cooper Kinnear,Tanner Smith
Group Stage,4.0 Open/Contender,Group B,1,Single game,GOATGENE,Yoink and Doink,GOATGENE,23,21,,,,,Wesley Tunelius,Aron Taguiam,Hayden Sanderson,Tyler Kjar
Group Stage,4.0 Open/Contender,Group C,1,Single game,redline,Mamba,Mamba,7,21,,,,,davin allen,Hopper Heaton,Brian Lin,Kevin Ma
Group Stage,4.0 Open/Contender,Group C,1,Single game,Noodles & .Co,Yin & Yang,Noodles & .Co,21,17,,,,,Jaren Hori,Ryan McCargar,Andrew Stevens,Samuel Neeley
Group Stage,4.0 Open/Contender,Group C,1,Single game,We Outside,Sigmas,We Outside,25,23,,,,,Isaac Hill-Williams,Oliver Howard,Brady Martin,Max Shoemaker
Group Stage,4.0 Open/Contender,Group A,2,Single game,Johnny Joe's,Chino Bandido,Johnny Joe's,21,10,,,,,Jonathan Scheelke,Joseph Enders,Eduardo Melero,Joshua Szeto
Group Stage,4.0 Open/Contender,Group A,2,Single game,Bring Back Boomballs,The Beach Boyz,The Beach Boyz,16,21,,,,,Nathan Paauw,David Yingling,Malachi Ryan,Kevin Reddell
Group Stage,4.0 Open/Contender,Group A,2,Single game,Baja Blast,Spiked Punch,Spiked Punch,15,21,,,,,Aidan Mackey,Ryan Brown,Carter Stork,Nivek Thompson
Group Stage,4.0 Open/Contender,Group B,2,Single game,PSR Yes-Hit-Zone,The Last Ball Benders,PSR Yes-Hit-Zone,21,17,,,,,Bryce Jacobsen,Dallin James,Cooper Kinnear,Tanner Smith
Group Stage,4.0 Open/Contender,Group B,2,Single game,pollos hermanos,GOATGENE,GOATGENE,15,21,,,,,Kian Wojtowich,Thomas Chou,Wesley Tunelius,Aron Taguiam
Group Stage,4.0 Open/Contender,Group B,2,Single game,Yoink and Doink,Hugh & Janus,Yoink and Doink,21,14,,,,,Hayden Sanderson,Tyler Kjar,Patrick Vottis,Jet Kmet
Group Stage,4.0 Open/Contender,Group C,2,Single game,redline,Yin & Yang,Yin & Yang,8,21,,,,,davin allen,Hopper Heaton,Andrew Stevens,Samuel Neeley
Group Stage,4.0 Open/Contender,Group C,2,Single game,Noodles & .Co,We Outside,We Outside,16,21,,,,,Jaren Hori,Ryan McCargar,Isaac Hill-Williams,Oliver Howard
Group Stage,4.0 Open/Contender,Group C,2,Single game,Sigmas,Mamba,Sigmas,21,14,,,,,Brady Martin,Max Shoemaker,Brian Lin,Kevin Ma
Group Stage,4.0 Open/Contender,Group A,3,Single game,Johnny Joe's,Baja Blast,Baja Blast,15,21,,,,,Jonathan Scheelke,Joseph Enders,Aidan Mackey,Ryan Brown
Group Stage,4.0 Open/Contender,Group A,3,Single game,Bring Back Boomballs,Spiked Punch,Bring Back Boomballs,21,18,,,,,Nathan Paauw,David Yingling,Carter Stork,Nivek Thompson
Group Stage,4.0 Open/Contender,Group A,3,Single game,The Beach Boyz,Chino Bandido,The Beach Boyz,21,10,,,,,Malachi Ryan,Kevin Reddell,Eduardo Melero,Joshua Szeto
Group Stage,4.0 Open/Contender,Group B,3,Single game,PSR Yes-Hit-Zone,Yoink and Doink,PSR Yes-Hit-Zone,21,16,,,,,Bryce Jacobsen,Dallin James,Hayden Sanderson,Tyler Kjar
Group Stage,4.0 Open/Contender,Group B,3,Single game,pollos hermanos,Hugh & Janus,pollos hermanos,21,17,,,,,Kian Wojtowich,Thomas Chou,Patrick Vottis,Jet Kmet
