Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Group Stage,Open Premier/Bronze+,Group A,1,Single game,PSR S/T,OG Blinggo Boys,PSR S/T,21,16,,,,,Jason Small,Derek Tang,Alex Osler,Adam Randall
Group Stage,Open Premier/Bronze+,Group A,1,Single game,OstWieners,Espinola/Woolley,Espinola/Woolley,15,21,,,,,Erick Ostheimer,Conner Bradshaw,Jake Woolley,Malachi Espinola
Group Stage,Open Premier/Bronze+,Group A,1,Single game,What The Freak,Big and tall,What The Freak,21,19,,,,,Dallin James,Sam Clarke,Hernestor Ramirez diaz,Josh Wozniak
Group Stage,Open Premier/Bronze+,Group A,2,Single game,PSR S/T,Espinola/Woolley,Espinola/Woolley,18,21,,,,,Jason Small,Derek Tang,Jake Woolley,Malachi Espinola
Group Stage,Open Premier/Bronze+,Group A,2,Single game,OstWieners,What The Freak,OstWieners,21,14,,,,,Erick Ostheimer,Conner Bradshaw,Dallin James,Sam Clarke
Group Stage,Open Premier/Bronze+,Group A,2,Single game,Big and tall,OG Blinggo Boys,OG Blinggo Boys,20,22,,,,,Hernestor Ramirez diaz,Josh Wozniak,Alex Osler,Adam Randall
Group Stage,Open Premier/Bronze+,Group A,3,Single game,PSR S/T,Big and tall,PSR S/T,21,18,,,,,Jason Small,Derek Tang,Hernestor Ramirez diaz,Josh Wozniak
Group Stage,Open Premier/Bronze+,Group A,3,Single game,OstWieners,OG Blinggo Boys,OstWieners,21,16,,,,,Erick Ostheimer,Conner Bradshaw,Alex Osler,Adam Randall
Group Stage,Open Premier/Bronze+,Group A,3,Single game,What The Freak,Espinola/Woolley,Espinola/Woolley,10,21,,,,,Dallin James,Sam Clarke,Jake Woolley,Malachi Espinola
Group Stage,Open Premier/Bronze+,Group A,4,Single game,PSR S/T,What The Freak,What The Freak,18,21,,,,,Jason Small,Derek Tang,Dallin James,Sam Clarke
Group Stage,Open Premier/Bronze+,Group A,4,Single game,OstWieners,Big and tall,OstWieners,21,19,,,,,Erick Ostheimer,Conner Bradshaw,Hernestor Ramirez diaz,Josh Wozniak
Group Stage,Open Premier/Bronze+,Group A,4,Single game,Espinola/Woolley,OG Blinggo Boys,Espinola/Woolley,21,12,,,,,Jake Woolley,Malachi Espinola,Alex Osler,Adam Randall
Group Stage,Open Premier/Bronze+,Group A,5,Single game,PSR S/T,OstWieners,OstWieners,16,21,,,,,Jason Small,Derek Tang,Erick Ostheimer,Conner Bradshaw
Group Stage,Open Premier/Bronze+,Group A,5,Single game,What The Freak,OG Blinggo Boys,What The Freak,21,18,,,,,Dallin James,Sam Clarke,Alex Osler,Adam Randall
Group Stage,Open Premier/Bronze+,Group A,5,Single game,Big and tall,Espinola/Woolley,Espinola/Woolley,17,21,,,,,Hernestor Ramirez diaz,Josh Wozniak,Jake Woolley,Malachi Espinola
Bracket Stage,Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,Espinola/Woolley,,Espinola/Woolley,,,,,,,Jake Woolley,Malachi Espinola,,
Bracket Stage,Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,OstWieners,,OstWieners,,,,,,,Erick Ostheimer,Conner Bradshaw,,
Bracket Stage,Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,What The Freak,Big and tall,What The Freak,25,27,21,14,21,17,Dallin James,Sam Clarke,Hernestor Ramirez diaz,Josh Wozniak
Bracket Stage,Open Premier/Bronze+,Bracket A,Quarter-final,Best of 3,PSR S/T,OG Blinggo Boys,PSR S/T,21,19,21,18,,,Jason Small,Derek Tang,Alex Osler,Adam Randall
Bracket Stage,Open Premier/Bronze+,Bracket A,Semi-final,Best of 3,Espinola/Woolley,PSR S/T,Espinola/Woolley,21,18,27,25,,,Jake Woolley,Malachi Espinola,Jason Small,Derek Tang
Bracket Stage,Open Premier/Bronze+,Bracket A,Semi-final,Best of 3,OstWieners,What The Freak,OstWieners,21,12,21,14,,,Erick Ostheimer,Conner Bradshaw,Dallin James,Sam Clarke
Bracket Stage,Open Premier/Bronze+,Bracket A,Final,Best of 3,Espinola/Woolley,OstWieners,Espinola/Woolley,21,19,21,15,,,Jake Woolley,Malachi Espinola,Erick Ostheimer,Conner Bradshaw
Bracket Stage,Open Premier/Bronze+,Bracket A,P3: Final,Best of 3,What The Freak,PSR S/T,PSR S/T,15,17,16,18,,,Dallin James,Sam Clarke,Jason Small,Derek Tang
Group Stage,Open Contender,Group A,1,Single game,Troy Bolten and Gabriella Montez,RIPS Only,Troy Bolten and Gabriella Montez,21,11,,,,,Mayo Costanza,Spencer Smith,Ahren Gwynn,Gunnar Mueller
Group Stage,Open Contender,Group A,1,Single game,Gatekeep WITH Kavan,Double Trouble (Garrett & Nate),Gatekeep WITH Kavan,21,17,,,,,Kavan Dharia,Andrew Samson,Garret James,Nathan Tvedt
Group Stage,Open Contender,Group B,1,Single game,Unforgettable Feeling,Gobby Girls,Unforgettable Feeling,21,10,,,,,Timothy Bradshaw,Ethan Uecker,Jordan Hemmen,Sara Bradshaw
Group Stage,Open Contender,Group B,1,Single game,Soft touchers,You Hath Nice thighs,Soft touchers,21,12,,,,,Steve Rojas,Chase Archibald,Max Nice,Hathaway Bush
Group Stage,Open Contender,Group C,1,Single game,The North Remembers,C+C,The North Remembers,21,11,,,,,Will Melhorn,Jensen Elsemore,Charley McGown,Carter Loy
Group Stage,Open Contender,Group C,1,Single game,Samson,CazaCohens,Samson,21,14,,,,,Samuel Neeley,emerson korn,Cohen Hall,Hunter Galusha-McRobbie
Group Stage,Open Contender,Group A,2,Single game,Troy Bolten and Gabriella Montez,Double Trouble (Garrett & Nate),Troy Bolten and Gabriella Montez,21,9,,,,,Mayo Costanza,Spencer Smith,Garret James,Nathan Tvedt
Group Stage,Open Contender,Group A,2,Single game,Gatekeep WITH Kavan,RIPS Only,Gatekeep WITH Kavan,21,15,,,,,Kavan Dharia,Andrew Samson,Ahren Gwynn,Gunnar Mueller
Group Stage,Open Contender,Group B,2,Single game,Unforgettable Feeling,You Hath Nice thighs,Unforgettable Feeling,21,7,,,,,Timothy Bradshaw,Ethan Uecker,Max Nice,Hathaway Bush
Group Stage,Open Contender,Group B,2,Single game,hardstuck,Gobby Girls,hardstuck,21,8,,,,,Arthur Troncoso,Zachary Abas,Jordan Hemmen,Sara Bradshaw
Group Stage,Open Contender,Group C,2,Single game,The North Remembers,CazaCohens,The North Remembers,21,12,,,,,Will Melhorn,Jensen Elsemore,Cohen Hall,Hunter Galusha-McRobbie
Group Stage,Open Contender,Group C,2,Single game,tap ons only,C+C,tap ons only,21,8,,,,,Hongyi Zhu,Daniel Chudin,Charley McGown,Carter Loy
Group Stage,Open Contender,Group A,3,Single game,Troy Bolten and Gabriella Montez,Gatekeep WITH Kavan,Troy Bolten and Gabriella Montez,21,13,,,,,Mayo Costanza,Spencer Smith,Kavan Dharia,Andrew Samson
Group Stage,Open Contender,Group A,3,Single game,Double Trouble (Garrett & Nate),RIPS Only,Double Trouble (Garrett & Nate),21,15,,,,,Garret James,Nathan Tvedt,Ahren Gwynn,Gunnar Mueller
Group Stage,Open Contender,Group B,3,Single game,Unforgettable Feeling,hardstuck,Unforgettable Feeling,21,18,,,,,Timothy Bradshaw,Ethan Uecker,Arthur Troncoso,Zachary Abas
Group Stage,Open Contender,Group B,3,Single game,Soft touchers,Gobby Girls,Soft touchers,21,15,,,,,Steve Rojas,Chase Archibald,Jordan Hemmen,Sara Bradshaw
