Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Premier 5.0+,Group A,1,Single game,NEM Seazonal,fault.exe,NEM Seazonal,21,9,,,,,Zach Snover,Jacob Summers,Caleb Cottle,Zack Glew
Pool Play,Premier 5.0+,Group A,1,Single game,Clip Farm,"House Divided ",Clip Farm,21,6,,,,,Polk Denmark,Andrew Greer,Mason Dancausse,Brent Summers
Pool Play,Premier 5.0+,Group A,1,Single game,Inspection,Knicks in 6,Inspection,21,17,,,,,Jake Dooley,John Buchanan,Sean Brown,Noah Kopetic
Pool Play,Premier 5.0+,Group A,1,Single game,Yum Yum Shop,Disqualified,Yum Yum Shop,24,22,,,,,Brandon Stokes,Dalton Gilder,Sam Bunze,Jacob Narayan
Pool Play,Premier 5.0+,Group A,2,Single game,NEM Seazonal,"House Divided ",NEM Seazonal,21,10,,,,,Zach Snover,Jacob Summers,Mason Dancausse,Brent Summers
Pool Play,Premier 5.0+,Group A,2,Single game,Clip Farm,Disqualified,Clip Farm,21,11,,,,,Polk Denmark,Andrew Greer,Sam Bunze,Jacob Narayan
Pool Play,Premier 5.0+,Group A,2,Single game,Inspection,Yum Yum Shop,Yum Yum Shop,24,25,,,,,Jake Dooley,John Buchanan,Brandon Stokes,Dalton Gilder
Pool Play,Premier 5.0+,Group A,2,Single game,Knicks in 6,fault.exe,fault.exe,20,22,,,,,Sean Brown,Noah Kopetic,Caleb Cottle,Zack Glew
Pool Play,Premier 5.0+,Group A,3,Single game,NEM Seazonal,Knicks in 6,NEM Seazonal,21,12,,,,,Zach Snover,Jacob Summers,Sean Brown,Noah Kopetic
Pool Play,Premier 5.0+,Group A,3,Single game,Clip Farm,Inspection,Clip Farm,21,19,,,,,Polk Denmark,Andrew Greer,Jake Dooley,John Buchanan
Pool Play,Premier 5.0+,Group A,3,Single game,Yum Yum Shop,fault.exe,Yum Yum Shop,21,13,,,,,Brandon Stokes,Dalton Gilder,Caleb Cottle,Zack Glew
Pool Play,Premier 5.0+,Group A,3,Single game,Disqualified,"House Divided ",Disqualified,21,11,,,,,Sam Bunze,Jacob Narayan,Mason Dancausse,Brent Summers
Pool Play,Premier 5.0+,Group A,4,Single game,NEM Seazonal,Disqualified,NEM Seazonal,21,18,,,,,Zach Snover,Jacob Summers,Sam Bunze,Jacob Narayan
Pool Play,Premier 5.0+,Group A,4,Single game,Clip Farm,fault.exe,Clip Farm,21,12,,,,,Polk Denmark,Andrew Greer,Caleb Cottle,Zack Glew
Pool Play,Premier 5.0+,Group A,4,Single game,Inspection,"House Divided ",Inspection,21,6,,,,,Jake Dooley,John Buchanan,Mason Dancausse,Brent Summers
Pool Play,Premier 5.0+,Group A,4,Single game,Yum Yum Shop,Knicks in 6,Knicks in 6,20,22,,,,,Brandon Stokes,Dalton Gilder,Sean Brown,Noah Kopetic
Pool Play,Premier 5.0+,Group A,5,Single game,NEM Seazonal,Yum Yum Shop,NEM Seazonal,21,16,,,,,Zach Snover,Jacob Summers,Brandon Stokes,Dalton Gilder
Pool Play,Premier 5.0+,Group A,5,Single game,Clip Farm,Knicks in 6,Clip Farm,21,8,,,,,Polk Denmark,Andrew Greer,Sean Brown,Noah Kopetic
Pool Play,Premier 5.0+,Group A,5,Single game,Inspection,Disqualified,Inspection,23,21,,,,,Jake Dooley,John Buchanan,Sam Bunze,Jacob Narayan
Pool Play,Premier 5.0+,Group A,5,Single game,"House Divided ",fault.exe,fault.exe,8,21,,,,,Mason Dancausse,Brent Summers,Caleb Cottle,Zack Glew
Pool Play,Premier 5.0+,Group A,6,Single game,NEM Seazonal,Inspection,NEM Seazonal,21,13,,,,,Zach Snover,Jacob Summers,Jake Dooley,John Buchanan
Pool Play,Premier 5.0+,Group A,6,Single game,Clip Farm,Yum Yum Shop,Clip Farm,21,19,,,,,Polk Denmark,Andrew Greer,Brandon Stokes,Dalton Gilder
Pool Play,Premier 5.0+,Group A,6,Single game,Disqualified,fault.exe,Disqualified,21,8,,,,,Sam Bunze,Jacob Narayan,Caleb Cottle,Zack Glew
Pool Play,Premier 5.0+,Group A,6,Single game,Knicks in 6,"House Divided ",Knicks in 6,21,16,,,,,Sean Brown,Noah Kopetic,Mason Dancausse,Brent Summers
Pool Play,Premier 5.0+,Group A,7,Single game,NEM Seazonal,Clip Farm,NEM Seazonal,21,17,,,,,Zach Snover,Jacob Summers,Polk Denmark,Andrew Greer
Pool Play,Premier 5.0+,Group A,7,Single game,Inspection,fault.exe,Inspection,21,10,,,,,Jake Dooley,John Buchanan,Caleb Cottle,Zack Glew
Pool Play,Premier 5.0+,Group A,7,Single game,Yum Yum Shop,"House Divided ",Yum Yum Shop,21,13,,,,,Brandon Stokes,Dalton Gilder,Mason Dancausse,Brent Summers
Pool Play,Premier 5.0+,Group A,7,Single game,Disqualified,Knicks in 6,Disqualified,21,15,,,,,Sam Bunze,Jacob Narayan,Sean Brown,Noah Kopetic
Bracket Play,Premier 5.0+,Bracket A,Quarter-final,Best of 3,NEM Seazonal,"House Divided ",NEM Seazonal,21,11,21,17,,,Zach Snover,Jacob Summers,Mason Dancausse,Brent Summers
Bracket Play,Premier 5.0+,Bracket A,Quarter-final,Best of 3,Clip Farm,fault.exe,Clip Farm,21,9,21,18,,,Polk Denmark,Andrew Greer,Caleb Cottle,Zack Glew
Bracket Play,Premier 5.0+,Bracket A,Quarter-final,Best of 3,Inspection,Knicks in 6,Inspection,21,12,19,32,21,14,Jake Dooley,John Buchanan,Sean Brown,Noah Kopetic
Bracket Play,Premier 5.0+,Bracket A,Quarter-final,Best of 3,Yum Yum Shop,Disqualified,Yum Yum Shop,2,1,21,1,,,Brandon Stokes,Dalton Gilder,Sam Bunze,Jacob Narayan
Bracket Play,Premier 5.0+,Bracket A,Semi-final,Best of 3,NEM Seazonal,Yum Yum Shop,NEM Seazonal,19,21,21,14,21,16,Zach Snover,Jacob Summers,Brandon Stokes,Dalton Gilder
Bracket Play,Premier 5.0+,Bracket A,Semi-final,Best of 3,Clip Farm,Inspection,Clip Farm,14,21,21,12,21,16,Polk Denmark,Andrew Greer,Jake Dooley,John Buchanan
Bracket Play,Premier 5.0+,Bracket A,P5: Semi-final,Single game,Disqualified,"House Divided ",Disqualified,25,22,,,,,Sam Bunze,Jacob Narayan,Mason Dancausse,Brent Summers
Bracket Play,Premier 5.0+,Bracket A,P5: Semi-final,Single game,Knicks in 6,fault.exe,Knicks in 6,2,1,,,,,Sean Brown,Noah Kopetic,Caleb Cottle,Zack Glew
Bracket Play,Premier 5.0+,Bracket A,Final,Best of 3,NEM Seazonal,Clip Farm,Clip Farm,21,14,18,21,12,21,Zach Snover,Jacob Summers,Polk Denmark,Andrew Greer
Bracket Play,Premier 5.0+,Bracket A,P3: Final,Best of 3,Inspection,Yum Yum Shop,Inspection,21,14,21,15,,,Jake Dooley,John Buchanan,Brandon Stokes,Dalton Gilder
Bracket Play,Premier 5.0+,Bracket A,P5: Final,Single game,Disqualified,Knicks in 6,Disqualified,55,53,,,,,Sam Bunze,Jacob Narayan,Sean Brown,Noah Kopetic
Bracket Play,Premier 5.0+,Bracket A,P7: Final,Single game,fault.exe,"House Divided ","House Divided ",1,2,,,,,Caleb Cottle,Zack Glew,Mason Dancausse,Brent Summers
