Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Premier (5.0+),Group A,1,Single game,"But, My Bag is Deeper",Unbreakable,"But, My Bag is Deeper",21,13,,,,,Connor Nelson,Noah Saddik,Carlin Vicera,Jason Fevang
Pool Play,Premier (5.0+),Group A,1,Single game,Last Minute Lockdown,Dog Eaters Roundnet,Last Minute Lockdown,21,16,,,,,Eddy Leung,Kayla Wu-Fleming,Dallin James,Jason Small
Pool Play,Premier (5.0+),Group B,1,Single game,spot on,Solomon’s Biggest Haters 😈,spot on,15,9,,,,,Will Ries,Nick Wideman,Nicolas Caballero,Nolan Wynkoop
Pool Play,Premier (5.0+),Group B,1,Single game,slam shredders,Oregon Transplants,Oregon Transplants,20,21,,,,,Conner Bradshaw,Jordan Freitas,Trey Thompson,Ryan Slaughter
Pool Play,Premier (5.0+),Group A,2,Single game,"But, My Bag is Deeper",Dog Eaters Roundnet,"But, My Bag is Deeper",21,10,,,,,Connor Nelson,Noah Saddik,Dallin James,Jason Small
Pool Play,Premier (5.0+),Group A,2,Single game,Mal and Davy,Unbreakable,Unbreakable,20,22,,,,,Davis Jung,Malachi Espinola,Carlin Vicera,Jason Fevang
Pool Play,Premier (5.0+),Group B,2,Single game,spot on,Oregon Transplants,Oregon Transplants,12,15,,,,,Will Ries,Nick Wideman,Trey Thompson,Ryan Slaughter
Pool Play,Premier (5.0+),Group B,2,Single game,slam shredders,Solomon’s Biggest Haters 😈,Solomon’s Biggest Haters 😈,11,15,,,,,Conner Bradshaw,Jordan Freitas,Nicolas Caballero,Nolan Wynkoop
Pool Play,Premier (5.0+),Group A,3,Single game,"But, My Bag is Deeper",Mal and Davy,"But, My Bag is Deeper",21,8,,,,,Connor Nelson,Noah Saddik,Davis Jung,Malachi Espinola
Pool Play,Premier (5.0+),Group A,3,Single game,Last Minute Lockdown,Unbreakable,Last Minute Lockdown,21,16,,,,,Eddy Leung,Kayla Wu-Fleming,Carlin Vicera,Jason Fevang
Pool Play,Premier (5.0+),Group B,3,Single game,spot on,slam shredders,spot on,17,15,,,,,Will Ries,Nick Wideman,Conner Bradshaw,Jordan Freitas
Pool Play,Premier (5.0+),Group B,3,Single game,Oregon Transplants,Solomon’s Biggest Haters 😈,Oregon Transplants,15,10,,,,,Trey Thompson,Ryan Slaughter,Nicolas Caballero,Nolan Wynkoop
Pool Play,Premier (5.0+),Group A,4,Single game,Last Minute Lockdown,Mal and Davy,Last Minute Lockdown,21,17,,,,,Eddy Leung,Kayla Wu-Fleming,Davis Jung,Malachi Espinola
Pool Play,Premier (5.0+),Group A,4,Single game,Dog Eaters Roundnet,Unbreakable,Unbreakable,19,21,,,,,Dallin James,Jason Small,Carlin Vicera,Jason Fevang
Pool Play,Premier (5.0+),Group A,5,Single game,"But, My Bag is Deeper",Last Minute Lockdown,"But, My Bag is Deeper",21,10,,,,,Connor Nelson,Noah Saddik,Eddy Leung,Kayla Wu-Fleming
Pool Play,Premier (5.0+),Group A,5,Single game,Mal and Davy,Dog Eaters Roundnet,Dog Eaters Roundnet,15,21,,,,,Davis Jung,Malachi Espinola,Dallin James,Jason Small
Pool Play,Premier (5.0+),Group B,4,Single game,spot on,Solomon’s Biggest Haters 😈,Solomon’s Biggest Haters 😈,13,15,,,,,Will Ries,Nick Wideman,Nicolas Caballero,Nolan Wynkoop
Pool Play,Premier (5.0+),Group B,4,Single game,slam shredders,Oregon Transplants,Oregon Transplants,11,15,,,,,Conner Bradshaw,Jordan Freitas,Trey Thompson,Ryan Slaughter
Pool Play,Premier (5.0+),Group B,5,Single game,spot on,Oregon Transplants,spot on,15,13,,,,,Will Ries,Nick Wideman,Trey Thompson,Ryan Slaughter
Pool Play,Premier (5.0+),Group B,5,Single game,slam shredders,Solomon’s Biggest Haters 😈,Solomon’s Biggest Haters 😈,13,15,,,,,Conner Bradshaw,Jordan Freitas,Nicolas Caballero,Nolan Wynkoop
Pool Play,Premier (5.0+),Group B,6,Single game,spot on,slam shredders,spot on,15,8,,,,,Will Ries,Nick Wideman,Conner Bradshaw,Jordan Freitas
