Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Bracket Stage,2.0-3.0 Recreational,Bracket A,Semi-final,Single game,Party Pants,Mechanics,Party Pants,2,0,,,,,James Perkes,Elisabeth Ferrell,Enoch Monfreddi,Nathan Hale
Bracket Stage,2.0-3.0 Recreational,Bracket A,Semi-final,Single game,Claybub,Easy Peasy,Claybub,2,1,,,,,Ethan Utzinger,Clayton Johnson,Jacob Schmadeke,Tanner Early
Bracket Stage,2.0-3.0 Recreational,Bracket A,Final,Single game,Party Pants,Claybub,Claybub,0,3,,,,,James Perkes,Elisabeth Ferrell,Ethan Utzinger,Clayton Johnson
Bracket Stage,2.0-3.0 Recreational,Bracket A,P3: Final,Single game,Easy Peasy,Mechanics,Easy Peasy,3,2,,,,,Jacob Schmadeke,Tanner Early,Enoch Monfreddi,Nathan Hale
Pool Play,2.0-3.0 Recreational,Group A,1,Single game,Claybub,Party Pants,Party Pants,22,24,,,,,Ethan Utzinger,Clayton Johnson,James Perkes,Elisabeth Ferrell
Pool Play,2.0-3.0 Recreational,Group A,1,Single game,Easy Peasy,Mechanics,Easy Peasy,21,18,,,,,Jacob Schmadeke,Tanner Early,Enoch Monfreddi,Nathan Hale
Pool Play,2.0-3.0 Recreational,Group A,2,Single game,Claybub,Mechanics,Claybub,21,15,,,,,Ethan Utzinger,Clayton Johnson,Enoch Monfreddi,Nathan Hale
Pool Play,2.0-3.0 Recreational,Group A,2,Single game,Easy Peasy,Party Pants,Party Pants,14,21,,,,,Jacob Schmadeke,Tanner Early,James Perkes,Elisabeth Ferrell
Pool Play,2.0-3.0 Recreational,Group A,3,Single game,Claybub,Easy Peasy,Claybub,21,17,,,,,Ethan Utzinger,Clayton Johnson,Jacob Schmadeke,Tanner Early
Pool Play,2.0-3.0 Recreational,Group A,3,Single game,Mechanics,Party Pants,Party Pants,14,21,,,,,Enoch Monfreddi,Nathan Hale,James Perkes,Elisabeth Ferrell
