Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,2.0-3.0 Recreational,Group A,1,Single game,Roundnet Rookies,Charlie's Wannabe's,Roundnet Rookies,15,11,,,,,Jaimen Holman,Parker Medford,Matthew Brady,Benjamin Ware
Pool Play,2.0-3.0 Recreational,Group A,1,Single game,DominEnce,Bread Gang,Bread Gang,5,15,,,,,Savannah Ence,Alex Ence,Brenden Taylor,Kade S
Pool Play,2.0-3.0 Recreational,Group A,1,Single game,Strawberry Horchata,Salt and Pepper,Salt and Pepper,3,15,,,,,Aniston D.,Trey Kelly,Reed Ahlstrom,Jayden Olsen
Pool Play,2.0-3.0 Recreational,Group A,2,Single game,Roundnet Rookies,Bread Gang,Bread Gang,13,15,,,,,Jaimen Holman,Parker Medford,Brenden Taylor,Kade S
Pool Play,2.0-3.0 Recreational,Group A,2,Single game,DominEnce,Harmony,DominEnce,15,7,,,,,Savannah Ence,Alex Ence,Jaxon Taylor,Preston Harmon
Pool Play,2.0-3.0 Recreational,Group A,2,Single game,Salt and Pepper,Charlie's Wannabe's,Charlie's Wannabe's,12,15,,,,,Reed Ahlstrom,Jayden Olsen,Matthew Brady,Benjamin Ware
Pool Play,2.0-3.0 Recreational,Group A,3,Single game,Roundnet Rookies,Salt and Pepper,Salt and Pepper,13,15,,,,,Jaimen Holman,Parker Medford,Reed Ahlstrom,Jayden Olsen
Pool Play,2.0-3.0 Recreational,Group A,3,Single game,DominEnce,Strawberry Horchata,DominEnce,15,5,,,,,Savannah Ence,Alex Ence,Aniston D.,Trey Kelly
Pool Play,2.0-3.0 Recreational,Group A,3,Single game,Harmony,Bread Gang,Bread Gang,3,15,,,,,Jaxon Taylor,Preston Harmon,Brenden Taylor,Kade S
Pool Play,2.0-3.0 Recreational,Group A,4,Single game,Roundnet Rookies,Harmony,Roundnet Rookies,15,5,,,,,Jaimen Holman,Parker Medford,Jaxon Taylor,Preston Harmon
Pool Play,2.0-3.0 Recreational,Group A,4,Single game,DominEnce,Charlie's Wannabe's,Charlie's Wannabe's,11,15,,,,,Savannah Ence,Alex Ence,Matthew Brady,Benjamin Ware
Pool Play,2.0-3.0 Recreational,Group A,4,Single game,Strawberry Horchata,Bread Gang,Bread Gang,4,15,,,,,Aniston D.,Trey Kelly,Brenden Taylor,Kade S
Pool Play,2.0-3.0 Recreational,Group A,5,Single game,DominEnce,Salt and Pepper,Salt and Pepper,10,15,,,,,Savannah Ence,Alex Ence,Reed Ahlstrom,Jayden Olsen
Pool Play,2.0-3.0 Recreational,Group A,5,Single game,Strawberry Horchata,Harmony,Harmony,9,15,,,,,Aniston D.,Trey Kelly,Jaxon Taylor,Preston Harmon
Pool Play,2.0-3.0 Recreational,Group A,5,Single game,Bread Gang,Charlie's Wannabe's,Bread Gang,15,8,,,,,Brenden Taylor,Kade S,Matthew Brady,Benjamin Ware
Pool Play,2.0-3.0 Recreational,Group A,6,Single game,Roundnet Rookies,Strawberry Horchata,Roundnet Rookies,15,5,,,,,Jaimen Holman,Parker Medford,Aniston D.,Trey Kelly
Pool Play,2.0-3.0 Recreational,Group A,6,Single game,Harmony,Charlie's Wannabe's,Charlie's Wannabe's,7,15,,,,,Jaxon Taylor,Preston Harmon,Matthew Brady,Benjamin Ware
Pool Play,2.0-3.0 Recreational,Group A,6,Single game,Salt and Pepper,Bread Gang,Salt and Pepper,15,12,,,,,Reed Ahlstrom,Jayden Olsen,Brenden Taylor,Kade S
Pool Play,2.0-3.0 Recreational,Group A,7,Single game,Roundnet Rookies,DominEnce,Roundnet Rookies,15,8,,,,,Jaimen Holman,Parker Medford,Savannah Ence,Alex Ence
Pool Play,2.0-3.0 Recreational,Group A,7,Single game,Strawberry Horchata,Charlie's Wannabe's,Charlie's Wannabe's,9,15,,,,,Aniston D.,Trey Kelly,Matthew Brady,Benjamin Ware
Pool Play,2.0-3.0 Recreational,Group A,7,Single game,Harmony,Salt and Pepper,Salt and Pepper,9,15,,,,,Jaxon Taylor,Preston Harmon,Reed Ahlstrom,Jayden Olsen
Bracket Stage,2.0-3.0 Recreational,Bracket A,Quarter-final,Best of 3,Charlie's Wannabe's,Strawberry Horchata,Charlie's Wannabe's,21,16,21,14,,,Matthew Brady,Benjamin Ware,Aniston D.,Trey Kelly
Bracket Stage,2.0-3.0 Recreational,Bracket A,Quarter-final,Best of 3,DominEnce,Harmony,Harmony,21,15,30,32,11,15,Savannah Ence,Alex Ence,Jaxon Taylor,Preston Harmon
Bracket Stage,2.0-3.0 Recreational,Bracket A,Semi-final,Best of 3,Bread Gang,Harmony,Bread Gang,21,15,21,9,,,Brenden Taylor,Kade S,Jaxon Taylor,Preston Harmon
Bracket Stage,2.0-3.0 Recreational,Bracket A,Semi-final,Best of 3,Roundnet Rookies,Charlie's Wannabe's,Roundnet Rookies,21,18,21,18,,,Jaimen Holman,Parker Medford,Matthew Brady,Benjamin Ware
Bracket Stage,2.0-3.0 Recreational,Bracket A,Final,Best of 3,Bread Gang,Roundnet Rookies,Roundnet Rookies,15,21,17,21,,,Brenden Taylor,Kade S,Jaimen Holman,Parker Medford
Bracket Stage,2.0-3.0 Recreational,Bracket A,P3: Final,Best of 3,Charlie's Wannabe's,Harmony,Charlie's Wannabe's,21,15,21,10,,,Matthew Brady,Benjamin Ware,Jaxon Taylor,Preston Harmon
Pool Play,4.0 Challenger,Group A,1,Single game,Jelly Bellies,Morgan's,Jelly Bellies,21,16,,,,,Ryan Kartchner,Chris Sorensen,Janalee Hatch,Ian Morgan
Pool Play,4.0 Challenger,Group A,1,Single game,Placebros,Boomers,Boomers,12,21,,,,,Benjamin Scow,Carter Leavitt,Kylie Rowley,Ryley Duke
Pool Play,4.0 Challenger,Group B,1,Single game,The Empire Spikes Back,VegasBoyz,VegasBoyz,5,15,,,,,Ben Hansen,Justin Tobin,Caleb Scow,Travis Schelin
Pool Play,4.0 Challenger,Group B,1,Single game,Fist my Bump,"Doughboys ",Fist my Bump,15,11,,,,,Paulo Miro,Branden Buffington,Jace Barton,Jeremy Nielson
Pool Play,4.0 Challenger,Group A,2,Single game,Jelly Bellies,Boomers,Jelly Bellies,22,20,,,,,Ryan Kartchner,Chris Sorensen,Kylie Rowley,Ryley Duke
Pool Play,4.0 Challenger,Group A,2,Single game,Net Ninjas,Morgan's,Net Ninjas,21,12,,,,,Spencer Hansen,Josh Smith,Janalee Hatch,Ian Morgan
Pool Play,4.0 Challenger,Group B,2,Single game,The Empire Spikes Back,"Doughboys ","Doughboys ",6,15,,,,,Ben Hansen,Justin Tobin,Jace Barton,Jeremy Nielson
Pool Play,4.0 Challenger,Group B,2,Single game,Fist my Bump,VegasBoyz,VegasBoyz,10,15,,,,,Paulo Miro,Branden Buffington,Caleb Scow,Travis Schelin
Pool Play,4.0 Challenger,Group A,3,Single game,Jelly Bellies,Net Ninjas,Net Ninjas,6,21,,,,,Ryan Kartchner,Chris Sorensen,Spencer Hansen,Josh Smith
Pool Play,4.0 Challenger,Group A,3,Single game,Placebros,Morgan's,Morgan's,15,21,,,,,Benjamin Scow,Carter Leavitt,Janalee Hatch,Ian Morgan
Pool Play,4.0 Challenger,Group B,3,Single game,The Empire Spikes Back,Fist my Bump,The Empire Spikes Back,15,9,,,,,Ben Hansen,Justin Tobin,Paulo Miro,Branden Buffington
