Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Playoff Bracket,Premier,Bracket A,Round of 16,Best of 3,Stupid Koalas,Bread and Butter,Stupid Koalas,18,21,21,12,21,13,Nathan Wong,Sabir Qureshi,vibhor dua,Eric Reinke
Playoff Bracket,Premier,Bracket A,Round of 16,Best of 3,Flabazadalagalalright,🌲 BHAD Boys,Flabazadalagalalright,21,15,21,15,,,Jordan Martin,Brendan Reesor,Nethaniel Gabriel,Joey Renaud
Playoff Bracket,Premier,Bracket A,Quarter-final,Best of 3,"BRO Big Dawgs ",Flabazadalagalalright,"BRO Big Dawgs ",21,11,21,15,,,Jared Ang,Adam Hassan,Jordan Martin,Brendan Reesor
Playoff Bracket,Premier,Bracket A,Quarter-final,Best of 3,Average Joe’s,Stupid Koalas,Average Joe’s,21,15,21,18,,,Chris Brown,Ben Pernfuss,Nathan Wong,Sabir Qureshi
Playoff Bracket,Premier,Bracket A,Quarter-final,Best of 3,Sauga Stealers,PB & J,Sauga Stealers,22,20,21,14,,,brandon farronato,Alex Kim,Peter Lam,Bryan Fonseca
Playoff Bracket,Premier,Bracket A,Quarter-final,Best of 3,Young (at Heart),The Orient Èlite,Young (at Heart),12,21,24,22,23,21,Gavin De Moura,Ezra Campanelli,Chris Loubert,Joshua Ang
Playoff Bracket,Premier,Bracket A,Semi-final,Best of 3,"BRO Big Dawgs ",Young (at Heart),"BRO Big Dawgs ",21,15,21,14,,,Jared Ang,Adam Hassan,Gavin De Moura,Ezra Campanelli
Playoff Bracket,Premier,Bracket A,Semi-final,Best of 3,Average Joe’s,Sauga Stealers,Average Joe’s,21,13,21,14,,,Chris Brown,Ben Pernfuss,brandon farronato,Alex Kim
Playoff Bracket,Premier,Bracket A,P5: Semi-final,Single game,The Orient Èlite,Flabazadalagalalright,The Orient Èlite,21,14,,,,,Chris Loubert,Joshua Ang,Jordan Martin,Brendan Reesor
Playoff Bracket,Premier,Bracket A,P5: Semi-final,Single game,PB & J,Stupid Koalas,Stupid Koalas,10,21,,,,,Peter Lam,Bryan Fonseca,Nathan Wong,Sabir Qureshi
Playoff Bracket,Premier,Bracket A,Final,Best of 3,"BRO Big Dawgs ",Average Joe’s,Average Joe’s,14,21,21,13,15,21,Jared Ang,Adam Hassan,Chris Brown,Ben Pernfuss
Playoff Bracket,Premier,Bracket A,P3: Final,Single game,Sauga Stealers,Young (at Heart),Young (at Heart),16,21,,,,,brandon farronato,Alex Kim,Gavin De Moura,Ezra Campanelli
Playoff Bracket,Premier,Bracket A,P5: Final,Single game,The Orient Èlite,Stupid Koalas,Stupid Koalas,19,21,,,,,Chris Loubert,Joshua Ang,Nathan Wong,Sabir Qureshi
Pool Play,Premier,Group A,1,Single game,Average Joe’s,PB & J,PB & J,13,15,,,,,Chris Brown,Ben Pernfuss,Peter Lam,Bryan Fonseca
Pool Play,Premier,Group A,1,Single game,The Orient Èlite,Bread and Butter,The Orient Èlite,15,5,,,,,Chris Loubert,Joshua Ang,vibhor dua,Eric Reinke
Pool Play,Premier,Group B,1,Single game,"BRO Big Dawgs ",🌲 BHAD Boys,"BRO Big Dawgs ",15,5,,,,,Jared Ang,Adam Hassan,Nethaniel Gabriel,Joey Renaud
Pool Play,Premier,Group B,1,Single game,Stupid Koalas,Young (at Heart),Young (at Heart),18,20,,,,,Nathan Wong,Sabir Qureshi,Gavin De Moura,Ezra Campanelli
Pool Play,Premier,Group A,2,Single game,Average Joe’s,Bread and Butter,Average Joe’s,15,9,,,,,Chris Brown,Ben Pernfuss,vibhor dua,Eric Reinke
Pool Play,Premier,Group A,2,Single game,Sauga Stealers,PB & J,Sauga Stealers,15,13,,,,,brandon farronato,Alex Kim,Peter Lam,Bryan Fonseca
Pool Play,Premier,Group B,2,Single game,"BRO Big Dawgs ",Young (at Heart),"BRO Big Dawgs ",15,12,,,,,Jared Ang,Adam Hassan,Gavin De Moura,Ezra Campanelli
Pool Play,Premier,Group B,2,Single game,Flabazadalagalalright,🌲 BHAD Boys,Flabazadalagalalright,15,12,,,,,Jordan Martin,Brendan Reesor,Nethaniel Gabriel,Joey Renaud
Pool Play,Premier,Group A,3,Single game,Average Joe’s,Sauga Stealers,Average Joe’s,18,16,,,,,Chris Brown,Ben Pernfuss,brandon farronato,Alex Kim
Pool Play,Premier,Group A,3,Single game,The Orient Èlite,PB & J,The Orient Èlite,15,5,,,,,Chris Loubert,Joshua Ang,Peter Lam,Bryan Fonseca
Pool Play,Premier,Group B,3,Single game,"BRO Big Dawgs ",Flabazadalagalalright,"BRO Big Dawgs ",15,7,,,,,Jared Ang,Adam Hassan,Jordan Martin,Brendan Reesor
Pool Play,Premier,Group B,3,Single game,Stupid Koalas,🌲 BHAD Boys,🌲 BHAD Boys,12,15,,,,,Nathan Wong,Sabir Qureshi,Nethaniel Gabriel,Joey Renaud
Pool Play,Premier,Group A,4,Single game,The Orient Èlite,Sauga Stealers,Sauga Stealers,14,16,,,,,Chris Loubert,Joshua Ang,brandon farronato,Alex Kim
Pool Play,Premier,Group A,4,Single game,Bread and Butter,PB & J,PB & J,10,15,,,,,vibhor dua,Eric Reinke,Peter Lam,Bryan Fonseca
Pool Play,Premier,Group B,4,Single game,Stupid Koalas,Flabazadalagalalright,Stupid Koalas,15,12,,,,,Nathan Wong,Sabir Qureshi,Jordan Martin,Brendan Reesor
Pool Play,Premier,Group B,4,Single game,Young (at Heart),🌲 BHAD Boys,Young (at Heart),16,14,,,,,Gavin De Moura,Ezra Campanelli,Nethaniel Gabriel,Joey Renaud
