"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"afsteel2024","2.0-3.0 Recreational","Pool","Cheesy Gordita Crunch","Lucky charms","Gentry Schmalz","Payton Wallin","Grant Hill","Logan Spencer",16,21
"afsteel2024","2.0-3.0 Recreational","Pool","The bakers","Team Tacos 🌮","Scott Stevenson","David Stevenson","Brett Bertola","Ben Pali",19,21
"afsteel2024","2.0-3.0 Recreational","Pool","Roundnet Rookies","Hot Shots","Parker Medford","Jaimen Holman","Brayden Nelson","Rylan Smith",21,16
"afsteel2024","2.0-3.0 Recreational","Pool","Jim and Dani","Gibbs & Brickey","Jim Valverde","Daniela Valverde","Anne Gibbs","Eli Brickey",15,21
"afsteel2024","2.0-3.0 Recreational","Pool","Cheesy Gordita Crunch","Team Tacos 🌮","Gentry Schmalz","Payton Wallin","Brett Bertola","Ben Pali",21,13
"afsteel2024","2.0-3.0 Recreational","Pool","The bakers","Lucky charms","Scott Stevenson","David Stevenson","Grant Hill","Logan Spencer",9,21
"afsteel2024","2.0-3.0 Recreational","Pool","Roundnet Rookies","Gibbs & Brickey","Parker Medford","Jaimen Holman","Anne Gibbs","Eli Brickey",22,20
"afsteel2024","2.0-3.0 Recreational","Pool","Jim and Dani","Hot Shots","Jim Valverde","Daniela Valverde","Brayden Nelson","Rylan Smith",11,21
"afsteel2024","2.0-3.0 Recreational","Pool","Cheesy Gordita Crunch","The bakers","Gentry Schmalz","Payton Wallin","Scott Stevenson","David Stevenson",21,14
"afsteel2024","2.0-3.0 Recreational","Pool","Team Tacos 🌮","Lucky charms","Brett Bertola","Ben Pali","Grant Hill","Logan Spencer",12,21
"afsteel2024","2.0-3.0 Recreational","Pool","Roundnet Rookies","Jim and Dani","Parker Medford","Jaimen Holman","Jim Valverde","Daniela Valverde",27,26
"afsteel2024","2.0-3.0 Recreational","Pool","Gibbs & Brickey","Hot Shots","Anne Gibbs","Eli Brickey","Brayden Nelson","Rylan Smith",21,15
"afsteel2024","2.0-3.0 Recreational","Quarter-final","Lucky charms","The bakers","Grant Hill","Logan Spencer","Scott Stevenson","David Stevenson",21,12
"afsteel2024","2.0-3.0 Recreational","Quarter-final","Lucky charms","The bakers","Grant Hill","Logan Spencer","Scott Stevenson","David Stevenson",21,10
"afsteel2024","2.0-3.0 Recreational","Quarter-final","Roundnet Rookies","Jim and Dani","Parker Medford","Jaimen Holman","Jim Valverde","Daniela Valverde",21,15
"afsteel2024","2.0-3.0 Recreational","Quarter-final","Roundnet Rookies","Jim and Dani","Parker Medford","Jaimen Holman","Jim Valverde","Daniela Valverde",21,11
"afsteel2024","2.0-3.0 Recreational","Quarter-final","Cheesy Gordita Crunch","Team Tacos 🌮","Gentry Schmalz","Payton Wallin","Brett Bertola","Ben Pali",21,5
"afsteel2024","2.0-3.0 Recreational","Quarter-final","Cheesy Gordita Crunch","Team Tacos 🌮","Gentry Schmalz","Payton Wallin","Brett Bertola","Ben Pali",21,14
"afsteel2024","2.0-3.0 Recreational","Quarter-final","Gibbs & Brickey","Hot Shots","Anne Gibbs","Eli Brickey","Brayden Nelson","Rylan Smith",23,21
"afsteel2024","2.0-3.0 Recreational","Quarter-final","Gibbs & Brickey","Hot Shots","Anne Gibbs","Eli Brickey","Brayden Nelson","Rylan Smith",21,13
"afsteel2024","2.0-3.0 Recreational","Semi-final","Lucky charms","Gibbs & Brickey","Grant Hill","Logan Spencer","Anne Gibbs","Eli Brickey",21,16
"afsteel2024","2.0-3.0 Recreational","Semi-final","Lucky charms","Gibbs & Brickey","Grant Hill","Logan Spencer","Anne Gibbs","Eli Brickey",21,16
"afsteel2024","2.0-3.0 Recreational","Semi-final","Roundnet Rookies","Cheesy Gordita Crunch","Parker Medford","Jaimen Holman","Gentry Schmalz","Payton Wallin",21,16
"afsteel2024","2.0-3.0 Recreational","Semi-final","Roundnet Rookies","Cheesy Gordita Crunch","Parker Medford","Jaimen Holman","Gentry Schmalz","Payton Wallin",13,21
"afsteel2024","2.0-3.0 Recreational","Semi-final","Roundnet Rookies","Cheesy Gordita Crunch","Parker Medford","Jaimen Holman","Gentry Schmalz","Payton Wallin",21,16
"afsteel2024","2.0-3.0 Recreational","P5: Semi-final","Hot Shots","The bakers","Brayden Nelson","Rylan Smith","Scott Stevenson","David Stevenson",21,15
"afsteel2024","2.0-3.0 Recreational","P5: Semi-final","Hot Shots","The bakers","Brayden Nelson","Rylan Smith","Scott Stevenson","David Stevenson",21,9
"afsteel2024","2.0-3.0 Recreational","P5: Semi-final","Team Tacos 🌮","Jim and Dani","Brett Bertola","Ben Pali","Jim Valverde","Daniela Valverde",12,21
"afsteel2024","2.0-3.0 Recreational","P5: Semi-final","Team Tacos 🌮","Jim and Dani","Brett Bertola","Ben Pali","Jim Valverde","Daniela Valverde",14,21
"afsteel2024","2.0-3.0 Recreational","Final","Lucky charms","Roundnet Rookies","Grant Hill","Logan Spencer","Parker Medford","Jaimen Holman",1,0
"afsteel2024","2.0-3.0 Recreational","Final","Lucky charms","Roundnet Rookies","Grant Hill","Logan Spencer","Parker Medford","Jaimen Holman",0,1
"afsteel2024","2.0-3.0 Recreational","Final","Lucky charms","Roundnet Rookies","Grant Hill","Logan Spencer","Parker Medford","Jaimen Holman",1,0
"afsteel2024","2.0-3.0 Recreational","P3: Final","Cheesy Gordita Crunch","Gibbs & Brickey","Gentry Schmalz","Payton Wallin","Anne Gibbs","Eli Brickey",19,21
"afsteel2024","2.0-3.0 Recreational","P3: Final","Cheesy Gordita Crunch","Gibbs & Brickey","Gentry Schmalz","Payton Wallin","Anne Gibbs","Eli Brickey",17,21
"afsteel2024","2.0-3.0 Recreational","P5: Final","Hot Shots","Jim and Dani","Brayden Nelson","Rylan Smith","Jim Valverde","Daniela Valverde",17,21
"afsteel2024","2.0-3.0 Recreational","P5: Final","Hot Shots","Jim and Dani","Brayden Nelson","Rylan Smith","Jim Valverde","Daniela Valverde",21,16
"afsteel2024","2.0-3.0 Recreational","P5: Final","Hot Shots","Jim and Dani","Brayden Nelson","Rylan Smith","Jim Valverde","Daniela Valverde",12,21
"afsteel2024","2.0-3.0 Recreational","P7: Final","Team Tacos 🌮","The bakers","Brett Bertola","Ben Pali","Scott Stevenson","David Stevenson",0,1
"afsteel2024","2.0-3.0 Recreational","P7: Final","Team Tacos 🌮","The bakers","Brett Bertola","Ben Pali","Scott Stevenson","David Stevenson",0,1
"afsteel2024","4.0 Advanced","Pool","No Name","Bus Drivers","Toby Hunt","Braydon Hunt","Stephen Moss","Maxson Daley",21,19
"afsteel2024","4.0 Advanced","Pool","Bluey Fanclub","The saints","Daniel Wight","Emily Harris","Luke Dalton","Kolten Hafen",21,15
"afsteel2024","4.0 Advanced","Pool","Flubbed High Five","Cortisol Cakes","Elvin Pok","Michael Sampson","Adam Turley","Ben Turley",21,12
"afsteel2024","4.0 Advanced","Pool","Ben and Becca R Gud at Spikbal","1843","Ben Reid","Becca Feller","Brogan Miles","Aaron Miles",21,17
"afsteel2024","4.0 Advanced","Pool","No Name","The saints","Toby Hunt","Braydon Hunt","Luke Dalton","Kolten Hafen",21,14
"afsteel2024","4.0 Advanced","Pool","Bluey Fanclub","Bus Drivers","Daniel Wight","Emily Harris","Stephen Moss","Maxson Daley",18,21
"afsteel2024","4.0 Advanced","Pool","Flubbed High Five","1843","Elvin Pok","Michael Sampson","Brogan Miles","Aaron Miles",17,21
"afsteel2024","4.0 Advanced","Pool","Ben and Becca R Gud at Spikbal","Cortisol Cakes","Ben Reid","Becca Feller","Adam Turley","Ben Turley",21,10
"afsteel2024","4.0 Advanced","Pool","No Name","Bluey Fanclub","Toby Hunt","Braydon Hunt","Daniel Wight","Emily Harris",21,11
"afsteel2024","4.0 Advanced","Pool","The saints","Bus Drivers","Luke Dalton","Kolten Hafen","Stephen Moss","Maxson Daley",21,17
"afsteel2024","4.0 Advanced","Pool","Flubbed High Five","Ben and Becca R Gud at Spikbal","Elvin Pok","Michael Sampson","Ben Reid","Becca Feller",21,19
"afsteel2024","4.0 Advanced","Pool","1843","Cortisol Cakes","Brogan Miles","Aaron Miles","Adam Turley","Ben Turley",23,21
"afsteel2024","4.0 Advanced","Quarter-final","No Name","Cortisol Cakes","Toby Hunt","Braydon Hunt","Adam Turley","Ben Turley",21,11
"afsteel2024","4.0 Advanced","Quarter-final","No Name","Cortisol Cakes","Toby Hunt","Braydon Hunt","Adam Turley","Ben Turley",21,12
"afsteel2024","4.0 Advanced","Quarter-final","Ben and Becca R Gud at Spikbal","The saints","Ben Reid","Becca Feller","Luke Dalton","Kolten Hafen",21,18
"afsteel2024","4.0 Advanced","Quarter-final","Ben and Becca R Gud at Spikbal","The saints","Ben Reid","Becca Feller","Luke Dalton","Kolten Hafen",21,13
"afsteel2024","4.0 Advanced","Quarter-final","Flubbed High Five","Bluey Fanclub","Elvin Pok","Michael Sampson","Daniel Wight","Emily Harris",21,16
"afsteel2024","4.0 Advanced","Quarter-final","Flubbed High Five","Bluey Fanclub","Elvin Pok","Michael Sampson","Daniel Wight","Emily Harris",21,14
"afsteel2024","4.0 Advanced","Quarter-final","1843","Bus Drivers","Brogan Miles","Aaron Miles","Stephen Moss","Maxson Daley",12,21
"afsteel2024","4.0 Advanced","Quarter-final","1843","Bus Drivers","Brogan Miles","Aaron Miles","Stephen Moss","Maxson Daley",17,21
"afsteel2024","4.0 Advanced","Semi-final","No Name","Bus Drivers","Toby Hunt","Braydon Hunt","Stephen Moss","Maxson Daley",21,17
"afsteel2024","4.0 Advanced","Semi-final","No Name","Bus Drivers","Toby Hunt","Braydon Hunt","Stephen Moss","Maxson Daley",21,15
"afsteel2024","4.0 Advanced","Semi-final","Ben and Becca R Gud at Spikbal","Flubbed High Five","Ben Reid","Becca Feller","Elvin Pok","Michael Sampson",21,18
"afsteel2024","4.0 Advanced","Semi-final","Ben and Becca R Gud at Spikbal","Flubbed High Five","Ben Reid","Becca Feller","Elvin Pok","Michael Sampson",14,21
"afsteel2024","4.0 Advanced","Semi-final","Ben and Becca R Gud at Spikbal","Flubbed High Five","Ben Reid","Becca Feller","Elvin Pok","Michael Sampson",18,21
"afsteel2024","4.0 Advanced","P5: Semi-final","1843","Cortisol Cakes","Brogan Miles","Aaron Miles","Adam Turley","Ben Turley",18,21
"afsteel2024","4.0 Advanced","P5: Semi-final","1843","Cortisol Cakes","Brogan Miles","Aaron Miles","Adam Turley","Ben Turley",21,16
"afsteel2024","4.0 Advanced","P5: Semi-final","1843","Cortisol Cakes","Brogan Miles","Aaron Miles","Adam Turley","Ben Turley",21,12
"afsteel2024","4.0 Advanced","Final","No Name","Flubbed High Five","Toby Hunt","Braydon Hunt","Elvin Pok","Michael Sampson",21,17
"afsteel2024","4.0 Advanced","Final","No Name","Flubbed High Five","Toby Hunt","Braydon Hunt","Elvin Pok","Michael Sampson",21,15
"afsteel2024","4.0 Advanced","P3: Final","Ben and Becca R Gud at Spikbal","Bus Drivers","Ben Reid","Becca Feller","Stephen Moss","Maxson Daley",0,1
"afsteel2024","4.0 Advanced","P3: Final","Ben and Becca R Gud at Spikbal","Bus Drivers","Ben Reid","Becca Feller","Stephen Moss","Maxson Daley",18,21
"afsteel2024","4.5 Elite","Pool","Double Fault","Chef’s Special","Luke Cook","Nathan Avalos","Steven Goodrich","Luke Gleave",21,15
"afsteel2024","4.5 Elite","Pool","Cote / Beard","Out of pocket","Cade Cote","Mo Beard","Christopher Marcusen","Tyler Caswell",21,18
"afsteel2024","4.5 Elite","Pool","The Duke of Tamang","Wheaties Box Rejects","Ryley Duke","Alex Tamang","Josh Freeman","Seth Lee",21,16
"afsteel2024","4.5 Elite","Pool","Double Fault","Out of pocket","Luke Cook","Nathan Avalos","Christopher Marcusen","Tyler Caswell",24,25
"afsteel2024","4.5 Elite","Pool","Cote / Beard","Whiff Wizards","Cade Cote","Mo Beard","Keyan McLaughlin","Gavin Caraway",23,21
"afsteel2024","4.5 Elite","Pool","Wheaties Box Rejects","Chef’s Special","Josh Freeman","Seth Lee","Steven Goodrich","Luke Gleave",15,21
"afsteel2024","4.5 Elite","Pool","Double Fault","Wheaties Box Rejects","Luke Cook","Nathan Avalos","Josh Freeman","Seth Lee",21,15
"afsteel2024","4.5 Elite","Pool","Cote / Beard","The Duke of Tamang","Cade Cote","Mo Beard","Ryley Duke","Alex Tamang",12,21
"afsteel2024","4.5 Elite","Pool","Whiff Wizards","Out of pocket","Keyan McLaughlin","Gavin Caraway","Christopher Marcusen","Tyler Caswell",18,21
"afsteel2024","4.5 Elite","Pool","Double Fault","Whiff Wizards","Luke Cook","Nathan Avalos","Keyan McLaughlin","Gavin Caraway",21,9
"afsteel2024","4.5 Elite","Pool","Cote / Beard","Chef’s Special","Cade Cote","Mo Beard","Steven Goodrich","Luke Gleave",21,15
"afsteel2024","4.5 Elite","Pool","The Duke of Tamang","Out of pocket","Ryley Duke","Alex Tamang","Christopher Marcusen","Tyler Caswell",21,18
"afsteel2024","4.5 Elite","Pool","Cote / Beard","Wheaties Box Rejects","Cade Cote","Mo Beard","Josh Freeman","Seth Lee",21,17
"afsteel2024","4.5 Elite","Pool","The Duke of Tamang","Whiff Wizards","Ryley Duke","Alex Tamang","Keyan McLaughlin","Gavin Caraway",21,19
"afsteel2024","4.5 Elite","Pool","Out of pocket","Chef’s Special","Christopher Marcusen","Tyler Caswell","Steven Goodrich","Luke Gleave",21,16
"afsteel2024","4.5 Elite","Pool","Double Fault","The Duke of Tamang","Luke Cook","Nathan Avalos","Ryley Duke","Alex Tamang",21,15
"afsteel2024","4.5 Elite","Pool","Whiff Wizards","Chef’s Special","Keyan McLaughlin","Gavin Caraway","Steven Goodrich","Luke Gleave",21,16
"afsteel2024","4.5 Elite","Pool","Wheaties Box Rejects","Out of pocket","Josh Freeman","Seth Lee","Christopher Marcusen","Tyler Caswell",18,21
"afsteel2024","4.5 Elite","Pool","Double Fault","Cote / Beard","Luke Cook","Nathan Avalos","Cade Cote","Mo Beard",21,16
"afsteel2024","4.5 Elite","Pool","The Duke of Tamang","Chef’s Special","Ryley Duke","Alex Tamang","Steven Goodrich","Luke Gleave",21,13
"afsteel2024","4.5 Elite","Pool","Whiff Wizards","Wheaties Box Rejects","Keyan McLaughlin","Gavin Caraway","Josh Freeman","Seth Lee",20,22
"afsteel2024","4.5 Elite","Quarter-final","The Duke of Tamang","Chef’s Special","Ryley Duke","Alex Tamang","Steven Goodrich","Luke Gleave",0,1
"afsteel2024","4.5 Elite","Quarter-final","The Duke of Tamang","Chef’s Special","Ryley Duke","Alex Tamang","Steven Goodrich","Luke Gleave",1,0
"afsteel2024","4.5 Elite","Quarter-final","The Duke of Tamang","Chef’s Special","Ryley Duke","Alex Tamang","Steven Goodrich","Luke Gleave",0,1
