"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"atlantakickoff2025","Expert","Pool","Narayan’s Nemesis","Goldman Stacks","Kyle Fowler","Polk Denmark","Peyton Stack","Justin Goldman",21,16
"atlantakickoff2025","Expert","Pool","can’t ice ice cold","Torta Pounders","Bradley Clark","Braedan Thomas","Isaac Mixon","David Gonzales",17,21
"atlantakickoff2025","Expert","Pool","Consensual","No Mames","Kurt Lannetti","Sean Caufield","Jackson Petroske","Blake Van Den Top",21,14
"atlantakickoff2025","Expert","Pool","paq/noah","Dalinqwents","Paq Clifford","Noah Kopetic","Brandon Tice","Cole Kuhlers",21,16
"atlantakickoff2025","Expert","Pool","NEM Seazonal","Claymore","Zach Snover","Jacob Summers","Harrison Baisden","Andrew Yancey",21,13
"atlantakickoff2025","Expert","Pool","Inspection","Wolfpack - Legends Edition","Jake Dooley","John Buchanan","Jacob Narayan","Tommy Drake",22,20
"atlantakickoff2025","Expert","Pool","Narayan’s Nemesis","Torta Pounders","Kyle Fowler","Polk Denmark","Isaac Mixon","David Gonzales",21,14
"atlantakickoff2025","Expert","Pool","can’t ice ice cold","Consensual","Bradley Clark","Braedan Thomas","Kurt Lannetti","Sean Caufield",18,21
"atlantakickoff2025","Expert","Pool","No Mames","Goldman Stacks","Jackson Petroske","Blake Van Den Top","Peyton Stack","Justin Goldman",14,21
"atlantakickoff2025","Expert","Pool","paq/noah","Claymore","Paq Clifford","Noah Kopetic","Harrison Baisden","Andrew Yancey",21,19
"atlantakickoff2025","Expert","Pool","NEM Seazonal","Inspection","Zach Snover","Jacob Summers","Jake Dooley","John Buchanan",21,19
"atlantakickoff2025","Expert","Pool","Wolfpack - Legends Edition","Dalinqwents","Jacob Narayan","Tommy Drake","Brandon Tice","Cole Kuhlers",15,21
"atlantakickoff2025","Expert","Pool","Narayan’s Nemesis","No Mames","Kyle Fowler","Polk Denmark","Jackson Petroske","Blake Van Den Top",21,13
"atlantakickoff2025","Expert","Pool","can’t ice ice cold","Goldman Stacks","Bradley Clark","Braedan Thomas","Peyton Stack","Justin Goldman",17,21
"atlantakickoff2025","Expert","Pool","Consensual","Torta Pounders","Kurt Lannetti","Sean Caufield","Isaac Mixon","David Gonzales",21,12
"atlantakickoff2025","Expert","Pool","paq/noah","Wolfpack - Legends Edition","Paq Clifford","Noah Kopetic","Jacob Narayan","Tommy Drake",21,15
"atlantakickoff2025","Expert","Pool","NEM Seazonal","Dalinqwents","Zach Snover","Jacob Summers","Brandon Tice","Cole Kuhlers",21,10
"atlantakickoff2025","Expert","Pool","Inspection","Claymore","Jake Dooley","John Buchanan","Harrison Baisden","Andrew Yancey",21,18
"atlantakickoff2025","Expert","Pool","Narayan’s Nemesis","Consensual","Kyle Fowler","Polk Denmark","Kurt Lannetti","Sean Caufield",21,10
"atlantakickoff2025","Expert","Pool","can’t ice ice cold","No Mames","Bradley Clark","Braedan Thomas","Jackson Petroske","Blake Van Den Top",19,21
"atlantakickoff2025","Expert","Pool","Torta Pounders","Goldman Stacks","Isaac Mixon","David Gonzales","Peyton Stack","Justin Goldman",19,21
"atlantakickoff2025","Expert","Pool","paq/noah","Inspection","Paq Clifford","Noah Kopetic","Jake Dooley","John Buchanan",21,17
"atlantakickoff2025","Expert","Pool","NEM Seazonal","Wolfpack - Legends Edition","Zach Snover","Jacob Summers","Jacob Narayan","Tommy Drake",21,10
"atlantakickoff2025","Expert","Pool","Claymore","Dalinqwents","Harrison Baisden","Andrew Yancey","Brandon Tice","Cole Kuhlers",21,19
"atlantakickoff2025","Expert","Pool","Narayan’s Nemesis","can’t ice ice cold","Kyle Fowler","Polk Denmark","Bradley Clark","Braedan Thomas",21,12
"atlantakickoff2025","Expert","Pool","Consensual","Goldman Stacks","Kurt Lannetti","Sean Caufield","Peyton Stack","Justin Goldman",21,16
"atlantakickoff2025","Expert","Pool","No Mames","Torta Pounders","Jackson Petroske","Blake Van Den Top","Isaac Mixon","David Gonzales",21,19
"atlantakickoff2025","Expert","Pool","paq/noah","NEM Seazonal","Paq Clifford","Noah Kopetic","Zach Snover","Jacob Summers",16,21
"atlantakickoff2025","Expert","Pool","Inspection","Dalinqwents","Jake Dooley","John Buchanan","Brandon Tice","Cole Kuhlers",18,21
"atlantakickoff2025","Expert","Pool","Wolfpack - Legends Edition","Claymore","Jacob Narayan","Tommy Drake","Harrison Baisden","Andrew Yancey",22,24
"atlantakickoff2025","Expert","Round of 16","Goldman Stacks","Wolfpack - Legends Edition","Peyton Stack","Justin Goldman","Jacob Narayan","Tommy Drake",21,18
"atlantakickoff2025","Expert","Round of 16","Goldman Stacks","Wolfpack - Legends Edition","Peyton Stack","Justin Goldman","Jacob Narayan","Tommy Drake",21,12
"atlantakickoff2025","Expert","Round of 16","Inspection","can’t ice ice cold","Jake Dooley","John Buchanan","Bradley Clark","Braedan Thomas",21,13
"atlantakickoff2025","Expert","Round of 16","Inspection","can’t ice ice cold","Jake Dooley","John Buchanan","Bradley Clark","Braedan Thomas",23,21
"atlantakickoff2025","Expert","Round of 16","Claymore","Torta Pounders","Harrison Baisden","Andrew Yancey","Isaac Mixon","David Gonzales",1,0
"atlantakickoff2025","Expert","Round of 16","Claymore","Torta Pounders","Harrison Baisden","Andrew Yancey","Isaac Mixon","David Gonzales",1,0
"atlantakickoff2025","Expert","Round of 16","Dalinqwents","No Mames","Brandon Tice","Cole Kuhlers","Jackson Petroske","Blake Van Den Top",17,21
"atlantakickoff2025","Expert","Round of 16","Dalinqwents","No Mames","Brandon Tice","Cole Kuhlers","Jackson Petroske","Blake Van Den Top",16,21
"atlantakickoff2025","Expert","Quarter-final","Narayan’s Nemesis","No Mames","Kyle Fowler","Polk Denmark","Jackson Petroske","Blake Van Den Top",21,11
"atlantakickoff2025","Expert","Quarter-final","Narayan’s Nemesis","No Mames","Kyle Fowler","Polk Denmark","Jackson Petroske","Blake Van Den Top",21,9
"atlantakickoff2025","Expert","Quarter-final","NEM Seazonal","Claymore","Zach Snover","Jacob Summers","Harrison Baisden","Andrew Yancey",21,16
"atlantakickoff2025","Expert","Quarter-final","NEM Seazonal","Claymore","Zach Snover","Jacob Summers","Harrison Baisden","Andrew Yancey",21,15
"atlantakickoff2025","Expert","Quarter-final","Consensual","Inspection","Kurt Lannetti","Sean Caufield","Jake Dooley","John Buchanan",14,21
"atlantakickoff2025","Expert","Quarter-final","Consensual","Inspection","Kurt Lannetti","Sean Caufield","Jake Dooley","John Buchanan",21,15
"atlantakickoff2025","Expert","Quarter-final","Consensual","Inspection","Kurt Lannetti","Sean Caufield","Jake Dooley","John Buchanan",19,21
"atlantakickoff2025","Expert","Quarter-final","paq/noah","Goldman Stacks","Paq Clifford","Noah Kopetic","Peyton Stack","Justin Goldman",21,14
"atlantakickoff2025","Expert","Quarter-final","paq/noah","Goldman Stacks","Paq Clifford","Noah Kopetic","Peyton Stack","Justin Goldman",19,21
"atlantakickoff2025","Expert","Quarter-final","paq/noah","Goldman Stacks","Paq Clifford","Noah Kopetic","Peyton Stack","Justin Goldman",21,15
"atlantakickoff2025","Expert","Semi-final","Narayan’s Nemesis","paq/noah","Kyle Fowler","Polk Denmark","Paq Clifford","Noah Kopetic",22,20
"atlantakickoff2025","Expert","Semi-final","Narayan’s Nemesis","paq/noah","Kyle Fowler","Polk Denmark","Paq Clifford","Noah Kopetic",21,15
"atlantakickoff2025","Expert","Semi-final","NEM Seazonal","Inspection","Zach Snover","Jacob Summers","Jake Dooley","John Buchanan",21,6
"atlantakickoff2025","Expert","Semi-final","NEM Seazonal","Inspection","Zach Snover","Jacob Summers","Jake Dooley","John Buchanan",21,12
"atlantakickoff2025","Expert","P5: Semi-final","Consensual","Claymore","Kurt Lannetti","Sean Caufield","Harrison Baisden","Andrew Yancey",0,-1
"atlantakickoff2025","Expert","P5: Semi-final","Consensual","Claymore","Kurt Lannetti","Sean Caufield","Harrison Baisden","Andrew Yancey",0,-1
"atlantakickoff2025","Expert","P9: Semi-final","Dalinqwents","Wolfpack - Legends Edition","Brandon Tice","Cole Kuhlers","Jacob Narayan","Tommy Drake",0,-1
"atlantakickoff2025","Expert","P9: Semi-final","Dalinqwents","Wolfpack - Legends Edition","Brandon Tice","Cole Kuhlers","Jacob Narayan","Tommy Drake",0,-1
"atlantakickoff2025","Expert","P9: Semi-final","Torta Pounders","can’t ice ice cold","Isaac Mixon","David Gonzales","Bradley Clark","Braedan Thomas",1,0
"atlantakickoff2025","Expert","P9: Semi-final","Torta Pounders","can’t ice ice cold","Isaac Mixon","David Gonzales","Bradley Clark","Braedan Thomas",1,0
"atlantakickoff2025","Expert","Final","Narayan’s Nemesis","NEM Seazonal","Kyle Fowler","Polk Denmark","Zach Snover","Jacob Summers",17,21
"atlantakickoff2025","Expert","Final","Narayan’s Nemesis","NEM Seazonal","Kyle Fowler","Polk Denmark","Zach Snover","Jacob Summers",18,21
"atlantakickoff2025","Expert","P3: Final","Inspection","paq/noah","Jake Dooley","John Buchanan","Paq Clifford","Noah Kopetic",1,0
"atlantakickoff2025","Expert","P3: Final","Inspection","paq/noah","Jake Dooley","John Buchanan","Paq Clifford","Noah Kopetic",0,1
"atlantakickoff2025","Expert","P3: Final","Inspection","paq/noah","Jake Dooley","John Buchanan","Paq Clifford","Noah Kopetic",1,0
"atlantakickoff2025","Expert","P5: Final","Goldman Stacks","Consensual","Peyton Stack","Justin Goldman","Kurt Lannetti","Sean Caufield",21,12
"atlantakickoff2025","Expert","P5: Final","Goldman Stacks","Consensual","Peyton Stack","Justin Goldman","Kurt Lannetti","Sean Caufield",28,26
"atlantakickoff2025","Contender","Pool","Should we play contender?","Big Wang Chang","Winston Zheng","Sam Bunze","Garret Chaffins","Ocean Chang",21,16
"atlantakickoff2025","Contender","Pool","bookie","Off Net Hitz","Andrew Nee","Tiff Ding","Parker Mckinney","Paul Berrey",21,19
"atlantakickoff2025","Contender","Pool","Out of Pocket","Bloody Rubbish Innit","Spencer Sexton","Eli Canon","Addyson Cobb","John Paul Pokorny",21,4
"atlantakickoff2025","Contender","Pool","I 💖 Gamma Phi","Survivors","Hampton Chappell","Joanna Gould","Zeke Beckford","Hudson Powers",21,12
"atlantakickoff2025","Contender","Pool","Mythical Pull","Remy Action","Austin Niles","Connar Kloehn","Maddie Huffstetler","Shelby Vanderhoof",21,9
"atlantakickoff2025","Contender","Pool","EA Sports","Martins/Das","Eric Baldwin","Anthony Schenk","Giovani Grisotti Martins","neil das",21,4
"atlantakickoff2025","Contender","Pool","Michael/Zack","TEEJ!","Michael Creedon","Zack Glew","Tahzjayee Gaymon","Ava Caron",21,9
"atlantakickoff2025","Contender","Pool","Pi Cuts","*Twisted* ","Lane Morris","Jake Kelley","Cody Peterson","Cole Solomon",15,21
