"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"atlslam2025","(5.0) Premier/ Bronze+","Pool","LL Gabriel’s little flower","Here for the reps","Gabe Finocchi","Kieran Rose","Sam Bunze","Brent Summers",21,11
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Mollywhop","dawg sandwich","Aleks Essen","Cole Maddox","Sean Caufield","Jeremy Lee",21,10
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Blind Bandits","Vogue & Vintage","Henry Pilliod","Sunny Gu","Braedan Thomas","Ben Landes",21,12
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Clifford/Fowler","Noah/Hampton","Kyle Fowler","Paq Clifford","Hampton Chappell","Noah Kopetic",21,7
"atlslam2025","(5.0) Premier/ Bronze+","Pool","NEM Seazonal","Niles/Sullivan","Jacob Summers","Zach Snover","Gavin Sullivan","Austin Niles",21,12
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Clip Farm","Code Red","Polk Denmark","Andrew Greer","Colton Olvey","Harrison Baisden",17,21
"atlslam2025","(5.0) Premier/ Bronze+","Pool","LL Gabriel’s little flower","dawg sandwich","Gabe Finocchi","Kieran Rose","Sean Caufield","Jeremy Lee",21,6
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Benny Boo & Jare Bear","Here for the reps","Jared Beaufait","Ben Savage","Sam Bunze","Brent Summers",21,6
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Blind Bandits","Noah/Hampton","Henry Pilliod","Sunny Gu","Hampton Chappell","Noah Kopetic",21,15
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Tatakai","Vogue & Vintage","Adam Porter","Juan Moscoso","Braedan Thomas","Ben Landes",21,15
"atlslam2025","(5.0) Premier/ Bronze+","Pool","NEM Seazonal","Code Red","Jacob Summers","Zach Snover","Colton Olvey","Harrison Baisden",21,16
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Born in Atlanta","Niles/Sullivan","Bradley Clark","Jacob Narayan","Gavin Sullivan","Austin Niles",21,13
"atlslam2025","(5.0) Premier/ Bronze+","Pool","LL Gabriel’s little flower","Benny Boo & Jare Bear","Gabe Finocchi","Kieran Rose","Jared Beaufait","Ben Savage",21,16
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Mollywhop","Here for the reps","Aleks Essen","Cole Maddox","Sam Bunze","Brent Summers",21,16
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Blind Bandits","Tatakai","Henry Pilliod","Sunny Gu","Adam Porter","Juan Moscoso",21,14
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Clifford/Fowler","Vogue & Vintage","Kyle Fowler","Paq Clifford","Braedan Thomas","Ben Landes",21,8
"atlslam2025","(5.0) Premier/ Bronze+","Pool","NEM Seazonal","Born in Atlanta","Jacob Summers","Zach Snover","Bradley Clark","Jacob Narayan",21,18
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Clip Farm","Niles/Sullivan","Polk Denmark","Andrew Greer","Gavin Sullivan","Austin Niles",21,16
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Mollywhop","Benny Boo & Jare Bear","Aleks Essen","Cole Maddox","Jared Beaufait","Ben Savage",21,18
"atlslam2025","(5.0) Premier/ Bronze+","Pool","dawg sandwich","Here for the reps","Sean Caufield","Jeremy Lee","Sam Bunze","Brent Summers",24,22
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Clifford/Fowler","Tatakai","Kyle Fowler","Paq Clifford","Adam Porter","Juan Moscoso",21,17
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Noah/Hampton","Vogue & Vintage","Hampton Chappell","Noah Kopetic","Braedan Thomas","Ben Landes",18,21
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Clip Farm","Born in Atlanta","Polk Denmark","Andrew Greer","Bradley Clark","Jacob Narayan",21,15
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Code Red","Niles/Sullivan","Colton Olvey","Harrison Baisden","Gavin Sullivan","Austin Niles",21,16
"atlslam2025","(5.0) Premier/ Bronze+","Pool","LL Gabriel’s little flower","Mollywhop","Gabe Finocchi","Kieran Rose","Aleks Essen","Cole Maddox",21,12
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Benny Boo & Jare Bear","dawg sandwich","Jared Beaufait","Ben Savage","Sean Caufield","Jeremy Lee",21,19
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Blind Bandits","Clifford/Fowler","Henry Pilliod","Sunny Gu","Kyle Fowler","Paq Clifford",16,21
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Tatakai","Noah/Hampton","Adam Porter","Juan Moscoso","Hampton Chappell","Noah Kopetic",16,21
"atlslam2025","(5.0) Premier/ Bronze+","Pool","NEM Seazonal","Clip Farm","Jacob Summers","Zach Snover","Polk Denmark","Andrew Greer",21,11
"atlslam2025","(5.0) Premier/ Bronze+","Pool","Born in Atlanta","Code Red","Bradley Clark","Jacob Narayan","Colton Olvey","Harrison Baisden",15,21
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Clifford/Fowler","Here for the reps","Kyle Fowler","Paq Clifford","Sam Bunze","Brent Summers",21,16
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Clifford/Fowler","Here for the reps","Kyle Fowler","Paq Clifford","Sam Bunze","Brent Summers",21,10
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","NEM Seazonal","Niles/Sullivan","Jacob Summers","Zach Snover","Gavin Sullivan","Austin Niles",21,11
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","NEM Seazonal","Niles/Sullivan","Jacob Summers","Zach Snover","Gavin Sullivan","Austin Niles",21,16
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Blind Bandits","dawg sandwich","Henry Pilliod","Sunny Gu","Sean Caufield","Jeremy Lee",21,11
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Blind Bandits","dawg sandwich","Henry Pilliod","Sunny Gu","Sean Caufield","Jeremy Lee",21,19
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Mollywhop","Vogue & Vintage","Aleks Essen","Cole Maddox","Braedan Thomas","Ben Landes",21,15
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Mollywhop","Vogue & Vintage","Aleks Essen","Cole Maddox","Braedan Thomas","Ben Landes",21,23
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Mollywhop","Vogue & Vintage","Aleks Essen","Cole Maddox","Braedan Thomas","Ben Landes",21,17
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Code Red","Noah/Hampton","Colton Olvey","Harrison Baisden","Hampton Chappell","Noah Kopetic",21,17
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Code Red","Noah/Hampton","Colton Olvey","Harrison Baisden","Hampton Chappell","Noah Kopetic",21,16
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Benny Boo & Jare Bear","Tatakai","Jared Beaufait","Ben Savage","Adam Porter","Juan Moscoso",21,18
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Benny Boo & Jare Bear","Tatakai","Jared Beaufait","Ben Savage","Adam Porter","Juan Moscoso",21,14
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Clip Farm","Born in Atlanta","Polk Denmark","Andrew Greer","Bradley Clark","Jacob Narayan",21,19
"atlslam2025","(5.0) Premier/ Bronze+","Round of 16","Clip Farm","Born in Atlanta","Polk Denmark","Andrew Greer","Bradley Clark","Jacob Narayan",22,20
"atlslam2025","(5.0) Premier/ Bronze+","Quarter-final","LL Gabriel’s little flower","Clip Farm","Gabe Finocchi","Kieran Rose","Polk Denmark","Andrew Greer",19,21
"atlslam2025","(5.0) Premier/ Bronze+","Quarter-final","LL Gabriel’s little flower","Clip Farm","Gabe Finocchi","Kieran Rose","Polk Denmark","Andrew Greer",21,16
"atlslam2025","(5.0) Premier/ Bronze+","Quarter-final","LL Gabriel’s little flower","Clip Farm","Gabe Finocchi","Kieran Rose","Polk Denmark","Andrew Greer",21,19
"atlslam2025","(5.0) Premier/ Bronze+","Quarter-final","Clifford/Fowler","Benny Boo & Jare Bear","Kyle Fowler","Paq Clifford","Jared Beaufait","Ben Savage",21,13
"atlslam2025","(5.0) Premier/ Bronze+","Quarter-final","Clifford/Fowler","Benny Boo & Jare Bear","Kyle Fowler","Paq Clifford","Jared Beaufait","Ben Savage",25,23
"atlslam2025","(5.0) Premier/ Bronze+","Quarter-final","NEM Seazonal","Code Red","Jacob Summers","Zach Snover","Colton Olvey","Harrison Baisden",21,17
"atlslam2025","(5.0) Premier/ Bronze+","Quarter-final","NEM Seazonal","Code Red","Jacob Summers","Zach Snover","Colton Olvey","Harrison Baisden",24,22
"atlslam2025","(5.0) Premier/ Bronze+","Quarter-final","Blind Bandits","Mollywhop","Henry Pilliod","Sunny Gu","Aleks Essen","Cole Maddox",21,16
"atlslam2025","(5.0) Premier/ Bronze+","Quarter-final","Blind Bandits","Mollywhop","Henry Pilliod","Sunny Gu","Aleks Essen","Cole Maddox",22,24
"atlslam2025","(5.0) Premier/ Bronze+","Quarter-final","Blind Bandits","Mollywhop","Henry Pilliod","Sunny Gu","Aleks Essen","Cole Maddox",16,21
"atlslam2025","(5.0) Premier/ Bronze+","P9: Quarter-final","Tatakai","Here for the reps","Adam Porter","Juan Moscoso","Sam Bunze","Brent Summers",21,17
"atlslam2025","(5.0) Premier/ Bronze+","P9: Quarter-final","Tatakai","Here for the reps","Adam Porter","Juan Moscoso","Sam Bunze","Brent Summers",1,0
"atlslam2025","(5.0) Premier/ Bronze+","P9: Quarter-final","Noah/Hampton","Niles/Sullivan","Hampton Chappell","Noah Kopetic","Gavin Sullivan","Austin Niles",21,16
"atlslam2025","(5.0) Premier/ Bronze+","P9: Quarter-final","Noah/Hampton","Niles/Sullivan","Hampton Chappell","Noah Kopetic","Gavin Sullivan","Austin Niles",1,0
"atlslam2025","(5.0) Premier/ Bronze+","P9: Quarter-final","Vogue & Vintage","dawg sandwich","Braedan Thomas","Ben Landes","Sean Caufield","Jeremy Lee",-1,0
"atlslam2025","(5.0) Premier/ Bronze+","P9: Quarter-final","Vogue & Vintage","dawg sandwich","Braedan Thomas","Ben Landes","Sean Caufield","Jeremy Lee",-1,0
"atlslam2025","(5.0) Premier/ Bronze+","Semi-final","LL Gabriel’s little flower","Mollywhop","Gabe Finocchi","Kieran Rose","Aleks Essen","Cole Maddox",21,19
"atlslam2025","(5.0) Premier/ Bronze+","Semi-final","LL Gabriel’s little flower","Mollywhop","Gabe Finocchi","Kieran Rose","Aleks Essen","Cole Maddox",-1,0
"atlslam2025","(5.0) Premier/ Bronze+","Semi-final","LL Gabriel’s little flower","Mollywhop","Gabe Finocchi","Kieran Rose","Aleks Essen","Cole Maddox",-1,0
"atlslam2025","(5.0) Premier/ Bronze+","Semi-final","Clifford/Fowler","NEM Seazonal","Kyle Fowler","Paq Clifford","Jacob Summers","Zach Snover",21,19
"atlslam2025","(5.0) Premier/ Bronze+","Semi-final","Clifford/Fowler","NEM Seazonal","Kyle Fowler","Paq Clifford","Jacob Summers","Zach Snover",21,15
"atlslam2025","(5.0) Premier/ Bronze+","P5: Semi-final","Blind Bandits","Clip Farm","Henry Pilliod","Sunny Gu","Polk Denmark","Andrew Greer",21,15
