"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"bc sts 2023","Premier 5.0+","Pool","Insystem","Justin/Alec","Blake Bosak","Etienne Cote","Alec Galbo","Justin Cho",21,9
"bc sts 2023","Premier 5.0+","Pool","Nelson/Wideman","Star Power","Nick Wideman","Connor Nelson","lucas peng","Conner Bradshaw",21,18
"bc sts 2023","Premier 5.0+","Pool","Big W Rizz","ARC Bitter","Élie Pilon","Trevor Barbosa","Austin Bueckert","Spencer Longfellow",16,21
"bc sts 2023","Premier 5.0+","Pool","CRO Fall Damage","Small/Goh","Tyler Babin","Chris Brown","Nathan Goh","Jason Small",21,11
"bc sts 2023","Premier 5.0+","Pool","Wesburn","Foote Fetish","Eddy Leung","Ivan Zeng","Nolan Wynkoop","Jake Woolley",16,21
"bc sts 2023","Premier 5.0+","Pool","Guachos","Prairie Oysters","Josh Fragiacomo","Ryan Oswalt","Deryk Kirchner","Keaton Kirchner",21,16
"bc sts 2023","Premier 5.0+","Pool","Sub Par","Groovy","Brandon Brown","Jacob Payer","Carlin Vicera","Will Ries",19,21
"bc sts 2023","Premier 5.0+","Pool","Texas Blows","BDM Da Fence Builders","Dean Wasil","Luis Orozco","Joseph Kaylor","Ryan Baillargeon",21,17
"bc sts 2023","Premier 5.0+","Pool","The Prince","Elijah/Bram","Samuel Prince","Maxime Prince","Bram Declercq","Elijah Kim",19,21
"bc sts 2023","Premier 5.0+","Pool","Numb","Commissionary","Kieran Rose","Paq Clifford","Peter Lam","Nethaniel Gabriel",21,10
"bc sts 2023","Premier 5.0+","Pool","CRO happy birthday!","TRP KPOP","Leonardo Tullo","Adrian Garcea","kevin um","Karah Hui",21,17
"bc sts 2023","Premier 5.0+","Pool","Insystem","Star Power","Blake Bosak","Etienne Cote","lucas peng","Conner Bradshaw",21,11
"bc sts 2023","Premier 5.0+","Pool","Sin City","Justin/Alec","Nicholas Puopolo","Malachi Espinola","Alec Galbo","Justin Cho",21,13
"bc sts 2023","Premier 5.0+","Pool","Big W Rizz","Small/Goh","Élie Pilon","Trevor Barbosa","Nathan Goh","Jason Small",21,14
"bc sts 2023","Premier 5.0+","Pool","CRO Fall Damage","Wesburn","Tyler Babin","Chris Brown","Eddy Leung","Ivan Zeng",21,16
"bc sts 2023","Premier 5.0+","Pool","Foote Fetish","ARC Bitter","Nolan Wynkoop","Jake Woolley","Austin Bueckert","Spencer Longfellow",25,24
"bc sts 2023","Premier 5.0+","Pool","Guachos","Groovy","Josh Fragiacomo","Ryan Oswalt","Carlin Vicera","Will Ries",21,18
"bc sts 2023","Premier 5.0+","Pool","Sub Par","Texas Blows","Brandon Brown","Jacob Payer","Dean Wasil","Luis Orozco",17,21
"bc sts 2023","Premier 5.0+","Pool","BDM Da Fence Builders","Prairie Oysters","Joseph Kaylor","Ryan Baillargeon","Deryk Kirchner","Keaton Kirchner",21,23
"bc sts 2023","Premier 5.0+","Pool","The Prince","Commissionary","Samuel Prince","Maxime Prince","Peter Lam","Nethaniel Gabriel",21,13
"bc sts 2023","Premier 5.0+","Pool","Numb","CRO happy birthday!","Kieran Rose","Paq Clifford","Leonardo Tullo","Adrian Garcea",21,9
"bc sts 2023","Premier 5.0+","Pool","TRP KPOP","Elijah/Bram","kevin um","Karah Hui","Bram Declercq","Elijah Kim",15,21
"bc sts 2023","Premier 5.0+","Pool","Insystem","Sin City","Blake Bosak","Etienne Cote","Nicholas Puopolo","Malachi Espinola",21,14
"bc sts 2023","Premier 5.0+","Pool","Nelson/Wideman","Justin/Alec","Nick Wideman","Connor Nelson","Alec Galbo","Justin Cho",21,12
"bc sts 2023","Premier 5.0+","Pool","Big W Rizz","Foote Fetish","Élie Pilon","Trevor Barbosa","Nolan Wynkoop","Jake Woolley",21,19
"bc sts 2023","Premier 5.0+","Pool","CRO Fall Damage","ARC Bitter","Tyler Babin","Chris Brown","Austin Bueckert","Spencer Longfellow",21,17
"bc sts 2023","Premier 5.0+","Pool","Wesburn","Small/Goh","Eddy Leung","Ivan Zeng","Nathan Goh","Jason Small",21,7
"bc sts 2023","Premier 5.0+","Pool","Guachos","BDM Da Fence Builders","Josh Fragiacomo","Ryan Oswalt","Joseph Kaylor","Ryan Baillargeon",21,15
"bc sts 2023","Premier 5.0+","Pool","Sub Par","Prairie Oysters","Brandon Brown","Jacob Payer","Deryk Kirchner","Keaton Kirchner",13,21
"bc sts 2023","Premier 5.0+","Pool","Texas Blows","Groovy","Dean Wasil","Luis Orozco","Carlin Vicera","Will Ries",21,15
"bc sts 2023","Premier 5.0+","Pool","The Prince","TRP KPOP","Samuel Prince","Maxime Prince","kevin um","Karah Hui",21,14
"bc sts 2023","Premier 5.0+","Pool","Numb","Elijah/Bram","Kieran Rose","Paq Clifford","Bram Declercq","Elijah Kim",21,15
"bc sts 2023","Premier 5.0+","Pool","CRO happy birthday!","Commissionary","Leonardo Tullo","Adrian Garcea","Peter Lam","Nethaniel Gabriel",21,15
"bc sts 2023","Premier 5.0+","Pool","Nelson/Wideman","Sin City","Nick Wideman","Connor Nelson","Nicholas Puopolo","Malachi Espinola",21,17
"bc sts 2023","Premier 5.0+","Pool","Star Power","Justin/Alec","lucas peng","Conner Bradshaw","Alec Galbo","Justin Cho",21,17
"bc sts 2023","Premier 5.0+","Pool","Big W Rizz","Wesburn","Élie Pilon","Trevor Barbosa","Eddy Leung","Ivan Zeng",21,18
"bc sts 2023","Premier 5.0+","Pool","CRO Fall Damage","Foote Fetish","Tyler Babin","Chris Brown","Nolan Wynkoop","Jake Woolley",15,21
"bc sts 2023","Premier 5.0+","Pool","Small/Goh","ARC Bitter","Nathan Goh","Jason Small","Austin Bueckert","Spencer Longfellow",17,21
"bc sts 2023","Premier 5.0+","Pool","Guachos","Texas Blows","Josh Fragiacomo","Ryan Oswalt","Dean Wasil","Luis Orozco",21,12
"bc sts 2023","Premier 5.0+","Pool","Sub Par","BDM Da Fence Builders","Brandon Brown","Jacob Payer","Joseph Kaylor","Ryan Baillargeon",21,15
"bc sts 2023","Premier 5.0+","Pool","Groovy","Prairie Oysters","Carlin Vicera","Will Ries","Deryk Kirchner","Keaton Kirchner",24,25
"bc sts 2023","Premier 5.0+","Pool","The Prince","CRO happy birthday!","Samuel Prince","Maxime Prince","Leonardo Tullo","Adrian Garcea",21,14
"bc sts 2023","Premier 5.0+","Pool","Numb","TRP KPOP","Kieran Rose","Paq Clifford","kevin um","Karah Hui",21,19
"bc sts 2023","Premier 5.0+","Pool","Commissionary","Elijah/Bram","Peter Lam","Nethaniel Gabriel","Bram Declercq","Elijah Kim",10,21
"bc sts 2023","Premier 5.0+","Pool","Insystem","Nelson/Wideman","Blake Bosak","Etienne Cote","Nick Wideman","Connor Nelson",21,15
"bc sts 2023","Premier 5.0+","Pool","Sin City","Star Power","Nicholas Puopolo","Malachi Espinola","lucas peng","Conner Bradshaw",21,14
"bc sts 2023","Premier 5.0+","Pool","Big W Rizz","CRO Fall Damage","Élie Pilon","Trevor Barbosa","Tyler Babin","Chris Brown",18,21
"bc sts 2023","Premier 5.0+","Pool","Wesburn","ARC Bitter","Eddy Leung","Ivan Zeng","Austin Bueckert","Spencer Longfellow",21,14
