"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"casropen4","5.0 Expert","Pool","De 916","9/10 Dentists Recommend","Clifton Miller","Trevor Barbosa","Tim Gaskin","Adrianna Grothause",21,15
"casropen4","5.0 Expert","Pool","fun guys","Ben Dover","Alec Galbo","Jake Oxendine","Benjamin Walker-Edwards","Devon Lee",21,13
"casropen4","5.0 Expert","Pool","Nelson / Lowe","Harold and Kumar","Elle Lowe","Connor Nelson","Matthew Kamimura","Niviru Wijayaratne",21,10
"casropen4","5.0 Expert","Pool","Big Slick","hits don't lie","Michael Du","Nathan Robertt","Dylan Cunningham","Nate Gauthier",21,8
"casropen4","5.0 Expert","Pool","De 916","Ben Dover","Clifton Miller","Trevor Barbosa","Benjamin Walker-Edwards","Devon Lee",21,9
"casropen4","5.0 Expert","Pool","The Blind Bandits","9/10 Dentists Recommend","Noah Saddik","Joey Carmichael","Tim Gaskin","Adrianna Grothause",21,17
"casropen4","5.0 Expert","Pool","Nelson / Lowe","hits don't lie","Elle Lowe","Connor Nelson","Dylan Cunningham","Nate Gauthier",21,10
"casropen4","5.0 Expert","Pool","REIGN","Harold and Kumar","Thompson Yang","Costas Foster","Matthew Kamimura","Niviru Wijayaratne",15,21
"casropen4","5.0 Expert","Pool","De 916","The Blind Bandits","Clifton Miller","Trevor Barbosa","Noah Saddik","Joey Carmichael",21,12
"casropen4","5.0 Expert","Pool","fun guys","9/10 Dentists Recommend","Alec Galbo","Jake Oxendine","Tim Gaskin","Adrianna Grothause",21,23
"casropen4","5.0 Expert","Pool","Nelson / Lowe","REIGN","Elle Lowe","Connor Nelson","Thompson Yang","Costas Foster",21,13
"casropen4","5.0 Expert","Pool","Big Slick","Harold and Kumar","Michael Du","Nathan Robertt","Matthew Kamimura","Niviru Wijayaratne",21,12
"casropen4","5.0 Expert","Pool","fun guys","The Blind Bandits","Alec Galbo","Jake Oxendine","Noah Saddik","Joey Carmichael",15,21
"casropen4","5.0 Expert","Pool","Ben Dover","9/10 Dentists Recommend","Benjamin Walker-Edwards","Devon Lee","Tim Gaskin","Adrianna Grothause",21,17
"casropen4","5.0 Expert","Pool","Big Slick","REIGN","Michael Du","Nathan Robertt","Thompson Yang","Costas Foster",21,11
"casropen4","5.0 Expert","Pool","hits don't lie","Harold and Kumar","Dylan Cunningham","Nate Gauthier","Matthew Kamimura","Niviru Wijayaratne",12,21
"casropen4","5.0 Expert","Pool","De 916","fun guys","Clifton Miller","Trevor Barbosa","Alec Galbo","Jake Oxendine",21,18
"casropen4","5.0 Expert","Pool","The Blind Bandits","Ben Dover","Noah Saddik","Joey Carmichael","Benjamin Walker-Edwards","Devon Lee",21,16
"casropen4","5.0 Expert","Pool","Nelson / Lowe","Big Slick","Elle Lowe","Connor Nelson","Michael Du","Nathan Robertt",22,20
"casropen4","5.0 Expert","Pool","REIGN","hits don't lie","Thompson Yang","Costas Foster","Dylan Cunningham","Nate Gauthier",23,25
"casropen4","5.0 Expert","Round of 16","9/10 Dentists Recommend","REIGN","Tim Gaskin","Adrianna Grothause","Thompson Yang","Costas Foster",21,16
"casropen4","5.0 Expert","Round of 16","9/10 Dentists Recommend","REIGN","Tim Gaskin","Adrianna Grothause","Thompson Yang","Costas Foster",21,14
"casropen4","5.0 Expert","Round of 16","Ben Dover","hits don't lie","Benjamin Walker-Edwards","Devon Lee","Dylan Cunningham","Nate Gauthier",21,13
"casropen4","5.0 Expert","Round of 16","Ben Dover","hits don't lie","Benjamin Walker-Edwards","Devon Lee","Dylan Cunningham","Nate Gauthier",21,14
"casropen4","5.0 Expert","Quarter-final","Nelson / Lowe","Ben Dover","Elle Lowe","Connor Nelson","Benjamin Walker-Edwards","Devon Lee",1,0
"casropen4","5.0 Expert","Quarter-final","Nelson / Lowe","Ben Dover","Elle Lowe","Connor Nelson","Benjamin Walker-Edwards","Devon Lee",1,0
"casropen4","5.0 Expert","Quarter-final","De 916","9/10 Dentists Recommend","Clifton Miller","Trevor Barbosa","Tim Gaskin","Adrianna Grothause",21,15
"casropen4","5.0 Expert","Quarter-final","De 916","9/10 Dentists Recommend","Clifton Miller","Trevor Barbosa","Tim Gaskin","Adrianna Grothause",21,12
"casropen4","5.0 Expert","Quarter-final","Big Slick","fun guys","Michael Du","Nathan Robertt","Alec Galbo","Jake Oxendine",21,13
"casropen4","5.0 Expert","Quarter-final","Big Slick","fun guys","Michael Du","Nathan Robertt","Alec Galbo","Jake Oxendine",21,15
"casropen4","5.0 Expert","Quarter-final","The Blind Bandits","Harold and Kumar","Noah Saddik","Joey Carmichael","Matthew Kamimura","Niviru Wijayaratne",0,1
"casropen4","5.0 Expert","Quarter-final","The Blind Bandits","Harold and Kumar","Noah Saddik","Joey Carmichael","Matthew Kamimura","Niviru Wijayaratne",1,0
"casropen4","5.0 Expert","Quarter-final","The Blind Bandits","Harold and Kumar","Noah Saddik","Joey Carmichael","Matthew Kamimura","Niviru Wijayaratne",1,0
"casropen4","5.0 Expert","Semi-final","Nelson / Lowe","The Blind Bandits","Elle Lowe","Connor Nelson","Noah Saddik","Joey Carmichael",21,16
"casropen4","5.0 Expert","Semi-final","Nelson / Lowe","The Blind Bandits","Elle Lowe","Connor Nelson","Noah Saddik","Joey Carmichael",21,10
"casropen4","5.0 Expert","Semi-final","De 916","Big Slick","Clifton Miller","Trevor Barbosa","Michael Du","Nathan Robertt",21,19
"casropen4","5.0 Expert","Semi-final","De 916","Big Slick","Clifton Miller","Trevor Barbosa","Michael Du","Nathan Robertt",19,21
"casropen4","5.0 Expert","Semi-final","De 916","Big Slick","Clifton Miller","Trevor Barbosa","Michael Du","Nathan Robertt",18,21
"casropen4","5.0 Expert","P5: Semi-final","fun guys","9/10 Dentists Recommend","Alec Galbo","Jake Oxendine","Tim Gaskin","Adrianna Grothause",1,0
"casropen4","5.0 Expert","P5: Semi-final","fun guys","9/10 Dentists Recommend","Alec Galbo","Jake Oxendine","Tim Gaskin","Adrianna Grothause",0,1
"casropen4","5.0 Expert","P5: Semi-final","fun guys","9/10 Dentists Recommend","Alec Galbo","Jake Oxendine","Tim Gaskin","Adrianna Grothause",1,0
"casropen4","5.0 Expert","Final","Nelson / Lowe","Big Slick","Elle Lowe","Connor Nelson","Michael Du","Nathan Robertt",21,16
"casropen4","5.0 Expert","Final","Nelson / Lowe","Big Slick","Elle Lowe","Connor Nelson","Michael Du","Nathan Robertt",21,17
"casropen4","5.0 Expert","P3: Final","De 916","The Blind Bandits","Clifton Miller","Trevor Barbosa","Noah Saddik","Joey Carmichael",21,9
"casropen4","2.0-4.0 Contender","Pool","Poutine Powered","Beef noodle soup","George Zywiel","Brian Quach","Matthew Banh","Jonathan Chen",15,4
"casropen4","2.0-4.0 Contender","Pool","Alex/Jack","HAYES-HEELY","Jack Busa","Alex Veron","Dustin Sicherman","James Tabula",15,11
