"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"casropener26","5.0 Expert","Pool","Tarpey","Werkin and Twerkin","Joseph Kaylor","Josh Fragiacomo","Eli Roth","Nathaniel Schrag",21,11
"casropener26","5.0 Expert","Pool","Samson? / Alexander.","Alec/devon","Aniket Matharasi","Sasha Mariniuk","Devon Lee","Alec Galbo",22,20
"casropener26","5.0 Expert","Pool","Nelson / Lowe","11th Hour","Connor Nelson","Elle Lowe","Matthew Kamimura","Jake Young",21,10
"casropener26","5.0 Expert","Pool","TMNT Sac Sisters","Pineapple Teriyaki Burger","Clifton Miller","Lucas Pruett","Noah Saddik","Trevor Folden",21,16
"casropener26","5.0 Expert","Pool","Tarpey","Alec/devon","Joseph Kaylor","Josh Fragiacomo","Devon Lee","Alec Galbo",14,21
"casropener26","5.0 Expert","Pool","Samson? / Alexander.","Werkin and Twerkin","Aniket Matharasi","Sasha Mariniuk","Eli Roth","Nathaniel Schrag",21,14
"casropener26","5.0 Expert","Pool","Nelson / Lowe","Pineapple Teriyaki Burger","Connor Nelson","Elle Lowe","Noah Saddik","Trevor Folden",21,17
"casropener26","5.0 Expert","Pool","TMNT Sac Sisters","11th Hour","Clifton Miller","Lucas Pruett","Matthew Kamimura","Jake Young",21,15
"casropener26","5.0 Expert","Pool","Tarpey","Samson? / Alexander.","Joseph Kaylor","Josh Fragiacomo","Aniket Matharasi","Sasha Mariniuk",23,21
"casropener26","5.0 Expert","Pool","Alec/devon","Werkin and Twerkin","Devon Lee","Alec Galbo","Eli Roth","Nathaniel Schrag",21,9
"casropener26","5.0 Expert","Pool","Nelson / Lowe","TMNT Sac Sisters","Connor Nelson","Elle Lowe","Clifton Miller","Lucas Pruett",21,11
"casropener26","5.0 Expert","Pool","Pineapple Teriyaki Burger","11th Hour","Noah Saddik","Trevor Folden","Matthew Kamimura","Jake Young",18,21
"casropener26","5.0 Expert","Pool","Tarpey","Werkin and Twerkin","Joseph Kaylor","Josh Fragiacomo","Eli Roth","Nathaniel Schrag",21,16
"casropener26","5.0 Expert","Pool","Samson? / Alexander.","Alec/devon","Aniket Matharasi","Sasha Mariniuk","Devon Lee","Alec Galbo",21,11
"casropener26","5.0 Expert","Pool","Nelson / Lowe","11th Hour","Connor Nelson","Elle Lowe","Matthew Kamimura","Jake Young",21,11
"casropener26","5.0 Expert","Pool","TMNT Sac Sisters","Pineapple Teriyaki Burger","Clifton Miller","Lucas Pruett","Noah Saddik","Trevor Folden",21,12
"casropener26","5.0 Expert","Pool","Tarpey","Alec/devon","Joseph Kaylor","Josh Fragiacomo","Devon Lee","Alec Galbo",21,18
"casropener26","5.0 Expert","Pool","Samson? / Alexander.","Werkin and Twerkin","Aniket Matharasi","Sasha Mariniuk","Eli Roth","Nathaniel Schrag",21,14
"casropener26","5.0 Expert","Pool","Nelson / Lowe","Pineapple Teriyaki Burger","Connor Nelson","Elle Lowe","Noah Saddik","Trevor Folden",21,7
"casropener26","5.0 Expert","Pool","TMNT Sac Sisters","11th Hour","Clifton Miller","Lucas Pruett","Matthew Kamimura","Jake Young",21,18
"casropener26","5.0 Expert","Pool","Tarpey","Samson? / Alexander.","Joseph Kaylor","Josh Fragiacomo","Aniket Matharasi","Sasha Mariniuk",21,9
"casropener26","5.0 Expert","Pool","Alec/devon","Werkin and Twerkin","Devon Lee","Alec Galbo","Eli Roth","Nathaniel Schrag",21,15
"casropener26","5.0 Expert","Pool","Nelson / Lowe","TMNT Sac Sisters","Connor Nelson","Elle Lowe","Clifton Miller","Lucas Pruett",18,21
"casropener26","5.0 Expert","Pool","Pineapple Teriyaki Burger","11th Hour","Noah Saddik","Trevor Folden","Matthew Kamimura","Jake Young",21,10
"casropener26","5.0 Expert","Quarter-final","Nelson / Lowe","Werkin and Twerkin","Connor Nelson","Elle Lowe","Eli Roth","Nathaniel Schrag",2,0
"casropener26","5.0 Expert","Quarter-final","Nelson / Lowe","Werkin and Twerkin","Connor Nelson","Elle Lowe","Eli Roth","Nathaniel Schrag",2,0
"casropener26","5.0 Expert","Quarter-final","Tarpey","11th Hour","Joseph Kaylor","Josh Fragiacomo","Matthew Kamimura","Jake Young",21,17
"casropener26","5.0 Expert","Quarter-final","Tarpey","11th Hour","Joseph Kaylor","Josh Fragiacomo","Matthew Kamimura","Jake Young",14,21
"casropener26","5.0 Expert","Quarter-final","Tarpey","11th Hour","Joseph Kaylor","Josh Fragiacomo","Matthew Kamimura","Jake Young",21,15
"casropener26","5.0 Expert","Quarter-final","TMNT Sac Sisters","Pineapple Teriyaki Burger","Clifton Miller","Lucas Pruett","Noah Saddik","Trevor Folden",21,16
"casropener26","5.0 Expert","Quarter-final","TMNT Sac Sisters","Pineapple Teriyaki Burger","Clifton Miller","Lucas Pruett","Noah Saddik","Trevor Folden",21,23
"casropener26","5.0 Expert","Quarter-final","TMNT Sac Sisters","Pineapple Teriyaki Burger","Clifton Miller","Lucas Pruett","Noah Saddik","Trevor Folden",21,17
"casropener26","5.0 Expert","Quarter-final","Samson? / Alexander.","Alec/devon","Aniket Matharasi","Sasha Mariniuk","Devon Lee","Alec Galbo",21,19
