"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"casrregional2","5.0 Expert","Pool","Cracked","Hinder Redo","Connor Nelson","Trevor Folden","Benjamin Walker-Edwards","Shrey Dhuria",21,10
"casrregional2","5.0 Expert","Pool","More athletic than Heliot Ramos","Jonas/Gavin","Jackson Blackburn","Alec Galbo","Gavin Hansen","Jonas Frost",18,21
"casrregional2","5.0 Expert","Pool","Samson / Alexander","On Two","Sasha Mariniuk","Rafi Moldovsky","Michael Leung","Dorian Caporal",21,12
"casrregional2","5.0 Expert","Pool","Cracked","Jonas/Gavin","Connor Nelson","Trevor Folden","Gavin Hansen","Jonas Frost",21,14
"casrregional2","5.0 Expert","Pool","More athletic than Heliot Ramos","Aman a New Level","Jackson Blackburn","Alec Galbo","Aman Khemka","Noah Saddik",21,15
"casrregional2","5.0 Expert","Pool","On Two","Hinder Redo","Michael Leung","Dorian Caporal","Benjamin Walker-Edwards","Shrey Dhuria",15,21
"casrregional2","5.0 Expert","Pool","Cracked","On Two","Connor Nelson","Trevor Folden","Michael Leung","Dorian Caporal",21,13
"casrregional2","5.0 Expert","Pool","More athletic than Heliot Ramos","Samson / Alexander","Jackson Blackburn","Alec Galbo","Sasha Mariniuk","Rafi Moldovsky",10,21
"casrregional2","5.0 Expert","Pool","Aman a New Level","Jonas/Gavin","Aman Khemka","Noah Saddik","Gavin Hansen","Jonas Frost",19,21
"casrregional2","5.0 Expert","Pool","Cracked","Aman a New Level","Connor Nelson","Trevor Folden","Aman Khemka","Noah Saddik",21,18
"casrregional2","5.0 Expert","Pool","More athletic than Heliot Ramos","Hinder Redo","Jackson Blackburn","Alec Galbo","Benjamin Walker-Edwards","Shrey Dhuria",19,21
"casrregional2","5.0 Expert","Pool","Samson / Alexander","Jonas/Gavin","Sasha Mariniuk","Rafi Moldovsky","Gavin Hansen","Jonas Frost",21,17
"casrregional2","5.0 Expert","Pool","More athletic than Heliot Ramos","On Two","Jackson Blackburn","Alec Galbo","Michael Leung","Dorian Caporal",21,15
"casrregional2","5.0 Expert","Pool","Samson / Alexander","Aman a New Level","Sasha Mariniuk","Rafi Moldovsky","Aman Khemka","Noah Saddik",21,18
"casrregional2","5.0 Expert","Pool","Jonas/Gavin","Hinder Redo","Gavin Hansen","Jonas Frost","Benjamin Walker-Edwards","Shrey Dhuria",21,13
"casrregional2","5.0 Expert","Pool","Cracked","Samson / Alexander","Connor Nelson","Trevor Folden","Sasha Mariniuk","Rafi Moldovsky",21,18
"casrregional2","5.0 Expert","Pool","Aman a New Level","Hinder Redo","Aman Khemka","Noah Saddik","Benjamin Walker-Edwards","Shrey Dhuria",21,16
"casrregional2","5.0 Expert","Pool","On Two","Jonas/Gavin","Michael Leung","Dorian Caporal","Gavin Hansen","Jonas Frost",13,21
"casrregional2","5.0 Expert","Pool","Cracked","More athletic than Heliot Ramos","Connor Nelson","Trevor Folden","Jackson Blackburn","Alec Galbo",21,11
"casrregional2","5.0 Expert","Pool","Samson / Alexander","Hinder Redo","Sasha Mariniuk","Rafi Moldovsky","Benjamin Walker-Edwards","Shrey Dhuria",21,14
"casrregional2","5.0 Expert","Pool","Aman a New Level","On Two","Aman Khemka","Noah Saddik","Michael Leung","Dorian Caporal",20,22
"casrregional2","5.0 Expert","Quarter-final","Samson / Alexander","Aman a New Level","Sasha Mariniuk","Rafi Moldovsky","Aman Khemka","Noah Saddik",21,18
"casrregional2","5.0 Expert","Quarter-final","Samson / Alexander","Aman a New Level","Sasha Mariniuk","Rafi Moldovsky","Aman Khemka","Noah Saddik",22,20
"casrregional2","5.0 Expert","Quarter-final","Jonas/Gavin","On Two","Gavin Hansen","Jonas Frost","Michael Leung","Dorian Caporal",21,16
"casrregional2","5.0 Expert","Quarter-final","Jonas/Gavin","On Two","Gavin Hansen","Jonas Frost","Michael Leung","Dorian Caporal",21,12
"casrregional2","5.0 Expert","Quarter-final","Hinder Redo","More athletic than Heliot Ramos","Benjamin Walker-Edwards","Shrey Dhuria","Jackson Blackburn","Alec Galbo",11,21
"casrregional2","5.0 Expert","Quarter-final","Hinder Redo","More athletic than Heliot Ramos","Benjamin Walker-Edwards","Shrey Dhuria","Jackson Blackburn","Alec Galbo",21,19
"casrregional2","5.0 Expert","Quarter-final","Hinder Redo","More athletic than Heliot Ramos","Benjamin Walker-Edwards","Shrey Dhuria","Jackson Blackburn","Alec Galbo",17,21
"casrregional2","5.0 Expert","Semi-final","Cracked","More athletic than Heliot Ramos","Connor Nelson","Trevor Folden","Jackson Blackburn","Alec Galbo",21,8
"casrregional2","5.0 Expert","Semi-final","Cracked","More athletic than Heliot Ramos","Connor Nelson","Trevor Folden","Jackson Blackburn","Alec Galbo",21,12
"casrregional2","5.0 Expert","Semi-final","Samson / Alexander","Jonas/Gavin","Sasha Mariniuk","Rafi Moldovsky","Gavin Hansen","Jonas Frost",17,21
"casrregional2","5.0 Expert","Semi-final","Samson / Alexander","Jonas/Gavin","Sasha Mariniuk","Rafi Moldovsky","Gavin Hansen","Jonas Frost",14,21
"casrregional2","5.0 Expert","P5: Semi-final","On Two","Aman a New Level","Michael Leung","Dorian Caporal","Aman Khemka","Noah Saddik",-2,0
"casrregional2","5.0 Expert","Final","Cracked","Jonas/Gavin","Connor Nelson","Trevor Folden","Gavin Hansen","Jonas Frost",21,11
"casrregional2","5.0 Expert","Final","Cracked","Jonas/Gavin","Connor Nelson","Trevor Folden","Gavin Hansen","Jonas Frost",21,18
"casrregional2","5.0 Expert","P3: Final","Samson / Alexander","More athletic than Heliot Ramos","Sasha Mariniuk","Rafi Moldovsky","Jackson Blackburn","Alec Galbo",0,-1
"casrregional2","5.0 Expert","P3: Final","Samson / Alexander","More athletic than Heliot Ramos","Sasha Mariniuk","Rafi Moldovsky","Jackson Blackburn","Alec Galbo",0,-1
"casrregional2","4.0+ Contender","Pool","Devon/Sophia","Packing Chicos","Devon Lee","Sophia Zhao","Christian Andrade","Bryant Odom",21,8
"casrregional2","4.0+ Contender","Pool","G-Wang-on","The Untouchaballs","Gammy Bravo","Jeffrey Wang","Andrew Cruz","Taran Tummala",21,12
"casrregional2","4.0+ Contender","Pool","Get kicked IDIOT!","Luki","Cynthia Zhang","Ethan Kwok","Lucas Fedronic","Lukas Wiggers",21,12
"casrregional2","4.0+ Contender","Pool","occasional fwango","Rim Reapers","Nathan Gauthier","Vijay Moorthy","Edson Bonilla","",13,21
"casrregional2","4.0+ Contender","Pool","Becky’s Dogs","Bad Sets Only","Brady Brandt","Jonathan Maravilla","Tirany Magdaleno","Kylan Wilcox",9,21
"casrregional2","4.0+ Contender","Pool","Devon/Sophia","The Untouchaballs","Devon Lee","Sophia Zhao","Andrew Cruz","Taran Tummala",21,9
"casrregional2","4.0+ Contender","Pool","Spike and Subscribe","Packing Chicos","Eli Weiner-Rogers","Dayi Dong","Christian Andrade","Bryant Odom",21,11
"casrregional2","4.0+ Contender","Pool","Get kicked IDIOT!","Rim Reapers","Cynthia Zhang","Ethan Kwok","Edson Bonilla","",21,18
"casrregional2","4.0+ Contender","Pool","occasional fwango","Becky’s Dogs","Nathan Gauthier","Vijay Moorthy","Brady Brandt","Jonathan Maravilla",21,12
"casrregional2","4.0+ Contender","Pool","Bad Sets Only","Luki","Tirany Magdaleno","Kylan Wilcox","Lucas Fedronic","Lukas Wiggers",11,21
"casrregional2","4.0+ Contender","Pool","Devon/Sophia","Spike and Subscribe","Devon Lee","Sophia Zhao","Eli Weiner-Rogers","Dayi Dong",21,17
"casrregional2","4.0+ Contender","Pool","G-Wang-on","Packing Chicos","Gammy Bravo","Jeffrey Wang","Christian Andrade","Bryant Odom",21,6
"casrregional2","4.0+ Contender","Pool","Get kicked IDIOT!","Bad Sets Only","Cynthia Zhang","Ethan Kwok","Tirany Magdaleno","Kylan Wilcox",21,14
"casrregional2","4.0+ Contender","Pool","occasional fwango","Luki","Nathan Gauthier","Vijay Moorthy","Lucas Fedronic","Lukas Wiggers",21,17
"casrregional2","4.0+ Contender","Pool","Becky’s Dogs","Rim Reapers","Brady Brandt","Jonathan Maravilla","Edson Bonilla","",4,21
"casrregional2","4.0+ Contender","Pool","G-Wang-on","Spike and Subscribe","Gammy Bravo","Jeffrey Wang","Eli Weiner-Rogers","Dayi Dong",21,15
"casrregional2","4.0+ Contender","Pool","The Untouchaballs","Packing Chicos","Andrew Cruz","Taran Tummala","Christian Andrade","Bryant Odom",12,21
"casrregional2","4.0+ Contender","Pool","Get kicked IDIOT!","Becky’s Dogs","Cynthia Zhang","Ethan Kwok","Brady Brandt","Jonathan Maravilla",21,6
"casrregional2","4.0+ Contender","Pool","occasional fwango","Bad Sets Only","Nathan Gauthier","Vijay Moorthy","Tirany Magdaleno","Kylan Wilcox",21,15
"casrregional2","4.0+ Contender","Pool","Rim Reapers","Luki","Edson Bonilla","","Lucas Fedronic","Lukas Wiggers",21,8
"casrregional2","4.0+ Contender","Pool","Devon/Sophia","G-Wang-on","Devon Lee","Sophia Zhao","Gammy Bravo","Jeffrey Wang",21,9
"casrregional2","4.0+ Contender","Pool","Spike and Subscribe","The Untouchaballs","Eli Weiner-Rogers","Dayi Dong","Andrew Cruz","Taran Tummala",21,14
"casrregional2","4.0+ Contender","Pool","Get kicked IDIOT!","occasional fwango","Cynthia Zhang","Ethan Kwok","Nathan Gauthier","Vijay Moorthy",21,11
"casrregional2","4.0+ Contender","Pool","Becky’s Dogs","Luki","Brady Brandt","Jonathan Maravilla","Lucas Fedronic","Lukas Wiggers",8,21
"casrregional2","4.0+ Contender","Pool","Bad Sets Only","Rim Reapers","Tirany Magdaleno","Kylan Wilcox","Edson Bonilla","",8,21
