"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"casrregionals3","5.0 Expert","Pool","Endgame","Poutine Powered","Trevor Barbosa","Josh Fragiacomo","Brian Quach","George Zywiel",21,7
"casrregionals3","5.0 Expert","Pool","Dialed","Jai/Steven","Josh Cain","Luke Pennington","Jai Parera","Steven Pan",24,25
"casrregionals3","5.0 Expert","Pool","Fractal Spikes","SR Ascension","Connor Nelson","Michael Du","Harding Brumby","Nate Gauthier",21,14
"casrregionals3","5.0 Expert","Pool","Flagship","Bing Bong","Joseph Kaylor","Lucas Pruett","Dylan Medveal","Anthony Winney",21,15
"casrregionals3","5.0 Expert","Pool","TRP KPOP","Feeders","kevin um","Karah Hui","Tim Gaskin","Matthew Kamimura",21,17
"casrregionals3","5.0 Expert","Pool","Endgame","Jai/Steven","Trevor Barbosa","Josh Fragiacomo","Jai Parera","Steven Pan",21,11
"casrregionals3","5.0 Expert","Pool","We miss mama bear (Jake Woolley)","Poutine Powered","Reece Greer","James Lamkin","Brian Quach","George Zywiel",21,11
"casrregionals3","5.0 Expert","Pool","Fractal Spikes","Bing Bong","Connor Nelson","Michael Du","Dylan Medveal","Anthony Winney",21,16
"casrregionals3","5.0 Expert","Pool","Flagship","TRP KPOP","Joseph Kaylor","Lucas Pruett","kevin um","Karah Hui",21,15
"casrregionals3","5.0 Expert","Pool","Feeders","SR Ascension","Tim Gaskin","Matthew Kamimura","Harding Brumby","Nate Gauthier",21,23
"casrregionals3","5.0 Expert","Pool","Endgame","We miss mama bear (Jake Woolley)","Trevor Barbosa","Josh Fragiacomo","Reece Greer","James Lamkin",21,18
"casrregionals3","5.0 Expert","Pool","Dialed","Poutine Powered","Josh Cain","Luke Pennington","Brian Quach","George Zywiel",21,15
"casrregionals3","5.0 Expert","Pool","Fractal Spikes","Feeders","Connor Nelson","Michael Du","Tim Gaskin","Matthew Kamimura",21,14
"casrregionals3","5.0 Expert","Pool","Flagship","SR Ascension","Joseph Kaylor","Lucas Pruett","Harding Brumby","Nate Gauthier",21,8
"casrregionals3","5.0 Expert","Pool","TRP KPOP","Bing Bong","kevin um","Karah Hui","Dylan Medveal","Anthony Winney",17,21
"casrregionals3","5.0 Expert","Pool","Dialed","We miss mama bear (Jake Woolley)","Josh Cain","Luke Pennington","Reece Greer","James Lamkin",21,16
"casrregionals3","5.0 Expert","Pool","Jai/Steven","Poutine Powered","Jai Parera","Steven Pan","Brian Quach","George Zywiel",21,16
"casrregionals3","5.0 Expert","Pool","Fractal Spikes","TRP KPOP","Connor Nelson","Michael Du","kevin um","Karah Hui",21,17
"casrregionals3","5.0 Expert","Pool","Flagship","Feeders","Joseph Kaylor","Lucas Pruett","Tim Gaskin","Matthew Kamimura",21,16
"casrregionals3","5.0 Expert","Pool","Bing Bong","SR Ascension","Dylan Medveal","Anthony Winney","Harding Brumby","Nate Gauthier",21,11
"casrregionals3","5.0 Expert","Pool","Endgame","Dialed","Trevor Barbosa","Josh Fragiacomo","Josh Cain","Luke Pennington",22,20
"casrregionals3","5.0 Expert","Pool","We miss mama bear (Jake Woolley)","Jai/Steven","Reece Greer","James Lamkin","Jai Parera","Steven Pan",21,23
"casrregionals3","5.0 Expert","Pool","Fractal Spikes","Flagship","Connor Nelson","Michael Du","Joseph Kaylor","Lucas Pruett",21,19
"casrregionals3","5.0 Expert","Pool","TRP KPOP","SR Ascension","kevin um","Karah Hui","Harding Brumby","Nate Gauthier",21,15
"casrregionals3","5.0 Expert","Pool","Feeders","Bing Bong","Tim Gaskin","Matthew Kamimura","Dylan Medveal","Anthony Winney",15,21
"casrregionals3","5.0 Expert","Round of 16","Bing Bong","Feeders","Dylan Medveal","Anthony Winney","Tim Gaskin","Matthew Kamimura",23,25
"casrregionals3","5.0 Expert","Round of 16","Bing Bong","Feeders","Dylan Medveal","Anthony Winney","Tim Gaskin","Matthew Kamimura",24,22
"casrregionals3","5.0 Expert","Round of 16","Bing Bong","Feeders","Dylan Medveal","Anthony Winney","Tim Gaskin","Matthew Kamimura",19,21
"casrregionals3","5.0 Expert","Round of 16","We miss mama bear (Jake Woolley)","Poutine Powered","Reece Greer","James Lamkin","Brian Quach","George Zywiel",21,12
"casrregionals3","5.0 Expert","Round of 16","We miss mama bear (Jake Woolley)","Poutine Powered","Reece Greer","James Lamkin","Brian Quach","George Zywiel",21,12
