"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"castatefinals5","5.0 Expert Division","Pool","3 for 3 on 3rd","Tecca","Jake Woolley","Connor Nelson","Eric Najarro","Elijah Regan",21,6
"castatefinals5","5.0 Expert Division","Pool","Firm foundation","Liam/Jonas","Clifton Miller","Matt Ortlip","Jonas Frost","Liam Martinez",21,17
"castatefinals5","5.0 Expert Division","Pool","Hospital Ball","Unideal Footwear","Lucas Pruett","Trevor Barbosa","Alex Veron","Cooper Patcheak",21,10
"castatefinals5","5.0 Expert Division","Pool","Dinomite","My Only Sunshine 🌻","Sasha Mariniuk","Noah Saddik","Devon Lee","Eric Tay",21,18
"castatefinals5","5.0 Expert Division","Pool","Tall & Taller","Finger Wizards","Josh Fragiacomo","Charlie Camarena","Michael Twersky","jackson rosol",21,3
"castatefinals5","5.0 Expert Division","Pool","Father Son Bonding","♞ Get forked ♞","Caleb Cummings","Hunter Koth","Dylan Styron","Michael Capobianco",21,11
"castatefinals5","5.0 Expert Division","Pool","Competitive Racism","leo & lauren","Alec Galbo","Reece Greer","Lauren Eckert","Leo Albert",21,4
"castatefinals5","5.0 Expert Division","Pool","GRANDES SALTEÑAS","Trent/Hongyi","Jacob Payer","David Gonzales","Hongyi Zhu","Trent Keeler",21,14
"castatefinals5","5.0 Expert Division","Pool","Pending","RIPS only","James Lamkin","Calvin Chang","Ahren Gwynn","Gunnar Mueller",18,21
"castatefinals5","5.0 Expert Division","Pool","3 for 3 on 3rd","Liam/Jonas","Jake Woolley","Connor Nelson","Jonas Frost","Liam Martinez",21,7
"castatefinals5","5.0 Expert Division","Pool","Asians","Tecca","Reece Yoshizawa","Jake Young","Eric Najarro","Elijah Regan",21,6
"castatefinals5","5.0 Expert Division","Pool","Hospital Ball","My Only Sunshine 🌻","Lucas Pruett","Trevor Barbosa","Devon Lee","Eric Tay",21,16
"castatefinals5","5.0 Expert Division","Pool","Torque","Unideal Footwear","Schon Siguenza","Josh Cain","Alex Veron","Cooper Patcheak",21,14
"castatefinals5","5.0 Expert Division","Pool","Tall & Taller","♞ Get forked ♞","Josh Fragiacomo","Charlie Camarena","Dylan Styron","Michael Capobianco",21,15
"castatefinals5","5.0 Expert Division","Pool","Franz’s little helpers","Finger Wizards","Nathan Robertt","Gavin Hansen","Michael Twersky","jackson rosol",21,2
