"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"chicago2024","Open Pro 5.0+","Pool","Numb","Bot House","Paq Clifford","Kieran Rose","Owen Lippman","West Peterson",15,12
"chicago2024","Open Pro 5.0+","Pool","V⚡️RGA","Extra","Dawson Morgan","Caleb Cummings","Emerson Dean","Jé Gagnon",10,15
"chicago2024","Open Pro 5.0+","Pool","Insystem","ORTHODOX","Etienne Cote","Blake Bosak","Clifford Amadeo LeVeque","Jack Bushart",15,11
"chicago2024","Open Pro 5.0+","Pool","J.A.R.V.I.S.","TRP Spotless","Connor Nelson","Josh Fragiacomo","Joe Bondi","Ryan Gross",12,15
"chicago2024","Open Pro 5.0+","Pool","Tilted","Shaytar/Wideman","Justin Barr","Will Picone","Justin Shaytar","Nick Wideman",15,10
"chicago2024","Open Pro 5.0+","Pool","Ultra Instinct","Degenerates","Gabriel Finocchi","Thomas Hamilton","Thomas Hoffman","Jack coolbaugh",15,9
"chicago2024","Open Pro 5.0+","Pool","Kingdom Come","hotballers","Grant Klapwijk","Matthew Cole","Tyler Babin","Joshua Hachey",17,15
"chicago2024","Open Pro 5.0+","Pool","Cold Sweep","foolish","Maxime Prince","Vincent Mathieu","Sunny Gu","Lucas Pruett",15,13
"chicago2024","Open Pro 5.0+","Pool","Numb","Extra","Paq Clifford","Kieran Rose","Emerson Dean","Jé Gagnon",21,20
"chicago2024","Open Pro 5.0+","Pool","V⚡️RGA","Bot House","Dawson Morgan","Caleb Cummings","Owen Lippman","West Peterson",15,13
"chicago2024","Open Pro 5.0+","Pool","Insystem","TRP Spotless","Etienne Cote","Blake Bosak","Joe Bondi","Ryan Gross",12,15
"chicago2024","Open Pro 5.0+","Pool","J.A.R.V.I.S.","ORTHODOX","Connor Nelson","Josh Fragiacomo","Clifford Amadeo LeVeque","Jack Bushart",15,7
"chicago2024","Open Pro 5.0+","Pool","Tilted","Degenerates","Justin Barr","Will Picone","Thomas Hoffman","Jack coolbaugh",16,14
"chicago2024","Open Pro 5.0+","Pool","Ultra Instinct","Shaytar/Wideman","Gabriel Finocchi","Thomas Hamilton","Justin Shaytar","Nick Wideman",15,11
"chicago2024","Open Pro 5.0+","Pool","Kingdom Come","foolish","Grant Klapwijk","Matthew Cole","Sunny Gu","Lucas Pruett",15,10
"chicago2024","Open Pro 5.0+","Pool","Cold Sweep","hotballers","Maxime Prince","Vincent Mathieu","Tyler Babin","Joshua Hachey",15,13
"chicago2024","Open Pro 5.0+","Pool","Numb","V⚡️RGA","Paq Clifford","Kieran Rose","Dawson Morgan","Caleb Cummings",11,15
"chicago2024","Open Pro 5.0+","Pool","Extra","Bot House","Emerson Dean","Jé Gagnon","Owen Lippman","West Peterson",11,15
"chicago2024","Open Pro 5.0+","Pool","Insystem","J.A.R.V.I.S.","Etienne Cote","Blake Bosak","Connor Nelson","Josh Fragiacomo",15,12
"chicago2024","Open Pro 5.0+","Pool","TRP Spotless","ORTHODOX","Joe Bondi","Ryan Gross","Clifford Amadeo LeVeque","Jack Bushart",15,8
"chicago2024","Open Pro 5.0+","Pool","Tilted","Ultra Instinct","Justin Barr","Will Picone","Gabriel Finocchi","Thomas Hamilton",15,12
"chicago2024","Open Pro 5.0+","Pool","Degenerates","Shaytar/Wideman","Thomas Hoffman","Jack coolbaugh","Justin Shaytar","Nick Wideman",16,18
"chicago2024","Open Pro 5.0+","Pool","Kingdom Come","Cold Sweep","Grant Klapwijk","Matthew Cole","Maxime Prince","Vincent Mathieu",15,17
"chicago2024","Open Pro 5.0+","Pool","foolish","hotballers","Sunny Gu","Lucas Pruett","Tyler Babin","Joshua Hachey",15,10
"chicago2024","Open Pro 5.0+","Pool","Numb","Bot House","Paq Clifford","Kieran Rose","Owen Lippman","West Peterson",15,12
"chicago2024","Open Pro 5.0+","Pool","V⚡️RGA","Extra","Dawson Morgan","Caleb Cummings","Emerson Dean","Jé Gagnon",15,13
"chicago2024","Open Pro 5.0+","Pool","Insystem","ORTHODOX","Etienne Cote","Blake Bosak","Clifford Amadeo LeVeque","Jack Bushart",15,8
"chicago2024","Open Pro 5.0+","Pool","J.A.R.V.I.S.","TRP Spotless","Connor Nelson","Josh Fragiacomo","Joe Bondi","Ryan Gross",8,15
"chicago2024","Open Pro 5.0+","Pool","Tilted","Shaytar/Wideman","Justin Barr","Will Picone","Justin Shaytar","Nick Wideman",9,15
"chicago2024","Open Pro 5.0+","Pool","Ultra Instinct","Degenerates","Gabriel Finocchi","Thomas Hamilton","Thomas Hoffman","Jack coolbaugh",21,20
"chicago2024","Open Pro 5.0+","Pool","Kingdom Come","hotballers","Grant Klapwijk","Matthew Cole","Tyler Babin","Joshua Hachey",16,14
"chicago2024","Open Pro 5.0+","Pool","Cold Sweep","foolish","Maxime Prince","Vincent Mathieu","Sunny Gu","Lucas Pruett",15,12
"chicago2024","Open Pro 5.0+","Pool","Numb","Extra","Paq Clifford","Kieran Rose","Emerson Dean","Jé Gagnon",16,14
"chicago2024","Open Pro 5.0+","Pool","V⚡️RGA","Bot House","Dawson Morgan","Caleb Cummings","Owen Lippman","West Peterson",15,8
"chicago2024","Open Pro 5.0+","Pool","Insystem","TRP Spotless","Etienne Cote","Blake Bosak","Joe Bondi","Ryan Gross",9,15
"chicago2024","Open Pro 5.0+","Pool","J.A.R.V.I.S.","ORTHODOX","Connor Nelson","Josh Fragiacomo","Clifford Amadeo LeVeque","Jack Bushart",15,13
"chicago2024","Open Pro 5.0+","Pool","Tilted","Degenerates","Justin Barr","Will Picone","Thomas Hoffman","Jack coolbaugh",15,12
"chicago2024","Open Pro 5.0+","Pool","Ultra Instinct","Shaytar/Wideman","Gabriel Finocchi","Thomas Hamilton","Justin Shaytar","Nick Wideman",15,12
"chicago2024","Open Pro 5.0+","Pool","Kingdom Come","foolish","Grant Klapwijk","Matthew Cole","Sunny Gu","Lucas Pruett",10,15
"chicago2024","Open Pro 5.0+","Pool","Cold Sweep","hotballers","Maxime Prince","Vincent Mathieu","Tyler Babin","Joshua Hachey",15,8
"chicago2024","Open Pro 5.0+","Pool","Numb","V⚡️RGA","Paq Clifford","Kieran Rose","Dawson Morgan","Caleb Cummings",15,9
"chicago2024","Open Pro 5.0+","Pool","Extra","Bot House","Emerson Dean","Jé Gagnon","Owen Lippman","West Peterson",15,12
"chicago2024","Open Pro 5.0+","Pool","Insystem","J.A.R.V.I.S.","Etienne Cote","Blake Bosak","Connor Nelson","Josh Fragiacomo",8,15
"chicago2024","Open Pro 5.0+","Pool","TRP Spotless","ORTHODOX","Joe Bondi","Ryan Gross","Clifford Amadeo LeVeque","Jack Bushart",15,7
"chicago2024","Open Pro 5.0+","Pool","Tilted","Ultra Instinct","Justin Barr","Will Picone","Gabriel Finocchi","Thomas Hamilton",11,15
"chicago2024","Open Pro 5.0+","Pool","Degenerates","Shaytar/Wideman","Thomas Hoffman","Jack coolbaugh","Justin Shaytar","Nick Wideman",13,15
"chicago2024","Open Pro 5.0+","Pool","Kingdom Come","Cold Sweep","Grant Klapwijk","Matthew Cole","Maxime Prince","Vincent Mathieu",14,16
"chicago2024","Open Pro 5.0+","Pool","foolish","hotballers","Sunny Gu","Lucas Pruett","Tyler Babin","Joshua Hachey",15,12
"chicago2024","Open Pro 5.0+","Round of 16","TRP Spotless","ORTHODOX","Joe Bondi","Ryan Gross","Clifford Amadeo LeVeque","Jack Bushart",19,21
"chicago2024","Open Pro 5.0+","Round of 16","TRP Spotless","ORTHODOX","Joe Bondi","Ryan Gross","Clifford Amadeo LeVeque","Jack Bushart",26,24
"chicago2024","Open Pro 5.0+","Round of 16","TRP Spotless","ORTHODOX","Joe Bondi","Ryan Gross","Clifford Amadeo LeVeque","Jack Bushart",21,10
"chicago2024","Open Pro 5.0+","Round of 16","Cold Sweep","hotballers","Maxime Prince","Vincent Mathieu","Tyler Babin","Joshua Hachey",21,13
"chicago2024","Open Pro 5.0+","Round of 16","Cold Sweep","hotballers","Maxime Prince","Vincent Mathieu","Tyler Babin","Joshua Hachey",21,13
"chicago2024","Open Pro 5.0+","Round of 16","Ultra Instinct","Degenerates","Gabriel Finocchi","Thomas Hamilton","Thomas Hoffman","Jack coolbaugh",1,0
"chicago2024","Open Pro 5.0+","Round of 16","Ultra Instinct","Degenerates","Gabriel Finocchi","Thomas Hamilton","Thomas Hoffman","Jack coolbaugh",1,0
"chicago2024","Open Pro 5.0+","Round of 16","Numb","Bot House","Paq Clifford","Kieran Rose","Owen Lippman","West Peterson",17,21
"chicago2024","Open Pro 5.0+","Round of 16","Numb","Bot House","Paq Clifford","Kieran Rose","Owen Lippman","West Peterson",18,21
"chicago2024","Open Pro 5.0+","Round of 16","V⚡️RGA","Extra","Dawson Morgan","Caleb Cummings","Emerson Dean","Jé Gagnon",21,17
"chicago2024","Open Pro 5.0+","Round of 16","V⚡️RGA","Extra","Dawson Morgan","Caleb Cummings","Emerson Dean","Jé Gagnon",22,20
"chicago2024","Open Pro 5.0+","Round of 16","Tilted","Shaytar/Wideman","Justin Barr","Will Picone","Justin Shaytar","Nick Wideman",21,15
"chicago2024","Open Pro 5.0+","Round of 16","Tilted","Shaytar/Wideman","Justin Barr","Will Picone","Justin Shaytar","Nick Wideman",21,19
"chicago2024","Open Pro 5.0+","Round of 16","J.A.R.V.I.S.","Insystem","Connor Nelson","Josh Fragiacomo","Etienne Cote","Blake Bosak",25,23
"chicago2024","Open Pro 5.0+","Round of 16","J.A.R.V.I.S.","Insystem","Connor Nelson","Josh Fragiacomo","Etienne Cote","Blake Bosak",21,15
"chicago2024","Open Pro 5.0+","Round of 16","foolish","Kingdom Come","Sunny Gu","Lucas Pruett","Grant Klapwijk","Matthew Cole",21,17
"chicago2024","Open Pro 5.0+","Round of 16","foolish","Kingdom Come","Sunny Gu","Lucas Pruett","Grant Klapwijk","Matthew Cole",16,21
"chicago2024","Open Pro 5.0+","Round of 16","foolish","Kingdom Come","Sunny Gu","Lucas Pruett","Grant Klapwijk","Matthew Cole",21,19
"chicago2024","Open Pro 5.0+","Quarter-final","TRP Spotless","foolish","Joe Bondi","Ryan Gross","Sunny Gu","Lucas Pruett",19,21
"chicago2024","Open Pro 5.0+","Quarter-final","TRP Spotless","foolish","Joe Bondi","Ryan Gross","Sunny Gu","Lucas Pruett",21,18
"chicago2024","Open Pro 5.0+","Quarter-final","TRP Spotless","foolish","Joe Bondi","Ryan Gross","Sunny Gu","Lucas Pruett",25,23
"chicago2024","Open Pro 5.0+","Quarter-final","Cold Sweep","J.A.R.V.I.S.","Maxime Prince","Vincent Mathieu","Connor Nelson","Josh Fragiacomo",21,18
"chicago2024","Open Pro 5.0+","Quarter-final","Cold Sweep","J.A.R.V.I.S.","Maxime Prince","Vincent Mathieu","Connor Nelson","Josh Fragiacomo",19,21
"chicago2024","Open Pro 5.0+","Quarter-final","Cold Sweep","J.A.R.V.I.S.","Maxime Prince","Vincent Mathieu","Connor Nelson","Josh Fragiacomo",21,16
"chicago2024","Open Pro 5.0+","Quarter-final","Ultra Instinct","Tilted","Gabriel Finocchi","Thomas Hamilton","Justin Barr","Will Picone",21,12
"chicago2024","Open Pro 5.0+","Quarter-final","Ultra Instinct","Tilted","Gabriel Finocchi","Thomas Hamilton","Justin Barr","Will Picone",21,14
"chicago2024","Open Pro 5.0+","Quarter-final","Bot House","V⚡️RGA","Owen Lippman","West Peterson","Dawson Morgan","Caleb Cummings",21,17
"chicago2024","Open Pro 5.0+","Quarter-final","Bot House","V⚡️RGA","Owen Lippman","West Peterson","Dawson Morgan","Caleb Cummings",25,27
"chicago2024","Open Pro 5.0+","Quarter-final","Bot House","V⚡️RGA","Owen Lippman","West Peterson","Dawson Morgan","Caleb Cummings",21,17
"chicago2024","Open Pro 5.0+","P9: Quarter-final","Kingdom Come","ORTHODOX","Grant Klapwijk","Matthew Cole","Clifford Amadeo LeVeque","Jack Bushart",0,-1
"chicago2024","Open Pro 5.0+","P9: Quarter-final","Insystem","hotballers","Etienne Cote","Blake Bosak","Tyler Babin","Joshua Hachey",-1,0
"chicago2024","Open Pro 5.0+","P9: Quarter-final","Shaytar/Wideman","Degenerates","Justin Shaytar","Nick Wideman","Thomas Hoffman","Jack coolbaugh",0,1
"chicago2024","Open Pro 5.0+","P9: Quarter-final","Extra","Numb","Emerson Dean","Jé Gagnon","Paq Clifford","Kieran Rose",0,-1
"chicago2024","Open Pro 5.0+","Semi-final","TRP Spotless","Bot House","Joe Bondi","Ryan Gross","Owen Lippman","West Peterson",21,19
"chicago2024","Open Pro 5.0+","Semi-final","TRP Spotless","Bot House","Joe Bondi","Ryan Gross","Owen Lippman","West Peterson",21,19
"chicago2024","Open Pro 5.0+","Semi-final","Cold Sweep","Ultra Instinct","Maxime Prince","Vincent Mathieu","Gabriel Finocchi","Thomas Hamilton",19,21
"chicago2024","Open Pro 5.0+","Semi-final","Cold Sweep","Ultra Instinct","Maxime Prince","Vincent Mathieu","Gabriel Finocchi","Thomas Hamilton",13,21
"chicago2024","Open Pro 5.0+","Final","TRP Spotless","Ultra Instinct","Joe Bondi","Ryan Gross","Gabriel Finocchi","Thomas Hamilton",18,21
