"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"collegenationals2026","Division 1 Open","Pool","Michigan State D1 Open A","NC State D1 Open A","Jack Drouare","Korbin Thompson","john buchanan","nathan benjiman",21,12
"collegenationals2026","Division 1 Open","Pool","Michigan State D1 Open B","NC State D1 Open B","Weston Motloch","Zach Mazzuchi","jonah walker","Aaron Simpson",14,21
"collegenationals2026","Division 1 Open","Pool","Michigan State D1 Open C","NC State D1 Open C","Jacob Purser","Nathan Warner","Vaughn gooding","eli mosley",15,21
"collegenationals2026","Division 1 Open","Pool","Michigan State D1 Coed","NC State D1 Coed","Caleb Rellis","Emily Lubahn","Alex DuBois","jadyn steele",21,18
"collegenationals2026","Division 1 Women's","Pool","Michigan State D1 Women's","NC State D1 Women's","Katie Hansen","Natalie Hansen","laura zachar","rosie craven",21,14
"collegenationals2026","Division 1 Open","Pool","UGA Black Open A","Michigan State D1 Open A","Andrew Yancey","Peyton Stack","Jack Drouare","Korbin Thompson",21,17
"collegenationals2026","Division 1 Open","Pool","UGA Black Open B","Michigan State D1 Open B","Isaac Mixon","Nate Von Der Sitt","Weston Motloch","Zach Mazzuchi",21,8
"collegenationals2026","Division 1 Open","Pool","UGA Black Open C","Michigan State D1 Open C","Jeremy Lee","Luke Nettles","Jacob Purser","Nathan Warner",21,13
"collegenationals2026","Division 1 Open","Pool","UGA Black Coed","Michigan State D1 Coed","Braedan Thomas","Kirra Diaz","Caleb Rellis","Emily Lubahn",21,17
"collegenationals2026","Division 1 Women's","Pool","UGA Black Women's","Michigan State D1 Women's","Mckenna Mckean","Savannah Obert","Katie Hansen","Natalie Hansen",21,7
"collegenationals2026","Division 1 Open","Pool","NEU D1 Open A","NC State D1 Open A","Andrew Nee","sam diani","john buchanan","nathan benjiman",21,19
"collegenationals2026","Division 1 Open","Pool","NEU D1 Open B","NC State D1 Open B","Jackson Biggs","Mitchell Whelan","jonah walker","Aaron Simpson",21,9
"collegenationals2026","Division 1 Open","Pool","NEU D1 Open C","NC State D1 Open C","Aidan Sprouls","Tim Matten","Vaughn gooding","eli mosley",21,10
"collegenationals2026","Division 1 Open","Pool","NEU D1 Coed","NC State D1 Coed","Abigale Lamontagne","Matt Wallach","Alex DuBois","jadyn steele",21,6
"collegenationals2026","Division 1 Women's","Pool","NEU D1 Women's","NC State D1 Women's","Lia Maag","Malia Wanderer","laura zachar","rosie craven",21,9
"collegenationals2026","Division 1 Open","Pool","NEU D1 Open A","Michigan State D1 Open A","Andrew Nee","sam diani","Jack Drouare","Korbin Thompson",21,17
