"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"crs 2025 drummondville","5.0 - Premier","Pool","Club nudiste","Dans l’show","Etienne Cote","Vincent Mathieu","Thomas Dery","Jé Gagnon",15,9
"crs 2025 drummondville","5.0 - Premier","Pool","Gimme Boys","J'aurais pris 6 pouces de plus","Guillaume Bilodeau","Maxime Prince","Olivier Laurin","Anthony St-Martin",15,12
"crs 2025 drummondville","5.0 - Premier","Pool","Backhand","Marshmallow 🐾 🐧","Simon Guillemette","Élie Pilon","Kim Aspirot","Genevieve Tardy",18,21
"crs 2025 drummondville","5.0 - Premier","Pool","TERREBONNE OGs","Clueless","Matou Pitchou","Théophane Frémond-Guilbault","Alexandre Vaillancourt","Jasmin-Long Najim",17,21
"crs 2025 drummondville","5.0 - Premier","Pool","Man ➚ Up  ","Double Trouble","Jordan Meredith","Alexandre Fortier","Simon Parent","Émile Fortin",21,7
"crs 2025 drummondville","5.0 - Premier","Pool","Pigeons","Les Vermeilleuses","Xavier Lambert","Nicolas Leroux","Léo Guérin-Morneau","Jacob Tremblay",17,21
"crs 2025 drummondville","5.0 - Premier","Pool","William Lavoie","Spike the punch","Vincent Lavoie","William Garant","Etienne Rayes","Olivier Raymond",21,7
"crs 2025 drummondville","5.0 - Premier","Pool","Groovy Goofies","Guns&Roses","Guillaume Boilard","Samuel Poirier","Jessie Desrosiers","Philippe Delwaide",21,17
"crs 2025 drummondville","5.0 - Premier","Pool","Club nudiste","J'aurais pris 6 pouces de plus","Etienne Cote","Vincent Mathieu","Olivier Laurin","Anthony St-Martin",12,15
"crs 2025 drummondville","5.0 - Premier","Pool","Gimme Boys","Dans l’show","Guillaume Bilodeau","Maxime Prince","Thomas Dery","Jé Gagnon",15,12
"crs 2025 drummondville","5.0 - Premier","Pool","Backhand","Clueless","Simon Guillemette","Élie Pilon","Alexandre Vaillancourt","Jasmin-Long Najim",21,17
"crs 2025 drummondville","5.0 - Premier","Pool","HM01 Serve","Marshmallow 🐾 🐧","Francis Clément","Yannick Serres","Kim Aspirot","Genevieve Tardy",21,19
"crs 2025 drummondville","5.0 - Premier","Pool","Man ➚ Up  ","Les Vermeilleuses","Jordan Meredith","Alexandre Fortier","Léo Guérin-Morneau","Jacob Tremblay",21,14
"crs 2025 drummondville","5.0 - Premier","Pool","Goal Digger","Double Trouble","Jean-sébastien Boutin","Marc-Antoine Boutin","Simon Parent","Émile Fortin",22,20
"crs 2025 drummondville","5.0 - Premier","Pool","William Lavoie","Guns&Roses","Vincent Lavoie","William Garant","Jessie Desrosiers","Philippe Delwaide",21,14
"crs 2025 drummondville","5.0 - Premier","Pool","Short and Sweet","Spike the punch","Pierre-Luc Robitaille","Olivier Bernard","Etienne Rayes","Olivier Raymond",21,17
"crs 2025 drummondville","5.0 - Premier","Pool","Club nudiste","Gimme Boys","Etienne Cote","Vincent Mathieu","Guillaume Bilodeau","Maxime Prince",12,15
"crs 2025 drummondville","5.0 - Premier","Pool","J'aurais pris 6 pouces de plus","Dans l’show","Olivier Laurin","Anthony St-Martin","Thomas Dery","Jé Gagnon",12,15
"crs 2025 drummondville","5.0 - Premier","Pool","Backhand","HM01 Serve","Simon Guillemette","Élie Pilon","Francis Clément","Yannick Serres",21,13
"crs 2025 drummondville","5.0 - Premier","Pool","TERREBONNE OGs","Marshmallow 🐾 🐧","Matou Pitchou","Théophane Frémond-Guilbault","Kim Aspirot","Genevieve Tardy",21,18
"crs 2025 drummondville","5.0 - Premier","Pool","Man ➚ Up  ","Goal Digger","Jordan Meredith","Alexandre Fortier","Jean-sébastien Boutin","Marc-Antoine Boutin",21,11
"crs 2025 drummondville","5.0 - Premier","Pool","Pigeons","Double Trouble","Xavier Lambert","Nicolas Leroux","Simon Parent","Émile Fortin",21,14
"crs 2025 drummondville","5.0 - Premier","Pool","William Lavoie","Short and Sweet","Vincent Lavoie","William Garant","Pierre-Luc Robitaille","Olivier Bernard",20,22
"crs 2025 drummondville","5.0 - Premier","Pool","Groovy Goofies","Spike the punch","Guillaume Boilard","Samuel Poirier","Etienne Rayes","Olivier Raymond",21,14
"crs 2025 drummondville","5.0 - Premier","Pool","TERREBONNE OGs","HM01 Serve","Matou Pitchou","Théophane Frémond-Guilbault","Francis Clément","Yannick Serres",21,12
"crs 2025 drummondville","5.0 - Premier","Pool","Clueless","Marshmallow 🐾 🐧","Alexandre Vaillancourt","Jasmin-Long Najim","Kim Aspirot","Genevieve Tardy",21,17
"crs 2025 drummondville","5.0 - Premier","Pool","Pigeons","Goal Digger","Xavier Lambert","Nicolas Leroux","Jean-sébastien Boutin","Marc-Antoine Boutin",21,15
"crs 2025 drummondville","5.0 - Premier","Pool","Les Vermeilleuses","Double Trouble","Léo Guérin-Morneau","Jacob Tremblay","Simon Parent","Émile Fortin",21,9
"crs 2025 drummondville","5.0 - Premier","Pool","Groovy Goofies","Short and Sweet","Guillaume Boilard","Samuel Poirier","Pierre-Luc Robitaille","Olivier Bernard",24,22
"crs 2025 drummondville","5.0 - Premier","Pool","Guns&Roses","Spike the punch","Jessie Desrosiers","Philippe Delwaide","Etienne Rayes","Olivier Raymond",16,21
"crs 2025 drummondville","5.0 - Premier","Pool","Backhand","TERREBONNE OGs","Simon Guillemette","Élie Pilon","Matou Pitchou","Théophane Frémond-Guilbault",16,21
"crs 2025 drummondville","5.0 - Premier","Pool","HM01 Serve","Clueless","Francis Clément","Yannick Serres","Alexandre Vaillancourt","Jasmin-Long Najim",21,18
"crs 2025 drummondville","5.0 - Premier","Pool","Man ➚ Up  ","Pigeons","Jordan Meredith","Alexandre Fortier","Xavier Lambert","Nicolas Leroux",21,15
"crs 2025 drummondville","5.0 - Premier","Pool","Goal Digger","Les Vermeilleuses","Jean-sébastien Boutin","Marc-Antoine Boutin","Léo Guérin-Morneau","Jacob Tremblay",14,21
"crs 2025 drummondville","5.0 - Premier","Pool","William Lavoie","Groovy Goofies","Vincent Lavoie","William Garant","Guillaume Boilard","Samuel Poirier",21,15
"crs 2025 drummondville","5.0 - Premier","Pool","Short and Sweet","Guns&Roses","Pierre-Luc Robitaille","Olivier Bernard","Jessie Desrosiers","Philippe Delwaide",21,19
"crs 2025 drummondville","5.0 - Premier","Pool","Club nudiste","Dans l’show","Etienne Cote","Vincent Mathieu","Thomas Dery","Jé Gagnon",9,15
"crs 2025 drummondville","5.0 - Premier","Pool","Gimme Boys","J'aurais pris 6 pouces de plus","Guillaume Bilodeau","Maxime Prince","Olivier Laurin","Anthony St-Martin",15,12
"crs 2025 drummondville","5.0 - Premier","Pool","Club nudiste","J'aurais pris 6 pouces de plus","Etienne Cote","Vincent Mathieu","Olivier Laurin","Anthony St-Martin",15,5
"crs 2025 drummondville","5.0 - Premier","Pool","Gimme Boys","Dans l’show","Guillaume Bilodeau","Maxime Prince","Thomas Dery","Jé Gagnon",15,12
"crs 2025 drummondville","5.0 - Premier","Pool","Club nudiste","Gimme Boys","Etienne Cote","Vincent Mathieu","Guillaume Bilodeau","Maxime Prince",11,15
"crs 2025 drummondville","5.0 - Premier","Pool","J'aurais pris 6 pouces de plus","Dans l’show","Olivier Laurin","Anthony St-Martin","Thomas Dery","Jé Gagnon",15,11
"crs 2025 drummondville","5.0 - Premier","Round of 32","HM01 Serve","Double Trouble","Francis Clément","Yannick Serres","Simon Parent","Émile Fortin",15,13
"crs 2025 drummondville","5.0 - Premier","Round of 32","HM01 Serve","Double Trouble","Francis Clément","Yannick Serres","Simon Parent","Émile Fortin",15,4
"crs 2025 drummondville","5.0 - Premier","Round of 32","Marshmallow 🐾 🐧","Guns&Roses","Kim Aspirot","Genevieve Tardy","Jessie Desrosiers","Philippe Delwaide",1,0
"crs 2025 drummondville","5.0 - Premier","Round of 32","Marshmallow 🐾 🐧","Guns&Roses","Kim Aspirot","Genevieve Tardy","Jessie Desrosiers","Philippe Delwaide",1,0
"crs 2025 drummondville","5.0 - Premier","Round of 32","Spike the punch","Goal Digger","Etienne Rayes","Olivier Raymond","Jean-sébastien Boutin","Marc-Antoine Boutin",13,15
"crs 2025 drummondville","5.0 - Premier","Round of 32","Spike the punch","Goal Digger","Etienne Rayes","Olivier Raymond","Jean-sébastien Boutin","Marc-Antoine Boutin",10,15
"crs 2025 drummondville","5.0 - Premier","Round of 16","Gimme Boys","Goal Digger","Guillaume Bilodeau","Maxime Prince","Jean-sébastien Boutin","Marc-Antoine Boutin",15,9
"crs 2025 drummondville","5.0 - Premier","Round of 16","Gimme Boys","Goal Digger","Guillaume Bilodeau","Maxime Prince","Jean-sébastien Boutin","Marc-Antoine Boutin",15,13
"crs 2025 drummondville","5.0 - Premier","Round of 16","Club nudiste","Marshmallow 🐾 🐧","Etienne Cote","Vincent Mathieu","Kim Aspirot","Genevieve Tardy",15,11
"crs 2025 drummondville","5.0 - Premier","Round of 16","Club nudiste","Marshmallow 🐾 🐧","Etienne Cote","Vincent Mathieu","Kim Aspirot","Genevieve Tardy",15,11
"crs 2025 drummondville","5.0 - Premier","Round of 16","Dans l’show","HM01 Serve","Thomas Dery","Jé Gagnon","Francis Clément","Yannick Serres",15,9
"crs 2025 drummondville","5.0 - Premier","Round of 16","Dans l’show","HM01 Serve","Thomas Dery","Jé Gagnon","Francis Clément","Yannick Serres",15,9
"crs 2025 drummondville","5.0 - Premier","Round of 16","J'aurais pris 6 pouces de plus","Clueless","Olivier Laurin","Anthony St-Martin","Alexandre Vaillancourt","Jasmin-Long Najim",15,12
"crs 2025 drummondville","5.0 - Premier","Round of 16","J'aurais pris 6 pouces de plus","Clueless","Olivier Laurin","Anthony St-Martin","Alexandre Vaillancourt","Jasmin-Long Najim",15,8
"crs 2025 drummondville","5.0 - Premier","Round of 16","Man ➚ Up  ","Pigeons","Jordan Meredith","Alexandre Fortier","Xavier Lambert","Nicolas Leroux",1,0
"crs 2025 drummondville","5.0 - Premier","Round of 16","Man ➚ Up  ","Pigeons","Jordan Meredith","Alexandre Fortier","Xavier Lambert","Nicolas Leroux",14,16
"crs 2025 drummondville","5.0 - Premier","Round of 16","Man ➚ Up  ","Pigeons","Jordan Meredith","Alexandre Fortier","Xavier Lambert","Nicolas Leroux",15,13
"crs 2025 drummondville","5.0 - Premier","Round of 16","William Lavoie","Backhand","Vincent Lavoie","William Garant","Simon Guillemette","Élie Pilon",15,13
"crs 2025 drummondville","5.0 - Premier","Round of 16","William Lavoie","Backhand","Vincent Lavoie","William Garant","Simon Guillemette","Élie Pilon",12,15
"crs 2025 drummondville","5.0 - Premier","Round of 16","William Lavoie","Backhand","Vincent Lavoie","William Garant","Simon Guillemette","Élie Pilon",9,15
"crs 2025 drummondville","5.0 - Premier","Round of 16","Les Vermeilleuses","Short and Sweet","Léo Guérin-Morneau","Jacob Tremblay","Pierre-Luc Robitaille","Olivier Bernard",15,7
"crs 2025 drummondville","5.0 - Premier","Round of 16","Les Vermeilleuses","Short and Sweet","Léo Guérin-Morneau","Jacob Tremblay","Pierre-Luc Robitaille","Olivier Bernard",15,7
"crs 2025 drummondville","5.0 - Premier","Round of 16","TERREBONNE OGs","Groovy Goofies","Matou Pitchou","Théophane Frémond-Guilbault","Guillaume Boilard","Samuel Poirier",1,0
"crs 2025 drummondville","5.0 - Premier","Round of 16","TERREBONNE OGs","Groovy Goofies","Matou Pitchou","Théophane Frémond-Guilbault","Guillaume Boilard","Samuel Poirier",1,0
"crs 2025 drummondville","5.0 - Premier","Quarter-final","Gimme Boys","TERREBONNE OGs","Guillaume Bilodeau","Maxime Prince","Matou Pitchou","Théophane Frémond-Guilbault",1,0
"crs 2025 drummondville","5.0 - Premier","Quarter-final","Gimme Boys","TERREBONNE OGs","Guillaume Bilodeau","Maxime Prince","Matou Pitchou","Théophane Frémond-Guilbault",1,0
"crs 2025 drummondville","5.0 - Premier","Quarter-final","Club nudiste","Les Vermeilleuses","Etienne Cote","Vincent Mathieu","Léo Guérin-Morneau","Jacob Tremblay",15,13
"crs 2025 drummondville","5.0 - Premier","Quarter-final","Club nudiste","Les Vermeilleuses","Etienne Cote","Vincent Mathieu","Léo Guérin-Morneau","Jacob Tremblay",15,10
"crs 2025 drummondville","5.0 - Premier","Quarter-final","Dans l’show","Backhand","Thomas Dery","Jé Gagnon","Simon Guillemette","Élie Pilon",15,2
"crs 2025 drummondville","5.0 - Premier","Quarter-final","Dans l’show","Backhand","Thomas Dery","Jé Gagnon","Simon Guillemette","Élie Pilon",15,8
"crs 2025 drummondville","5.0 - Premier","Quarter-final","J'aurais pris 6 pouces de plus","Man ➚ Up  ","Olivier Laurin","Anthony St-Martin","Jordan Meredith","Alexandre Fortier",15,13
"crs 2025 drummondville","5.0 - Premier","Quarter-final","J'aurais pris 6 pouces de plus","Man ➚ Up  ","Olivier Laurin","Anthony St-Martin","Jordan Meredith","Alexandre Fortier",15,8
"crs 2025 drummondville","5.0 - Premier","P9: Quarter-final","Groovy Goofies","Goal Digger","Guillaume Boilard","Samuel Poirier","Jean-sébastien Boutin","Marc-Antoine Boutin",21,19
"crs 2025 drummondville","5.0 - Premier","P9: Quarter-final","Short and Sweet","Marshmallow 🐾 🐧","Pierre-Luc Robitaille","Olivier Bernard","Kim Aspirot","Genevieve Tardy",14,21
"crs 2025 drummondville","5.0 - Premier","P9: Quarter-final","William Lavoie","HM01 Serve","Vincent Lavoie","William Garant","Francis Clément","Yannick Serres",21,6
"crs 2025 drummondville","5.0 - Premier","P9: Quarter-final","Pigeons","Clueless","Xavier Lambert","Nicolas Leroux","Alexandre Vaillancourt","Jasmin-Long Najim",21,16
"crs 2025 drummondville","5.0 - Premier","Semi-final","Gimme Boys","J'aurais pris 6 pouces de plus","Guillaume Bilodeau","Maxime Prince","Olivier Laurin","Anthony St-Martin",21,18
"crs 2025 drummondville","5.0 - Premier","Semi-final","Gimme Boys","J'aurais pris 6 pouces de plus","Guillaume Bilodeau","Maxime Prince","Olivier Laurin","Anthony St-Martin",21,18
"crs 2025 drummondville","5.0 - Premier","Semi-final","Club nudiste","Dans l’show","Etienne Cote","Vincent Mathieu","Thomas Dery","Jé Gagnon",22,20
"crs 2025 drummondville","5.0 - Premier","Semi-final","Club nudiste","Dans l’show","Etienne Cote","Vincent Mathieu","Thomas Dery","Jé Gagnon",21,15
"crs 2025 drummondville","5.0 - Premier","P5: Semi-final","Man ➚ Up  ","TERREBONNE OGs","Jordan Meredith","Alexandre Fortier","Matou Pitchou","Théophane Frémond-Guilbault",17,21
"crs 2025 drummondville","5.0 - Premier","P5: Semi-final","Backhand","Les Vermeilleuses","Simon Guillemette","Élie Pilon","Léo Guérin-Morneau","Jacob Tremblay",1,0
"crs 2025 drummondville","5.0 - Premier","P9: Semi-final","Groovy Goofies","Pigeons","Guillaume Boilard","Samuel Poirier","Xavier Lambert","Nicolas Leroux",15,21
"crs 2025 drummondville","5.0 - Premier","P9: Semi-final","Marshmallow 🐾 🐧","William Lavoie","Kim Aspirot","Genevieve Tardy","Vincent Lavoie","William Garant",21,19
"crs 2025 drummondville","5.0 - Premier","P13: Semi-final","Clueless","Goal Digger","Alexandre Vaillancourt","Jasmin-Long Najim","Jean-sébastien Boutin","Marc-Antoine Boutin",14,21
"crs 2025 drummondville","5.0 - Premier","P13: Semi-final","HM01 Serve","Short and Sweet","Francis Clément","Yannick Serres","Pierre-Luc Robitaille","Olivier Bernard",21,18
"crs 2025 drummondville","5.0 - Premier","P17: Semi-final","Guns&Roses","Double Trouble","Jessie Desrosiers","Philippe Delwaide","Simon Parent","Émile Fortin",0,1
"crs 2025 drummondville","5.0 - Premier","Final","Gimme Boys","Club nudiste","Guillaume Bilodeau","Maxime Prince","Etienne Cote","Vincent Mathieu",22,24
"crs 2025 drummondville","5.0 - Premier","Final","Gimme Boys","Club nudiste","Guillaume Bilodeau","Maxime Prince","Etienne Cote","Vincent Mathieu",21,19
"crs 2025 drummondville","5.0 - Premier","Final","Gimme Boys","Club nudiste","Guillaume Bilodeau","Maxime Prince","Etienne Cote","Vincent Mathieu",21,17
"crs 2025 drummondville","5.0 - Premier","P3: Final","Dans l’show","J'aurais pris 6 pouces de plus","Thomas Dery","Jé Gagnon","Olivier Laurin","Anthony St-Martin",21,16
"crs 2025 drummondville","5.0 - Premier","P5: Final","TERREBONNE OGs","Backhand","Matou Pitchou","Théophane Frémond-Guilbault","Simon Guillemette","Élie Pilon",0,1
"crs 2025 drummondville","5.0 - Premier","P7: Final","Les Vermeilleuses","Man ➚ Up  ","Léo Guérin-Morneau","Jacob Tremblay","Jordan Meredith","Alexandre Fortier",15,21
"crs 2025 drummondville","5.0 - Premier","P9: Final","Pigeons","Marshmallow 🐾 🐧","Xavier Lambert","Nicolas Leroux","Kim Aspirot","Genevieve Tardy",21,11
"crs 2025 drummondville","5.0 - Premier","P11: Final","William Lavoie","Groovy Goofies","Vincent Lavoie","William Garant","Guillaume Boilard","Samuel Poirier",1,0
"crs 2025 drummondville","5.0 - Premier","P13: Final","Goal Digger","HM01 Serve","Jean-sébastien Boutin","Marc-Antoine Boutin","Francis Clément","Yannick Serres",21,15
"crs 2025 drummondville","5.0 - Premier","P15: Final","Short and Sweet","Clueless","Pierre-Luc Robitaille","Olivier Bernard","Alexandre Vaillancourt","Jasmin-Long Najim",12,21
"crs 2025 drummondville","5.0 - Premier","P17: Final","Spike the punch","Double Trouble","Etienne Rayes","Olivier Raymond","Simon Parent","Émile Fortin",0,1
"crs 2025 drummondville","4.5 - Avancé+ / Contender","Pool","Une tope su l'oreille","Roche, Papier, Ciseaux, Punch dans Gorge","Marc-olivier Fontaine","Tommy Ricard","Jean-François Boutot","William Dorion",21,15
