"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"crs 2025 major#1","5.0 - Premier","Pool","The Queens","Pool Play Prodigies 🤽","Etienne Cote","Maxime Prince","Pierre-André Gaumond","Thomas Langlois",21,18
"crs 2025 major#1","5.0 - Premier","Pool","Les Vermeilleuses","Spike the punch","Jacob Tremblay","Léo Guérin-Morneau","Etienne Rayes","Olivier Raymond",21,15
"crs 2025 major#1","5.0 - Premier","Pool","Chu là","Dufresne/Lamarre","Guillaume Bilodeau","Thomas Dery","Alexandre Lamarre","Thomas Dufresne",21,5
"crs 2025 major#1","5.0 - Premier","Pool","Les BOSS","Spin City","Élie Pilon","William Garant","Chris Loubert","Sabir Qureshi",21,23
"crs 2025 major#1","5.0 - Premier","Pool","Emerson a choke","Clueless","Olivier Aglot","Jé Gagnon","Jasmin-Long Najim","Alexandre Vaillancourt",20,22
"crs 2025 major#1","5.0 - Premier","Pool","TERREBONNE OGs","Bouche trou","Théophane Frémond-Guilbault","Matou Pitchou","Oscar Lozano","Alexandre Fortier",18,21
"crs 2025 major#1","5.0 - Premier","Pool","Simply Smashing","VVW","Olivier Laurin","Guillaume Jomphe","Vincent Lavoie","Luc Vincent Guay",21,13
"crs 2025 major#1","5.0 - Premier","Pool","Ice Climber and Donkey Kong","Package D-ouble Faute","Anthony St-Martin","Kurt Lannetti","Pierre-Luc Robitaille","Guillaume Boilard",21,10
"crs 2025 major#1","5.0 - Premier","Pool","The Queens","Spike the punch","Etienne Cote","Maxime Prince","Etienne Rayes","Olivier Raymond",21,7
"crs 2025 major#1","5.0 - Premier","Pool","Pigeons","Pool Play Prodigies 🤽","Xavier Lambert","Nicolas Leroux","Pierre-André Gaumond","Thomas Langlois",21,23
"crs 2025 major#1","5.0 - Premier","Pool","Chu là","Spin City","Guillaume Bilodeau","Thomas Dery","Chris Loubert","Sabir Qureshi",21,6
"crs 2025 major#1","5.0 - Premier","Pool","Wink wink 😉","Dufresne/Lamarre","Manouk Momo","Lou Paradis","Alexandre Lamarre","Thomas Dufresne",21,18
"crs 2025 major#1","5.0 - Premier","Pool","Emerson a choke","Bouche trou","Olivier Aglot","Jé Gagnon","Oscar Lozano","Alexandre Fortier",22,20
