"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Worm Early","Curry Cartel","Agnes Pang","Thai Do","Pablo Garcia","David Joseph",15,1
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Coochie Power","Wednesday Waffles","Jacky Chen","Kristy Ip","Zameer Masjedee","Rayhan Memon",15,13
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Lowballers","Knitting Club","Nate Yandle","Aiden O'Leary","Pranav Acharya","Betty Yan",15,13
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Knuckle Dusters","Perfect Match","Caleb Poznikoff","Jacob Chen","Alex Chekina","Diana Pylypenko",15,12
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Two peas in a pot","Chris/Tam","Kai O'Donnell","Jaian Nichols","Tam Albayaa","Chris Cruise",15,5
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Raspberry Sauce","Steak Frites","Rachel Cheung","Stacy Yu","Tristan Lee","Samuel Lee",13,15
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","The Nice Guys","Golden Eggplants","Ashaun Anand","Quentin Chiu","Eric Ko","Eric Ko",15,3
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Drop it like it's hot 🔥","AI Spike","Kristy Fielding","Dayton Mah","Isaac Puar","Asher Puar",15,9
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Bucket Hat Ballerz","Damaged Goods","Kaiden Mccreedy","Adam Rodenstein","Taylor Bailey","Joshua Chan",15,11
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Worm Early","Wednesday Waffles","Agnes Pang","Thai Do","Zameer Masjedee","Rayhan Memon",15,8
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Coochie Power","Blue like a dinosaur","Jacky Chen","Kristy Ip","Andrew Plummer","Paul Dante",15,12
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Knitting Club","Curry Cartel","Pranav Acharya","Betty Yan","Pablo Garcia","David Joseph",15,8
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Knuckle Dusters","Chris/Tam","Caleb Poznikoff","Jacob Chen","Tam Albayaa","Chris Cruise",15,8
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Two peas in a pot","Guardians of the Galapagos","Kai O'Donnell","Jaian Nichols","Darwin Marzo","Matt Noseworthy",15,4
"crs burnaby 2025","Intermediate Plus 2.0 - 3.5","Pool","Steak Frites","Perfect Match","Tristan Lee","Samuel Lee","Alex Chekina","Diana Pylypenko",15,4
