"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"crs east van 2024","Intermediate/Advanced 2.0 - 3.5","Pool","Yellow Ballers","Notorious N.E.T","Andrew Lo","Jacky Chen","Sean Dempsey","Aiden O'Leary",15,9
"crs east van 2024","Intermediate/Advanced 2.0 - 3.5","Pool","Fine Quentin, I’ll play","Seeing Double","Ashaun Anand","Kristy Fielding","Nick Wood","Peter Wood",9,15
"crs east van 2024","Intermediate/Advanced 2.0 - 3.5","Pool","Coochie Power","Knuckle Dusters","Agnes Pang","Kristy Ip","Jacob Chen","Caleb Poznikoff",15,13
"crs east van 2024","Intermediate/Advanced 2.0 - 3.5","Pool","Raspberry Sauce","Spike Tyson","Rachel Cheung","Stacy Yu","Natasha Mayer","Connor Gritter",17,15
"crs east van 2024","Intermediate/Advanced 2.0 - 3.5","Pool","Welcome To The Spike Parade","Where are my keys?","Michael Czemerys","Julien Beaudoin-Mercier","Ian Lung","Jordan Verasamy",15,12
"crs east van 2024","Intermediate/Advanced 2.0 - 3.5","Pool","Yellow Ballers","Seeing Double","Andrew Lo","Jacky Chen","Nick Wood","Peter Wood",7,15
"crs east van 2024","Intermediate/Advanced 2.0 - 3.5","Pool","Fine Quentin, I’ll play","Coochie Power","Ashaun Anand","Kristy Fielding","Agnes Pang","Kristy Ip",20,21
"crs east van 2024","Intermediate/Advanced 2.0 - 3.5","Pool","Knuckle Dusters","Notorious N.E.T","Jacob Chen","Caleb Poznikoff","Sean Dempsey","Aiden O'Leary",11,15
"crs east van 2024","Intermediate/Advanced 2.0 - 3.5","Pool","Raspberry Sauce","Where are my keys?","Rachel Cheung","Stacy Yu","Ian Lung","Jordan Verasamy",15,10
"crs east van 2024","Intermediate/Advanced 2.0 - 3.5","Pool","It Hinges On This","Spike Tyson","Sanesh Iyer","Betty Yan","Natasha Mayer","Connor Gritter",6,15
