"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","Knuckle Dusters","Curry Cartel","Jacob Chen","Caleb Poznikoff","Pablo Garcia","David Joseph",21,10
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","COSTCO WHOLESALE","Xavier Aces","Joshua Chan","Darwin Marzo","Donald Adams","Dave McCarthy",21,16
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","Aidan/Vishnu","The bouncer","Vishnu Bhasker","Aidan Erickson","Faustine d'Orchymont","Deepti Prabha",21,6
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","The SpikeRA","The pink panthers ","Conor Murphy","Emmet Hodkinson","Easton Appeldoorn","James Probstl",21,7
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","Buttercup ","Stoked ","Taylor Bailey","Pranav Acharya","Alex Chekina","Matt Skepasts",13,21
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","Knuckle Dusters","Xavier Aces","Jacob Chen","Caleb Poznikoff","Donald Adams","Dave McCarthy",21,5
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","Read/Page","Curry Cartel","Alec Read","","Pablo Garcia","David Joseph",21,16
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","Aidan/Vishnu","The pink panthers ","Vishnu Bhasker","Aidan Erickson","Easton Appeldoorn","James Probstl",21,4
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","The SpikeRA","Buttercup ","Conor Murphy","Emmet Hodkinson","Taylor Bailey","Pranav Acharya",21,16
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","Stoked ","The bouncer","Alex Chekina","Matt Skepasts","Faustine d'Orchymont","Deepti Prabha",21,4
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","Knuckle Dusters","Read/Page","Jacob Chen","Caleb Poznikoff","Alec Read","",22,20
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","COSTCO WHOLESALE","Curry Cartel","Joshua Chan","Darwin Marzo","Pablo Garcia","David Joseph",21,8
"crs van major 2025","Intermediate Plus 2.0 - 3.5","Pool","Aidan/Vishnu","Stoked ","Vishnu Bhasker","Aidan Erickson","Alex Chekina","Matt Skepasts",24,22
