"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"crs waterloo 2025","Contender","Pool","NEM Stack The Pads","TBD","Brock Leibold","Emerson Dean","Chris Loubert","Derek Soetemans",21,10
"crs waterloo 2025","Contender","Pool","CRO Fieldhousers","Bombardino Crocodilo","Ben Pernfuss","Nicholas Puopolo","Malachi Albrecht","Joshua Ang",21,17
"crs waterloo 2025","Contender","Pool","Swagger Wong Szn","The Voluntolds","Nathan Wong","Adam Hassan","Peter Lam","Adrian Garcea",21,4
"crs waterloo 2025","Contender","Pool","Quarterassin'","Drink In Hand","Andrew Collard","Ian Barnes","Ella Fairbairn","Zack Platt",21,17
"crs waterloo 2025","Contender","Pool","A Riegle with Toews","Team Reach","Nathan Toews","Peter Riegle","Ben Huebner","Owen Fretz",21,15
"crs waterloo 2025","Contender","Pool","Flabazadalagalalright","Capital Krunch","Jordan Martin","Brendan Reesor","Mathis Mensour","Noah Baccin",21,18
"crs waterloo 2025","Contender","Pool","EA Sports","smash or pass","Alex Kim","Ezra Campanelli","Abdullah Imran","Zuhair Mohamed",21,2
"crs waterloo 2025","Contender","Pool","Ric Yip","Spark Plugs","Tim Yip","Ricardo Boscan","Joshua Dahmer","Charbel Haddad",16,21
"crs waterloo 2025","Contender","Pool","NEM Stack The Pads","Bombardino Crocodilo","Brock Leibold","Emerson Dean","Malachi Albrecht","Joshua Ang",21,9
"crs waterloo 2025","Contender","Pool","CRO Fieldhousers","Swagger Wong Szn","Ben Pernfuss","Nicholas Puopolo","Nathan Wong","Adam Hassan",15,21
"crs waterloo 2025","Contender","Pool","The Voluntolds","TBD","Peter Lam","Adrian Garcea","Chris Loubert","Derek Soetemans",16,21
"crs waterloo 2025","Contender","Pool","Quarterassin'","Team Reach","Andrew Collard","Ian Barnes","Ben Huebner","Owen Fretz",22,20
"crs waterloo 2025","Contender","Pool","Cuz We Spike","Drink In Hand","Caleb Schmidt","Evan Korvemaker","Ella Fairbairn","Zack Platt",21,18
"crs waterloo 2025","Contender","Pool","Flabazadalagalalright","smash or pass","Jordan Martin","Brendan Reesor","Abdullah Imran","Zuhair Mohamed",21,6
"crs waterloo 2025","Contender","Pool","EA Sports","Ric Yip","Alex Kim","Ezra Campanelli","Tim Yip","Ricardo Boscan",21,6
"crs waterloo 2025","Contender","Pool","Spark Plugs","Capital Krunch","Joshua Dahmer","Charbel Haddad","Mathis Mensour","Noah Baccin",22,24
"crs waterloo 2025","Contender","Pool","NEM Stack The Pads","The Voluntolds","Brock Leibold","Emerson Dean","Peter Lam","Adrian Garcea",21,10
"crs waterloo 2025","Contender","Pool","CRO Fieldhousers","TBD","Ben Pernfuss","Nicholas Puopolo","Chris Loubert","Derek Soetemans",19,21
"crs waterloo 2025","Contender","Pool","Swagger Wong Szn","Bombardino Crocodilo","Nathan Wong","Adam Hassan","Malachi Albrecht","Joshua Ang",21,14
"crs waterloo 2025","Contender","Pool","Quarterassin'","Cuz We Spike","Andrew Collard","Ian Barnes","Caleb Schmidt","Evan Korvemaker",20,22
"crs waterloo 2025","Contender","Pool","A Riegle with Toews","Drink In Hand","Nathan Toews","Peter Riegle","Ella Fairbairn","Zack Platt",21,10
"crs waterloo 2025","Contender","Pool","Flabazadalagalalright","Spark Plugs","Jordan Martin","Brendan Reesor","Joshua Dahmer","Charbel Haddad",21,18
"crs waterloo 2025","Contender","Pool","EA Sports","Capital Krunch","Alex Kim","Ezra Campanelli","Mathis Mensour","Noah Baccin",21,12
"crs waterloo 2025","Contender","Pool","Ric Yip","smash or pass","Tim Yip","Ricardo Boscan","Abdullah Imran","Zuhair Mohamed",21,11
"crs waterloo 2025","Contender","Pool","NEM Stack The Pads","Swagger Wong Szn","Brock Leibold","Emerson Dean","Nathan Wong","Adam Hassan",21,15
"crs waterloo 2025","Contender","Pool","CRO Fieldhousers","The Voluntolds","Ben Pernfuss","Nicholas Puopolo","Peter Lam","Adrian Garcea",28,26
"crs waterloo 2025","Contender","Pool","Bombardino Crocodilo","TBD","Malachi Albrecht","Joshua Ang","Chris Loubert","Derek Soetemans",13,21
"crs waterloo 2025","Contender","Pool","A Riegle with Toews","Cuz We Spike","Nathan Toews","Peter Riegle","Caleb Schmidt","Evan Korvemaker",21,8
"crs waterloo 2025","Contender","Pool","Team Reach","Drink In Hand","Ben Huebner","Owen Fretz","Ella Fairbairn","Zack Platt",21,12
"crs waterloo 2025","Contender","Pool","Flabazadalagalalright","Ric Yip","Jordan Martin","Brendan Reesor","Tim Yip","Ricardo Boscan",21,8
"crs waterloo 2025","Contender","Pool","EA Sports","Spark Plugs","Alex Kim","Ezra Campanelli","Joshua Dahmer","Charbel Haddad",21,16
"crs waterloo 2025","Contender","Pool","smash or pass","Capital Krunch","Abdullah Imran","Zuhair Mohamed","Mathis Mensour","Noah Baccin",15,21
"crs waterloo 2025","Contender","Pool","NEM Stack The Pads","CRO Fieldhousers","Brock Leibold","Emerson Dean","Ben Pernfuss","Nicholas Puopolo",16,21
"crs waterloo 2025","Contender","Pool","Swagger Wong Szn","TBD","Nathan Wong","Adam Hassan","Chris Loubert","Derek Soetemans",18,21
"crs waterloo 2025","Contender","Pool","The Voluntolds","Bombardino Crocodilo","Peter Lam","Adrian Garcea","Malachi Albrecht","Joshua Ang",15,21
"crs waterloo 2025","Contender","Pool","Quarterassin'","A Riegle with Toews","Andrew Collard","Ian Barnes","Nathan Toews","Peter Riegle",15,21
"crs waterloo 2025","Contender","Pool","Cuz We Spike","Team Reach","Caleb Schmidt","Evan Korvemaker","Ben Huebner","Owen Fretz",22,20
"crs waterloo 2025","Contender","Pool","Flabazadalagalalright","EA Sports","Jordan Martin","Brendan Reesor","Alex Kim","Ezra Campanelli",16,21
"crs waterloo 2025","Contender","Pool","Ric Yip","Capital Krunch","Tim Yip","Ricardo Boscan","Mathis Mensour","Noah Baccin",22,20
"crs waterloo 2025","Contender","Pool","Spark Plugs","smash or pass","Joshua Dahmer","Charbel Haddad","Abdullah Imran","Zuhair Mohamed",21,6
"crs waterloo 2025","Contender","Round of 16","Bombardino Crocodilo","Spark Plugs","Malachi Albrecht","Joshua Ang","Joshua Dahmer","Charbel Haddad",21,19
"crs waterloo 2025","Contender","Round of 16","Bombardino Crocodilo","Spark Plugs","Malachi Albrecht","Joshua Ang","Joshua Dahmer","Charbel Haddad",21,16
"crs waterloo 2025","Contender","Round of 16","The Voluntolds","Quarterassin'","Peter Lam","Adrian Garcea","Andrew Collard","Ian Barnes",12,21
"crs waterloo 2025","Contender","Round of 16","The Voluntolds","Quarterassin'","Peter Lam","Adrian Garcea","Andrew Collard","Ian Barnes",21,14
"crs waterloo 2025","Contender","Round of 16","The Voluntolds","Quarterassin'","Peter Lam","Adrian Garcea","Andrew Collard","Ian Barnes",19,21
"crs waterloo 2025","Contender","Round of 16","EA Sports","Cuz We Spike","Alex Kim","Ezra Campanelli","Caleb Schmidt","Evan Korvemaker",21,8
"crs waterloo 2025","Contender","Round of 16","EA Sports","Cuz We Spike","Alex Kim","Ezra Campanelli","Caleb Schmidt","Evan Korvemaker",21,9
"crs waterloo 2025","Contender","Round of 16","A Riegle with Toews","Flabazadalagalalright","Nathan Toews","Peter Riegle","Jordan Martin","Brendan Reesor",16,21
"crs waterloo 2025","Contender","Round of 16","A Riegle with Toews","Flabazadalagalalright","Nathan Toews","Peter Riegle","Jordan Martin","Brendan Reesor",17,21
"crs waterloo 2025","Contender","Quarter-final","NEM Stack The Pads","Flabazadalagalalright","Brock Leibold","Emerson Dean","Jordan Martin","Brendan Reesor",21,16
"crs waterloo 2025","Contender","Quarter-final","NEM Stack The Pads","Flabazadalagalalright","Brock Leibold","Emerson Dean","Jordan Martin","Brendan Reesor",21,7
"crs waterloo 2025","Contender","Quarter-final","TBD","EA Sports","Chris Loubert","Derek Soetemans","Alex Kim","Ezra Campanelli",22,20
"crs waterloo 2025","Contender","Quarter-final","TBD","EA Sports","Chris Loubert","Derek Soetemans","Alex Kim","Ezra Campanelli",21,18
