"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"crs windsor 2025","Elite","Pool","Golden Stripe","🌲 t r o u b l e","Etienne Cote","Clifford Amadeo LeVeque","Joey Renaud","Chris Loubert",15,9
"crs windsor 2025","Elite","Pool","Vote for Pedro","tralalero tralala","Kyle Fowler","Joey Reynolds","Nicholas Puopolo","Nathan Wong",15,11
"crs windsor 2025","Elite","Pool","Odds Per Hype","The Fragrance","Reilly Paquette","Emerson Dean","Jacob Narayan","Paq Clifford",12,15
"crs windsor 2025","Elite","Pool","Gagnon/Marino","🌲 ICEBERGS","Kieran Rose","Chris Brown","Isaiah Bergsma","Nelson Bergsma",15,2
"crs windsor 2025","Elite","Pool","Mutton Bread","Flabazadalagalalright","Grayson M  Wills","Thomas Hamilton","Brendan Reesor","Jordan Martin",15,12
"crs windsor 2025","Elite","Pool","Pooin and Gooin","BRUDAAAAA","Nick Evanko","Tim Lacagnina","Sabir Qureshi","Lou Paradis",15,17
"crs windsor 2025","Elite","Pool","Sour then sweet ","NEM Uprising","Izayah Gibson","Justin Barr","Adam Hassan","Brock Leibold",19,17
"crs windsor 2025","Elite","Pool","Golden Stripe","tralalero tralala","Etienne Cote","Clifford Amadeo LeVeque","Nicholas Puopolo","Nathan Wong",15,8
"crs windsor 2025","Elite","Pool","Vote for Pedro","Wrap Gods","Kyle Fowler","Joey Reynolds","Aleks Essen","Korbin Thompson",16,14
"crs windsor 2025","Elite","Pool","The Fragrance","🌲 t r o u b l e","Jacob Narayan","Paq Clifford","Joey Renaud","Chris Loubert",15,11
"crs windsor 2025","Elite","Pool","Gagnon/Marino","Flabazadalagalalright","Kieran Rose","Chris Brown","Brendan Reesor","Jordan Martin",15,7
"crs windsor 2025","Elite","Pool","Mutton Bread","NEM Uprising","Grayson M  Wills","Thomas Hamilton","Adam Hassan","Brock Leibold",15,6
"crs windsor 2025","Elite","Pool","Pooin and Gooin","Sour then sweet ","Nick Evanko","Tim Lacagnina","Izayah Gibson","Justin Barr",17,19
"crs windsor 2025","Elite","Pool","BRUDAAAAA","🌲 ICEBERGS","Sabir Qureshi","Lou Paradis","Isaiah Bergsma","Nelson Bergsma",15,7
"crs windsor 2025","Elite","Pool","Golden Stripe","The Fragrance","Etienne Cote","Clifford Amadeo LeVeque","Jacob Narayan","Paq Clifford",15,8
"crs windsor 2025","Elite","Pool","Vote for Pedro","Odds Per Hype","Kyle Fowler","Joey Reynolds","Reilly Paquette","Emerson Dean",15,8
"crs windsor 2025","Elite","Pool","Wrap Gods","tralalero tralala","Aleks Essen","Korbin Thompson","Nicholas Puopolo","Nathan Wong",15,13
"crs windsor 2025","Elite","Pool","Gagnon/Marino","BRUDAAAAA","Kieran Rose","Chris Brown","Sabir Qureshi","Lou Paradis",15,7
"crs windsor 2025","Elite","Pool","Mutton Bread","Pooin and Gooin","Grayson M  Wills","Thomas Hamilton","Nick Evanko","Tim Lacagnina",15,12
