"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","Éclipse","Maxime Prince","Guillaume Bilodeau","Olivier Mallette","Pierre-André Gaumond",15,7
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Crotte de moineau","LSRS gangsters","Xavier Lambert","William Garant","Yannick Serres","Alexandre Lamarre",10,15
"crs_granby","5.0 - Premier (avec NHZ)","Pool","TERREBONNE OGs","Package Brain 🧠","Matou Pitchou","Théophane Frémond-Guilbault","Olivier Raymond","Léo Guérin-Morneau",15,6
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","LSRS gangsters","Maxime Prince","Guillaume Bilodeau","Yannick Serres","Alexandre Lamarre",15,8
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Clueless","Éclipse","Jasmin-Long Najim","Alexandre Vaillancourt","Olivier Mallette","Pierre-André Gaumond",15,11
"crs_granby","5.0 - Premier (avec NHZ)","Pool","TERREBONNE OGs","Super Nannies","Matou Pitchou","Théophane Frémond-Guilbault","Clement Lavice","Simon Arseneau",15,6
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","Clueless","Maxime Prince","Guillaume Bilodeau","Jasmin-Long Najim","Alexandre Vaillancourt",15,11
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Crotte de moineau","Éclipse","Xavier Lambert","William Garant","Olivier Mallette","Pierre-André Gaumond",15,12
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Crotte de moineau","Clueless","Xavier Lambert","William Garant","Jasmin-Long Najim","Alexandre Vaillancourt",15,8
"crs_granby","5.0 - Premier (avec NHZ)","Pool","LSRS gangsters","Éclipse","Yannick Serres","Alexandre Lamarre","Olivier Mallette","Pierre-André Gaumond",17,15
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","Crotte de moineau","Maxime Prince","Guillaume Bilodeau","Xavier Lambert","William Garant",15,8
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","Éclipse","Maxime Prince","Guillaume Bilodeau","Olivier Mallette","Pierre-André Gaumond",15,8
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Crotte de moineau","LSRS gangsters","Xavier Lambert","William Garant","Yannick Serres","Alexandre Lamarre",15,3
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","LSRS gangsters","Maxime Prince","Guillaume Bilodeau","Yannick Serres","Alexandre Lamarre",15,9
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Clueless","Éclipse","Jasmin-Long Najim","Alexandre Vaillancourt","Olivier Mallette","Pierre-André Gaumond",15,8
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","Clueless","Maxime Prince","Guillaume Bilodeau","Jasmin-Long Najim","Alexandre Vaillancourt",15,6
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Crotte de moineau","Éclipse","Xavier Lambert","William Garant","Olivier Mallette","Pierre-André Gaumond",15,8
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Crotte de moineau","Clueless","Xavier Lambert","William Garant","Jasmin-Long Najim","Alexandre Vaillancourt",8,15
"crs_granby","5.0 - Premier (avec NHZ)","Pool","LSRS gangsters","Éclipse","Yannick Serres","Alexandre Lamarre","Olivier Mallette","Pierre-André Gaumond",14,16
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","Crotte de moineau","Maxime Prince","Guillaume Bilodeau","Xavier Lambert","William Garant",15,10
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","Éclipse","Maxime Prince","Guillaume Bilodeau","Olivier Mallette","Pierre-André Gaumond",15,7
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Crotte de moineau","LSRS gangsters","Xavier Lambert","William Garant","Yannick Serres","Alexandre Lamarre",10,15
"crs_granby","5.0 - Premier (avec NHZ)","Pool","TERREBONNE OGs","Package Brain 🧠","Matou Pitchou","Théophane Frémond-Guilbault","Olivier Raymond","Léo Guérin-Morneau",15,6
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Les trous","Super Nannies","Élie Pilon","Manouk Momo","Clement Lavice","Simon Arseneau",15,12
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","LSRS gangsters","Maxime Prince","Guillaume Bilodeau","Yannick Serres","Alexandre Lamarre",15,8
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Clueless","Éclipse","Jasmin-Long Najim","Alexandre Vaillancourt","Olivier Mallette","Pierre-André Gaumond",15,11
"crs_granby","5.0 - Premier (avec NHZ)","Pool","TERREBONNE OGs","Super Nannies","Matou Pitchou","Théophane Frémond-Guilbault","Clement Lavice","Simon Arseneau",15,6
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Les trous","Package Brain 🧠","Élie Pilon","Manouk Momo","Olivier Raymond","Léo Guérin-Morneau",15,7
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","Clueless","Maxime Prince","Guillaume Bilodeau","Jasmin-Long Najim","Alexandre Vaillancourt",15,11
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Crotte de moineau","Éclipse","Xavier Lambert","William Garant","Olivier Mallette","Pierre-André Gaumond",15,12
"crs_granby","5.0 - Premier (avec NHZ)","Pool","TERREBONNE OGs","Les trous","Matou Pitchou","Théophane Frémond-Guilbault","Élie Pilon","Manouk Momo",15,10
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Super Nannies","Package Brain 🧠","Clement Lavice","Simon Arseneau","Olivier Raymond","Léo Guérin-Morneau",15,8
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Crotte de moineau","Clueless","Xavier Lambert","William Garant","Jasmin-Long Najim","Alexandre Vaillancourt",15,8
"crs_granby","5.0 - Premier (avec NHZ)","Pool","LSRS gangsters","Éclipse","Yannick Serres","Alexandre Lamarre","Olivier Mallette","Pierre-André Gaumond",17,15
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","Crotte de moineau","Maxime Prince","Guillaume Bilodeau","Xavier Lambert","William Garant",15,10
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Clueless","LSRS gangsters","Jasmin-Long Najim","Alexandre Vaillancourt","Yannick Serres","Alexandre Lamarre",15,7
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Gimme Boys","Éclipse","Maxime Prince","Guillaume Bilodeau","Olivier Mallette","Pierre-André Gaumond",15,8
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Crotte de moineau","LSRS gangsters","Xavier Lambert","William Garant","Yannick Serres","Alexandre Lamarre",15,3
"crs_granby","5.0 - Premier (avec NHZ)","Pool","TERREBONNE OGs","Package Brain 🧠","Matou Pitchou","Théophane Frémond-Guilbault","Olivier Raymond","Léo Guérin-Morneau",15,2
"crs_granby","5.0 - Premier (avec NHZ)","Pool","Les trous","Super Nannies","Élie Pilon","Manouk Momo","Clement Lavice","Simon Arseneau",15,9
