"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"crs_quebecios","5.0 - Premier","Pool","TLMG","TERREBONNE OGs","Anthony St-Martin","Thomas Dery","Matou Pitchou","Théophane Frémond-Guilbault",15,12
"crs_quebecios","5.0 - Premier","Pool","G-Force","can’t beat em’? join em’","Guillaume Bilodeau","Jé Gagnon","Sabir Qureshi","Maxime Prince",15,10
"crs_quebecios","5.0 - Premier","Pool","Les trous","Swagger Wong Szn","Élie Pilon","Manouk Momo","Nathan Wong","Adam Hassan",15,21
"crs_quebecios","5.0 - Premier","Pool","Pigeons","Spike the punch","Nicolas Leroux","Xavier Lambert","Etienne Rayes","Olivier Raymond",21,12
"crs_quebecios","5.0 - Premier","Pool","Les Vermeilleuses","Super Nannies","Léo Guérin-Morneau","Jacob Tremblay","Clement Lavice","Simon Arseneau",15,21
"crs_quebecios","5.0 - Premier","Pool","Maison douce maison ","VVW","William Garant","Alexandre Vaillancourt","Luc Vincent Guay","Vincent Lavoie",22,23
"crs_quebecios","5.0 - Premier","Pool","TLMG","can’t beat em’? join em’","Anthony St-Martin","Thomas Dery","Sabir Qureshi","Maxime Prince",15,11
"crs_quebecios","5.0 - Premier","Pool","G-Force","TERREBONNE OGs","Guillaume Bilodeau","Jé Gagnon","Matou Pitchou","Théophane Frémond-Guilbault",15,8
"crs_quebecios","5.0 - Premier","Pool","Les trous","Spike the punch","Élie Pilon","Manouk Momo","Etienne Rayes","Olivier Raymond",21,7
"crs_quebecios","5.0 - Premier","Pool","PaPete","Swagger Wong Szn","Pierre-Luc Robitaille","Pierre-André Gaumond","Nathan Wong","Adam Hassan",7,21
"crs_quebecios","5.0 - Premier","Pool","Les Vermeilleuses","VVW","Léo Guérin-Morneau","Jacob Tremblay","Luc Vincent Guay","Vincent Lavoie",21,15
"crs_quebecios","5.0 - Premier","Pool","Groovy Goofies","Super Nannies","Samuel Poirier","Guillaume Boilard","Clement Lavice","Simon Arseneau",12,21
"crs_quebecios","5.0 - Premier","Pool","TLMG","G-Force","Anthony St-Martin","Thomas Dery","Guillaume Bilodeau","Jé Gagnon",15,13
"crs_quebecios","5.0 - Premier","Pool","can’t beat em’? join em’","TERREBONNE OGs","Sabir Qureshi","Maxime Prince","Matou Pitchou","Théophane Frémond-Guilbault",15,9
"crs_quebecios","5.0 - Premier","Pool","Les trous","PaPete","Élie Pilon","Manouk Momo","Pierre-Luc Robitaille","Pierre-André Gaumond",21,19
