"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"crusarsectional","Open Bronze (5.0+)","Pool","Irrational","Dairy Cow Junction","Dalee Young","Connor Larsen","Jalen Butkus","Sean Bjork",15,6
"crusarsectional","Open Bronze (5.0+)","Pool","Maggies' Angels","Curls and cuts","Brandon Spector","Andre Reynolds","Simeon Ryan","Malachi Ryan",12,15
"crusarsectional","Open Bronze (5.0+)","Pool","Prudhomme/Hummel","Flow state","Zac Hummel","Adam Prudhomme","Daniel Champlin","Jake ‏Babbitt",10,15
"crusarsectional","Open Bronze (5.0+)","Pool","Irrational","Curls and cuts","Dalee Young","Connor Larsen","Simeon Ryan","Malachi Ryan",15,9
"crusarsectional","Open Bronze (5.0+)","Pool","Maggies' Angels","Team Fwango 3.0","Brandon Spector","Andre Reynolds","Josiah Murphy","Zack Duffy",12,15
"crusarsectional","Open Bronze (5.0+)","Pool","Flow state","Dairy Cow Junction","Daniel Champlin","Jake ‏Babbitt","Jalen Butkus","Sean Bjork",15,13
"crusarsectional","Open Bronze (5.0+)","Pool","Irrational","Flow state","Dalee Young","Connor Larsen","Daniel Champlin","Jake ‏Babbitt",15,13
"crusarsectional","Open Bronze (5.0+)","Pool","Maggies' Angels","Prudhomme/Hummel","Brandon Spector","Andre Reynolds","Zac Hummel","Adam Prudhomme",15,11
"crusarsectional","Open Bronze (5.0+)","Pool","Team Fwango 3.0","Curls and cuts","Josiah Murphy","Zack Duffy","Simeon Ryan","Malachi Ryan",15,13
"crusarsectional","Open Bronze (5.0+)","Pool","Irrational","Team Fwango 3.0","Dalee Young","Connor Larsen","Josiah Murphy","Zack Duffy",13,15
"crusarsectional","Open Bronze (5.0+)","Pool","Maggies' Angels","Dairy Cow Junction","Brandon Spector","Andre Reynolds","Jalen Butkus","Sean Bjork",15,13
"crusarsectional","Open Bronze (5.0+)","Pool","Prudhomme/Hummel","Curls and cuts","Zac Hummel","Adam Prudhomme","Simeon Ryan","Malachi Ryan",15,7
"crusarsectional","Open Bronze (5.0+)","Pool","Maggies' Angels","Flow state","Brandon Spector","Andre Reynolds","Daniel Champlin","Jake ‏Babbitt",15,11
"crusarsectional","Open Bronze (5.0+)","Pool","Prudhomme/Hummel","Team Fwango 3.0","Zac Hummel","Adam Prudhomme","Josiah Murphy","Zack Duffy",12,15
"crusarsectional","Open Bronze (5.0+)","Pool","Curls and cuts","Dairy Cow Junction","Simeon Ryan","Malachi Ryan","Jalen Butkus","Sean Bjork",10,15
"crusarsectional","Open Bronze (5.0+)","Pool","Irrational","Prudhomme/Hummel","Dalee Young","Connor Larsen","Zac Hummel","Adam Prudhomme",15,11
"crusarsectional","Open Bronze (5.0+)","Pool","Team Fwango 3.0","Dairy Cow Junction","Josiah Murphy","Zack Duffy","Jalen Butkus","Sean Bjork",15,12
"crusarsectional","Open Bronze (5.0+)","Pool","Flow state","Curls and cuts","Daniel Champlin","Jake ‏Babbitt","Simeon Ryan","Malachi Ryan",10,15
"crusarsectional","Open Bronze (5.0+)","Pool","Irrational","Maggies' Angels","Dalee Young","Connor Larsen","Brandon Spector","Andre Reynolds",15,13
"crusarsectional","Open Bronze (5.0+)","Pool","Prudhomme/Hummel","Dairy Cow Junction","Zac Hummel","Adam Prudhomme","Jalen Butkus","Sean Bjork",16,14
