"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ers24alb","BRACKET 1130 Open 4.5+","Pool","Sah ECCITEDD","Lab Rats","Thomas Hoffman","Sunny Gu","Tj Brawdy","Eddie Rakowski",21,7
"ers24alb","BRACKET 1130 Open 4.5+","Pool","Fresh Cuts","Shanghai Sharks","Jon LeFrois","Ethan Westfall","Louis Battista","Andrew Nee",22,20
"ers24alb","BRACKET 1130 Open 4.5+","Pool","G's Gulabs","Unnecessarily Cheeky","Aidan Schaffer","Maxwell Riseman","Brandon Spector","blake rock",17,21
"ers24alb","BRACKET 1130 Open 4.5+","Pool","Happy Heffalumps","Celtics Riders","Michael Catuccio","Matt Catuccio","Brendan Kasuba","Joshua Aguilar",21,9
"ers24alb","BRACKET 1130 Open 4.5+","Pool","Girth Control","Biggie Bag Ballers","Dustin Grant","Riley Nassour","Kolton Knight","Eoin O'Gara",21,19
"ers24alb","BRACKET 1130 Open 4.5+","Pool","NYC Reps","Meeps Sheadow","Alex Luc","Ricky Santiago","Ryan Jung","Riley Savastano",21,14
"ers24alb","BRACKET 1130 Open 4.5+","Pool","White Lotus Roundnet ","NAMOOR","Ely Marciano","Mitchell Carter","Noah Hickey","Michael Bagdasarian",21,11
"ers24alb","BRACKET 1130 Open 4.5+","Pool","5' 11"" vs 6'","Plassmann 511","Nic Albornoz","Charlie Freeman","Spencer James","Michael Vilardo",21,9
"ers24alb","BRACKET 1130 Open 4.5+","Pool","Gabe & GAO","Knowbility","Gabe Packevicz","Alan Gao","Matthew Rodriguez","Noah Lerner-Morelle",16,21
"ers24alb","BRACKET 1130 Open 4.5+","Pool","Sah ECCITEDD","Shanghai Sharks","Thomas Hoffman","Sunny Gu","Louis Battista","Andrew Nee",21,6
"ers24alb","BRACKET 1130 Open 4.5+","Pool","Fresh Cuts","G's Gulabs","Jon LeFrois","Ethan Westfall","Aidan Schaffer","Maxwell Riseman",21,17
"ers24alb","BRACKET 1130 Open 4.5+","Pool","Unnecessarily Cheeky","Lab Rats","Brandon Spector","blake rock","Tj Brawdy","Eddie Rakowski",21,10
"ers24alb","BRACKET 1130 Open 4.5+","Pool","Happy Heffalumps","Biggie Bag Ballers","Michael Catuccio","Matt Catuccio","Kolton Knight","Eoin O'Gara",21,14
"ers24alb","BRACKET 1130 Open 4.5+","Pool","Girth Control","NYC Reps","Dustin Grant","Riley Nassour","Alex Luc","Ricky Santiago",21,18
"ers24alb","BRACKET 1130 Open 4.5+","Pool","Meeps Sheadow","Celtics Riders","Ryan Jung","Riley Savastano","Brendan Kasuba","Joshua Aguilar",21,16
