"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ers24championship","5.0+ Open","Pool","Gross Gu","HIT ME HARD AND SOFT","Ryan Gross","Sunny Gu","Henry Pilliod","Demitri Forand",15,12
"ers24championship","5.0+ Open","Pool","P2W","LL MKUltra","Drew Ryder","Michael Capobianco","Mike Garrett","Gabriel Finocchi",6,15
"ers24championship","5.0+ Open","Pool","Impenetrable ","Get Upped","Matt Spolarich","A.j. Martin","Mitchell Carter","Auriel Wish",15,8
"ers24championship","5.0+ Open","Pool","Mamasssssssss","Cote/Rose","Ryan Fitzgerald","Thomas Hoffman","Kieran Rose","Etienne Cote",10,15
"ers24championship","5.0+ Open","Pool","St-Prince","Toppers","Anthony St-Martin","Maxime Prince","Hayden Brand","Chase Brimhall",15,5
"ers24championship","5.0+ Open","Pool","MBR Farm Bros","KABeefin’","Nathan Montgomery","Ryan Montgomery","Blake Van Den Top","Peyton Stack",17,16
"ers24championship","5.0+ Open","Pool","TRP Abrams/ Picone ☀️🚿 ","Ice cold ","Dan Abrams","Will Picone","Nathan Witmer","Christopher Brubaker",7,15
"ers24championship","5.0+ Open","Pool","Keegan/Brown","Iron ******","Liam Keegan","Declan Brown","Jerry Hao","Kevin Chen",15,13
"ers24championship","5.0+ Open","Pool","No’L","Ball Hogs","Rendall Weaver","Jenson Miller","Tyler Martin","Kyle Ebersol",15,11
"ers24championship","5.0+ Open","Pool","2 pretz 2","Trying Our Best","Lucas Hope","Maxwell Gunneson","Ethan Gabay","Michael Nelson",15,12
"ers24championship","5.0+ Open","Pool","Disquali-Five","Just Chill Guys","Jacob Narayan","Sam Bunze","Drew Weaver","Evan Hopkins",15,6
"ers24championship","5.0+ Open","Pool","Mottershead/Timonere ","deep enuff?","Brandon Timonere","Jake Mottershead","Amrit Hingorani","Eric Guan",15,8
"ers24championship","5.0+ Open","Pool","Double Strike","Sunny Hate Club","Nic Albornoz","Riley Nassour","Malia Wanderer","Katheleen Phan",15,8
