"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ers25hburg","5.0 Open Premier/Bronze+","Pool","NEM Seazonal","And They Were Roommates","Jacob Summers","Zach Snover","Charlie Cavallaro","Noah Elconin",21,12
"ers25hburg","5.0 Open Premier/Bronze+","Pool","Gone Fishin'","Double Dinged","Polk Denmark","Peyton Stack","Jacob Narayan","Drew Ryder",21,16
"ers25hburg","5.0 Open Premier/Bronze+","Pool","Carry Hit","Two Bodacious Latino Women","Blake Van Den Top","Kyle Fowler","Justin Kehoe","Sam Bunze",21,19
"ers25hburg","5.0 Open Premier/Bronze+","Pool","🍌BENana BReAD🍞","The BURG","Ben Savage","Bradley Clark","Brooks Weeks","Jon Esposo",21,19
"ers25hburg","5.0 Open Premier/Bronze+","Pool","NEM Seazonal","Double Dinged","Jacob Summers","Zach Snover","Jacob Narayan","Drew Ryder",21,15
"ers25hburg","5.0 Open Premier/Bronze+","Pool","Gone Fishin'","The BURG","Polk Denmark","Peyton Stack","Brooks Weeks","Jon Esposo",21,17
"ers25hburg","5.0 Open Premier/Bronze+","Pool","Carry Hit","🍌BENana BReAD🍞","Blake Van Den Top","Kyle Fowler","Ben Savage","Bradley Clark",18,21
"ers25hburg","5.0 Open Premier/Bronze+","Pool","Two Bodacious Latino Women","And They Were Roommates","Justin Kehoe","Sam Bunze","Charlie Cavallaro","Noah Elconin",19,21
"ers25hburg","5.0 Open Premier/Bronze+","Pool","NEM Seazonal","Two Bodacious Latino Women","Jacob Summers","Zach Snover","Justin Kehoe","Sam Bunze",21,19
"ers25hburg","5.0 Open Premier/Bronze+","Pool","Gone Fishin'","Carry Hit","Polk Denmark","Peyton Stack","Blake Van Den Top","Kyle Fowler",16,21
"ers25hburg","5.0 Open Premier/Bronze+","Pool","🍌BENana BReAD🍞","And They Were Roommates","Ben Savage","Bradley Clark","Charlie Cavallaro","Noah Elconin",21,18
"ers25hburg","5.0 Open Premier/Bronze+","Pool","The BURG","Double Dinged","Brooks Weeks","Jon Esposo","Jacob Narayan","Drew Ryder",17,21
"ers25hburg","5.0 Open Premier/Bronze+","Pool","NEM Seazonal","The BURG","Jacob Summers","Zach Snover","Brooks Weeks","Jon Esposo",21,16
"ers25hburg","5.0 Open Premier/Bronze+","Pool","Gone Fishin'","And They Were Roommates","Polk Denmark","Peyton Stack","Charlie Cavallaro","Noah Elconin",21,12
"ers25hburg","5.0 Open Premier/Bronze+","Pool","Carry Hit","Double Dinged","Blake Van Den Top","Kyle Fowler","Jacob Narayan","Drew Ryder",21,17
"ers25hburg","5.0 Open Premier/Bronze+","Pool","🍌BENana BReAD🍞","Two Bodacious Latino Women","Ben Savage","Bradley Clark","Justin Kehoe","Sam Bunze",19,21
