"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Suns N’ Roses ","Justin_Fields_OiledUp.jpeg","Kieran Rose","Sunny Gu","Nic Albornoz","Ian Lane",21,14
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Missed High Fives","Just Here So We Won't Get Fined","Javier Vidal","Jackson Biggs","Tomer Keren","Amrit Hingorani",21,10
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Spoodarrrmannn","Machine Learners","Andrew Nee","Sam Diani","Matt Garbecki","Manish Nagireddy",18,21
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Juicebox Guys","Wings","Henry Pilliod","Andrew Greer","Rishab Jain","pavan narahari",21,14
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Weather boys","Applejacks","Joey Maichen","Charles Tipton","Eoin O'Gara","Matthew Rodriguez",22,20
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Just for Fun","Freakuency Shift","Kevin Chen","Drew Ryder","Prady Vijayakumar","Seth Cutler",22,20
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Risky Business","Status Doesn't Matter","Justin Kehoe","Kyle Fowler","Jerry Hao","Eric Tay",22,20
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","BDR Assets","Two State Solution","Alex Newton","Justin Shaytar","Eric Guan","Mike Hamilton",21,12
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Extra Virgin Olive Oil","Tuskies","John Putney","Declan Brown","Michael Yung","Matt Wallach",21,17
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Suns N’ Roses ","Just Here So We Won't Get Fined","Kieran Rose","Sunny Gu","Tomer Keren","Amrit Hingorani",21,3
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Missed High Fives","Spoodarrrmannn","Javier Vidal","Jackson Biggs","Andrew Nee","Sam Diani",19,21
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Machine Learners","Justin_Fields_OiledUp.jpeg","Matt Garbecki","Manish Nagireddy","Nic Albornoz","Ian Lane",21,13
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Juicebox Guys","Applejacks","Henry Pilliod","Andrew Greer","Eoin O'Gara","Matthew Rodriguez",21,16
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Weather boys","Just for Fun","Joey Maichen","Charles Tipton","Kevin Chen","Drew Ryder",12,21
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Freakuency Shift","Wings","Prady Vijayakumar","Seth Cutler","Rishab Jain","pavan narahari",21,17
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Risky Business","Two State Solution","Justin Kehoe","Kyle Fowler","Eric Guan","Mike Hamilton",21,16
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","BDR Assets","Extra Virgin Olive Oil","Alex Newton","Justin Shaytar","John Putney","Declan Brown",21,11
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Tuskies","Status Doesn't Matter","Michael Yung","Matt Wallach","Jerry Hao","Eric Tay",25,23
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Suns N’ Roses ","Machine Learners","Kieran Rose","Sunny Gu","Matt Garbecki","Manish Nagireddy",21,14
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Missed High Fives","Justin_Fields_OiledUp.jpeg","Javier Vidal","Jackson Biggs","Nic Albornoz","Ian Lane",21,8
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Spoodarrrmannn","Just Here So We Won't Get Fined","Andrew Nee","Sam Diani","Tomer Keren","Amrit Hingorani",21,9
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Juicebox Guys","Freakuency Shift","Henry Pilliod","Andrew Greer","Prady Vijayakumar","Seth Cutler",21,9
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Weather boys","Wings","Joey Maichen","Charles Tipton","Rishab Jain","pavan narahari",21,11
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Just for Fun","Applejacks","Kevin Chen","Drew Ryder","Eoin O'Gara","Matthew Rodriguez",19,21
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Risky Business","Tuskies","Justin Kehoe","Kyle Fowler","Michael Yung","Matt Wallach",21,12
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","BDR Assets","Status Doesn't Matter","Alex Newton","Justin Shaytar","Jerry Hao","Eric Tay",21,12
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Extra Virgin Olive Oil","Two State Solution","John Putney","Declan Brown","Eric Guan","Mike Hamilton",24,22
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Suns N’ Roses ","Spoodarrrmannn","Kieran Rose","Sunny Gu","Andrew Nee","Sam Diani",18,21
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Missed High Fives","Machine Learners","Javier Vidal","Jackson Biggs","Matt Garbecki","Manish Nagireddy",21,14
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Just Here So We Won't Get Fined","Justin_Fields_OiledUp.jpeg","Tomer Keren","Amrit Hingorani","Nic Albornoz","Ian Lane",21,16
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Juicebox Guys","Just for Fun","Henry Pilliod","Andrew Greer","Kevin Chen","Drew Ryder",21,16
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Weather boys","Freakuency Shift","Joey Maichen","Charles Tipton","Prady Vijayakumar","Seth Cutler",21,13
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Applejacks","Wings","Eoin O'Gara","Matthew Rodriguez","Rishab Jain","pavan narahari",21,18
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Risky Business","Extra Virgin Olive Oil","Justin Kehoe","Kyle Fowler","John Putney","Declan Brown",21,16
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","BDR Assets","Tuskies","Alex Newton","Justin Shaytar","Michael Yung","Matt Wallach",21,6
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Two State Solution","Status Doesn't Matter","Eric Guan","Mike Hamilton","Jerry Hao","Eric Tay",21,11
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Suns N’ Roses ","Missed High Fives","Kieran Rose","Sunny Gu","Javier Vidal","Jackson Biggs",21,17
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Spoodarrrmannn","Justin_Fields_OiledUp.jpeg","Andrew Nee","Sam Diani","Nic Albornoz","Ian Lane",21,8
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Machine Learners","Just Here So We Won't Get Fined","Matt Garbecki","Manish Nagireddy","Tomer Keren","Amrit Hingorani",21,13
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Juicebox Guys","Weather boys","Henry Pilliod","Andrew Greer","Joey Maichen","Charles Tipton",21,8
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Just for Fun","Wings","Kevin Chen","Drew Ryder","Rishab Jain","pavan narahari",21,23
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Freakuency Shift","Applejacks","Prady Vijayakumar","Seth Cutler","Eoin O'Gara","Matthew Rodriguez",16,21
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Risky Business","BDR Assets","Justin Kehoe","Kyle Fowler","Alex Newton","Justin Shaytar",13,21
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Extra Virgin Olive Oil","Status Doesn't Matter","John Putney","Declan Brown","Jerry Hao","Eric Tay",14,21
"ers25ma","Open 5.0 (Bronze+/Premier)","Pool","Tuskies","Two State Solution","Michael Yung","Matt Wallach","Eric Guan","Mike Hamilton",21,19
"ers25ma","Open 5.0 (Bronze+/Premier)","Round of 32","Wings","Justin_Fields_OiledUp.jpeg","Rishab Jain","pavan narahari","Nic Albornoz","Ian Lane",21,16
