"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ers26ct","Open Premier 4.5+","Pool","Diani/Camarena","Buzzin Ballers","Sam Diani","Charlie Camarena","Brock Lodato","Andres Marquez",21,12
"ers26ct","Open Premier 4.5+","Pool","Maniacal","Lil Bro The Third","Michael Yung","Manish Nagireddy","Connor Prelich","Drew Ryder",21,13
"ers26ct","Open Premier 4.5+","Pool","L/M","DoubleThreat","Diego Lopez","John Mankowich","Dylan Rehman","Siddhant Desai",21,8
"ers26ct","Open Premier 4.5+","Pool","Risk","Cream of Wheat","Jackson Biggs","Andrew Nee","Vince Hackl","Jacob Lamontagne",21,8
"ers26ct","Open Premier 4.5+","Pool","Maximum effort to barely win","Jason/Jack","Mitchell Whelan","Matt Wallach","John Muirhead","Jason Mcgrath",21,14
"ers26ct","Open Premier 4.5+","Pool","Happy Heffalumps","🥇 Come, 1st Serve","Michael Catuccio","Matt Catuccio","Caedon Gibson","Evan Liao",21,11
"ers26ct","Open Premier 4.5+","Pool","The Buff Bandits","Tinsel Bird","Demitri Forand","Matt Spolarich","Tim Matten","Aidan Sprouls",21,8
"ers26ct","Open Premier 4.5+","Pool","Untitled Unmastered","Cornballs","Ricky Santiago","Mitchell Carter","Sreesai Katiki","Noah Malewicki",21,3
"ers26ct","Open Premier 4.5+","Pool","Jammin'","Almond of the walnut","Noah Lerner-Morelle","Matthew Rodriguez","Matthew Tiongko","Samuel Panek",21,10
"ers26ct","Open Premier 4.5+","Pool","Diani/Camarena","Lil Bro The Third","Sam Diani","Charlie Camarena","Connor Prelich","Drew Ryder",21,9
"ers26ct","Open Premier 4.5+","Pool","Maniacal","L/M","Michael Yung","Manish Nagireddy","Diego Lopez","John Mankowich",16,21
"ers26ct","Open Premier 4.5+","Pool","DoubleThreat","Buzzin Ballers","Dylan Rehman","Siddhant Desai","Brock Lodato","Andres Marquez",16,21
"ers26ct","Open Premier 4.5+","Pool","Risk","Jason/Jack","Jackson Biggs","Andrew Nee","John Muirhead","Jason Mcgrath",21,5
"ers26ct","Open Premier 4.5+","Pool","Maximum effort to barely win","Happy Heffalumps","Mitchell Whelan","Matt Wallach","Michael Catuccio","Matt Catuccio",21,6
"ers26ct","Open Premier 4.5+","Pool","🥇 Come, 1st Serve","Cream of Wheat","Caedon Gibson","Evan Liao","Vince Hackl","Jacob Lamontagne",15,21
"ers26ct","Open Premier 4.5+","Pool","The Buff Bandits","Cornballs","Demitri Forand","Matt Spolarich","Sreesai Katiki","Noah Malewicki",21,19
"ers26ct","Open Premier 4.5+","Pool","Untitled Unmastered","Jammin'","Ricky Santiago","Mitchell Carter","Noah Lerner-Morelle","Matthew Rodriguez",17,21
"ers26ct","Open Premier 4.5+","Pool","Almond of the walnut","Tinsel Bird","Matthew Tiongko","Samuel Panek","Tim Matten","Aidan Sprouls",25,23
"ers26ct","Open Premier 4.5+","Pool","Diani/Camarena","DoubleThreat","Sam Diani","Charlie Camarena","Dylan Rehman","Siddhant Desai",21,12
"ers26ct","Open Premier 4.5+","Pool","Maniacal","Buzzin Ballers","Michael Yung","Manish Nagireddy","Brock Lodato","Andres Marquez",21,16
"ers26ct","Open Premier 4.5+","Pool","L/M","Lil Bro The Third","Diego Lopez","John Mankowich","Connor Prelich","Drew Ryder",21,14
"ers26ct","Open Premier 4.5+","Pool","Risk","🥇 Come, 1st Serve","Jackson Biggs","Andrew Nee","Caedon Gibson","Evan Liao",21,14
"ers26ct","Open Premier 4.5+","Pool","Maximum effort to barely win","Cream of Wheat","Mitchell Whelan","Matt Wallach","Vince Hackl","Jacob Lamontagne",21,10
"ers26ct","Open Premier 4.5+","Pool","Happy Heffalumps","Jason/Jack","Michael Catuccio","Matt Catuccio","John Muirhead","Jason Mcgrath",21,16
"ers26ct","Open Premier 4.5+","Pool","The Buff Bandits","Almond of the walnut","Demitri Forand","Matt Spolarich","Matthew Tiongko","Samuel Panek",19,21
"ers26ct","Open Premier 4.5+","Pool","Untitled Unmastered","Tinsel Bird","Ricky Santiago","Mitchell Carter","Tim Matten","Aidan Sprouls",21,19
"ers26ct","Open Premier 4.5+","Pool","Jammin'","Cornballs","Noah Lerner-Morelle","Matthew Rodriguez","Sreesai Katiki","Noah Malewicki",21,13
"ers26ct","Open Premier 4.5+","Pool","Diani/Camarena","L/M","Sam Diani","Charlie Camarena","Diego Lopez","John Mankowich",21,11
"ers26ct","Open Premier 4.5+","Pool","Maniacal","DoubleThreat","Michael Yung","Manish Nagireddy","Dylan Rehman","Siddhant Desai",21,16
"ers26ct","Open Premier 4.5+","Pool","Lil Bro The Third","Buzzin Ballers","Connor Prelich","Drew Ryder","Brock Lodato","Andres Marquez",21,16
