"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ers26li","Open Premier 4.5+","Pool","Chowder","matter daddy","Caleb White","Demitri Forand","Sreesai Katiki","Henry Cheung",17,6
"ers26li","Open Premier 4.5+","Pool","Diversified","Freakbob","Matthew Mesaros","Diego Lopez","Scotty McCabe","Jacob Lamontagne",17,15
"ers26li","Open Premier 4.5+","Pool","Magenta Status","Lefty Bang","Alex Luc","Ethan Ferland","Matthew Tiongko","Chris Ng",17,12
"ers26li","Open Premier 4.5+","Pool","P🅱️R 🅱️a🅱️a🅱️ooey","Brian Perlson","Jacob Arzaga","Brock Lodato","Drew Ryder","Brian Perlson",17,13
"ers26li","Open Premier 4.5+","Pool","Chowder","Freakbob","Caleb White","Demitri Forand","Scotty McCabe","Jacob Lamontagne",17,10
"ers26li","Open Premier 4.5+","Pool","Diversified","Brian Perlson","Matthew Mesaros","Diego Lopez","Drew Ryder","Brian Perlson",17,13
"ers26li","Open Premier 4.5+","Pool","Magenta Status","Lou & Otis","Alex Luc","Ethan Ferland","Connor Prelich","Jason Woo",17,11
"ers26li","Open Premier 4.5+","Pool","Lefty Bang","matter daddy","Matthew Tiongko","Chris Ng","Sreesai Katiki","Henry Cheung",17,10
"ers26li","Open Premier 4.5+","Pool","Chowder","Lefty Bang","Caleb White","Demitri Forand","Matthew Tiongko","Chris Ng",17,9
"ers26li","Open Premier 4.5+","Pool","Magenta Status","P🅱️R 🅱️a🅱️a🅱️ooey","Alex Luc","Ethan Ferland","Jacob Arzaga","Brock Lodato",15,17
"ers26li","Open Premier 4.5+","Pool","Lou & Otis","matter daddy","Connor Prelich","Jason Woo","Sreesai Katiki","Henry Cheung",15,17
"ers26li","Open Premier 4.5+","Pool","Brian Perlson","Freakbob","Drew Ryder","Brian Perlson","Scotty McCabe","Jacob Lamontagne",19,17
"ers26li","Open Premier 4.5+","Pool","Chowder","Brian Perlson","Caleb White","Demitri Forand","Drew Ryder","Brian Perlson",17,10
"ers26li","Open Premier 4.5+","Pool","Diversified","Magenta Status","Matthew Mesaros","Diego Lopez","Alex Luc","Ethan Ferland",17,15
"ers26li","Open Premier 4.5+","Pool","P🅱️R 🅱️a🅱️a🅱️ooey","matter daddy","Jacob Arzaga","Brock Lodato","Sreesai Katiki","Henry Cheung",17,12
"ers26li","Open Premier 4.5+","Pool","Lou & Otis","Lefty Bang","Connor Prelich","Jason Woo","Matthew Tiongko","Chris Ng",17,14
"ers26li","Open Premier 4.5+","Pool","Chowder","Lou & Otis","Caleb White","Demitri Forand","Connor Prelich","Jason Woo",17,14
"ers26li","Open Premier 4.5+","Pool","Diversified","matter daddy","Matthew Mesaros","Diego Lopez","Sreesai Katiki","Henry Cheung",17,13
"ers26li","Open Premier 4.5+","Pool","Magenta Status","Freakbob","Alex Luc","Ethan Ferland","Scotty McCabe","Jacob Lamontagne",17,13
"ers26li","Open Premier 4.5+","Pool","P🅱️R 🅱️a🅱️a🅱️ooey","Lefty Bang","Jacob Arzaga","Brock Lodato","Matthew Tiongko","Chris Ng",17,7
"ers26li","Open Premier 4.5+","Pool","Diversified","Lefty Bang","Matthew Mesaros","Diego Lopez","Matthew Tiongko","Chris Ng",11,17
"ers26li","Open Premier 4.5+","Pool","Magenta Status","Brian Perlson","Alex Luc","Ethan Ferland","Drew Ryder","Brian Perlson",17,14
"ers26li","Open Premier 4.5+","Pool","P🅱️R 🅱️a🅱️a🅱️ooey","Lou & Otis","Jacob Arzaga","Brock Lodato","Connor Prelich","Jason Woo",17,13
"ers26li","Open Premier 4.5+","Pool","Freakbob","matter daddy","Scotty McCabe","Jacob Lamontagne","Sreesai Katiki","Henry Cheung",17,10
"ers26li","Open Premier 4.5+","Pool","Chowder","P🅱️R 🅱️a🅱️a🅱️ooey","Caleb White","Demitri Forand","Jacob Arzaga","Brock Lodato",17,15
"ers26li","Open Premier 4.5+","Pool","Diversified","Lou & Otis","Matthew Mesaros","Diego Lopez","Connor Prelich","Jason Woo",17,15
