"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ers26nj","Open Bronze 4.5+","Pool","The Founders","Scotty/Andres","Kevin McClain","Gabe Finocchi","Andres Marquez","Scotty McCabe",21,5
"ers26nj","Open Bronze 4.5+","Pool","college roundnet finest","SNF One and Two","Brooks Weeks","Eli Wortman","Sean Santos","Brian Perlson",21,18
"ers26nj","Open Bronze 4.5+","Pool","Happy Meal","Evan + George :3","Matt Spolarich","Sam Mccune","Evan Leatherbarrow","george reagan",21,15
"ers26nj","Open Bronze 4.5+","Pool","Matt/Matt","Team twigs","Matt Wallach","Matthew Rodriguez","Matt Higgins","Logan Darby",21,12
"ers26nj","Open Bronze 4.5+","Pool","Wookies","Alfred Fingerbottom","Artie Singer","Demitri Forand","Samuel Panek","Noah Malewicki",21,9
"ers26nj","Open Bronze 4.5+","Pool","Prison Mike","Carr Park Birthday Party","Jake Mottershead","Kyle Keenan","Gaurav Capila","Evan Liao",21,11
"ers26nj","Open Bronze 4.5+","Pool","Enemies to Lovers","Brink of Retirement","Riley Nassour","Kevin Chen","Sreesai Katiki","Matthew Tiongko",16,21
"ers26nj","Open Bronze 4.5+","Pool","mikenstaisentrukenpice","eoin / swaguilar","Jon Esposo","Owen Wallace","josh aguilar","Eoin O'Gara",21,10
"ers26nj","Open Bronze 4.5+","Pool","Wasian Blasian Sensation","Abi and Annabel","Caleb White","Jacob Arzaga","Charlie Camarena","Luke Arnpriester",21,14
"ers26nj","Open Bronze 4.5+","Pool","The Founders","SNF One and Two","Kevin McClain","Gabe Finocchi","Sean Santos","Brian Perlson",21,14
"ers26nj","Open Bronze 4.5+","Pool","college roundnet finest","Happy Meal","Brooks Weeks","Eli Wortman","Matt Spolarich","Sam Mccune",21,17
"ers26nj","Open Bronze 4.5+","Pool","Evan + George :3","Scotty/Andres","Evan Leatherbarrow","george reagan","Andres Marquez","Scotty McCabe",13,21
"ers26nj","Open Bronze 4.5+","Pool","Matt/Matt","Alfred Fingerbottom","Matt Wallach","Matthew Rodriguez","Samuel Panek","Noah Malewicki",21,11
"ers26nj","Open Bronze 4.5+","Pool","Wookies","Prison Mike","Artie Singer","Demitri Forand","Jake Mottershead","Kyle Keenan",17,21
"ers26nj","Open Bronze 4.5+","Pool","Carr Park Birthday Party","Team twigs","Gaurav Capila","Evan Liao","Matt Higgins","Logan Darby",9,21
"ers26nj","Open Bronze 4.5+","Pool","Enemies to Lovers","eoin / swaguilar","Riley Nassour","Kevin Chen","josh aguilar","Eoin O'Gara",21,10
"ers26nj","Open Bronze 4.5+","Pool","mikenstaisentrukenpice","Wasian Blasian Sensation","Jon Esposo","Owen Wallace","Caleb White","Jacob Arzaga",17,21
"ers26nj","Open Bronze 4.5+","Pool","Abi and Annabel","Brink of Retirement","Charlie Camarena","Luke Arnpriester","Sreesai Katiki","Matthew Tiongko",21,9
"ers26nj","Open Bronze 4.5+","Pool","The Founders","Evan + George :3","Kevin McClain","Gabe Finocchi","Evan Leatherbarrow","george reagan",21,12
"ers26nj","Open Bronze 4.5+","Pool","college roundnet finest","Scotty/Andres","Brooks Weeks","Eli Wortman","Andres Marquez","Scotty McCabe",21,19
"ers26nj","Open Bronze 4.5+","Pool","Happy Meal","SNF One and Two","Matt Spolarich","Sam Mccune","Sean Santos","Brian Perlson",15,21
"ers26nj","Open Bronze 4.5+","Pool","Matt/Matt","Carr Park Birthday Party","Matt Wallach","Matthew Rodriguez","Gaurav Capila","Evan Liao",21,6
"ers26nj","Open Bronze 4.5+","Pool","Wookies","Team twigs","Artie Singer","Demitri Forand","Matt Higgins","Logan Darby",16,21
"ers26nj","Open Bronze 4.5+","Pool","Prison Mike","Alfred Fingerbottom","Jake Mottershead","Kyle Keenan","Samuel Panek","Noah Malewicki",20,22
"ers26nj","Open Bronze 4.5+","Pool","Enemies to Lovers","Abi and Annabel","Riley Nassour","Kevin Chen","Charlie Camarena","Luke Arnpriester",19,21
"ers26nj","Open Bronze 4.5+","Pool","mikenstaisentrukenpice","Brink of Retirement","Jon Esposo","Owen Wallace","Sreesai Katiki","Matthew Tiongko",21,17
"ers26nj","Open Bronze 4.5+","Pool","Wasian Blasian Sensation","eoin / swaguilar","Caleb White","Jacob Arzaga","josh aguilar","Eoin O'Gara",21,10
"ers26nj","Open Bronze 4.5+","Pool","The Founders","Happy Meal","Kevin McClain","Gabe Finocchi","Matt Spolarich","Sam Mccune",21,10
"ers26nj","Open Bronze 4.5+","Pool","college roundnet finest","Evan + George :3","Brooks Weeks","Eli Wortman","Evan Leatherbarrow","george reagan",21,16
"ers26nj","Open Bronze 4.5+","Pool","SNF One and Two","Scotty/Andres","Sean Santos","Brian Perlson","Andres Marquez","Scotty McCabe",21,19
"ers26nj","Open Bronze 4.5+","Pool","Matt/Matt","Prison Mike","Matt Wallach","Matthew Rodriguez","Jake Mottershead","Kyle Keenan",23,21
"ers26nj","Open Bronze 4.5+","Pool","Wookies","Carr Park Birthday Party","Artie Singer","Demitri Forand","Gaurav Capila","Evan Liao",21,12
"ers26nj","Open Bronze 4.5+","Pool","Alfred Fingerbottom","Team twigs","Samuel Panek","Noah Malewicki","Matt Higgins","Logan Darby",11,21
"ers26nj","Open Bronze 4.5+","Pool","Enemies to Lovers","Wasian Blasian Sensation","Riley Nassour","Kevin Chen","Caleb White","Jacob Arzaga",14,21
"ers26nj","Open Bronze 4.5+","Pool","mikenstaisentrukenpice","Abi and Annabel","Jon Esposo","Owen Wallace","Charlie Camarena","Luke Arnpriester",21,19
"ers26nj","Open Bronze 4.5+","Pool","eoin / swaguilar","Brink of Retirement","josh aguilar","Eoin O'Gara","Sreesai Katiki","Matthew Tiongko",21,14
"ers26nj","Open Bronze 4.5+","Pool","The Founders","college roundnet finest","Kevin McClain","Gabe Finocchi","Brooks Weeks","Eli Wortman",21,12
"ers26nj","Open Bronze 4.5+","Pool","Happy Meal","Scotty/Andres","Matt Spolarich","Sam Mccune","Andres Marquez","Scotty McCabe",21,19
"ers26nj","Open Bronze 4.5+","Pool","Evan + George :3","SNF One and Two","Evan Leatherbarrow","george reagan","Sean Santos","Brian Perlson",20,22
"ers26nj","Open Bronze 4.5+","Pool","Matt/Matt","Wookies","Matt Wallach","Matthew Rodriguez","Artie Singer","Demitri Forand",21,12
"ers26nj","Open Bronze 4.5+","Pool","Prison Mike","Team twigs","Jake Mottershead","Kyle Keenan","Matt Higgins","Logan Darby",21,16
"ers26nj","Open Bronze 4.5+","Pool","Carr Park Birthday Party","Alfred Fingerbottom","Gaurav Capila","Evan Liao","Samuel Panek","Noah Malewicki",11,21
"ers26nj","Open Bronze 4.5+","Pool","Enemies to Lovers","mikenstaisentrukenpice","Riley Nassour","Kevin Chen","Jon Esposo","Owen Wallace",21,19
"ers26nj","Open Bronze 4.5+","Pool","Wasian Blasian Sensation","Brink of Retirement","Caleb White","Jacob Arzaga","Sreesai Katiki","Matthew Tiongko",21,10
"ers26nj","Open Bronze 4.5+","Pool","Abi and Annabel","eoin / swaguilar","Charlie Camarena","Luke Arnpriester","josh aguilar","Eoin O'Gara",21,9
"ers26nj","Open Bronze 4.5+","Round of 32","Brink of Retirement","Carr Park Birthday Party","Sreesai Katiki","Matthew Tiongko","Gaurav Capila","Evan Liao",21,15
"ers26nj","Open Bronze 4.5+","Round of 32","eoin / swaguilar","Evan + George :3","josh aguilar","Eoin O'Gara","Evan Leatherbarrow","george reagan",15,21
"ers26nj","Open Bronze 4.5+","Round of 16","The Founders","Evan + George :3","Kevin McClain","Gabe Finocchi","Evan Leatherbarrow","george reagan",21,12
"ers26nj","Open Bronze 4.5+","Round of 16","The Founders","Evan + George :3","Kevin McClain","Gabe Finocchi","Evan Leatherbarrow","george reagan",21,16
"ers26nj","Open Bronze 4.5+","Round of 16","Matt/Matt","Brink of Retirement","Matt Wallach","Matthew Rodriguez","Sreesai Katiki","Matthew Tiongko",16,11
"ers26nj","Open Bronze 4.5+","Round of 16","Matt/Matt","Brink of Retirement","Matt Wallach","Matthew Rodriguez","Sreesai Katiki","Matthew Tiongko",0,-1
"ers26nj","Open Bronze 4.5+","Round of 16","Wasian Blasian Sensation","Scotty/Andres","Caleb White","Jacob Arzaga","Andres Marquez","Scotty McCabe",21,13
"ers26nj","Open Bronze 4.5+","Round of 16","Wasian Blasian Sensation","Scotty/Andres","Caleb White","Jacob Arzaga","Andres Marquez","Scotty McCabe",21,6
"ers26nj","Open Bronze 4.5+","Round of 16","college roundnet finest","Alfred Fingerbottom","Brooks Weeks","Eli Wortman","Samuel Panek","Noah Malewicki",21,11
"ers26nj","Open Bronze 4.5+","Round of 16","college roundnet finest","Alfred Fingerbottom","Brooks Weeks","Eli Wortman","Samuel Panek","Noah Malewicki",14,21
"ers26nj","Open Bronze 4.5+","Round of 16","college roundnet finest","Alfred Fingerbottom","Brooks Weeks","Eli Wortman","Samuel Panek","Noah Malewicki",21,19
"ers26nj","Open Bronze 4.5+","Round of 16","Abi and Annabel","Happy Meal","Charlie Camarena","Luke Arnpriester","Matt Spolarich","Sam Mccune",21,9
"ers26nj","Open Bronze 4.5+","Round of 16","Abi and Annabel","Happy Meal","Charlie Camarena","Luke Arnpriester","Matt Spolarich","Sam Mccune",21,13
