"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"ers26rich","Open Bronze 4.5+","Pool","Rolling Reapers","Donut Holes","Jake Dooley","Will Picone","Andre Reynolds","Henry Cheung",21,13
"ers26rich","Open Bronze 4.5+","Pool","Radical WanKas","Path of Pain","Brock Lodato","Jon Esposo","Noah Elconin","Dylan Noker",21,15
"ers26rich","Open Bronze 4.5+","Pool","Flame of Fire","The Rookies","Jacob Summers","Isaac Haynes","Daniel Porter","Zachary Small",21,15
"ers26rich","Open Bronze 4.5+","Pool","Slurred Speech","Make Sammy Proud","Owen Lippman","Calvin Smith","Josh Esposo","Ryland Holdren",21,16
"ers26rich","Open Bronze 4.5+","Pool","Daddy Daughter","Monkey shirt","Noah Kopetic","Andrew Greer","Soren Brown","Charlie Labarge",21,14
"ers26rich","Open Bronze 4.5+","Pool","Wortman/Santos","Paradox Fan Club","Eli Wortman","Sean Santos","Justin Kehoe","Hampton Chappell",21,13
"ers26rich","Open Bronze 4.5+","Pool","Da Bih Tuh - Rimond Edshun","PBR Dabmeup","Jaxon Gonzalez","Owen Wallace","A.j. Martin","Jacob Arzaga",16,21
"ers26rich","Open Bronze 4.5+","Pool","D1 Girlfriends","Vertigo 😵‍💫","Henry Pleszkoch","Jake Hurst","Austin Niles","Brooks Weeks",21,19
"ers26rich","Open Bronze 4.5+","Pool","Rolling Reapers","Path of Pain","Jake Dooley","Will Picone","Noah Elconin","Dylan Noker",21,13
"ers26rich","Open Bronze 4.5+","Pool","🅱️arley and the 🅱️hocolate 🅱️actory ","Donut Holes","Charlie Cavallaro","Caleb White","Andre Reynolds","Henry Cheung",21,14
"ers26rich","Open Bronze 4.5+","Pool","Flame of Fire","Make Sammy Proud","Jacob Summers","Isaac Haynes","Josh Esposo","Ryland Holdren",21,15
"ers26rich","Open Bronze 4.5+","Pool","Yum Yum Shop","The Rookies","Dalton Gilder","Brandon Stokes","Daniel Porter","Zachary Small",21,13
"ers26rich","Open Bronze 4.5+","Pool","Daddy Daughter","Paradox Fan Club","Noah Kopetic","Andrew Greer","Justin Kehoe","Hampton Chappell",21,12
"ers26rich","Open Bronze 4.5+","Pool","PBR Knicks in 5","Monkey shirt","James Mitchum","Brian Perlson","Soren Brown","Charlie Labarge",16,21
"ers26rich","Open Bronze 4.5+","Pool","Da Bih Tuh - Rimond Edshun","Vertigo 😵‍💫","Jaxon Gonzalez","Owen Wallace","Austin Niles","Brooks Weeks",23,21
"ers26rich","Open Bronze 4.5+","Pool","D1 Girlfriends","PBR Dabmeup","Henry Pleszkoch","Jake Hurst","A.j. Martin","Jacob Arzaga",21,19
"ers26rich","Open Bronze 4.5+","Pool","Rolling Reapers","🅱️arley and the 🅱️hocolate 🅱️actory ","Jake Dooley","Will Picone","Charlie Cavallaro","Caleb White",21,13
"ers26rich","Open Bronze 4.5+","Pool","Radical WanKas","Donut Holes","Brock Lodato","Jon Esposo","Andre Reynolds","Henry Cheung",23,21
"ers26rich","Open Bronze 4.5+","Pool","Flame of Fire","Yum Yum Shop","Jacob Summers","Isaac Haynes","Dalton Gilder","Brandon Stokes",21,9
"ers26rich","Open Bronze 4.5+","Pool","Slurred Speech","The Rookies","Owen Lippman","Calvin Smith","Daniel Porter","Zachary Small",21,8
"ers26rich","Open Bronze 4.5+","Pool","Daddy Daughter","PBR Knicks in 5","Noah Kopetic","Andrew Greer","James Mitchum","Brian Perlson",21,12
"ers26rich","Open Bronze 4.5+","Pool","Wortman/Santos","Monkey shirt","Eli Wortman","Sean Santos","Soren Brown","Charlie Labarge",21,16
"ers26rich","Open Bronze 4.5+","Pool","Da Bih Tuh - Rimond Edshun","D1 Girlfriends","Jaxon Gonzalez","Owen Wallace","Henry Pleszkoch","Jake Hurst",12,21
"ers26rich","Open Bronze 4.5+","Pool","Vertigo 😵‍💫","PBR Dabmeup","Austin Niles","Brooks Weeks","A.j. Martin","Jacob Arzaga",16,21
"ers26rich","Open Bronze 4.5+","Pool","Radical WanKas","🅱️arley and the 🅱️hocolate 🅱️actory ","Brock Lodato","Jon Esposo","Charlie Cavallaro","Caleb White",21,18
"ers26rich","Open Bronze 4.5+","Pool","Path of Pain","Donut Holes","Noah Elconin","Dylan Noker","Andre Reynolds","Henry Cheung",14,21
"ers26rich","Open Bronze 4.5+","Pool","Slurred Speech","Yum Yum Shop","Owen Lippman","Calvin Smith","Dalton Gilder","Brandon Stokes",21,14
"ers26rich","Open Bronze 4.5+","Pool","Make Sammy Proud","The Rookies","Josh Esposo","Ryland Holdren","Daniel Porter","Zachary Small",21,7
"ers26rich","Open Bronze 4.5+","Pool","Wortman/Santos","PBR Knicks in 5","Eli Wortman","Sean Santos","James Mitchum","Brian Perlson",23,21
"ers26rich","Open Bronze 4.5+","Pool","Paradox Fan Club","Monkey shirt","Justin Kehoe","Hampton Chappell","Soren Brown","Charlie Labarge",20,22
"ers26rich","Open Bronze 4.5+","Pool","Rolling Reapers","Radical WanKas","Jake Dooley","Will Picone","Brock Lodato","Jon Esposo",19,21
"ers26rich","Open Bronze 4.5+","Pool","🅱️arley and the 🅱️hocolate 🅱️actory ","Path of Pain","Charlie Cavallaro","Caleb White","Noah Elconin","Dylan Noker",19,21
"ers26rich","Open Bronze 4.5+","Pool","Flame of Fire","Slurred Speech","Jacob Summers","Isaac Haynes","Owen Lippman","Calvin Smith",21,16
"ers26rich","Open Bronze 4.5+","Pool","Yum Yum Shop","Make Sammy Proud","Dalton Gilder","Brandon Stokes","Josh Esposo","Ryland Holdren",21,19
"ers26rich","Open Bronze 4.5+","Pool","Daddy Daughter","Wortman/Santos","Noah Kopetic","Andrew Greer","Eli Wortman","Sean Santos",21,14
"ers26rich","Open Bronze 4.5+","Pool","PBR Knicks in 5","Paradox Fan Club","James Mitchum","Brian Perlson","Justin Kehoe","Hampton Chappell",21,13
"ers26rich","Open Bronze 4.5+","Round of 32","PBR Knicks in 5","The Rookies","James Mitchum","Brian Perlson","Daniel Porter","Zachary Small",0,-1
"ers26rich","Open Bronze 4.5+","Round of 32","Donut Holes","Paradox Fan Club","Andre Reynolds","Henry Cheung","Justin Kehoe","Hampton Chappell",21,14
"ers26rich","Open Bronze 4.5+","Round of 32","Vertigo 😵‍💫","Path of Pain","Austin Niles","Brooks Weeks","Noah Elconin","Dylan Noker",21,14
"ers26rich","Open Bronze 4.5+","Round of 16","Daddy Daughter","Vertigo 😵‍💫","Noah Kopetic","Andrew Greer","Austin Niles","Brooks Weeks",21,14
"ers26rich","Open Bronze 4.5+","Round of 16","Daddy Daughter","Vertigo 😵‍💫","Noah Kopetic","Andrew Greer","Austin Niles","Brooks Weeks",21,19
"ers26rich","Open Bronze 4.5+","Round of 16","Flame of Fire","Donut Holes","Jacob Summers","Isaac Haynes","Andre Reynolds","Henry Cheung",21,9
"ers26rich","Open Bronze 4.5+","Round of 16","Flame of Fire","Donut Holes","Jacob Summers","Isaac Haynes","Andre Reynolds","Henry Cheung",21,10
"ers26rich","Open Bronze 4.5+","Round of 16","D1 Girlfriends","PBR Knicks in 5","Henry Pleszkoch","Jake Hurst","James Mitchum","Brian Perlson",21,16
"ers26rich","Open Bronze 4.5+","Round of 16","D1 Girlfriends","PBR Knicks in 5","Henry Pleszkoch","Jake Hurst","James Mitchum","Brian Perlson",21,11
"ers26rich","Open Bronze 4.5+","Round of 16","Radical WanKas","🅱️arley and the 🅱️hocolate 🅱️actory ","Brock Lodato","Jon Esposo","Charlie Cavallaro","Caleb White",15,21
"ers26rich","Open Bronze 4.5+","Round of 16","Radical WanKas","🅱️arley and the 🅱️hocolate 🅱️actory ","Brock Lodato","Jon Esposo","Charlie Cavallaro","Caleb White",25,23
"ers26rich","Open Bronze 4.5+","Round of 16","Radical WanKas","🅱️arley and the 🅱️hocolate 🅱️actory ","Brock Lodato","Jon Esposo","Charlie Cavallaro","Caleb White",21,18
"ers26rich","Open Bronze 4.5+","Round of 16","Rolling Reapers","Make Sammy Proud","Jake Dooley","Will Picone","Josh Esposo","Ryland Holdren",21,12
"ers26rich","Open Bronze 4.5+","Round of 16","Rolling Reapers","Make Sammy Proud","Jake Dooley","Will Picone","Josh Esposo","Ryland Holdren",21,13
"ers26rich","Open Bronze 4.5+","Round of 16","Slurred Speech","Da Bih Tuh - Rimond Edshun","Owen Lippman","Calvin Smith","Jaxon Gonzalez","Owen Wallace",6,21
"ers26rich","Open Bronze 4.5+","Round of 16","Slurred Speech","Da Bih Tuh - Rimond Edshun","Owen Lippman","Calvin Smith","Jaxon Gonzalez","Owen Wallace",13,21
"ers26rich","Open Bronze 4.5+","Round of 16","PBR Dabmeup","Yum Yum Shop","A.j. Martin","Jacob Arzaga","Dalton Gilder","Brandon Stokes",21,8
"ers26rich","Open Bronze 4.5+","Round of 16","PBR Dabmeup","Yum Yum Shop","A.j. Martin","Jacob Arzaga","Dalton Gilder","Brandon Stokes",21,13
"ers26rich","Open Bronze 4.5+","Round of 16","Wortman/Santos","Monkey shirt","Eli Wortman","Sean Santos","Soren Brown","Charlie Labarge",16,21
"ers26rich","Open Bronze 4.5+","Round of 16","Wortman/Santos","Monkey shirt","Eli Wortman","Sean Santos","Soren Brown","Charlie Labarge",21,16
"ers26rich","Open Bronze 4.5+","Round of 16","Wortman/Santos","Monkey shirt","Eli Wortman","Sean Santos","Soren Brown","Charlie Labarge",21,19
"ers26rich","Open Bronze 4.5+","Quarter-final","Daddy Daughter","Wortman/Santos","Noah Kopetic","Andrew Greer","Eli Wortman","Sean Santos",21,13
"ers26rich","Open Bronze 4.5+","Quarter-final","Daddy Daughter","Wortman/Santos","Noah Kopetic","Andrew Greer","Eli Wortman","Sean Santos",31,16
"ers26rich","Open Bronze 4.5+","Quarter-final","Flame of Fire","PBR Dabmeup","Jacob Summers","Isaac Haynes","A.j. Martin","Jacob Arzaga",21,16
"ers26rich","Open Bronze 4.5+","Quarter-final","Flame of Fire","PBR Dabmeup","Jacob Summers","Isaac Haynes","A.j. Martin","Jacob Arzaga",26,24
"ers26rich","Open Bronze 4.5+","Quarter-final","D1 Girlfriends","Da Bih Tuh - Rimond Edshun","Henry Pleszkoch","Jake Hurst","Jaxon Gonzalez","Owen Wallace",22,24
"ers26rich","Open Bronze 4.5+","Quarter-final","D1 Girlfriends","Da Bih Tuh - Rimond Edshun","Henry Pleszkoch","Jake Hurst","Jaxon Gonzalez","Owen Wallace",9,21
"ers26rich","Open Bronze 4.5+","Quarter-final","Radical WanKas","Rolling Reapers","Brock Lodato","Jon Esposo","Jake Dooley","Will Picone",15,21
"ers26rich","Open Bronze 4.5+","Quarter-final","Radical WanKas","Rolling Reapers","Brock Lodato","Jon Esposo","Jake Dooley","Will Picone",6,21
"ers26rich","Open Bronze 4.5+","P9: Quarter-final","Monkey shirt","Vertigo 😵‍💫","Soren Brown","Charlie Labarge","Austin Niles","Brooks Weeks",5,21
"ers26rich","Open Bronze 4.5+","P9: Quarter-final","Yum Yum Shop","Donut Holes","Dalton Gilder","Brandon Stokes","Andre Reynolds","Henry Cheung",0,1
"ers26rich","Open Bronze 4.5+","P9: Quarter-final","Slurred Speech","PBR Knicks in 5","Owen Lippman","Calvin Smith","James Mitchum","Brian Perlson",11,21
"ers26rich","Open Bronze 4.5+","P9: Quarter-final","Make Sammy Proud","🅱️arley and the 🅱️hocolate 🅱️actory ","Josh Esposo","Ryland Holdren","Charlie Cavallaro","Caleb White",14,21
"ers26rich","Open Bronze 4.5+","Semi-final","Daddy Daughter","Rolling Reapers","Noah Kopetic","Andrew Greer","Jake Dooley","Will Picone",19,21
"ers26rich","Open Bronze 4.5+","Semi-final","Daddy Daughter","Rolling Reapers","Noah Kopetic","Andrew Greer","Jake Dooley","Will Picone",18,21
