tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
fl-states23,Open 4.5 (Contender),Pool,Stumble Guys,Wooden and Nooka,Victor da Silva,Jacob Fritz,Shane Wooden,Srihith Nooka,21.0,6.0
fl-states23,Open 4.5 (Contender),Pool,Romano & Onge,DUI guys,Nick St Onge,Julian Romano,Davis Kennedy,Kellan Andry,21.0,15.0
fl-states23,Open 4.5 (Contender),Pool,phlyin phils,boca boys,Luke Kenney,Kerrick Vesper,Collin McNeal,Connor Burt,10.0,21.0
fl-states23,Open 4.5 (Contender),Pool,Juan Night with Joe Mama,my spikeballs in your mouth,Juan Moscoso,Joe Hoang,Brennen Sohn,Kyle tomaselli,21.0,10.0
fl-states23,Open 4.5 (Contender),Pool,DoggieL0v3rs,#1 blonde haters,Nickolas Forbes,Luke Fatkus,brennan doak,Michael Mallette,21.0,19.0
fl-states23,Open 4.5 (Contender),Pool,Welp,Bollywood Bouncers,Daniel Gonzalez,Jake Todd,Sumedh Edavalluri,Arin Sareddy,21.0,8.0
fl-states23,Open 4.5 (Contender),Pool,The Enoks,Big Dan & Little Joe,Enok Arocho,Willie Rowland,Joseph England,Daniel DeRosa,21.0,17.0
fl-states23,Open 4.5 (Contender),Pool,Stumble Guys,DUI guys,Victor da Silva,Jacob Fritz,Davis Kennedy,Kellan Andry,21.0,11.0
fl-states23,Open 4.5 (Contender),Pool,Romano & Onge,phlyin phils,Nick St Onge,Julian Romano,Luke Kenney,Kerrick Vesper,21.0,9.0
fl-states23,Open 4.5 (Contender),Pool,boca boys,Wooden and Nooka,Collin McNeal,Connor Burt,Shane Wooden,Srihith Nooka,21.0,4.0
fl-states23,Open 4.5 (Contender),Pool,Juan Night with Joe Mama,#1 blonde haters,Juan Moscoso,Joe Hoang,brennan doak,Michael Mallette,22.0,24.0
fl-states23,Open 4.5 (Contender),Pool,Spurlin and Alaburda,my spikeballs in your mouth,Joey Alaburda,Tanner Spurlin,Brennen Sohn,Kyle tomaselli,21.0,16.0
fl-states23,Open 4.5 (Contender),Pool,Welp,Big Dan & Little Joe,Daniel Gonzalez,Jake Todd,Joseph England,Daniel DeRosa,21.0,16.0
