"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"honkytonkthrowdown","Expert","Pool","Sugar Rush","Holy Smokes","Jacob Narayan","Kyle Fowler","Salvatore Guagenti","Billy Jung",21,11
"honkytonkthrowdown","Expert","Pool","Slight","clarked and loaded","Owen Bass","Grant Marshall","Ellis Bass","Bradley Clark",18,21
"honkytonkthrowdown","Expert","Pool","Bro Code","Minty","Peyton Stack","Andrew Yancey","Parker Mckinney","Andrew Felty",21,9
"honkytonkthrowdown","Expert","Pool","Whose your Daddy?","Bone Thugs No Harmony","Paq Clifford","Sam Aven","Yanai Hamel-Sasson","Jackson Carpenter",20,22
"honkytonkthrowdown","Expert","Pool","Sugar Rush","clarked and loaded","Jacob Narayan","Kyle Fowler","Ellis Bass","Bradley Clark",21,10
"honkytonkthrowdown","Expert","Pool","Too much sauce ","Holy Smokes","Sean Caufield","Austin Niles","Salvatore Guagenti","Billy Jung",21,11
"honkytonkthrowdown","Expert","Pool","Bro Code","Bone Thugs No Harmony","Peyton Stack","Andrew Yancey","Yanai Hamel-Sasson","Jackson Carpenter",21,16
"honkytonkthrowdown","Expert","Pool","Out of Pocket","Minty","Spencer Sexton","Eli Canon","Parker Mckinney","Andrew Felty",21,12
"honkytonkthrowdown","Expert","Pool","Sugar Rush","Too much sauce ","Jacob Narayan","Kyle Fowler","Sean Caufield","Austin Niles",21,14
"honkytonkthrowdown","Expert","Pool","Slight","Holy Smokes","Owen Bass","Grant Marshall","Salvatore Guagenti","Billy Jung",21,8
"honkytonkthrowdown","Expert","Pool","Bro Code","Out of Pocket","Peyton Stack","Andrew Yancey","Spencer Sexton","Eli Canon",21,12
"honkytonkthrowdown","Expert","Pool","Whose your Daddy?","Minty","Paq Clifford","Sam Aven","Parker Mckinney","Andrew Felty",21,8
"honkytonkthrowdown","Expert","Pool","Slight","Too much sauce ","Owen Bass","Grant Marshall","Sean Caufield","Austin Niles",20,22
"honkytonkthrowdown","Expert","Pool","clarked and loaded","Holy Smokes","Ellis Bass","Bradley Clark","Salvatore Guagenti","Billy Jung",21,13
"honkytonkthrowdown","Expert","Pool","Whose your Daddy?","Out of Pocket","Paq Clifford","Sam Aven","Spencer Sexton","Eli Canon",21,8
"honkytonkthrowdown","Expert","Pool","Bone Thugs No Harmony","Minty","Yanai Hamel-Sasson","Jackson Carpenter","Parker Mckinney","Andrew Felty",21,15
"honkytonkthrowdown","Expert","Pool","Sugar Rush","Slight","Jacob Narayan","Kyle Fowler","Owen Bass","Grant Marshall",21,12
"honkytonkthrowdown","Expert","Pool","Too much sauce ","clarked and loaded","Sean Caufield","Austin Niles","Ellis Bass","Bradley Clark",21,19
"honkytonkthrowdown","Expert","Pool","Bro Code","Whose your Daddy?","Peyton Stack","Andrew Yancey","Paq Clifford","Sam Aven",21,16
"honkytonkthrowdown","Expert","Pool","Out of Pocket","Bone Thugs No Harmony","Spencer Sexton","Eli Canon","Yanai Hamel-Sasson","Jackson Carpenter",21,15
"honkytonkthrowdown","Expert","Round of 16","Out of Pocket","Holy Smokes","Spencer Sexton","Eli Canon","Salvatore Guagenti","Billy Jung",1,0
"honkytonkthrowdown","Expert","Round of 16","Out of Pocket","Holy Smokes","Spencer Sexton","Eli Canon","Salvatore Guagenti","Billy Jung",1,0
"honkytonkthrowdown","Expert","Round of 16","Slight","Minty","Owen Bass","Grant Marshall","Parker Mckinney","Andrew Felty",21,15
"honkytonkthrowdown","Expert","Round of 16","Slight","Minty","Owen Bass","Grant Marshall","Parker Mckinney","Andrew Felty",21,9
"honkytonkthrowdown","Expert","Quarter-final","Sugar Rush","Slight","Jacob Narayan","Kyle Fowler","Owen Bass","Grant Marshall",21,7
"honkytonkthrowdown","Expert","Quarter-final","Sugar Rush","Slight","Jacob Narayan","Kyle Fowler","Owen Bass","Grant Marshall",21,17
"honkytonkthrowdown","Expert","Quarter-final","Bro Code","Out of Pocket","Peyton Stack","Andrew Yancey","Spencer Sexton","Eli Canon",21,17
"honkytonkthrowdown","Expert","Quarter-final","Bro Code","Out of Pocket","Peyton Stack","Andrew Yancey","Spencer Sexton","Eli Canon",21,14
"honkytonkthrowdown","Expert","Quarter-final","Too much sauce ","Bone Thugs No Harmony","Sean Caufield","Austin Niles","Yanai Hamel-Sasson","Jackson Carpenter",22,20
"honkytonkthrowdown","Expert","Quarter-final","Too much sauce ","Bone Thugs No Harmony","Sean Caufield","Austin Niles","Yanai Hamel-Sasson","Jackson Carpenter",22,20
"honkytonkthrowdown","Expert","Quarter-final","Whose your Daddy?","clarked and loaded","Paq Clifford","Sam Aven","Ellis Bass","Bradley Clark",19,21
"honkytonkthrowdown","Expert","Quarter-final","Whose your Daddy?","clarked and loaded","Paq Clifford","Sam Aven","Ellis Bass","Bradley Clark",21,9
"honkytonkthrowdown","Expert","Quarter-final","Whose your Daddy?","clarked and loaded","Paq Clifford","Sam Aven","Ellis Bass","Bradley Clark",21,18
"honkytonkthrowdown","Expert","Semi-final","Sugar Rush","Whose your Daddy?","Jacob Narayan","Kyle Fowler","Paq Clifford","Sam Aven",21,18
"honkytonkthrowdown","Expert","Semi-final","Sugar Rush","Whose your Daddy?","Jacob Narayan","Kyle Fowler","Paq Clifford","Sam Aven",21,16
"honkytonkthrowdown","Expert","Semi-final","Bro Code","Too much sauce ","Peyton Stack","Andrew Yancey","Sean Caufield","Austin Niles",21,15
"honkytonkthrowdown","Expert","Semi-final","Bro Code","Too much sauce ","Peyton Stack","Andrew Yancey","Sean Caufield","Austin Niles",21,18
"honkytonkthrowdown","Expert","P5: Semi-final","clarked and loaded","Slight","Ellis Bass","Bradley Clark","Owen Bass","Grant Marshall",1,0
"honkytonkthrowdown","Expert","P5: Semi-final","Bone Thugs No Harmony","Out of Pocket","Yanai Hamel-Sasson","Jackson Carpenter","Spencer Sexton","Eli Canon",19,21
"honkytonkthrowdown","Expert","Final","Sugar Rush","Bro Code","Jacob Narayan","Kyle Fowler","Peyton Stack","Andrew Yancey",21,9
"honkytonkthrowdown","Expert","Final","Sugar Rush","Bro Code","Jacob Narayan","Kyle Fowler","Peyton Stack","Andrew Yancey",21,14
"honkytonkthrowdown","Expert","P3: Final","Too much sauce ","Whose your Daddy?","Sean Caufield","Austin Niles","Paq Clifford","Sam Aven",0,-1
"honkytonkthrowdown","Expert","P5: Final","clarked and loaded","Out of Pocket","Ellis Bass","Bradley Clark","Spencer Sexton","Eli Canon",0,0
"honkytonkthrowdown","Contender","Pool","Tim & Greg","No U-Turns Allowed","Ian Timan","Julia Timan","Daniel Tenbarge","joshua tenbarge",21,6
"honkytonkthrowdown","Contender","Pool","Alex’s Nightmare","The NY Flickerbockers","Xavier Singh","Andy Trower","Alex ","Gray Bundy",17,21
"honkytonkthrowdown","Contender","Pool","Chicken Bacon Ranch Loaded Fries","BBB","Lane Morris","Zeke Beckford","Marrisa Jones","Ava Caron",21,6
"honkytonkthrowdown","Contender","Pool","tiff n henny","ACL Tribal","Tiff Ding","Henrik Hoeldtke","Cole Kuhlers","Tahzjayee Gaymon",16,21
"honkytonkthrowdown","Contender","Pool","Conservation of Greatness ","Ellie/McKayla","Garret Chaffins","Joseph Motto","McKayla McClary","Elizabeth Bennett",21,6
"honkytonkthrowdown","Contender","Pool","Freakballers","Broadway Belchers","Zach Stump","Jacob Eakin","Kyle tomaselli","Tyler Van Note",22,20
"honkytonkthrowdown","Contender","Pool","Boxed Lunch","Isabella/Mia","Vinay Gupta","Cole Solomon","Isabella Jennings","Mia Quattrocki",21,4
"honkytonkthrowdown","Contender","Pool","Butterdog","Net Worth","Nicko Tomala","Garrett Loiselle","Ian Stutzman","Levi Bieda",21,6
"honkytonkthrowdown","Contender","Pool","Tim & Greg","The NY Flickerbockers","Ian Timan","Julia Timan","Alex ","Gray Bundy",21,16
"honkytonkthrowdown","Contender","Pool","Alex’s Nightmare","No U-Turns Allowed","Xavier Singh","Andy Trower","Daniel Tenbarge","joshua tenbarge",21,12
"honkytonkthrowdown","Contender","Pool","Chicken Bacon Ranch Loaded Fries","ACL Tribal","Lane Morris","Zeke Beckford","Cole Kuhlers","Tahzjayee Gaymon",21,13
"honkytonkthrowdown","Contender","Pool","tiff n henny","BBB","Tiff Ding","Henrik Hoeldtke","Marrisa Jones","Ava Caron",21,13
"honkytonkthrowdown","Contender","Pool","Conservation of Greatness ","Broadway Belchers","Garret Chaffins","Joseph Motto","Kyle tomaselli","Tyler Van Note",21,13
"honkytonkthrowdown","Contender","Pool","Freakballers","Ellie/McKayla","Zach Stump","Jacob Eakin","McKayla McClary","Elizabeth Bennett",21,9
"honkytonkthrowdown","Contender","Pool","Boxed Lunch","Net Worth","Vinay Gupta","Cole Solomon","Ian Stutzman","Levi Bieda",21,11
"honkytonkthrowdown","Contender","Pool","Butterdog","Isabella/Mia","Nicko Tomala","Garrett Loiselle","Isabella Jennings","Mia Quattrocki",21,6
"honkytonkthrowdown","Contender","Pool","Tim & Greg","Alex’s Nightmare","Ian Timan","Julia Timan","Xavier Singh","Andy Trower",21,14
"honkytonkthrowdown","Contender","Pool","The NY Flickerbockers","No U-Turns Allowed","Alex ","Gray Bundy","Daniel Tenbarge","joshua tenbarge",21,8
"honkytonkthrowdown","Contender","Pool","Chicken Bacon Ranch Loaded Fries","tiff n henny","Lane Morris","Zeke Beckford","Tiff Ding","Henrik Hoeldtke",21,15
"honkytonkthrowdown","Contender","Pool","ACL Tribal","BBB","Cole Kuhlers","Tahzjayee Gaymon","Marrisa Jones","Ava Caron",21,16
"honkytonkthrowdown","Contender","Pool","Conservation of Greatness ","Freakballers","Garret Chaffins","Joseph Motto","Zach Stump","Jacob Eakin",21,16
"honkytonkthrowdown","Contender","Pool","Broadway Belchers","Ellie/McKayla","Kyle tomaselli","Tyler Van Note","McKayla McClary","Elizabeth Bennett",21,5
"honkytonkthrowdown","Contender","Pool","Boxed Lunch","Butterdog","Vinay Gupta","Cole Solomon","Nicko Tomala","Garrett Loiselle",21,11
"honkytonkthrowdown","Contender","Pool","Net Worth","Isabella/Mia","Ian Stutzman","Levi Bieda","Isabella Jennings","Mia Quattrocki",16,21
