"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"hrcwinter2026","Bronze+/Premier (5.0+)","Pool","Algorithm","More Nice","Solomon Berry","Juan Moscoso","Jensen Elsemore","Max Nice",21,14
"hrcwinter2026","Bronze+/Premier (5.0+)","Pool","Back Spinnies for the Winnies","Dumb & Dumber","Dallin James","Conner Bradshaw","Erick Ostheimer","Hernestor Ramirez diaz",23,21
"hrcwinter2026","Bronze+/Premier (5.0+)","Pool","Algorithm","Dumb & Dumber","Solomon Berry","Juan Moscoso","Erick Ostheimer","Hernestor Ramirez diaz",21,16
"hrcwinter2026","Bronze+/Premier (5.0+)","Pool","Casablanca Express","More Nice","Kavan Dharia","Josh Wozniak","Jensen Elsemore","Max Nice",18,21
"hrcwinter2026","Bronze+/Premier (5.0+)","Pool","Algorithm","Casablanca Express","Solomon Berry","Juan Moscoso","Kavan Dharia","Josh Wozniak",21,14
"hrcwinter2026","Bronze+/Premier (5.0+)","Pool","Back Spinnies for the Winnies","More Nice","Dallin James","Conner Bradshaw","Jensen Elsemore","Max Nice",15,21
"hrcwinter2026","Bronze+/Premier (5.0+)","Pool","Back Spinnies for the Winnies","Casablanca Express","Dallin James","Conner Bradshaw","Kavan Dharia","Josh Wozniak",21,14
"hrcwinter2026","Bronze+/Premier (5.0+)","Pool","Dumb & Dumber","More Nice","Erick Ostheimer","Hernestor Ramirez diaz","Jensen Elsemore","Max Nice",21,19
"hrcwinter2026","Bronze+/Premier (5.0+)","Pool","Algorithm","Back Spinnies for the Winnies","Solomon Berry","Juan Moscoso","Dallin James","Conner Bradshaw",21,23
"hrcwinter2026","Bronze+/Premier (5.0+)","Pool","Casablanca Express","Dumb & Dumber","Kavan Dharia","Josh Wozniak","Erick Ostheimer","Hernestor Ramirez diaz",21,11
"hrcwinter2026","Bronze+/Premier (5.0+)","Quarter-final","Casablanca Express","Dumb & Dumber","Kavan Dharia","Josh Wozniak","Erick Ostheimer","Hernestor Ramirez diaz",21,15
"hrcwinter2026","Bronze+/Premier (5.0+)","Quarter-final","Casablanca Express","Dumb & Dumber","Kavan Dharia","Josh Wozniak","Erick Ostheimer","Hernestor Ramirez diaz",21,13
"hrcwinter2026","Bronze+/Premier (5.0+)","Semi-final","Algorithm","Casablanca Express","Solomon Berry","Juan Moscoso","Kavan Dharia","Josh Wozniak",21,17
"hrcwinter2026","Bronze+/Premier (5.0+)","Semi-final","Algorithm","Casablanca Express","Solomon Berry","Juan Moscoso","Kavan Dharia","Josh Wozniak",21,15
"hrcwinter2026","Bronze+/Premier (5.0+)","Semi-final","Back Spinnies for the Winnies","More Nice","Dallin James","Conner Bradshaw","Jensen Elsemore","Max Nice",22,20
"hrcwinter2026","Bronze+/Premier (5.0+)","Semi-final","Back Spinnies for the Winnies","More Nice","Dallin James","Conner Bradshaw","Jensen Elsemore","Max Nice",21,23
"hrcwinter2026","Bronze+/Premier (5.0+)","Semi-final","Back Spinnies for the Winnies","More Nice","Dallin James","Conner Bradshaw","Jensen Elsemore","Max Nice",22,20
"hrcwinter2026","Bronze+/Premier (5.0+)","Final","Algorithm","Back Spinnies for the Winnies","Solomon Berry","Juan Moscoso","Dallin James","Conner Bradshaw",21,13
"hrcwinter2026","Bronze+/Premier (5.0+)","Final","Algorithm","Back Spinnies for the Winnies","Solomon Berry","Juan Moscoso","Dallin James","Conner Bradshaw",21,14
"hrcwinter2026","Bronze+/Premier (5.0+)","P3: Final","More Nice","Casablanca Express","Jensen Elsemore","Max Nice","Kavan Dharia","Josh Wozniak",21,16
"hrcwinter2026","Bronze+/Premier (5.0+)","P3: Final","More Nice","Casablanca Express","Jensen Elsemore","Max Nice","Kavan Dharia","Josh Wozniak",22,20
"hrcwinter2026","Contender (4.5)","Pool","Firkland Kog","Kirkland Youth Spikeball","Zachary Abas","Andrew Nakahara","Patrick McManus","Alek Kato",21,5
"hrcwinter2026","Contender (4.5)","Pool","Kayla gets her Griff together","Shnu and Andy","Kayla Ngai","Griffin Righi","Andy Cahill","Vishnu Bhasker",21,10
"hrcwinter2026","Contender (4.5)","Pool","Upi&Unc","sballers","Edward Cheng","Andrew Samson","Jaxsen Pascual","Liam Wallace",21,19
"hrcwinter2026","Contender (4.5)","Pool","Zero Spice Pad Thai","Jane and Elena","Evan Cox","Jacob Marshall","Jane von der Sitt","Elena Friedl",21,4
"hrcwinter2026","Contender (4.5)","Pool","Cai-pitol Hill","Team Rocket 🚀 ","Jake Hill","Calvin Cai","Joey Stocco","Miles Taranto",21,9
