"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Are we in charge?","Top Shelf","Jamisen Wrinkle","Andrew Gasaway","Patrick Moll","Nathaniel Alexander",13,7
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Brookside Bandits","Super Duper Mega Team","Thad Richard","Ivan Marin Carlson","Connor Mahony","Grant Bauman",10,13
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Mac N' Cheese","Raw Sauce","Sadie Lauser","Austin Lauser","Jose Knight","Anil Patel",8,13
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Are we in charge?","Super Duper Mega Team","Jamisen Wrinkle","Andrew Gasaway","Connor Mahony","Grant Bauman",13,10
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Brookside Bandits","Miner Chaps","Thad Richard","Ivan Marin Carlson","James Hunter","Everett Pinon",9,13
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Raw Sauce","Top Shelf","Jose Knight","Anil Patel","Patrick Moll","Nathaniel Alexander",13,7
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Are we in charge?","Raw Sauce","Jamisen Wrinkle","Andrew Gasaway","Jose Knight","Anil Patel",12,14
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Brookside Bandits","Mac N' Cheese","Thad Richard","Ivan Marin Carlson","Sadie Lauser","Austin Lauser",6,13
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Miner Chaps","Super Duper Mega Team","James Hunter","Everett Pinon","Connor Mahony","Grant Bauman",11,13
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Are we in charge?","Miner Chaps","Jamisen Wrinkle","Andrew Gasaway","James Hunter","Everett Pinon",13,8
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Brookside Bandits","Top Shelf","Thad Richard","Ivan Marin Carlson","Patrick Moll","Nathaniel Alexander",8,13
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Mac N' Cheese","Super Duper Mega Team","Sadie Lauser","Austin Lauser","Connor Mahony","Grant Bauman",13,4
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Brookside Bandits","Raw Sauce","Thad Richard","Ivan Marin Carlson","Jose Knight","Anil Patel",6,13
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Mac N' Cheese","Miner Chaps","Sadie Lauser","Austin Lauser","James Hunter","Everett Pinon",13,9
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Super Duper Mega Team","Top Shelf","Connor Mahony","Grant Bauman","Patrick Moll","Nathaniel Alexander",8,13
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Are we in charge?","Mac N' Cheese","Jamisen Wrinkle","Andrew Gasaway","Sadie Lauser","Austin Lauser",13,11
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Miner Chaps","Top Shelf","James Hunter","Everett Pinon","Patrick Moll","Nathaniel Alexander",10,13
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Raw Sauce","Super Duper Mega Team","Jose Knight","Anil Patel","Connor Mahony","Grant Bauman",13,4
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Are we in charge?","Brookside Bandits","Jamisen Wrinkle","Andrew Gasaway","Thad Richard","Ivan Marin Carlson",13,9
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Mac N' Cheese","Top Shelf","Sadie Lauser","Austin Lauser","Patrick Moll","Nathaniel Alexander",9,13
"kansascity2026","Casual + Competitive (3.0-4.5)","Pool","Miner Chaps","Raw Sauce","James Hunter","Everett Pinon","Jose Knight","Anil Patel",6,13
"kansascity2026","Casual + Competitive (3.0-4.5)","Quarter-final","Are we in charge?","Brookside Bandits","Jamisen Wrinkle","Andrew Gasaway","Thad Richard","Ivan Marin Carlson",21,9
"kansascity2026","Casual + Competitive (3.0-4.5)","Quarter-final","Are we in charge?","Brookside Bandits","Jamisen Wrinkle","Andrew Gasaway","Thad Richard","Ivan Marin Carlson",21,18
"kansascity2026","Casual + Competitive (3.0-4.5)","Quarter-final","Top Shelf","Miner Chaps","Patrick Moll","Nathaniel Alexander","James Hunter","Everett Pinon",21,12
"kansascity2026","Casual + Competitive (3.0-4.5)","Quarter-final","Top Shelf","Miner Chaps","Patrick Moll","Nathaniel Alexander","James Hunter","Everett Pinon",21,9
"kansascity2026","Casual + Competitive (3.0-4.5)","Quarter-final","Mac N' Cheese","Super Duper Mega Team","Sadie Lauser","Austin Lauser","Connor Mahony","Grant Bauman",21,11
"kansascity2026","Casual + Competitive (3.0-4.5)","Quarter-final","Mac N' Cheese","Super Duper Mega Team","Sadie Lauser","Austin Lauser","Connor Mahony","Grant Bauman",15,21
"kansascity2026","Casual + Competitive (3.0-4.5)","Quarter-final","Mac N' Cheese","Super Duper Mega Team","Sadie Lauser","Austin Lauser","Connor Mahony","Grant Bauman",15,21
"kansascity2026","Casual + Competitive (3.0-4.5)","Semi-final","Raw Sauce","Super Duper Mega Team","Jose Knight","Anil Patel","Connor Mahony","Grant Bauman",21,13
"kansascity2026","Casual + Competitive (3.0-4.5)","Semi-final","Raw Sauce","Super Duper Mega Team","Jose Knight","Anil Patel","Connor Mahony","Grant Bauman",21,16
"kansascity2026","Casual + Competitive (3.0-4.5)","Semi-final","Are we in charge?","Top Shelf","Jamisen Wrinkle","Andrew Gasaway","Patrick Moll","Nathaniel Alexander",21,17
"kansascity2026","Casual + Competitive (3.0-4.5)","Semi-final","Are we in charge?","Top Shelf","Jamisen Wrinkle","Andrew Gasaway","Patrick Moll","Nathaniel Alexander",21,17
"kansascity2026","Casual + Competitive (3.0-4.5)","P5: Semi-final","Miner Chaps","Brookside Bandits","James Hunter","Everett Pinon","Thad Richard","Ivan Marin Carlson",21,17
"kansascity2026","Casual + Competitive (3.0-4.5)","P5: Semi-final","Miner Chaps","Brookside Bandits","James Hunter","Everett Pinon","Thad Richard","Ivan Marin Carlson",21,19
"kansascity2026","Casual + Competitive (3.0-4.5)","Final","Raw Sauce","Are we in charge?","Jose Knight","Anil Patel","Jamisen Wrinkle","Andrew Gasaway",21,9
"kansascity2026","Casual + Competitive (3.0-4.5)","Final","Raw Sauce","Are we in charge?","Jose Knight","Anil Patel","Jamisen Wrinkle","Andrew Gasaway",24,22
"kansascity2026","Casual + Competitive (3.0-4.5)","P3: Final","Top Shelf","Super Duper Mega Team","Patrick Moll","Nathaniel Alexander","Connor Mahony","Grant Bauman",1,0
"kansascity2026","Casual + Competitive (3.0-4.5)","P3: Final","Top Shelf","Super Duper Mega Team","Patrick Moll","Nathaniel Alexander","Connor Mahony","Grant Bauman",0,1
"kansascity2026","Casual + Competitive (3.0-4.5)","P3: Final","Top Shelf","Super Duper Mega Team","Patrick Moll","Nathaniel Alexander","Connor Mahony","Grant Bauman",21,16
"kansascity2026","Casual + Competitive (3.0-4.5)","P5: Final","Mac N' Cheese","Miner Chaps","Sadie Lauser","Austin Lauser","James Hunter","Everett Pinon",21,14
"kansascity2026","Casual + Competitive (3.0-4.5)","P5: Final","Mac N' Cheese","Miner Chaps","Sadie Lauser","Austin Lauser","James Hunter","Everett Pinon",21,11
