"tourney","Division","Round","Team1","Team2","T1P1","T1P2","T2P1","T2P2","t1score","t2score"
"kc-sectional","4.0 Open/Contender","Pool","It takes four to foreplay","Circuit Pros","Josiah Murphy","Leonardo Hermosillo","Tate Koziol","Connor Mahony",21,12
"kc-sectional","4.0 Open/Contender","Pool","Weird serves only","Caucasian Connection","Braden Reeve","Andrew Gasaway","Mac Key","Tate Hollaway",21,17
"kc-sectional","4.0 Open/Contender","Pool","Electric J's","Dumb n’ dumber","Jessica Borgers","Jack Wallace","Sam Aven","Jose Knight",18,21
"kc-sectional","4.0 Open/Contender","Pool","Ace is Low","Wet Bretta","Aimee Bray","Adam Prudhomme","Brett Wetta","James Shackelford",21,11
"kc-sectional","4.0 Open/Contender","Pool","KC KaPow💥💥💥💥","LEGO Movie Double Decker Couch","Jamisen Wrinkle","David Aschenbrenner","Aimee Cummings","Camden Thonen",21,6
"kc-sectional","4.0 Open/Contender","Pool","Ship Dits","Tuberculosis Jones","Jacob Robinson","Connor Lyons","Paul George","Grant Bauman",14,21
"kc-sectional","4.0 Open/Contender","Pool","It takes four to foreplay","Caucasian Connection","Josiah Murphy","Leonardo Hermosillo","Mac Key","Tate Hollaway",22,20
"kc-sectional","4.0 Open/Contender","Pool","Weird serves only","Electric J's","Braden Reeve","Andrew Gasaway","Jessica Borgers","Jack Wallace",21,15
"kc-sectional","4.0 Open/Contender","Pool","Dumb n’ dumber","Circuit Pros","Sam Aven","Jose Knight","Tate Koziol","Connor Mahony",21,8
"kc-sectional","4.0 Open/Contender","Pool","Ace is Low","LEGO Movie Double Decker Couch","Aimee Bray","Adam Prudhomme","Aimee Cummings","Camden Thonen",21,10
"kc-sectional","4.0 Open/Contender","Pool","KC KaPow💥💥💥💥","Ship Dits","Jamisen Wrinkle","David Aschenbrenner","Jacob Robinson","Connor Lyons",21,16
"kc-sectional","4.0 Open/Contender","Pool","Tuberculosis Jones","Wet Bretta","Paul George","Grant Bauman","Brett Wetta","James Shackelford",21,11
"kc-sectional","4.0 Open/Contender","Pool","It takes four to foreplay","Dumb n’ dumber","Josiah Murphy","Leonardo Hermosillo","Sam Aven","Jose Knight",19,21
"kc-sectional","4.0 Open/Contender","Pool","Weird serves only","Circuit Pros","Braden Reeve","Andrew Gasaway","Tate Koziol","Connor Mahony",21,9
"kc-sectional","4.0 Open/Contender","Pool","Electric J's","Caucasian Connection","Jessica Borgers","Jack Wallace","Mac Key","Tate Hollaway",21,18
"kc-sectional","4.0 Open/Contender","Pool","Ace is Low","Tuberculosis Jones","Aimee Bray","Adam Prudhomme","Paul George","Grant Bauman",21,16
"kc-sectional","4.0 Open/Contender","Pool","KC KaPow💥💥💥💥","Wet Bretta","Jamisen Wrinkle","David Aschenbrenner","Brett Wetta","James Shackelford",21,13
"kc-sectional","4.0 Open/Contender","Pool","Ship Dits","LEGO Movie Double Decker Couch","Jacob Robinson","Connor Lyons","Aimee Cummings","Camden Thonen",21,10
"kc-sectional","4.0 Open/Contender","Pool","It takes four to foreplay","Electric J's","Josiah Murphy","Leonardo Hermosillo","Jessica Borgers","Jack Wallace",21,17
"kc-sectional","4.0 Open/Contender","Pool","Weird serves only","Dumb n’ dumber","Braden Reeve","Andrew Gasaway","Sam Aven","Jose Knight",15,21
"kc-sectional","4.0 Open/Contender","Pool","Caucasian Connection","Circuit Pros","Mac Key","Tate Hollaway","Tate Koziol","Connor Mahony",17,21
"kc-sectional","4.0 Open/Contender","Pool","Ace is Low","Ship Dits","Aimee Bray","Adam Prudhomme","Jacob Robinson","Connor Lyons",21,18
"kc-sectional","4.0 Open/Contender","Pool","KC KaPow💥💥💥💥","Tuberculosis Jones","Jamisen Wrinkle","David Aschenbrenner","Paul George","Grant Bauman",21,16
"kc-sectional","4.0 Open/Contender","Pool","LEGO Movie Double Decker Couch","Wet Bretta","Aimee Cummings","Camden Thonen","Brett Wetta","James Shackelford",17,21
"kc-sectional","4.0 Open/Contender","Pool","It takes four to foreplay","Weird serves only","Josiah Murphy","Leonardo Hermosillo","Braden Reeve","Andrew Gasaway",21,19
"kc-sectional","4.0 Open/Contender","Pool","Electric J's","Circuit Pros","Jessica Borgers","Jack Wallace","Tate Koziol","Connor Mahony",21,13
"kc-sectional","4.0 Open/Contender","Pool","Dumb n’ dumber","Caucasian Connection","Sam Aven","Jose Knight","Mac Key","Tate Hollaway",21,18
"kc-sectional","4.0 Open/Contender","Pool","Ace is Low","KC KaPow💥💥💥💥","Aimee Bray","Adam Prudhomme","Jamisen Wrinkle","David Aschenbrenner",15,21
"kc-sectional","4.0 Open/Contender","Pool","Ship Dits","Wet Bretta","Jacob Robinson","Connor Lyons","Brett Wetta","James Shackelford",21,9
"kc-sectional","4.0 Open/Contender","Pool","Tuberculosis Jones","LEGO Movie Double Decker Couch","Paul George","Grant Bauman","Aimee Cummings","Camden Thonen",21,11
"kc-sectional","4.0 Open/Contender","Round of 16","Weird serves only","LEGO Movie Double Decker Couch","Braden Reeve","Andrew Gasaway","Aimee Cummings","Camden Thonen",21,12
"kc-sectional","4.0 Open/Contender","Round of 16","Weird serves only","LEGO Movie Double Decker Couch","Braden Reeve","Andrew Gasaway","Aimee Cummings","Camden Thonen",21,12
"kc-sectional","4.0 Open/Contender","Round of 16","Ship Dits","Caucasian Connection","Jacob Robinson","Connor Lyons","Mac Key","Tate Hollaway",0,1
